chi_square_percent_point_function, scale_feature_coefficient, min_accuracy_coefficient, min_number_class_per_node, sorting_method, dataset_test_size, dataset_test_categorizable, number_of_rules, cobertura, recursive, ensemble_accuracy, ensemble_f1_score, ensemble_precision_score, ensemble_recall, ensemble_roc_auc_score, tree_accuracy, tree_f1_score, tree_precision_score, tree_recall_score, tree_roc_auc_score, RuleFit_accuracy, RuleFit_f1_score, RuleFit_precision_score, RuleFit_recall_score, RuleFit_roc_auc_score, RuleCOSI_accuracy, RuleCOSI_f1_score, RuleCOSI_precision_score, RuleCOSI_recall_score, RuleCOSI_roc_auc_score, rules_accuracy, rules_f1_score, rules_precision_score, rules_recall_score, rules_roc_auc_score, RuleFit_numrules, RuleCOSI_numrules, rules_numrules
0.95, 0.05, 0.95, 15, target_accuracy, 27, 18, 2, 0.6666666666666666, True, 0.8888888888888888, 0.9411764705882353, 0.8888888888888888, 1.0, 0.5, 0.8888888888888888, 0.9411764705882353, 0.8888888888888888, 1.0, 0.5, 0.8888888888888888, 0.9411764705882353, 0.8888888888888888, 1.0, 0.5, 0.8888888888888888, 0.9411764705882353, 0.8888888888888888, 1.0, 0.5, 0.8888888888888888, 0.9411764705882353, 0.8888888888888888, 1.0, 0.5, 21, 24, 2
0.95, 0.05, 0.95, 15, target_accuracy, 27, 10, 1, 0.37037037037037035, True, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.9, 0.9473684210526316, 1.0, 0.9, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 21, 24, 1
0.95, 0.05, 0.95, 15, target_accuracy, 27, 0, 0, 0.0, True, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 25, 20, 0
0.95, 0.05, 0.95, 15, target_accuracy, 27, 18, 2, 0.6666666666666666, True, 0.7777777777777778, 0.8750000000000001, 0.7777777777777778, 1.0, 0.5, 0.7777777777777778, 0.8750000000000001, 0.7777777777777778, 1.0, 0.5, 0.7777777777777778, 0.8750000000000001, 0.7777777777777778, 1.0, 0.5, 0.8888888888888888, 0.9333333333333333, 0.875, 1.0, 0.75, 0.7777777777777778, 0.8750000000000001, 0.7777777777777778, 1.0, 0.5, 22, 20, 2
0.95, 0.05, 0.95, 15, target_accuracy, 27, 11, 3, 0.4074074074074074, True, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 21, 22, 3
0.95, 0.05, 0.95, 15, target_accuracy, 27, 12, 2, 0.4444444444444444, True, 0.8333333333333334, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.45454545454545453, 0.9166666666666666, 0.9565217391304348, 0.9166666666666666, 1.0, 0.5, 0.8333333333333334, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.45454545454545453, 0.8333333333333334, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.45454545454545453, 0.9166666666666666, 0.9565217391304348, 0.9166666666666666, 1.0, 0.5, 19, 19, 2
0.95, 0.05, 0.95, 15, target_accuracy, 27, 0, 0, 0.0, True, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 23, 18, 0
0.95, 0.05, 0.95, 15, target_accuracy, 26, 7, 2, 0.2692307692307692, True, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.8571428571428571, 0.923076923076923, 1.0, 0.8571428571428571, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 22, 21, 2
0.95, 0.05, 0.95, 15, target_accuracy, 26, 6, 1, 0.23076923076923078, True, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 24, 19, 1
0.95, 0.05, 0.95, 15, target_accuracy, 26, 10, 1, 0.38461538461538464, True, 0.9, 0.9473684210526316, 0.9, 1.0, 0.5, 0.9, 0.9473684210526316, 0.9, 1.0, 0.5, 0.9, 0.9473684210526316, 0.9, 1.0, 0.5, 0.9, 0.9473684210526316, 0.9, 1.0, 0.5, 0.9, 0.9473684210526316, 0.9, 1.0, 0.5, 22, 18, 1
