chi_square_percent_point_function, scale_feature_coefficient, min_accuracy_coefficient, min_number_class_per_node, sorting_method, dataset_test_size, dataset_test_categorizable, number_of_rules, cobertura, recursive, ensemble_accuracy, ensemble_f1_score, ensemble_precision_score, ensemble_recall, ensemble_roc_auc_score, tree_accuracy, tree_f1_score, tree_precision_score, tree_recall_score, tree_roc_auc_score, RuleFit_accuracy, RuleFit_f1_score, RuleFit_precision_score, RuleFit_recall_score, RuleFit_roc_auc_score, RuleCOSI_accuracy, RuleCOSI_f1_score, RuleCOSI_precision_score, RuleCOSI_recall_score, RuleCOSI_roc_auc_score, rules_accuracy, rules_f1_score, rules_precision_score, rules_recall_score, rules_roc_auc_score, RuleFit_numrules, RuleCOSI_numrules, rules_numrules
0.95, 0.05, 0.95, 7, target_accuracy, 27, 16, 3, 0.5925925925925926, True, 0.8125, 0.896551724137931, 0.8125, 1.0, 0.5, 0.75, 0.8571428571428571, 0.8, 0.9230769230769231, 0.46153846153846156, 0.8125, 0.896551724137931, 0.8125, 1.0, 0.5, 0.6875, 0.8148148148148148, 0.7857142857142857, 0.8461538461538461, 0.4230769230769231, 0.8125, 0.896551724137931, 0.8125, 1.0, 0.5, 24, 13, 3
0.95, 0.05, 0.95, 7, target_accuracy, 27, 5, 1, 0.18518518518518517, True, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 23, 2, 1
0.95, 0.05, 0.95, 7, target_accuracy, 27, 14, 1, 0.5185185185185185, True, 0.8571428571428571, 0.923076923076923, 0.8571428571428571, 1.0, 0.5, 0.8571428571428571, 0.923076923076923, 0.8571428571428571, 1.0, 0.5, 0.9285714285714286, 0.9600000000000001, 0.9230769230769231, 1.0, 0.75, 0.8571428571428571, 0.923076923076923, 0.8571428571428571, 1.0, 0.5, 0.8571428571428571, 0.923076923076923, 0.8571428571428571, 1.0, 0.5, 20, 3, 1
0.95, 0.05, 0.95, 7, target_accuracy, 27, 9, 1, 0.3333333333333333, True, 0.8888888888888888, 0.9411764705882353, 0.8888888888888888, 1.0, 0.5, 0.8888888888888888, 0.9411764705882353, 0.8888888888888888, 1.0, 0.5, 0.8888888888888888, 0.9411764705882353, 0.8888888888888888, 1.0, 0.5, 0.8888888888888888, 0.9411764705882353, 0.8888888888888888, 1.0, 0.5, 0.8888888888888888, 0.9411764705882353, 0.8888888888888888, 1.0, 0.5, 20, 16, 1
0.95, 0.05, 0.95, 7, target_accuracy, 27, 0, 0, 0.0, True, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 20, 5, 0
0.95, 0.05, 0.95, 7, target_accuracy, 27, 18, 4, 0.6666666666666666, True, 0.9444444444444444, 0.9714285714285714, 0.9444444444444444, 1.0, 0.5, 0.9444444444444444, 0.9714285714285714, 0.9444444444444444, 1.0, 0.5, 0.9444444444444444, 0.9714285714285714, 0.9444444444444444, 1.0, 0.5, 0.9444444444444444, 0.9714285714285714, 0.9444444444444444, 1.0, 0.5, 0.9444444444444444, 0.9714285714285714, 0.9444444444444444, 1.0, 0.5, 23, 5, 4
0.95, 0.05, 0.95, 7, target_accuracy, 27, 13, 4, 0.48148148148148145, True, 0.9230769230769231, 0.9600000000000001, 0.9230769230769231, 1.0, 0.5, 0.9230769230769231, 0.9600000000000001, 0.9230769230769231, 1.0, 0.5, 0.9230769230769231, 0.9600000000000001, 0.9230769230769231, 1.0, 0.5, 0.9230769230769231, 0.9600000000000001, 0.9230769230769231, 1.0, 0.5, 0.9230769230769231, 0.9600000000000001, 0.9230769230769231, 1.0, 0.5, 24, 3, 4
0.95, 0.05, 0.95, 7, target_accuracy, 26, 14, 5, 0.5384615384615384, True, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 21, 3, 5
0.95, 0.05, 0.95, 7, target_accuracy, 26, 12, 3, 0.46153846153846156, True, 0.8333333333333334, 0.9090909090909091, 0.8333333333333334, 1.0, 0.5, 0.6666666666666666, 0.8000000000000002, 0.8, 0.8, 0.4, 0.75, 0.8571428571428572, 0.8181818181818182, 0.9, 0.45, 0.8333333333333334, 0.9, 0.9, 0.9, 0.7, 0.8333333333333334, 0.9090909090909091, 0.8333333333333334, 1.0, 0.5, 22, 14, 3
0.95, 0.05, 0.95, 7, target_accuracy, 26, 9, 1, 0.34615384615384615, True, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 25, 14, 1
0.95, 0.05, 0.95, 7, target_accuracy, 27, 8, 1, 0.2962962962962963, True, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 22, 2, 1
0.95, 0.05, 0.95, 7, target_accuracy, 27, 0, 0, 0.0, True, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 22, 3, 0
0.95, 0.05, 0.95, 7, target_accuracy, 27, 0, 0, 0.0, True, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 25, 3, 0
