filename, Recursive, Method, Dataset, Coverage, DT F1, DT vs SR ttest F1, Ensemble F1, Ensemble vs SR p-value F1, RFIT F1, RFIT vs SR p-value F1, RFIT \# rl. num., RC vs SR p-value \# rl. num., RC F1, RC vs SR ttest F1, RC \# rl. num., RC vs SR p-value \# rl. num., SR F1, SR \# rl. num., SR F1 x coverage 
../../Results/battery_SPECT_<class 'catboost.core.CatBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns5_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'catboost.core.CatBoostClassifier'>, SPECT, 33.8±18.6, 85.72±29.34, 0.9298, 86.39±29.5, 1.0, 86.53±29.54, 0.9858, 22.3±2.48, <0.0001, 86.39±29.5, 1.0, 2±0.0, 0.1687, 86.39±29.5, 2.3±1.18, 29.2±5.49
../../Results/battery_SPECT_<class 'catboost.core.CatBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns7_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'catboost.core.CatBoostClassifier'>, SPECT, 31.18±19.76, 82.14±33.27, 0.8968, 83.26±33.51, 1.0, 83.36±33.53, 0.9913, 22.4±1.59, <0.0001, 83.26±33.51, 1.0, 2.03±0.18, 0.3765, 83.26±33.51, 1.87±1.01, 25.96±6.62
../../Results/battery_SPECT_<class 'catboost.core.CatBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns10_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'catboost.core.CatBoostClassifier'>, SPECT, 27.61±16.7, 89.34±24.92, 0.8411, 90.64±24.97, 1.0, 90.98±25.01, 0.9577, 22.43±2.71, <0.0001, 90.64±24.97, 1.0, 2±0.0, <0.0001, 90.64±24.97, 1.47±0.63, 25.03±4.17
../../Results/battery_SPECT_<class 'catboost.core.CatBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns15_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'catboost.core.CatBoostClassifier'>, SPECT, 24.11±22.11, 66.15±44.49, 0.9848, 66.37±44.61, 1.0, 66.36±44.61, 0.9993, 22.57±2.28, <0.0001, 66.37±44.61, 1.0, 2±0.0, <0.0001, 66.37±44.61, 1.2±1.0, 16.0±9.86
../../Results/battery_SPECT_<class 'catboost.core.CatBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns20_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'catboost.core.CatBoostClassifier'>, SPECT, 18.72±20.21, 60.28±46.9, 0.9706, 60.73±47.2, 1.0, 60.84±47.28, 0.9925, 22.9±2.04, <0.0001, 60.73±47.2, 1.0, 2±0.0, <0.0001, 60.73±47.2, 0.83±0.7, 11.37±9.54
../../Results/battery_SPECT_<class 'catboost.core.CatBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns25_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'catboost.core.CatBoostClassifier'>, SPECT, 18.17±23.67, 48.04±48.95, 1.0, 48.04±48.95, 1.0, 48.29±49.22, 0.9837, 22.73±1.87, <0.0001, 48.04±48.95, 1.0, 2±0.0, <0.0001, 48.04±48.95, 0.67±0.76, 8.73±11.58
../../Results/battery_SPECT_<class 'catboost.core.CatBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns35_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'catboost.core.CatBoostClassifier'>, SPECT, 18.18±22.29, 45.31±46.48, 0.9798, 45.61±46.8, 1.0, 45.74±46.94, 0.9918, 22.13±2.56, <0.0001, 45.61±46.8, 1.0, 2±0.0, <0.0001, 45.61±46.8, 0.67±0.76, 8.29±10.43
../../Results/battery_SPECT_<class 'catboost.core.CatBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns50_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'catboost.core.CatBoostClassifier'>, SPECT, 11.77±20.95, 24.31±41.15, 0.9873, 24.14±40.87, 1.0, 24.14±40.87, 1.0, 22.3±2.05, <0.0001, 24.14±40.87, 1.0, 2±0.0, <0.0001, 24.14±40.87, 0.27±0.45, 2.84±8.56
../../Results/battery_SPECT_<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns5_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._gb.GradientBoostingClassifier'>, SPECT, 29.82±20.71, 73.32±41.32, 0.981, 73.57±41.44, 1.0, 73.72±41.54, 0.9892, 22.27±2.23, <0.0001, 73.52±41.43, 0.9962, 4.03±2.55, <0.0001, 73.57±41.44, 1.23±0.77, 21.94±8.58
../../Results/battery_SPECT_<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns7_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._gb.GradientBoostingClassifier'>, SPECT, 19.24±19.02, 58.09±45.93, 0.8876, 59.79±46.51, 1.0, 59.63±46.39, 0.9895, 22.83±2.38, <0.0001, 59.12±46.06, 0.9557, 4.03±2.98, <0.0001, 59.79±46.51, 1.03±0.85, 11.5±8.85
../../Results/battery_SPECT_<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns10_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._gb.GradientBoostingClassifier'>, SPECT, 25.11±18.74, 74.96±38.6, 0.9493, 75.6±38.77, 1.0, 75.6±38.77, 1.0, 22.97±2.47, <0.0001, 75.6±38.77, 1.0, 3.97±2.92, <0.0001, 75.6±38.77, 1.23±0.82, 18.98±7.26
../../Results/battery_SPECT_<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns15_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._gb.GradientBoostingClassifier'>, SPECT, 24.73±23.07, 59.76±46.48, 1.0, 59.76±46.48, 1.0, 59.82±46.53, 0.9958, 22±2.24, <0.0001, 59.76±46.48, 1.0, 5.23±5.45, <0.0001, 59.76±46.48, 0.87±0.78, 14.78±10.72
../../Results/battery_SPECT_<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns20_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._gb.GradientBoostingClassifier'>, SPECT, 25.65±20.24, 69.14±42.72, 0.9703, 69.56±42.92, 1.0, 69.44±42.87, 0.9914, 23.07±1.98, <0.0001, 69.56±42.92, 1.0, 3.37±1.9, <0.0001, 69.56±42.92, 0.9±0.71, 17.84±8.69
../../Results/battery_SPECT_<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns25_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._gb.GradientBoostingClassifier'>, SPECT, 19.01±22.18, 47.1±48.25, 1.0, 47.1±48.25, 1.0, 47.1±48.25, 1.0, 22.23±2.73, <0.0001, 47.41±48.39, 0.9803, 5.13±4.45, <0.0001, 47.1±48.25, 0.67±0.76, 8.95±10.7
../../Results/battery_SPECT_<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns35_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._gb.GradientBoostingClassifier'>, SPECT, 20.0±23.46, 44.49±48.45, 0.9845, 44.61±48.57, 0.9922, 44.56±48.53, 0.989, 22.83±2.25, <0.0001, 43.99±48.04, 0.9525, 4.5±4.75, <0.0001, 44.74±48.7, 0.6±0.72, 8.94±11.43
../../Results/battery_SPECT_<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns50_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._gb.GradientBoostingClassifier'>, SPECT, 10.63±20.2, 21.44±39.56, 0.9744, 21.77±40.15, 1.0, 21.95±40.49, 0.9866, 22.3±1.84, <0.0001, 21.77±40.15, 1.0, 3.53±2.1, <0.0001, 21.77±40.15, 0.23±0.43, 2.31±8.11
../../Results/battery_SPECT_<class 'sklearn.ensemble._forest.RandomForestClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns5_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._forest.RandomForestClassifier'>, SPECT, 32.19±19.35, 86.44±29.69, 0.9148, 87.27±29.8, 1.0, 87.4±29.85, 0.9863, 22.17±2.48, <0.0001, 86.54±29.66, 0.9253, 21.07±1.31, <0.0001, 87.27±29.8, 1.6±0.89, 28.09±5.77
../../Results/battery_SPECT_<class 'sklearn.ensemble._forest.RandomForestClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns7_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._forest.RandomForestClassifier'>, SPECT, 27.87±17.12, 83.49±33.47, 0.9722, 83.79±33.56, 1.0, 83.73±33.54, 0.9943, 22.33±2.11, <0.0001, 83.69±33.6, 0.991, 20.83±3.55, <0.0001, 83.79±33.56, 1.2±0.66, 23.36±5.74
../../Results/battery_SPECT_<class 'sklearn.ensemble._forest.RandomForestClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns10_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._forest.RandomForestClassifier'>, SPECT, 34.73±15.18, 89.02±24.83, 0.9706, 89.25±24.88, 1.0, 89.39±24.9, 0.9836, 22.23±2.34, <0.0001, 89.53±24.85, 0.9652, 19.6±4.59, <0.0001, 89.25±24.88, 1.43±0.68, 31.0±3.78
../../Results/battery_SPECT_<class 'sklearn.ensemble._forest.RandomForestClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns15_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._forest.RandomForestClassifier'>, SPECT, 27.45±17.88, 80.9±36.97, 0.9843, 81.09±37.03, 1.0, 80.98±36.99, 0.9911, 22.1±1.97, <0.0001, 80.79±36.93, 0.9747, 20.43±2.75, <0.0001, 81.09±37.03, 1.07±0.64, 22.26±6.62
../../Results/battery_SPECT_<class 'sklearn.ensemble._forest.RandomForestClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns20_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._forest.RandomForestClassifier'>, SPECT, 26.77±22.19, 66.41±44.59, 0.9201, 67.58±45.09, 1.0, 66.98±44.72, 0.959, 21.67±2.55, <0.0001, 66.94±44.81, 0.9562, 18.33±5.96, <0.0001, 67.58±45.09, 0.93±0.74, 18.09±10.01
../../Results/battery_SPECT_<class 'sklearn.ensemble._forest.RandomForestClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns25_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._forest.RandomForestClassifier'>, SPECT, 34.16±17.54, 85.49±29.58, 0.8031, 87.4±29.77, 1.0, 87.23±29.75, 0.9815, 22.67±2.59, <0.0001, 87.01±29.72, 0.9597, 20.33±3.33, <0.0001, 87.4±29.77, 1±0.45, 29.86±5.22
../../Results/battery_SPECT_<class 'sklearn.ensemble._forest.RandomForestClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns35_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._forest.RandomForestClassifier'>, SPECT, 17.95±19.84, 48.08±49.01, 0.9649, 48.64±49.51, 1.0, 48.93±49.81, 0.982, 21.63±2.14, <0.0001, 48.02±48.94, 0.9614, 21.13±2.39, <0.0001, 48.64±49.51, 0.53±0.57, 8.73±9.82
../../Results/battery_SPECT_<class 'sklearn.ensemble._forest.RandomForestClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns50_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._forest.RandomForestClassifier'>, SPECT, 14.98±21.86, 30.93±44.52, 0.9891, 30.77±44.29, 1.0, 30.61±44.06, 0.989, 21.9±2.32, <0.0001, 31.04±44.68, 0.9812, 20.37±3.76, <0.0001, 30.77±44.29, 0.33±0.48, 4.61±9.68
../../Results/battery_SPECT_<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns5_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>, SPECT, 17.99±13.43, 81.0±33.67, 0.9662, 81.82±33.71, 0.9595, 82.38±33.8, 0.9084, 21.57±2.58, <0.0001, 81.37±33.82, 1.0, 2±0.0, 0.0619, 81.37±33.82, 2.33±0.96, 14.64±4.54
../../Results/battery_SPECT_<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns7_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>, SPECT, 16.65±13.1, 79.68±36.86, 0.8283, 82.13±37.46, 0.9695, 82.21±37.51, 0.9632, 21.8±2.44, <0.0001, 81.76±37.34, 1.0, 2±0.0, 0.8604, 81.76±37.34, 1.97±1.03, 13.61±4.89
../../Results/battery_SPECT_<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns10_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>, SPECT, 17.89±11.32, 90.12±24.99, 0.8963, 91.14±25.08, 0.9788, 90.61±25.06, 0.9556, 22±2.41, <0.0001, 90.97±25.1, 1.0, 2±0.0, 0.0039, 90.97±25.1, 1.63±0.67, 16.28±2.84
../../Results/battery_SPECT_<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns15_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>, SPECT, 11.22±10.76, 65.84±47.42, 0.7677, 69.18±46.13, 0.9829, 69.43±46.29, 1.0, 21.97±2.43, <0.0001, 69.43±46.29, 1.0, 2±0.0, <0.0001, 69.43±46.29, 0.93±0.74, 7.79±4.98
../../Results/battery_SPECT_<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns20_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>, SPECT, 12.59±11.54, 70.11±43.71, 0.9202, 70.01±43.84, 0.9132, 70.14±43.93, 0.9226, 22.27±2.68, <0.0001, 71.25±44.26, 1.0, 2±0.0, <0.0001, 71.25±44.26, 0.87±0.57, 8.97±5.11
../../Results/battery_SPECT_<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns25_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>, SPECT, 9.63±10.2, 55.99±49.86, 0.9587, 56.67±50.4, 1.0, 56.67±50.4, 1.0, 22.27±2.78, <0.0001, 56.67±50.4, 1.0, 2±0.0, <0.0001, 56.67±50.4, 0.6±0.56, 5.46±5.14
../../Results/battery_SPECT_<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns35_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>, SPECT, 8.36±10.82, 41.85±48.89, 0.9861, 42.3±49.34, 0.9582, 41.63±48.67, 1.0, 22.53±1.78, <0.0001, 41.63±48.67, 1.0, 2±0.0, <0.0001, 41.63±48.67, 0.43±0.5, 3.48±5.27
../../Results/battery_SPECT_<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns50_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>, SPECT, 0.0±0.0, 0.0±0.0, nan, 0.0±0.0, nan, 0.0±0.0, nan, 21.8±2.07, <0.0001, 0.0±0.0, nan, 2±0.0, <0.0001, 0.0±0.0, 0±0.0, 0.0±0.0
../../Results/battery_SPECT_<class 'catboost.core.CatBoostClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns5_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'catboost.core.CatBoostClassifier'>, SPECT, 48.26±11.23, 94.69±5.04, 0.3278, 95.87±4.16, 1.0, 95.48±3.72, 0.7006, 22.53±2.33, <0.0001, 95.87±4.16, 1.0, 2±0.0, <0.0001, 95.87±4.16, 3.97±1.3, 46.26±0.47
