chi_square_percent_point_function, scale_feature_coefficient, min_accuracy_coefficient, min_number_class_per_node, sorting_method, dataset_test_size, dataset_test_categorizable, number_of_rules, cobertura, recursive, ensemble_accuracy, ensemble_f1_score, ensemble_precision_score, ensemble_recall, ensemble_roc_auc_score, tree_accuracy, tree_f1_score, tree_precision_score, tree_recall_score, tree_roc_auc_score, RuleFit_accuracy, RuleFit_f1_score, RuleFit_precision_score, RuleFit_recall_score, RuleFit_roc_auc_score, RuleCOSI_accuracy, RuleCOSI_f1_score, RuleCOSI_precision_score, RuleCOSI_recall_score, RuleCOSI_roc_auc_score, rules_accuracy, rules_f1_score, rules_precision_score, rules_recall_score, rules_roc_auc_score, RuleFit_numrules, RuleCOSI_numrules, rules_numrules
0.95, 0.05, 0.95, 7, target_accuracy, 17, 17, 2, 1.0, True, 0.5294117647058824, 0.6923076923076924, 0.5294117647058824, 1.0, 0.5, 0.8823529411764706, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8819444444444444, 0.9411764705882353, 0.9411764705882353, 1.0, 0.8888888888888888, 0.9444444444444444, 0.9411764705882353, 0.9411764705882353, 1.0, 0.8888888888888888, 0.9444444444444444, 1.0, 1.0, 1.0, 1.0, 1.0, 20, 5, 2
0.95, 0.05, 0.95, 7, target_accuracy, 17, 16, 2, 0.9411764705882353, True, 0.5625, 0.72, 0.5625, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9375, 0.9473684210526316, 0.9, 1.0, 0.9285714285714286, 1.0, 1.0, 1.0, 1.0, 1.0, 29, 4, 2
0.95, 0.05, 0.95, 7, target_accuracy, 17, 16, 2, 0.9411764705882353, True, 0.5, 0.6666666666666666, 0.5, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 31, 4, 2
0.95, 0.05, 0.95, 7, target_accuracy, 17, 17, 2, 1.0, True, 0.5294117647058824, 0.6923076923076924, 0.5294117647058824, 1.0, 0.5, 0.9411764705882353, 0.9411764705882353, 1.0, 0.8888888888888888, 0.9444444444444444, 0.9411764705882353, 0.9411764705882353, 1.0, 0.8888888888888888, 0.9444444444444444, 0.9411764705882353, 0.9411764705882353, 1.0, 0.8888888888888888, 0.9444444444444444, 0.9411764705882353, 0.9411764705882353, 1.0, 0.8888888888888888, 0.9444444444444444, 25, 3, 2
0.95, 0.05, 0.95, 7, target_accuracy, 17, 16, 3, 0.9411764705882353, True, 0.5, 0.6666666666666666, 0.5, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 26, 7, 3
0.95, 0.05, 0.95, 7, target_accuracy, 17, 14, 2, 0.8235294117647058, True, 0.5, 0.6666666666666666, 0.5, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 25, 5, 2
0.95, 0.05, 0.95, 7, target_accuracy, 17, 16, 3, 0.9411764705882353, True, 0.4375, 0.6086956521739131, 0.4375, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9375, 0.9333333333333333, 0.875, 1.0, 0.9444444444444444, 26, 4, 3
0.95, 0.05, 0.95, 7, target_accuracy, 17, 17, 2, 1.0, True, 0.47058823529411764, 0.6399999999999999, 0.47058823529411764, 1.0, 0.5, 0.9411764705882353, 0.9333333333333333, 1.0, 0.875, 0.9375, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 26, 5, 2
0.95, 0.05, 0.95, 7, target_accuracy, 17, 16, 3, 0.9411764705882353, True, 0.4375, 0.6086956521739131, 0.4375, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 23, 4, 3
0.95, 0.05, 0.95, 7, target_accuracy, 17, 14, 3, 0.8235294117647058, True, 0.42857142857142855, 0.6, 0.42857142857142855, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9285714285714286, 0.923076923076923, 0.8571428571428571, 1.0, 0.9375, 1.0, 1.0, 1.0, 1.0, 1.0, 33, 5, 3
