filename, Recursive, Method, Dataset, Coverage, DT F1, DT vs SR ttest F1, Ensemble F1, Ensemble vs SR p-value F1, RFIT F1, RFIT vs SR p-value F1, RFIT \# rl. num., RC vs SR p-value \# rl. num., RC F1, RC vs SR ttest F1, RC \# rl. num., RC vs SR p-value \# rl. num., SR F1, SR \# rl. num., SR F1 x coverage 
../../Results/battery_divorce_<class 'catboost.core.CatBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns5_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'catboost.core.CatBoostClassifier'>, divorce, 91.18±14.39, 92.74±18.44, 0.6923, 63.17±12.76, <0.0001, 95.18±18.26, 0.9078, 24.7±2.95, <0.0001, 93.71±18.3, 0.8473, 4.47±0.73, <0.0001, 94.63±18.37, 2.93±0.45, 86.28±2.64
../../Results/battery_divorce_<class 'catboost.core.CatBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns7_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'catboost.core.CatBoostClassifier'>, divorce, 89.02±16.33, 91.08±25.34, 0.9078, 61.65±17.2, <0.0001, 91.88±25.15, 0.9958, 26.5±3.42, <0.0001, 90.07±24.97, 0.785, 5.03±1.07, <0.0001, 91.84±25.12, 2.43±0.68, 81.76±4.1
../../Results/battery_divorce_<class 'catboost.core.CatBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns10_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'catboost.core.CatBoostClassifier'>, divorce, 77.06±25.73, 61.05±47.44, 0.9447, 41.84±32.61, 0.0633, 62.05±48.11, 0.9907, 26.03±3.76, <0.0001, 61.41±47.63, 0.9682, 4.63±0.76, <0.0001, 61.91±48.04, 1.67±0.48, 47.71±12.36
../../Results/battery_divorce_<class 'catboost.core.CatBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns15_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'catboost.core.CatBoostClassifier'>, divorce, 45.88±10.06, 0.0±0.0, nan, 2.74±7.12, 0.0392, 6.67±25.37, 0.1555, 24.87±3.86, <0.0001, 0.0±0.0, nan, 4.53±0.82, <0.0001, 0.0±0.0, 0.97±0.18, 0.0±0.0
../../Results/battery_divorce_<class 'catboost.core.CatBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns20_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'catboost.core.CatBoostClassifier'>, divorce, 48.63±19.1, 9.47±29.01, 0.542, 7.11±17.14, 0.7405, 9.8±29.93, 0.518, 25.7±3.62, <0.0001, 6.3±24.01, 0.8878, 4.9±0.88, <0.0001, 5.47±20.84, 1±0.37, 2.66±3.98
../../Results/battery_divorce_<class 'catboost.core.CatBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns25_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'catboost.core.CatBoostClassifier'>, divorce, 45.88±10.18, 0.0±0.0, nan, 2.85±7.44, 0.0405, 3.33±18.26, 0.3215, 25.37±3.46, <0.0001, 0.0±0.0, nan, 4.63±1.0, <0.0001, 0.0±0.0, 0.97±0.18, 0.0±0.0
../../Results/battery_divorce_<class 'catboost.core.CatBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns35_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'catboost.core.CatBoostClassifier'>, divorce, 50.2±16.83, 9.41±28.74, 0.5641, 7.04±17.08, 0.7763, 9.52±29.14, 0.5557, 25.83±2.84, <0.0001, 5.52±21.03, 0.9869, 4.77±0.94, <0.0001, 5.61±21.36, 1.03±0.32, 2.82±3.6
../../Results/battery_divorce_<class 'catboost.core.CatBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns50_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'catboost.core.CatBoostClassifier'>, divorce, 48.04±14.0, 6.0±22.98, 0.5188, 4.3±13.09, 0.6708, 2.92±15.98, 0.966, 26.83±3.71, <0.0001, 2.92±15.98, 0.966, 4.87±0.94, <0.0001, 2.75±15.04, 1±0.26, 1.32±2.1
../../Results/battery_divorce_<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns5_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._gb.GradientBoostingClassifier'>, divorce, 89.8±15.52, 88.12±30.01, 0.8773, 88.71±30.19, 0.8184, 88.71±30.19, 0.8184, 25.03±3.43, <0.0001, 88.73±30.19, 0.8158, 5.43±0.73, <0.0001, 86.92±29.75, 2.7±0.7, 78.06±4.62
../../Results/battery_divorce_<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns7_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._gb.GradientBoostingClassifier'>, divorce, 85.49±20.18, 76.28±39.92, 0.8304, 78.56±40.13, 0.6688, 75.83±42.6, 0.8681, 24.9±2.89, <0.0001, 75.29±42.36, 0.9071, 5.47±0.63, <0.0001, 74.01±41.8, 1.93±0.58, 63.27±8.44
