ensemble_criterion, chi_square_percent_point_function, scale_feature_coefficient, min_accuracy_coefficient, min_number_class_per_node, sorting_method, dataset_test_size, dataset_test_categorizable, number_of_rules, cobertura, ensemble_accuracy, ensemble_f1_score, ensemble_precision_score, ensemble_recall, ensemble_roc_auc_score, tree_accuracy, tree_f1_score, tree_precision_score, tree_recall_score, tree_roc_auc_score, RuleFit_accuracy, RuleFit_f1_score, RuleFit_precision_score, RuleFit_recall_score, RuleFit_roc_auc_score, RuleCOSI_accuracy, RuleCOSI_f1_score, RuleCOSI_precision_score, RuleCOSI_recall_score, RuleCOSI_roc_auc_score, rules_accuracy, rules_f1_score, rules_precision_score, rules_recall_score, rules_roc_auc_score
gini, 0.95, 0.05, 0.95, 5, target_accuracy, 320, 283, 22, 0.884375, 0.519434628975265, 0.6837209302325581, 0.519434628975265, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9823321554770318, 0.9831649831649831, 0.9733333333333334, 0.9931972789115646, 0.9818927571028411, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9964664310954063, 0.9965870307167235, 1.0, 0.9931972789115646, 0.9965986394557823
gini, 0.95, 0.05, 0.95, 10, target_accuracy, 320, 272, 18, 0.85, 0.5147058823529411, 0.6796116504854368, 0.5147058823529411, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9963235294117647, 0.996415770609319, 1.0, 0.9928571428571429, 0.9964285714285714, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9963235294117647, 0.996415770609319, 1.0, 0.9928571428571429, 0.9964285714285714
gini, 0.95, 0.05, 0.95, 20, target_accuracy, 320, 260, 16, 0.8125, 0.5384615384615384, 0.7000000000000001, 0.5384615384615384, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9961538461538462, 0.996415770609319, 1.0, 0.9928571428571429, 0.9964285714285714, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9961538461538462, 0.996415770609319, 1.0, 0.9928571428571429, 0.9964285714285714
gini, 0.95, 0.05, 0.95, 25, target_accuracy, 320, 256, 13, 0.8, 0.53515625, 0.6972010178117048, 0.53515625, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 0.99609375, 0.9963369963369962, 1.0, 0.9927007299270073, 0.9963503649635037, 1.0, 1.0, 1.0, 1.0, 1.0, 0.99609375, 0.9963369963369962, 1.0, 0.9927007299270073, 0.9963503649635037
gini, 0.95, 0.05, 0.95, 30, target_accuracy, 320, 232, 9, 0.725, 0.5646551724137931, 0.7217630853994491, 0.5646551724137931, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9956896551724138, 0.9961685823754789, 1.0, 0.9923664122137404, 0.9961832061068703, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9956896551724138, 0.9961685823754789, 1.0, 0.9923664122137404, 0.9961832061068703
gini, 0.95, 0.05, 0.95, 50, target_accuracy, 320, 225, 7, 0.703125, 0.5688888888888889, 0.725212464589235, 0.5688888888888889, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9955555555555555, 0.996078431372549, 1.0, 0.9921875, 0.99609375, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9955555555555555, 0.996078431372549, 1.0, 0.9921875, 0.99609375
gini, 0.95, 0.05, 0.95, 5, target_accuracy, 320, 260, 20, 0.8125, 0.5269230769230769, 0.6901763224181361, 0.5269230769230769, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9884615384615385, 0.988929889298893, 1.0, 0.9781021897810219, 0.9890510948905109, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
gini, 0.95, 0.05, 0.95, 10, target_accuracy, 320, 258, 16, 0.80625, 0.5232558139534884, 0.6870229007633588, 0.5232558139534884, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9922480620155039, 0.9925373134328358, 1.0, 0.9851851851851852, 0.9925925925925926, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
gini, 0.95, 0.05, 0.95, 20, target_accuracy, 320, 247, 10, 0.771875, 0.5060728744939271, 0.6720430107526881, 0.5060728744939271, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
gini, 0.95, 0.05, 0.95, 25, target_accuracy, 320, 247, 10, 0.771875, 0.5060728744939271, 0.6720430107526881, 0.5060728744939271, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
