ensemble_criterion, chi_square_percent_point_function, scale_feature_coefficient, min_accuracy_coefficient, min_number_class_per_node, sorting_method, dataset_test_size, dataset_test_categorizable, number_of_rules, cobertura, ensemble_accuracy, ensemble_f1_score, ensemble_precision_score, ensemble_recall, ensemble_roc_auc_score, tree_accuracy, tree_f1_score, tree_precision_score, tree_recall_score, tree_roc_auc_score, RuleFit_accuracy, RuleFit_f1_score, RuleFit_precision_score, RuleFit_recall_score, RuleFit_roc_auc_score, RuleCOSI_accuracy, RuleCOSI_f1_score, RuleCOSI_precision_score, RuleCOSI_recall_score, RuleCOSI_roc_auc_score, rules_accuracy, rules_f1_score, rules_precision_score, rules_recall_score, rules_roc_auc_score
gini, 0.95, 0.05, 0.95, 5, target_accuracy, 320, 311, 29, 0.971875, 0.5144694533762058, 0.6794055201698513, 0.5144694533762058, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9742765273311897, 0.9753086419753086, 0.9634146341463414, 0.9875, 0.9738824503311259, 0.9935691318327974, 0.99375, 0.99375, 0.99375, 0.9935637417218542, 0.9967845659163987, 0.9968652037617556, 1.0, 0.99375, 0.996875
gini, 0.95, 0.05, 0.95, 10, target_accuracy, 320, 269, 41, 0.840625, 0.4944237918215613, 0.6616915422885572, 0.4944237918215613, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9962825278810409, 0.9962264150943396, 1.0, 0.9924812030075187, 0.9962406015037594, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9925650557620818, 0.9924812030075187, 0.9924812030075187, 0.9924812030075187, 0.9925641309155241
gini, 0.95, 0.05, 0.95, 20, target_accuracy, 320, 272, 21, 0.85, 0.5183823529411765, 0.6828087167070218, 0.5183823529411765, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9926470588235294, 0.9928571428571429, 1.0, 0.9858156028368794, 0.9929078014184397, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9889705882352942, 0.989247311827957, 1.0, 0.9787234042553191, 0.9893617021276595
gini, 0.95, 0.05, 0.95, 25, target_accuracy, 320, 272, 14, 0.85, 0.4852941176470588, 0.6534653465346535, 0.4852941176470588, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9963235294117647, 0.9961977186311787, 1.0, 0.9924242424242424, 0.9962121212121212, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9963235294117647, 0.9961977186311787, 1.0, 0.9924242424242424, 0.9962121212121212
gini, 0.95, 0.05, 0.95, 30, target_accuracy, 320, 260, 14, 0.8125, 0.48846153846153845, 0.6563307493540051, 0.48846153846153845, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9923076923076923, 0.9920634920634921, 1.0, 0.984251968503937, 0.9921259842519685, 0.9961538461538462, 0.9960474308300395, 1.0, 0.9921259842519685, 0.9960629921259843, 0.9923076923076923, 0.9920634920634921, 1.0, 0.984251968503937, 0.9921259842519685
gini, 0.95, 0.05, 0.95, 50, target_accuracy, 320, 297, 10, 0.928125, 0.5218855218855218, 0.6858407079646017, 0.5218855218855218, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9629629629629629, 0.9646302250803858, 0.9615384615384616, 0.967741935483871, 0.9627442071785554, 0.9797979797979798, 0.9803921568627451, 0.9933774834437086, 0.967741935483871, 0.9803498409813721, 0.9528619528619529, 0.95625, 0.9272727272727272, 0.9870967741935484, 0.9512948659700137
gini, 0.95, 0.05, 0.95, 5, target_accuracy, 320, 312, 29, 0.975, 0.5160256410256411, 0.6807610993657506, 0.5160256410256411, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9807692307692307, 0.9815950920245399, 0.9696969696969697, 0.9937888198757764, 0.9803381185471598, 0.9903846153846154, 0.9905956112852665, 1.0, 0.9813664596273292, 0.9906832298136645, 0.9967948717948718, 0.9968847352024921, 1.0, 0.9937888198757764, 0.9968944099378882
gini, 0.95, 0.05, 0.95, 10, target_accuracy, 320, 273, 36, 0.853125, 0.4835164835164835, 0.6518518518518518, 0.4835164835164835, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9963369963369964, 0.9962264150943396, 0.9924812030075187, 1.0, 0.9964539007092198, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9926739926739927, 0.9924242424242424, 0.9924242424242424, 0.9924242424242424, 0.992666021921341
gini, 0.95, 0.05, 0.95, 20, target_accuracy, 320, 268, 18, 0.8375, 0.5, 0.6666666666666666, 0.5, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 0.996268656716418, 0.9962546816479401, 1.0, 0.9925373134328358, 0.9962686567164178, 0.996268656716418, 0.9962546816479401, 1.0, 0.9925373134328358, 0.9962686567164178, 0.996268656716418, 0.9962546816479401, 1.0, 0.9925373134328358, 0.9962686567164178
gini, 0.95, 0.05, 0.95, 25, target_accuracy, 320, 258, 12, 0.80625, 0.46511627906976744, 0.6349206349206349, 0.46511627906976744, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9961240310077519, 0.99581589958159, 1.0, 0.9916666666666667, 0.9958333333333333, 0.9961240310077519, 0.99581589958159, 1.0, 0.9916666666666667, 0.9958333333333333, 0.9961240310077519, 0.99581589958159, 1.0, 0.9916666666666667, 0.9958333333333333
