chi_square_percent_point_function, scale_feature_coefficient, min_accuracy_coefficient, min_number_class_per_node, sorting_method, dataset_test_size, dataset_test_categorizable, number_of_rules, cobertura, recursive, ensemble_accuracy, ensemble_f1_score, ensemble_precision_score, ensemble_recall, ensemble_roc_auc_score, tree_accuracy, tree_f1_score, tree_precision_score, tree_recall_score, tree_roc_auc_score, RuleFit_accuracy, RuleFit_f1_score, RuleFit_precision_score, RuleFit_recall_score, RuleFit_roc_auc_score, RuleCOSI_accuracy, RuleCOSI_f1_score, RuleCOSI_precision_score, RuleCOSI_recall_score, RuleCOSI_roc_auc_score, rules_accuracy, rules_f1_score, rules_precision_score, rules_recall_score, rules_roc_auc_score, RuleFit_numrules, RuleCOSI_numrules, rules_numrules
0.95, 0.05, 0.95, 50, target_accuracy, 320, 150, 3, 0.46875, False, 0.42, 0.5915492957746479, 0.42, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.92, 0.9130434782608696, 0.84, 1.0, 0.9310344827586207, 1.0, 1.0, 1.0, 1.0, 1.0, 24, 4, 3
0.95, 0.05, 0.95, 50, target_accuracy, 320, 137, 2, 0.428125, False, 0.40875912408759124, 0.5803108808290156, 0.40875912408759124, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 19, 4, 2
0.95, 0.05, 0.95, 50, target_accuracy, 320, 161, 3, 0.503125, False, 0.40993788819875776, 0.5814977973568282, 0.40993788819875776, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9130434782608695, 0.9041095890410958, 0.825, 1.0, 0.9263157894736842, 1.0, 1.0, 1.0, 1.0, 1.0, 26, 3, 3
0.95, 0.05, 0.95, 50, target_accuracy, 320, 130, 3, 0.40625, False, 0.43846153846153846, 0.6096256684491979, 0.43846153846153846, 1.0, 0.5, 0.9923076923076923, 0.9911504424778761, 1.0, 0.9824561403508771, 0.9912280701754386, 0.9923076923076923, 0.9911504424778761, 1.0, 0.9824561403508771, 0.9912280701754386, 0.8846153846153846, 0.8837209302325582, 0.7916666666666666, 1.0, 0.8972602739726028, 0.9923076923076923, 0.9911504424778761, 1.0, 0.9824561403508771, 0.9912280701754386, 20, 3, 3
0.95, 0.05, 0.95, 50, target_accuracy, 320, 131, 3, 0.409375, False, 0.3816793893129771, 0.5524861878453039, 0.3816793893129771, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9312977099236641, 0.9174311926605504, 0.847457627118644, 1.0, 0.9444444444444444, 1.0, 1.0, 1.0, 1.0, 1.0, 20, 4, 3
0.95, 0.05, 0.95, 50, target_accuracy, 320, 146, 3, 0.45625, False, 0.3767123287671233, 0.5472636815920399, 0.3767123287671233, 1.0, 0.5, 0.9931506849315068, 0.9908256880733944, 1.0, 0.9818181818181818, 0.990909090909091, 0.9931506849315068, 0.9908256880733944, 1.0, 0.9818181818181818, 0.990909090909091, 0.8698630136986302, 0.8527131782945736, 0.7432432432432432, 1.0, 0.8956043956043955, 0.9931506849315068, 0.9908256880733944, 1.0, 0.9818181818181818, 0.990909090909091, 19, 4, 3
0.95, 0.05, 0.95, 50, target_accuracy, 319, 134, 3, 0.4200626959247649, False, 0.39552238805970147, 0.5668449197860963, 0.39552238805970147, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9104477611940298, 0.8983050847457628, 0.8153846153846154, 1.0, 0.9259259259259259, 1.0, 1.0, 1.0, 1.0, 1.0, 20, 3, 3
0.95, 0.05, 0.95, 50, target_accuracy, 319, 147, 3, 0.4608150470219436, False, 0.36054421768707484, 0.53, 0.36054421768707484, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9115646258503401, 0.8907563025210083, 0.803030303030303, 1.0, 0.9308510638297872, 1.0, 1.0, 1.0, 1.0, 1.0, 23, 4, 3
0.95, 0.05, 0.95, 50, target_accuracy, 319, 155, 3, 0.48589341692789967, False, 0.44516129032258067, 0.6160714285714286, 0.44516129032258067, 1.0, 0.5, 0.9935483870967742, 0.9927007299270074, 1.0, 0.9855072463768116, 0.9927536231884058, 0.9935483870967742, 0.9927007299270074, 1.0, 0.9855072463768116, 0.9927536231884058, 0.9548387096774194, 0.9517241379310345, 0.9078947368421053, 1.0, 0.9593023255813953, 0.9935483870967742, 0.9927007299270074, 1.0, 0.9855072463768116, 0.9927536231884058, 18, 4, 3
0.95, 0.05, 0.95, 50, target_accuracy, 319, 146, 3, 0.45768025078369906, False, 0.4452054794520548, 0.6161137440758294, 0.4452054794520548, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.958904109589041, 0.9558823529411764, 0.9154929577464789, 1.0, 0.962962962962963, 1.0, 1.0, 1.0, 1.0, 1.0, 19, 3, 3
