chi_square_percent_point_function, scale_feature_coefficient, min_accuracy_coefficient, min_number_class_per_node, sorting_method, dataset_test_size, dataset_test_categorizable, number_of_rules, cobertura, recursive, ensemble_accuracy, ensemble_f1_score, ensemble_precision_score, ensemble_recall, ensemble_roc_auc_score, tree_accuracy, tree_f1_score, tree_precision_score, tree_recall_score, tree_roc_auc_score, RuleFit_accuracy, RuleFit_f1_score, RuleFit_precision_score, RuleFit_recall_score, RuleFit_roc_auc_score, RuleCOSI_accuracy, RuleCOSI_f1_score, RuleCOSI_precision_score, RuleCOSI_recall_score, RuleCOSI_roc_auc_score, rules_accuracy, rules_f1_score, rules_precision_score, rules_recall_score, rules_roc_auc_score, RuleFit_numrules, RuleCOSI_numrules, rules_numrules
0.95, 0.05, 0.95, 50, target_accuracy, 320, 217, 6, 0.678125, True, 0.6359447004608295, 0.7774647887323943, 0.6359447004608295, 1.0, 0.5, 0.9907834101382489, 0.9927007299270074, 1.0, 0.9855072463768116, 0.9927536231884058, 0.9907834101382489, 0.9927007299270074, 1.0, 0.9855072463768116, 0.9927536231884058, 0.9539170506912442, 0.965034965034965, 0.9324324324324325, 1.0, 0.9367088607594937, 0.9815668202764977, 0.9855072463768116, 0.9855072463768116, 0.9855072463768116, 0.9800953953403045, 22, 4, 6
0.95, 0.05, 0.95, 50, target_accuracy, 320, 233, 6, 0.728125, True, 0.5579399141630901, 0.7162534435261707, 0.5579399141630901, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9399141630901288, 0.9489051094890512, 0.9027777777777778, 1.0, 0.9320388349514563, 1.0, 1.0, 1.0, 1.0, 1.0, 27, 4, 6
0.95, 0.05, 0.95, 50, target_accuracy, 320, 221, 6, 0.690625, True, 0.6289592760180995, 0.7722222222222223, 0.6289592760180995, 1.0, 0.5, 0.995475113122172, 0.996389891696751, 1.0, 0.9928057553956835, 0.9964028776978417, 0.995475113122172, 0.996389891696751, 1.0, 0.9928057553956835, 0.9964028776978417, 0.9411764705882353, 0.9553264604810997, 0.9144736842105263, 1.0, 0.9207317073170731, 0.9819004524886877, 0.9857142857142858, 0.9787234042553191, 0.9928057553956835, 0.9781101947710125, 26, 4, 6
0.95, 0.05, 0.95, 50, target_accuracy, 320, 219, 6, 0.684375, True, 0.6118721461187214, 0.7592067988668555, 0.6118721461187214, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9360730593607306, 0.950354609929078, 0.9054054054054054, 1.0, 0.9176470588235295, 0.9634703196347032, 0.9710144927536231, 0.9436619718309859, 1.0, 0.9529411764705882, 21, 4, 6
0.95, 0.05, 0.95, 50, target_accuracy, 320, 240, 6, 0.75, True, 0.625, 0.7692307692307693, 0.625, 1.0, 0.5, 0.9916666666666667, 0.9933774834437086, 0.9868421052631579, 1.0, 0.9888888888888888, 0.9916666666666667, 0.9933774834437086, 0.9868421052631579, 1.0, 0.9888888888888888, 0.9583333333333334, 0.967741935483871, 0.9375, 1.0, 0.9444444444444444, 0.9875, 0.99009900990099, 0.9803921568627451, 1.0, 0.9833333333333334, 19, 4, 6
0.95, 0.05, 0.95, 50, target_accuracy, 320, 252, 7, 0.7875, True, 0.6428571428571429, 0.782608695652174, 0.6428571428571429, 1.0, 0.5, 0.9920634920634921, 0.9938650306748467, 0.9878048780487805, 1.0, 0.9888888888888888, 0.996031746031746, 0.9969230769230769, 0.9938650306748467, 1.0, 0.9944444444444445, 0.9682539682539683, 0.9759036144578312, 0.9529411764705882, 1.0, 0.9555555555555555, 0.9801587301587301, 0.9848024316109423, 0.9700598802395209, 1.0, 0.9722222222222222, 24, 4, 7
0.95, 0.05, 0.95, 50, target_accuracy, 319, 218, 7, 0.6833855799373041, True, 0.6467889908256881, 0.7855153203342619, 0.6467889908256881, 1.0, 0.5, 0.9954128440366973, 0.9964664310954063, 0.9929577464788732, 1.0, 0.9935064935064934, 0.9908256880733946, 0.9928571428571429, 1.0, 0.9858156028368794, 0.9929078014184397, 0.963302752293578, 0.9724137931034482, 0.9463087248322147, 1.0, 0.948051948051948, 0.981651376146789, 0.9860139860139859, 0.9724137931034482, 1.0, 0.974025974025974, 23, 3, 7
0.95, 0.05, 0.95, 50, target_accuracy, 319, 280, 7, 0.877742946708464, True, 0.4857142857142857, 0.6538461538461539, 0.4857142857142857, 1.0, 0.5, 0.9785714285714285, 0.9774436090225563, 1.0, 0.9558823529411765, 0.9779411764705883, 0.9785714285714285, 0.9774436090225563, 1.0, 0.9558823529411765, 0.9779411764705883, 0.9142857142857143, 0.9154929577464789, 0.8783783783783784, 0.9558823529411765, 0.9154411764705882, 0.8964285714285715, 0.903010033444816, 0.8282208588957055, 0.9926470588235294, 0.8991013071895425, 20, 4, 7
0.95, 0.05, 0.95, 50, target_accuracy, 319, 229, 5, 0.7178683385579937, True, 0.5720524017467249, 0.7277777777777777, 0.5720524017467249, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9344978165938864, 0.9458483754512635, 0.8972602739726028, 1.0, 0.923469387755102, 0.9912663755458515, 0.9924242424242424, 0.9849624060150376, 1.0, 0.9897959183673469, 18, 4, 5
0.95, 0.05, 0.95, 50, target_accuracy, 319, 214, 6, 0.670846394984326, True, 0.6401869158878505, 0.7806267806267807, 0.6401869158878505, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9299065420560748, 0.9480968858131489, 0.9013157894736842, 1.0, 0.9025974025974026, 0.9813084112149533, 0.9856115107913669, 0.9716312056737588, 1.0, 0.974025974025974, 24, 3, 6
