chi_square_percent_point_function, scale_feature_coefficient, min_accuracy_coefficient, min_number_class_per_node, sorting_method, dataset_test_size, dataset_test_categorizable, number_of_rules, cobertura, recursive, ensemble_accuracy, ensemble_f1_score, ensemble_precision_score, ensemble_recall, ensemble_roc_auc_score, tree_accuracy, tree_f1_score, tree_precision_score, tree_recall_score, tree_roc_auc_score, RuleFit_accuracy, RuleFit_f1_score, RuleFit_precision_score, RuleFit_recall_score, RuleFit_roc_auc_score, RuleCOSI_accuracy, RuleCOSI_f1_score, RuleCOSI_precision_score, RuleCOSI_recall_score, RuleCOSI_roc_auc_score, rules_accuracy, rules_f1_score, rules_precision_score, rules_recall_score, rules_roc_auc_score, RuleFit_numrules, RuleCOSI_numrules, rules_numrules
0.95, 0.05, 0.95, 15, target_accuracy, 320, 246, 13, 0.76875, False, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.991869918699187, 0.991869918699187, 0.9838709677419355, 1.0, 0.9919354838709677, 1.0, 1.0, 1.0, 1.0, 1.0, 23, 15, 13
0.95, 0.05, 0.95, 15, target_accuracy, 320, 270, 16, 0.84375, False, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9925925925925926, 0.9929078014184397, 0.9859154929577465, 1.0, 0.9923076923076923, 1.0, 1.0, 1.0, 1.0, 1.0, 21, 12, 16
0.95, 0.05, 0.95, 15, target_accuracy, 320, 225, 10, 0.703125, False, 0.9955555555555555, 0.9948717948717948, 1.0, 0.9897959183673469, 0.9948979591836735, 0.9955555555555555, 0.9948717948717948, 1.0, 0.9897959183673469, 0.9948979591836735, 0.9955555555555555, 0.9948717948717948, 1.0, 0.9897959183673469, 0.9948979591836735, 0.9955555555555555, 0.9948717948717948, 1.0, 0.9897959183673469, 0.9948979591836735, 0.9955555555555555, 0.9948717948717948, 1.0, 0.9897959183673469, 0.9948979591836735, 21, 11, 10
0.95, 0.05, 0.95, 15, target_accuracy, 320, 247, 12, 0.771875, False, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9959514170040485, 0.996309963099631, 1.0, 0.9926470588235294, 0.9963235294117647, 0.9959514170040485, 0.9963369963369962, 0.9927007299270073, 1.0, 0.9954954954954954, 1.0, 1.0, 1.0, 1.0, 1.0, 26, 19, 12
0.95, 0.05, 0.95, 15, target_accuracy, 320, 278, 17, 0.86875, False, 0.9784172661870504, 0.9784172661870503, 1.0, 0.9577464788732394, 0.9788732394366197, 0.9784172661870504, 0.9784172661870503, 1.0, 0.9577464788732394, 0.9788732394366197, 0.9784172661870504, 0.9784172661870503, 1.0, 0.9577464788732394, 0.9788732394366197, 0.9892086330935251, 0.9893992932862191, 0.9929078014184397, 0.9859154929577465, 0.989281275890638, 0.9784172661870504, 0.9784172661870503, 1.0, 0.9577464788732394, 0.9788732394366197, 15, 17, 17
0.95, 0.05, 0.95, 15, target_accuracy, 320, 256, 15, 0.8, False, 0.99609375, 0.9964412811387899, 1.0, 0.9929078014184397, 0.9964539007092199, 0.99609375, 0.9964412811387899, 1.0, 0.9929078014184397, 0.9964539007092199, 0.9921875, 0.9928571428571429, 1.0, 0.9858156028368794, 0.9929078014184397, 0.99609375, 0.9964412811387899, 1.0, 0.9929078014184397, 0.9964539007092199, 0.99609375, 0.9964412811387899, 1.0, 0.9929078014184397, 0.9964539007092199, 18, 17, 15
0.95, 0.05, 0.95, 15, target_accuracy, 319, 211, 13, 0.6614420062695925, False, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 24, 12, 13
0.95, 0.05, 0.95, 15, target_accuracy, 319, 275, 14, 0.8620689655172413, False, 0.9709090909090909, 0.9696969696969697, 1.0, 0.9411764705882353, 0.9705882352941176, 0.9709090909090909, 0.9696969696969697, 1.0, 0.9411764705882353, 0.9705882352941176, 0.9709090909090909, 0.9696969696969697, 1.0, 0.9411764705882353, 0.9705882352941176, 0.9709090909090909, 0.9696969696969697, 1.0, 0.9411764705882353, 0.9705882352941176, 0.9709090909090909, 0.9696969696969697, 1.0, 0.9411764705882353, 0.9705882352941176, 18, 11, 14
0.95, 0.05, 0.95, 15, target_accuracy, 319, 237, 12, 0.7429467084639498, False, 0.9704641350210971, 0.9629629629629629, 0.9891304347826086, 0.9381443298969072, 0.965500736377025, 0.9704641350210971, 0.9629629629629629, 0.9891304347826086, 0.9381443298969072, 0.965500736377025, 0.9704641350210971, 0.9629629629629629, 0.9891304347826086, 0.9381443298969072, 0.965500736377025, 0.9957805907172996, 0.9948717948717948, 0.9897959183673469, 1.0, 0.9964285714285714, 0.9704641350210971, 0.9629629629629629, 0.9891304347826086, 0.9381443298969072, 0.965500736377025, 19, 18, 12
0.95, 0.05, 0.95, 15, target_accuracy, 319, 288, 18, 0.9028213166144201, False, 0.9722222222222222, 0.972027972027972, 0.9858156028368794, 0.9586206896551724, 0.9723173378345792, 0.9722222222222222, 0.972027972027972, 0.9858156028368794, 0.9586206896551724, 0.9723173378345792, 0.9722222222222222, 0.972027972027972, 0.9858156028368794, 0.9586206896551724, 0.9723173378345792, 0.9791666666666666, 0.9788732394366197, 1.0, 0.9586206896551724, 0.9793103448275862, 0.9722222222222222, 0.972027972027972, 0.9858156028368794, 0.9586206896551724, 0.9723173378345792, 24, 16, 18
