chi_square_percent_point_function, scale_feature_coefficient, min_accuracy_coefficient, min_number_class_per_node, sorting_method, dataset_test_size, dataset_test_categorizable, number_of_rules, cobertura, recursive, ensemble_accuracy, ensemble_f1_score, ensemble_precision_score, ensemble_recall, ensemble_roc_auc_score, tree_accuracy, tree_f1_score, tree_precision_score, tree_recall_score, tree_roc_auc_score, RuleFit_accuracy, RuleFit_f1_score, RuleFit_precision_score, RuleFit_recall_score, RuleFit_roc_auc_score, RuleCOSI_accuracy, RuleCOSI_f1_score, RuleCOSI_precision_score, RuleCOSI_recall_score, RuleCOSI_roc_auc_score, rules_accuracy, rules_f1_score, rules_precision_score, rules_recall_score, rules_roc_auc_score, RuleFit_numrules, RuleCOSI_numrules, rules_numrules
0.95, 0.05, 0.95, 20, target_accuracy, 320, 247, 14, 0.771875, True, 0.9635627530364372, 0.9626556016597512, 0.928, 1.0, 0.9656488549618321, 0.9595141700404858, 0.9586776859504132, 0.9206349206349206, 1.0, 0.9618320610687022, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9959514170040485, 0.9957081545064378, 0.9914529914529915, 1.0, 0.9961832061068702, 1.0, 1.0, 1.0, 1.0, 1.0, 19, 22, 14
0.95, 0.05, 0.95, 20, target_accuracy, 320, 261, 17, 0.815625, True, 0.9693486590038314, 0.9705882352941176, 0.9428571428571428, 1.0, 0.9689922480620154, 0.9693486590038314, 0.9705882352941176, 0.9428571428571428, 1.0, 0.9689922480620154, 0.9923371647509579, 0.9923664122137404, 1.0, 0.9848484848484849, 0.9924242424242424, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9961685823754789, 0.9962264150943396, 0.9924812030075187, 1.0, 0.9961240310077519, 22, 18, 17
0.95, 0.05, 0.95, 20, target_accuracy, 320, 272, 17, 0.85, True, 0.9963235294117647, 0.9964412811387899, 1.0, 0.9929078014184397, 0.9964539007092199, 0.9963235294117647, 0.9964412811387899, 1.0, 0.9929078014184397, 0.9964539007092199, 0.9963235294117647, 0.9964412811387899, 1.0, 0.9929078014184397, 0.9964539007092199, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9963235294117647, 0.9964412811387899, 1.0, 0.9929078014184397, 0.9964539007092199, 23, 16, 17
0.95, 0.05, 0.95, 20, target_accuracy, 320, 269, 16, 0.840625, True, 0.9628252788104089, 0.9626865671641791, 0.9347826086956522, 0.9923076923076923, 0.9637797454344217, 0.9628252788104089, 0.9626865671641791, 0.9347826086956522, 0.9923076923076923, 0.9637797454344217, 0.9591078066914498, 0.9588014981273408, 0.9343065693430657, 0.9846153846153847, 0.9599335915882679, 0.9628252788104089, 0.9626865671641791, 0.9347826086956522, 0.9923076923076923, 0.9637797454344217, 0.9925650557620818, 0.9922480620155039, 1.0, 0.9846153846153847, 0.9923076923076923, 28, 13, 16
0.95, 0.05, 0.95, 20, target_accuracy, 320, 290, 16, 0.90625, True, 0.9689655172413794, 0.9700996677740864, 0.9864864864864865, 0.954248366013072, 0.9698249129335433, 0.9689655172413794, 0.9700996677740864, 0.9864864864864865, 0.954248366013072, 0.9698249129335433, 0.9689655172413794, 0.9700996677740864, 0.9864864864864865, 0.954248366013072, 0.9698249129335433, 0.993103448275862, 0.9935064935064934, 0.9870967741935484, 1.0, 0.9927007299270073, 0.9586206896551724, 0.9612903225806452, 0.9490445859872612, 0.9738562091503268, 0.9577310242831926, 23, 19, 16
0.95, 0.05, 0.95, 20, target_accuracy, 320, 270, 16, 0.84375, True, 0.9703703703703703, 0.9703703703703704, 0.9424460431654677, 1.0, 0.9712230215827339, 0.9703703703703703, 0.9703703703703704, 0.9424460431654677, 1.0, 0.9712230215827339, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 24, 13, 16
0.95, 0.05, 0.95, 20, target_accuracy, 319, 290, 17, 0.9090909090909091, True, 0.9689655172413794, 0.971608832807571, 0.9506172839506173, 0.9935483870967742, 0.9671445639187576, 0.9344827586206896, 0.9422492401215805, 0.8908045977011494, 1.0, 0.9296296296296297, 0.9689655172413794, 0.9710610932475885, 0.967948717948718, 0.9741935483870968, 0.9685782556750299, 0.9862068965517241, 0.9870967741935484, 0.9870967741935484, 0.9870967741935484, 0.9861409796893668, 0.9310344827586207, 0.9310344827586207, 1.0, 0.8709677419354839, 0.935483870967742, 28, 13, 17
0.95, 0.05, 0.95, 20, target_accuracy, 319, 274, 19, 0.8589341692789969, True, 0.9452554744525548, 0.9488054607508533, 0.9025974025974026, 1.0, 0.9444444444444444, 0.9452554744525548, 0.9488054607508533, 0.9025974025974026, 1.0, 0.9444444444444444, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9963503649635036, 0.996415770609319, 0.9928571428571429, 1.0, 0.9962962962962962, 1.0, 1.0, 1.0, 1.0, 1.0, 20, 18, 19
0.95, 0.05, 0.95, 20, target_accuracy, 319, 263, 13, 0.8244514106583072, True, 0.9885931558935361, 0.989090909090909, 1.0, 0.9784172661870504, 0.9892086330935252, 0.9885931558935361, 0.989090909090909, 1.0, 0.9784172661870504, 0.9892086330935252, 0.9885931558935361, 0.989090909090909, 1.0, 0.9784172661870504, 0.9892086330935252, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9885931558935361, 0.989090909090909, 1.0, 0.9784172661870504, 0.9892086330935252, 21, 22, 13
0.95, 0.05, 0.95, 20, target_accuracy, 319, 263, 17, 0.8244514106583072, True, 0.9543726235741445, 0.9568345323741008, 0.9172413793103448, 1.0, 0.9538461538461538, 0.9543726235741445, 0.9568345323741008, 0.9172413793103448, 1.0, 0.9538461538461538, 0.9923954372623575, 0.9924812030075187, 0.9924812030075187, 0.9924812030075187, 0.9923944476576055, 0.973384030418251, 0.9743589743589743, 0.95, 1.0, 0.9730769230769231, 0.9923954372623575, 0.9924812030075187, 0.9924812030075187, 0.9924812030075187, 0.9923944476576055, 23, 17, 17
