chi_square_percent_point_function, scale_feature_coefficient, min_accuracy_coefficient, min_number_class_per_node, sorting_method, dataset_test_size, dataset_test_categorizable, number_of_rules, cobertura, recursive, ensemble_accuracy, ensemble_f1_score, ensemble_precision_score, ensemble_recall, ensemble_roc_auc_score, tree_accuracy, tree_f1_score, tree_precision_score, tree_recall_score, tree_roc_auc_score, RuleFit_accuracy, RuleFit_f1_score, RuleFit_precision_score, RuleFit_recall_score, RuleFit_roc_auc_score, RuleCOSI_accuracy, RuleCOSI_f1_score, RuleCOSI_precision_score, RuleCOSI_recall_score, RuleCOSI_roc_auc_score, rules_accuracy, rules_f1_score, rules_precision_score, rules_recall_score, rules_roc_auc_score, RuleFit_numrules, RuleCOSI_numrules, rules_numrules
0.95, 0.05, 0.95, 10, target_accuracy, 320, 271, 15, 0.846875, False, 0.992619926199262, 0.9936305732484078, 1.0, 0.9873417721518988, 0.9936708860759493, 0.9372693726937269, 0.9476923076923077, 0.9221556886227545, 0.9746835443037974, 0.9298196482580934, 0.974169741697417, 0.9777777777777777, 0.9808917197452229, 0.9746835443037974, 0.9740674358687128, 0.992619926199262, 0.9936708860759493, 0.9936708860759493, 0.9936708860759493, 0.9924106642769127, 0.974169741697417, 0.9777777777777777, 0.9808917197452229, 0.9746835443037974, 0.9740674358687128, 20, 25, 15
0.95, 0.05, 0.95, 10, target_accuracy, 320, 217, 10, 0.678125, False, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9861751152073732, 0.9888475836431226, 1.0, 0.9779411764705882, 0.9889705882352942, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 15, 22, 10
0.95, 0.05, 0.95, 10, target_accuracy, 320, 243, 12, 0.759375, False, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9917695473251029, 0.9936708860759493, 0.9874213836477987, 1.0, 0.9883720930232558, 0.9917695473251029, 0.9936708860759493, 0.9874213836477987, 1.0, 0.9883720930232558, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9917695473251029, 0.9936708860759493, 0.9874213836477987, 1.0, 0.9883720930232558, 24, 28, 12
0.95, 0.05, 0.95, 10, target_accuracy, 320, 230, 6, 0.71875, False, 0.9956521739130435, 0.9961685823754789, 1.0, 0.9923664122137404, 0.9961832061068703, 0.9478260869565217, 0.9562043795620437, 0.916083916083916, 1.0, 0.9393939393939394, 0.9956521739130435, 0.9961685823754789, 1.0, 0.9923664122137404, 0.9961832061068703, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9956521739130435, 0.9961685823754789, 1.0, 0.9923664122137404, 0.9961832061068703, 18, 25, 6
0.95, 0.05, 0.95, 10, target_accuracy, 320, 244, 14, 0.7625, False, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9877049180327869, 0.9905362776025236, 0.98125, 1.0, 0.9827586206896552, 0.9877049180327869, 0.9905362776025236, 0.98125, 1.0, 0.9827586206896552, 0.9959016393442623, 0.9968253968253968, 0.9936708860759493, 1.0, 0.9942528735632185, 0.9959016393442623, 0.9968253968253968, 0.9936708860759493, 1.0, 0.9942528735632185, 23, 25, 14
0.95, 0.05, 0.95, 10, target_accuracy, 320, 279, 10, 0.871875, False, 1.0, 1.0, 1.0, 1.0, 1.0, 0.942652329749104, 0.9384615384615383, 0.9242424242424242, 0.953125, 0.943449917218543, 0.978494623655914, 0.976, 1.0, 0.953125, 0.9765625, 0.996415770609319, 0.9961089494163424, 0.9922480620155039, 1.0, 0.9966887417218543, 0.978494623655914, 0.976, 1.0, 0.953125, 0.9765625, 15, 24, 10
0.95, 0.05, 0.95, 10, target_accuracy, 319, 244, 10, 0.7648902821316614, False, 0.9959016393442623, 0.9966555183946488, 0.9933333333333333, 1.0, 0.9947368421052631, 0.9754098360655737, 0.9801324503311258, 0.9673202614379085, 0.9932885906040269, 0.9703285058283292, 0.9836065573770492, 0.9866666666666667, 0.9801324503311258, 0.9932885906040269, 0.9808548216178029, 0.9836065573770492, 0.9867549668874172, 0.9738562091503268, 1.0, 0.9789473684210526, 0.9754098360655737, 0.9801324503311258, 0.9673202614379085, 0.9932885906040269, 0.9703285058283292, 16, 20, 10
0.95, 0.05, 0.95, 10, target_accuracy, 319, 221, 10, 0.6927899686520376, False, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 26, 22, 10
0.95, 0.05, 0.95, 10, target_accuracy, 319, 253, 14, 0.7931034482758621, False, 0.9960474308300395, 0.9968652037617556, 0.99375, 1.0, 0.9946808510638299, 0.9683794466403162, 0.9754601226993864, 0.9520958083832335, 1.0, 0.9574468085106382, 0.9802371541501976, 0.984423676012461, 0.9753086419753086, 0.9937106918238994, 0.9755787501672689, 0.9920948616600791, 0.99375, 0.9875776397515528, 1.0, 0.9893617021276595, 0.9802371541501976, 0.984423676012461, 0.9753086419753086, 0.9937106918238994, 0.9755787501672689, 15, 30, 14
0.95, 0.05, 0.95, 10, target_accuracy, 319, 263, 10, 0.8244514106583072, False, 0.9923954372623575, 0.99375, 1.0, 0.9875776397515528, 0.9937888198757764, 0.9467680608365019, 0.9583333333333334, 0.92, 1.0, 0.9313725490196079, 0.9809885931558935, 0.9845201238390092, 0.9814814814814815, 0.9875776397515528, 0.9790829375228353, 0.9961977186311787, 0.9968847352024921, 1.0, 0.9937888198757764, 0.9968944099378882, 0.9923954372623575, 0.99375, 1.0, 0.9875776397515528, 0.9937888198757764, 22, 26, 10
