chi_square_percent_point_function, scale_feature_coefficient, min_accuracy_coefficient, min_number_class_per_node, sorting_method, dataset_test_size, dataset_test_categorizable, number_of_rules, cobertura, recursive, ensemble_accuracy, ensemble_f1_score, ensemble_precision_score, ensemble_recall, ensemble_roc_auc_score, tree_accuracy, tree_f1_score, tree_precision_score, tree_recall_score, tree_roc_auc_score, RuleFit_accuracy, RuleFit_f1_score, RuleFit_precision_score, RuleFit_recall_score, RuleFit_roc_auc_score, RuleCOSI_accuracy, RuleCOSI_f1_score, RuleCOSI_precision_score, RuleCOSI_recall_score, RuleCOSI_roc_auc_score, rules_accuracy, rules_f1_score, rules_precision_score, rules_recall_score, rules_roc_auc_score, RuleFit_numrules, RuleCOSI_numrules, rules_numrules
0.95, 0.05, 0.95, 5, target_accuracy, 320, 315, 23, 0.984375, True, 0.9936507936507937, 0.9938271604938271, 0.9938271604938271, 0.9938271604938271, 0.9936456063907044, 0.9301587301587302, 0.935672514619883, 0.8888888888888888, 0.9876543209876543, 0.9284676833696441, 0.9650793650793651, 0.9665653495440729, 0.9520958083832335, 0.9814814814814815, 0.9645969498910675, 0.9936507936507937, 0.9938271604938271, 0.9938271604938271, 0.9938271604938271, 0.9936456063907044, 0.9301587301587302, 0.935672514619883, 0.8888888888888888, 0.9876543209876543, 0.9284676833696441, 20, 28, 23
0.95, 0.05, 0.95, 5, target_accuracy, 320, 306, 25, 0.95625, True, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9803921568627451, 0.9818181818181818, 0.9642857142857143, 1.0, 0.9791666666666667, 0.9738562091503268, 0.9748427672955975, 0.9935897435897436, 0.9567901234567902, 0.9749228395061729, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9444444444444444, 0.9449838187702265, 0.9931972789115646, 0.9012345679012346, 0.9471450617283951, 26, 27, 25
0.95, 0.05, 0.95, 5, target_accuracy, 320, 308, 22, 0.9625, True, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9448051948051948, 0.9501466275659824, 0.9050279329608939, 1.0, 0.9417808219178082, 0.974025974025974, 0.9759036144578312, 0.9529411764705882, 1.0, 0.9726027397260274, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9090909090909091, 0.9072847682119205, 0.9785714285714285, 0.845679012345679, 0.9125655335700998, 23, 27, 22
0.95, 0.05, 0.95, 5, target_accuracy, 320, 302, 25, 0.94375, True, 0.9966887417218543, 0.9968253968253968, 0.9936708860759493, 1.0, 0.996551724137931, 0.9668874172185431, 0.9691358024691358, 0.9401197604790419, 1.0, 0.9655172413793103, 0.9867549668874173, 0.9873417721518988, 0.9811320754716981, 0.9936305732484076, 0.9864704590379968, 0.9966887417218543, 0.9968253968253968, 0.9936708860759493, 1.0, 0.996551724137931, 0.9238410596026491, 0.9220338983050848, 0.9855072463768116, 0.8662420382165605, 0.9262244673841423, 24, 25, 25
0.95, 0.05, 0.95, 5, target_accuracy, 320, 279, 20, 0.871875, True, 1.0, 1.0, 1.0, 1.0, 1.0, 0.989247311827957, 0.9907692307692307, 0.9817073170731707, 1.0, 0.9872881355932203, 0.978494623655914, 0.9811320754716981, 0.9936305732484076, 0.968944099378882, 0.9802347615538478, 1.0, 1.0, 1.0, 1.0, 1.0, 0.974910394265233, 0.9787234042553191, 0.9583333333333334, 1.0, 0.9703389830508475, 18, 25, 20
0.95, 0.05, 0.95, 5, target_accuracy, 320, 302, 25, 0.94375, True, 0.9966887417218543, 0.9968847352024921, 0.9937888198757764, 1.0, 0.9964788732394366, 0.9735099337748344, 0.975609756097561, 0.9523809523809523, 1.0, 0.9718309859154929, 0.9966887417218543, 0.9968652037617556, 1.0, 0.99375, 0.996875, 0.9966887417218543, 0.9968847352024921, 0.9937888198757764, 1.0, 0.9964788732394366, 0.9503311258278145, 0.952076677316294, 0.9738562091503268, 0.93125, 0.9515404929577466, 21, 29, 25
0.95, 0.05, 0.95, 5, target_accuracy, 319, 272, 18, 0.8526645768025078, True, 0.9926470588235294, 0.9934640522875817, 0.9934640522875817, 0.9934640522875817, 0.992530345471522, 0.9485294117647058, 0.9559748427672956, 0.9212121212121213, 0.9934640522875817, 0.942110177404295, 0.9926470588235294, 0.993421052631579, 1.0, 0.9869281045751634, 0.9934640522875817, 0.9926470588235294, 0.9934640522875817, 0.9934640522875817, 0.9934640522875817, 0.992530345471522, 0.9595588235294118, 0.9650793650793651, 0.9382716049382716, 0.9934640522875817, 0.9547152194211018, 17, 24, 18
0.95, 0.05, 0.95, 5, target_accuracy, 319, 312, 23, 0.9780564263322884, True, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9551282051282052, 0.9593023255813954, 0.9269662921348315, 0.9939759036144579, 0.9524674038620233, 0.9743589743589743, 0.9761904761904762, 0.9647058823529412, 0.9879518072289156, 0.9734279584089783, 0.9935897435897436, 0.9939759036144579, 0.9939759036144579, 0.9939759036144579, 0.9935632942729823, 0.9134615384615384, 0.9114754098360656, 1.0, 0.8373493975903614, 0.9186746987951807, 26, 24, 23
0.95, 0.05, 0.95, 5, target_accuracy, 319, 262, 17, 0.8213166144200627, True, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9236641221374046, 0.9319727891156463, 0.8726114649681529, 1.0, 0.9199999999999999, 0.9847328244274809, 0.9855072463768116, 0.9784172661870504, 0.9927007299270073, 0.9843503649635037, 0.9885496183206107, 0.9891696750902527, 0.9785714285714285, 1.0, 0.988, 0.9961832061068703, 0.9963369963369962, 1.0, 0.9927007299270073, 0.9963503649635037, 26, 22, 17
0.95, 0.05, 0.95, 5, target_accuracy, 319, 281, 19, 0.8808777429467085, True, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9857651245551602, 0.9878048780487805, 0.9818181818181818, 0.9938650306748467, 0.9842206509306437, 0.9750889679715302, 0.9784615384615385, 0.9814814814814815, 0.9754601226993865, 0.9750181969429136, 0.9928825622775801, 0.9938271604938271, 1.0, 0.9877300613496932, 0.9938650306748467, 0.9644128113879004, 0.970059880239521, 0.9473684210526315, 0.9938650306748467, 0.9587969221170843, 22, 19, 19
