chi_square_percent_point_function, scale_feature_coefficient, min_accuracy_coefficient, min_number_class_per_node, sorting_method, dataset_test_size, dataset_test_categorizable, number_of_rules, cobertura, recursive, ensemble_accuracy, ensemble_f1_score, ensemble_precision_score, ensemble_recall, ensemble_roc_auc_score, tree_accuracy, tree_f1_score, tree_precision_score, tree_recall_score, tree_roc_auc_score, RuleFit_accuracy, RuleFit_f1_score, RuleFit_precision_score, RuleFit_recall_score, RuleFit_roc_auc_score, RuleCOSI_accuracy, RuleCOSI_f1_score, RuleCOSI_precision_score, RuleCOSI_recall_score, RuleCOSI_roc_auc_score, rules_accuracy, rules_f1_score, rules_precision_score, rules_recall_score, rules_roc_auc_score, RuleFit_numrules, RuleCOSI_numrules, rules_numrules
0.95, 0.05, 0.95, 7, target_accuracy, 320, 192, 57, 0.6, False, 0.984375, 0.9859154929577464, 0.9813084112149533, 0.9905660377358491, 0.9836551118911803, 0.9322916666666666, 0.9406392694063926, 0.911504424778761, 0.9716981132075472, 0.9277095217200528, 0.96875, 0.9716981132075472, 0.9716981132075472, 0.9716981132075472, 0.9684071961386574, 0.6875, 0.6052631578947368, 1.0, 0.4339622641509434, 0.7169811320754718, 0.9791666666666666, 0.9813084112149533, 0.9722222222222222, 0.9905660377358491, 0.9778411584028083, 19, 2, 57
0.95, 0.05, 0.95, 7, target_accuracy, 320, 208, 63, 0.65, False, 0.9903846153846154, 0.9914529914529915, 0.9914529914529915, 0.9914529914529915, 0.9902319902319904, 0.9663461538461539, 0.9707112970711297, 0.9508196721311475, 0.9914529914529915, 0.9627594627594628, 0.9519230769230769, 0.9553571428571429, 1.0, 0.9145299145299145, 0.9572649572649572, 0.6538461538461539, 0.5555555555555556, 1.0, 0.38461538461538464, 0.6923076923076923, 0.9903846153846154, 0.9915254237288135, 0.9831932773109243, 1.0, 0.9890109890109889, 26, 2, 63
0.95, 0.05, 0.95, 7, target_accuracy, 320, 175, 60, 0.546875, False, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9657142857142857, 0.967741935483871, 0.9375, 1.0, 0.9647058823529412, 0.9885714285714285, 0.989010989010989, 0.9782608695652174, 1.0, 0.988235294117647, 0.7142857142857143, 0.6153846153846153, 1.0, 0.4444444444444444, 0.7222222222222222, 0.9942857142857143, 0.994475138121547, 0.989010989010989, 1.0, 0.9941176470588236, 22, 2, 60
0.95, 0.05, 0.95, 7, target_accuracy, 320, 158, 52, 0.49375, False, 0.9683544303797469, 0.9760765550239235, 0.9532710280373832, 1.0, 0.9553571428571428, 0.9113924050632911, 0.9357798165137614, 0.8793103448275862, 1.0, 0.875, 1.0, 1.0, 1.0, 1.0, 1.0, 0.4620253164556962, 0.2857142857142857, 1.0, 0.16666666666666666, 0.5833333333333334, 0.9810126582278481, 0.9852216748768472, 0.9900990099009901, 0.9803921568627451, 0.9812675070028011, 22, 2, 52
0.95, 0.05, 0.95, 7, target_accuracy, 320, 163, 64, 0.509375, False, 0.9754601226993865, 0.9743589743589743, 0.95, 1.0, 0.9770114942528736, 0.9447852760736196, 0.9440993788819877, 0.8941176470588236, 1.0, 0.9482758620689655, 0.9938650306748467, 0.9933774834437086, 1.0, 0.9868421052631579, 0.993421052631579, 0.7239263803680982, 0.5794392523364486, 1.0, 0.40789473684210525, 0.7039473684210527, 0.9938650306748467, 0.9933774834437086, 1.0, 0.9868421052631579, 0.993421052631579, 19, 2, 64
0.95, 0.05, 0.95, 7, target_accuracy, 320, 163, 53, 0.509375, False, 0.9815950920245399, 0.9870129870129869, 0.9743589743589743, 1.0, 0.9693877551020409, 0.9447852760736196, 0.9620253164556963, 0.926829268292683, 1.0, 0.9081632653061225, 0.9815950920245399, 0.9870129870129869, 0.9743589743589743, 1.0, 0.9693877551020409, 0.48466257668711654, 0.4166666666666667, 1.0, 0.2631578947368421, 0.631578947368421, 0.9938650306748467, 0.9956331877729258, 0.991304347826087, 1.0, 0.9897959183673469, 23, 2, 53
0.95, 0.05, 0.95, 7, target_accuracy, 319, 157, 54, 0.49216300940438873, False, 0.9936305732484076, 0.9946524064171123, 0.9893617021276596, 1.0, 0.9921875, 0.9490445859872612, 0.9583333333333333, 0.9292929292929293, 0.989247311827957, 0.9399361559139785, 0.9872611464968153, 0.989247311827957, 0.989247311827957, 0.989247311827957, 0.9868111559139785, 0.5668789808917197, 0.423728813559322, 1.0, 0.26881720430107525, 0.6344086021505376, 0.9936305732484076, 0.9946524064171123, 0.9893617021276596, 1.0, 0.9921875, 24, 2, 54
0.95, 0.05, 0.95, 7, target_accuracy, 319, 131, 42, 0.4106583072100313, False, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9618320610687023, 0.9732620320855615, 0.9479166666666666, 1.0, 0.9375, 0.9847328244274809, 0.9891304347826088, 0.978494623655914, 1.0, 0.975, 0.4198473282442748, 0.2830188679245283, 1.0, 0.16483516483516483, 0.5824175824175825, 1.0, 1.0, 1.0, 1.0, 1.0, 25, 2, 42
0.95, 0.05, 0.95, 7, target_accuracy, 319, 139, 45, 0.43573667711598746, False, 0.9568345323741008, 0.9629629629629629, 0.9512195121951219, 0.975, 0.9536016949152543, 0.9784172661870504, 0.9811320754716981, 0.9873417721518988, 0.975, 0.9790254237288136, 0.9784172661870504, 0.9811320754716981, 0.9873417721518988, 0.975, 0.9790254237288136, 0.6474820143884892, 0.5585585585585586, 1.0, 0.3875, 0.69375, 0.9640287769784173, 0.9681528662420381, 0.987012987012987, 0.95, 0.9665254237288136, 23, 2, 45
0.95, 0.05, 0.95, 7, target_accuracy, 319, 127, 45, 0.3981191222570533, False, 0.968503937007874, 0.975609756097561, 0.9876543209876543, 0.963855421686747, 0.9705640744797371, 0.9212598425196851, 0.9418604651162792, 0.9101123595505618, 0.9759036144578314, 0.8970427163198247, 0.9291338582677166, 0.9454545454545454, 0.9512195121951219, 0.9397590361445783, 0.9244249726177437, 0.4409448818897638, 0.25263157894736843, 1.0, 0.14457831325301204, 0.572289156626506, 0.984251968503937, 0.9878048780487805, 1.0, 0.9759036144578314, 0.9879518072289157, 23, 2, 45
