chi_square_percent_point_function, scale_feature_coefficient, min_accuracy_coefficient, min_number_class_per_node, sorting_method, dataset_test_size, dataset_test_categorizable, number_of_rules, cobertura, recursive, ensemble_accuracy, ensemble_f1_score, ensemble_precision_score, ensemble_recall, ensemble_roc_auc_score, tree_accuracy, tree_f1_score, tree_precision_score, tree_recall_score, tree_roc_auc_score, RuleFit_accuracy, RuleFit_f1_score, RuleFit_precision_score, RuleFit_recall_score, RuleFit_roc_auc_score, RuleCOSI_accuracy, RuleCOSI_f1_score, RuleCOSI_precision_score, RuleCOSI_recall_score, RuleCOSI_roc_auc_score, rules_accuracy, rules_f1_score, rules_precision_score, rules_recall_score, rules_roc_auc_score, RuleFit_numrules, RuleCOSI_numrules, rules_numrules
0.95, 0.05, 0.95, 25, target_accuracy, 320, 172, 21, 0.5375, True, 0.9767441860465116, 0.98, 0.98989898989899, 0.9702970297029703, 0.9781062613303584, 0.9883720930232558, 0.9901960784313726, 0.9805825242718447, 1.0, 0.9859154929577465, 0.9941860465116279, 0.9950248756218906, 1.0, 0.9900990099009901, 0.995049504950495, 0.563953488372093, 0.4094488188976378, 1.0, 0.25742574257425743, 0.6287128712871287, 0.8546511627906976, 0.8858447488584476, 0.8220338983050848, 0.9603960396039604, 0.8323106958583181, 20, 2, 21
0.95, 0.05, 0.95, 25, target_accuracy, 320, 149, 35, 0.465625, True, 0.9798657718120806, 0.9828571428571428, 0.9662921348314607, 1.0, 0.9761904761904762, 0.959731543624161, 0.9662921348314606, 0.9347826086956522, 1.0, 0.9523809523809523, 1.0, 1.0, 1.0, 1.0, 1.0, 0.6241610738255033, 0.5172413793103449, 1.0, 0.3488372093023256, 0.6744186046511628, 0.9530201342281879, 0.9608938547486032, 0.9247311827956989, 1.0, 0.9444444444444444, 24, 2, 35
0.95, 0.05, 0.95, 25, target_accuracy, 320, 178, 28, 0.55625, True, 0.9662921348314607, 0.9693877551020409, 0.9595959595959596, 0.979381443298969, 0.9649993636247932, 0.9438202247191011, 0.9509803921568627, 0.9065420560747663, 1.0, 0.9382716049382716, 0.9887640449438202, 0.9895833333333333, 1.0, 0.979381443298969, 0.9896907216494846, 0.6179775280898876, 0.4603174603174603, 1.0, 0.29896907216494845, 0.6494845360824743, 0.9662921348314607, 0.9693877551020409, 0.9595959595959596, 0.979381443298969, 0.9649993636247932, 24, 2, 28
0.95, 0.05, 0.95, 25, target_accuracy, 320, 140, 24, 0.4375, True, 0.9642857142857143, 0.9723756906077348, 0.9887640449438202, 0.9565217391304348, 0.9678442028985507, 0.9357142857142857, 0.9513513513513514, 0.946236559139785, 0.9565217391304348, 0.9261775362318841, 0.9642857142857143, 0.9720670391061452, 1.0, 0.9456521739130435, 0.9728260869565217, 0.5, 0.3859649122807018, 1.0, 0.2391304347826087, 0.6195652173913043, 0.9071428571428571, 0.9289617486338797, 0.9340659340659341, 0.9239130434782609, 0.8994565217391304, 17, 2, 24
0.95, 0.05, 0.95, 25, target_accuracy, 320, 204, 41, 0.6375, True, 0.9754901960784313, 0.9799196787148594, 0.9606299212598425, 1.0, 0.9695121951219512, 0.9607843137254902, 0.9682539682539683, 0.9384615384615385, 1.0, 0.951219512195122, 0.9901960784313726, 0.991869918699187, 0.9838709677419355, 1.0, 0.9878048780487805, 0.5784313725490197, 0.4556962025316456, 1.0, 0.29508196721311475, 0.6475409836065573, 0.9117647058823529, 0.9291338582677166, 0.8939393939393939, 0.9672131147540983, 0.8982407037185125, 25, 2, 41
0.95, 0.05, 0.95, 25, target_accuracy, 320, 179, 21, 0.559375, True, 0.9608938547486033, 0.9691629955947136, 0.9482758620689655, 0.990990990990991, 0.9513778484366721, 0.9217877094972067, 0.9401709401709402, 0.8943089430894309, 0.990990990990991, 0.8999072602013779, 0.9664804469273743, 0.9722222222222222, 1.0, 0.9459459459459459, 0.972972972972973, 0.5865921787709497, 0.5, 1.0, 0.3333333333333333, 0.6666666666666666, 0.9162011173184358, 0.935064935064935, 0.9, 0.972972972972973, 0.8982511923688394, 22, 2, 21
0.95, 0.05, 0.95, 25, target_accuracy, 319, 178, 24, 0.5579937304075235, True, 0.9887640449438202, 0.9909909909909909, 0.9821428571428571, 1.0, 0.9852941176470588, 0.9550561797752809, 0.9649122807017544, 0.9322033898305084, 1.0, 0.9411764705882353, 0.9831460674157303, 0.9865470852017937, 0.9734513274336283, 1.0, 0.9779411764705883, 0.46629213483146065, 0.24000000000000002, 1.0, 0.13636363636363635, 0.5681818181818181, 0.9662921348314607, 0.9724770642201834, 0.9814814814814815, 0.9636363636363636, 0.9671122994652406, 30, 2, 24
0.95, 0.05, 0.95, 25, target_accuracy, 319, 171, 26, 0.5360501567398119, True, 0.9941520467836257, 0.9947643979057591, 0.9895833333333334, 1.0, 0.9934210526315789, 0.9883040935672515, 0.9895833333333333, 0.979381443298969, 1.0, 0.986842105263158, 0.9941520467836257, 0.9947643979057591, 0.9895833333333334, 1.0, 0.9934210526315789, 0.6374269005847953, 0.515625, 1.0, 0.3473684210526316, 0.6736842105263158, 1.0, 1.0, 1.0, 1.0, 1.0, 19, 2, 26
0.95, 0.05, 0.95, 25, target_accuracy, 319, 257, 35, 0.8056426332288401, True, 0.9961089494163424, 0.9964912280701755, 1.0, 0.993006993006993, 0.9965034965034965, 0.9844357976653697, 0.9862068965517241, 0.9727891156462585, 1.0, 0.9824561403508771, 0.9961089494163424, 0.9965156794425087, 0.9930555555555556, 1.0, 0.9956140350877193, 0.6381322957198443, 0.5181347150259067, 1.0, 0.34965034965034963, 0.6748251748251748, 0.9182879377431906, 0.9263157894736843, 0.9295774647887324, 0.9230769230769231, 0.9176788124156545, 26, 2, 35
0.95, 0.05, 0.95, 25, target_accuracy, 319, 202, 28, 0.6332288401253918, True, 0.995049504950495, 0.9958847736625513, 0.9918032786885246, 1.0, 0.9938271604938271, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5792079207920792, 0.45859872611464975, 1.0, 0.2975206611570248, 0.6487603305785123, 0.9405940594059405, 0.952755905511811, 0.9097744360902256, 1.0, 0.9259259259259259, 18, 2, 28
