ensemble_criterion, chi_square_percent_point_function, scale_feature_coefficient, min_accuracy_coefficient, min_number_class_per_node, sorting_method, dataset_test_size, dataset_test_categorizable, number_of_rules, cobertura, ensemble_accuracy, ensemble_f1_score, ensemble_precision_score, ensemble_recall, ensemble_roc_auc_score, tree_accuracy, tree_f1_score, tree_precision_score, tree_recall_score, tree_roc_auc_score, RuleFit_accuracy, RuleFit_f1_score, RuleFit_precision_score, RuleFit_recall_score, RuleFit_roc_auc_score, RuleCOSI_accuracy, RuleCOSI_f1_score, RuleCOSI_precision_score, RuleCOSI_recall_score, RuleCOSI_roc_auc_score, rules_accuracy, rules_f1_score, rules_precision_score, rules_recall_score, rules_roc_auc_score
gini, 0.95, 0.05, 0.95, 5, target_accuracy, 320, 223, 63, 0.696875, 0.9865470852017937, 0.9879518072289156, 0.984, 0.9919354838709677, 0.9858667318344737, 0.9910313901345291, 0.9919354838709677, 0.9919354838709677, 0.9919354838709677, 0.9909172368849789, 0.9775784753363229, 0.9799196787148594, 0.976, 0.9838709677419355, 0.9767839687194526, 0.6547085201793722, 0.5497076023391814, 1.0, 0.3790322580645161, 0.689516129032258, 0.9865470852017937, 0.9879518072289156, 0.984, 0.9919354838709677, 0.9858667318344737
gini, 0.95, 0.05, 0.95, 10, target_accuracy, 320, 195, 42, 0.609375, 0.9897435897435898, 0.9901960784313726, 0.9805825242718447, 1.0, 0.9893617021276595, 0.9948717948717949, 0.9950738916256158, 0.9901960784313726, 1.0, 0.9946808510638299, 0.9846153846153847, 0.9853658536585366, 0.9711538461538461, 1.0, 0.9840425531914894, 0.7025641025641025, 0.5972222222222222, 1.0, 0.42574257425742573, 0.7128712871287128, 0.9897435897435898, 0.9901960784313726, 0.9805825242718447, 1.0, 0.9893617021276595
gini, 0.95, 0.05, 0.95, 20, target_accuracy, 320, 160, 24, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.6625, 0.5573770491803279, 1.0, 0.38636363636363635, 0.6931818181818181, 0.99375, 0.9943502824858756, 0.9887640449438202, 1.0, 0.9930555555555556
gini, 0.95, 0.05, 0.95, 25, target_accuracy, 320, 155, 22, 0.484375, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.6516129032258065, 0.5573770491803279, 1.0, 0.38636363636363635, 0.6931818181818181, 0.9935483870967742, 0.9943502824858756, 0.9887640449438202, 1.0, 0.9925373134328358
gini, 0.95, 0.05, 0.95, 30, target_accuracy, 320, 147, 18, 0.459375, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.673469387755102, 0.5862068965517241, 1.0, 0.4146341463414634, 0.7073170731707317, 1.0, 1.0, 1.0, 1.0, 1.0
gini, 0.95, 0.05, 0.95, 50, target_accuracy, 320, 105, 11, 0.328125, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8, 0.7640449438202247, 1.0, 0.6181818181818182, 0.8090909090909091, 1.0, 1.0, 1.0, 1.0, 1.0
gini, 0.95, 0.05, 0.95, 5, target_accuracy, 320, 240, 69, 0.75, 0.9666666666666667, 0.9685039370078741, 0.9534883720930233, 0.984, 0.9659130434782608, 0.9958333333333333, 0.9960159362549801, 0.9920634920634921, 1.0, 0.9956521739130435, 0.9666666666666667, 0.9682539682539683, 0.9606299212598425, 0.976, 0.9662608695652174, 0.7333333333333333, 0.6559139784946236, 1.0, 0.488, 0.744, 0.9833333333333333, 0.983739837398374, 1.0, 0.968, 0.984
gini, 0.95, 0.05, 0.95, 10, target_accuracy, 320, 209, 32, 0.653125, 0.9617224880382775, 0.9622641509433962, 0.9444444444444444, 0.9807692307692307, 0.9618131868131868, 0.9952153110047847, 0.9952153110047847, 0.9904761904761905, 1.0, 0.9952380952380953, 0.9712918660287081, 0.9716981132075472, 0.9537037037037037, 0.9903846153846154, 0.9713827838827839, 0.7511961722488039, 0.6666666666666666, 1.0, 0.5, 0.75, 0.9808612440191388, 0.9803921568627451, 1.0, 0.9615384615384616, 0.9807692307692308
gini, 0.95, 0.05, 0.95, 20, target_accuracy, 320, 163, 18, 0.509375, 0.9754601226993865, 0.9775280898876404, 0.9666666666666667, 0.9886363636363636, 0.9743181818181819, 0.9938650306748467, 0.9943502824858756, 0.9887640449438202, 1.0, 0.9933333333333334, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7300613496932515, 0.6666666666666666, 1.0, 0.5, 0.75, 0.9877300613496932, 0.9885057471264368, 1.0, 0.9772727272727273, 0.9886363636363636
gini, 0.95, 0.05, 0.95, 25, target_accuracy, 320, 163, 18, 0.509375, 0.9754601226993865, 0.9775280898876404, 0.9666666666666667, 0.9886363636363636, 0.9743181818181819, 0.9938650306748467, 0.9943502824858756, 0.9887640449438202, 1.0, 0.9933333333333334, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7300613496932515, 0.6666666666666666, 1.0, 0.5, 0.75, 0.9877300613496932, 0.9885057471264368, 1.0, 0.9772727272727273, 0.9886363636363636
gini, 0.95, 0.05, 0.95, 30, target_accuracy, 320, 151, 16, 0.471875, 0.9735099337748344, 0.9770114942528736, 0.9659090909090909, 0.9883720930232558, 0.9711091234347047, 0.9933774834437086, 0.9942196531791908, 0.9885057471264368, 1.0, 0.9923076923076923, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7086092715231788, 0.65625, 1.0, 0.4883720930232558, 0.7441860465116279, 1.0, 1.0, 1.0, 1.0, 1.0
gini, 0.95, 0.05, 0.95, 50, target_accuracy, 320, 146, 13, 0.45625, 0.9726027397260274, 0.9761904761904762, 0.9647058823529412, 0.9879518072289156, 0.9701663798049339, 0.9931506849315068, 0.9940119760479043, 0.9880952380952381, 1.0, 0.9920634920634921, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7191780821917808, 0.6719999999999999, 1.0, 0.5060240963855421, 0.7530120481927711, 1.0, 1.0, 1.0, 1.0, 1.0
