ensemble_criterion, chi_square_percent_point_function, scale_feature_coefficient, min_accuracy_coefficient, min_number_class_per_node, sorting_method, dataset_test_size, dataset_test_categorizable, number_of_rules, cobertura, ensemble_accuracy, ensemble_f1_score, ensemble_precision_score, ensemble_recall, ensemble_roc_auc_score, tree_accuracy, tree_f1_score, tree_precision_score, tree_recall_score, tree_roc_auc_score, RuleFit_accuracy, RuleFit_f1_score, RuleFit_precision_score, RuleFit_recall_score, RuleFit_roc_auc_score, RuleCOSI_accuracy, RuleCOSI_f1_score, RuleCOSI_precision_score, RuleCOSI_recall_score, RuleCOSI_roc_auc_score, rules_accuracy, rules_f1_score, rules_precision_score, rules_recall_score, rules_roc_auc_score
gini, 0.95, 0.05, 0.95, 5, target_accuracy, 320, 304, 92, 0.95, 0.9835526315789473, 0.9848024316109422, 0.9878048780487805, 0.9818181818181818, 0.9837148463047745, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9835526315789473, 0.9847094801223242, 0.9938271604938271, 0.9757575757575757, 0.9842816655766295, 0.680921052631579, 0.5836909871244635, 1.0, 0.4121212121212121, 0.706060606060606, 0.930921052631579, 0.9391304347826087, 0.9, 0.9818181818181818, 0.9261608894702421
gini, 0.95, 0.05, 0.95, 10, target_accuracy, 320, 299, 28, 0.934375, 0.9899665551839465, 0.9908814589665653, 0.9939024390243902, 0.9878787878787879, 0.9902080506558117, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9832775919732442, 0.9847094801223242, 0.9938271604938271, 0.9757575757575757, 0.9841474445952056, 0.6789297658862876, 0.5897435897435896, 1.0, 0.41818181818181815, 0.7090909090909091, 0.9899665551839465, 0.9908814589665653, 0.9939024390243902, 0.9878787878787879, 0.9902080506558117
gini, 0.95, 0.05, 0.95, 20, target_accuracy, 320, 230, 35, 0.71875, 0.9956521739130435, 0.9961089494163424, 0.9922480620155039, 1.0, 0.9950980392156863, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9956521739130435, 0.996078431372549, 1.0, 0.9921875, 0.99609375, 0.7260869565217392, 0.6735751295336787, 1.0, 0.5078125, 0.75390625, 0.9739130434782609, 0.9767441860465116, 0.9692307692307692, 0.984375, 0.9725796568627452
gini, 0.95, 0.05, 0.95, 25, target_accuracy, 320, 223, 28, 0.696875, 0.9865470852017937, 0.9865470852017937, 0.990990990990991, 0.9821428571428571, 0.9865669240669241, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9955156950672646, 0.9955156950672646, 1.0, 0.9910714285714286, 0.9955357142857143, 0.7040358744394619, 0.5822784810126582, 1.0, 0.4107142857142857, 0.7053571428571428, 0.9820627802690582, 0.9818181818181818, 1.0, 0.9642857142857143, 0.9821428571428572
gini, 0.95, 0.05, 0.95, 30, target_accuracy, 320, 200, 21, 0.625, 0.99, 0.991304347826087, 0.991304347826087, 0.991304347826087, 0.989769820971867, 1.0, 1.0, 1.0, 1.0, 1.0, 0.995, 0.9956331877729258, 1.0, 0.991304347826087, 0.9956521739130435, 0.62, 0.5064935064935064, 1.0, 0.3391304347826087, 0.6695652173913044, 0.985, 0.9868995633187774, 0.9912280701754386, 0.9826086956521739, 0.9854219948849107
gini, 0.95, 0.05, 0.95, 50, target_accuracy, 320, 154, 13, 0.48125, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7987012987012987, 0.7737226277372262, 1.0, 0.6309523809523809, 0.8154761904761905, 0.9805194805194806, 0.9818181818181818, 1.0, 0.9642857142857143, 0.9821428571428572
gini, 0.95, 0.05, 0.95, 5, target_accuracy, 320, 272, 87, 0.85, 0.9779411764705882, 0.9781021897810218, 0.9640287769784173, 0.9925925925925926, 0.9780481211138145, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9779411764705882, 0.9777777777777777, 0.9777777777777777, 0.9777777777777777, 0.9779399837794, 0.6801470588235294, 0.5245901639344263, 1.0, 0.35555555555555557, 0.6777777777777778, 0.9852941176470589, 0.9851851851851852, 0.9851851851851852, 0.9851851851851852, 0.9852933225195999
gini, 0.95, 0.05, 0.95, 10, target_accuracy, 320, 277, 54, 0.865625, 0.9819494584837545, 0.983050847457627, 0.9731543624161074, 0.9931506849315068, 0.9813081668932343, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9819494584837545, 0.9825783972125435, 1.0, 0.9657534246575342, 0.9828767123287672, 0.6570397111913358, 0.5177664974619289, 1.0, 0.3493150684931507, 0.6746575342465754, 0.9963898916967509, 0.9965635738831615, 1.0, 0.9931506849315068, 0.9965753424657534
gini, 0.95, 0.05, 0.95, 20, target_accuracy, 320, 163, 36, 0.509375, 0.9815950920245399, 0.9846153846153847, 0.9795918367346939, 0.9896907216494846, 0.9796938456732271, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9754601226993865, 0.9791666666666666, 0.9894736842105263, 0.9690721649484536, 0.9769603248984693, 0.5030674846625767, 0.2831858407079646, 1.0, 0.16494845360824742, 0.5824742268041238, 0.9754601226993865, 0.9789473684210526, 1.0, 0.9587628865979382, 0.9793814432989691
gini, 0.95, 0.05, 0.95, 25, target_accuracy, 320, 192, 35, 0.6, 0.984375, 0.9884169884169884, 0.9846153846153847, 0.9922480620155039, 0.9802510151347361, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9739583333333334, 0.980544747081712, 0.984375, 0.9767441860465116, 0.97249907715024, 0.5416666666666666, 0.48235294117647054, 1.0, 0.3178294573643411, 0.6589147286821706, 0.96875, 0.9772727272727273, 0.9555555555555556, 1.0, 0.9523809523809523
