ensemble_criterion, chi_square_percent_point_function, scale_feature_coefficient, min_accuracy_coefficient, min_number_class_per_node, sorting_method, dataset_test_size, dataset_test_categorizable, number_of_rules, cobertura, ensemble_accuracy, ensemble_f1_score, ensemble_precision_score, ensemble_recall, ensemble_roc_auc_score, tree_accuracy, tree_f1_score, tree_precision_score, tree_recall_score, tree_roc_auc_score, RuleFit_accuracy, RuleFit_f1_score, RuleFit_precision_score, RuleFit_recall_score, RuleFit_roc_auc_score, RuleCOSI_accuracy, RuleCOSI_f1_score, RuleCOSI_precision_score, RuleCOSI_recall_score, RuleCOSI_roc_auc_score, rules_accuracy, rules_f1_score, rules_precision_score, rules_recall_score, rules_roc_auc_score
gini, 0.95, 0.05, 0.95, 5, target_accuracy, 320, 290, 15, 0.90625, 1.0, 1.0, 1.0, 1.0, 1.0, 0.996551724137931, 0.9969040247678018, 1.0, 0.9938271604938271, 0.9969135802469136, 0.9655172413793104, 0.9691358024691359, 0.9691358024691358, 0.9691358024691358, 0.9650366512345678, 0.9896551724137931, 0.9908256880733944, 0.9818181818181818, 1.0, 0.98828125, 0.9862068965517241, 0.9878048780487805, 0.9759036144578314, 1.0, 0.984375
gini, 0.95, 0.05, 0.95, 10, target_accuracy, 320, 291, 25, 0.909375, 0.9862542955326461, 0.9875, 1.0, 0.9753086419753086, 0.9876543209876543, 0.9965635738831615, 0.9969040247678018, 1.0, 0.9938271604938271, 0.9969135802469136, 0.9656357388316151, 0.9691358024691359, 0.9691358024691358, 0.9691358024691358, 0.9651880562733276, 0.979381443298969, 0.9818181818181818, 0.9642857142857143, 1.0, 0.9767441860465117, 0.9587628865979382, 0.9631901840490797, 0.9573170731707317, 0.9691358024691358, 0.9574361182888314
gini, 0.95, 0.05, 0.95, 20, target_accuracy, 320, 280, 20, 0.875, 0.975, 0.9781931464174456, 0.9874213836477987, 0.9691358024691358, 0.9760933249633814, 0.9964285714285714, 0.9969040247678018, 1.0, 0.9938271604938271, 0.9969135802469136, 0.9571428571428572, 0.9631901840490797, 0.9573170731707317, 0.9691358024691358, 0.9549068842854154, 0.9678571428571429, 0.972972972972973, 0.9473684210526315, 1.0, 0.961864406779661, 0.9, 0.92, 0.8563829787234043, 0.9938271604938271, 0.8825068005858966
gini, 0.95, 0.05, 0.95, 25, target_accuracy, 320, 303, 15, 0.946875, 0.9834983498349835, 0.9837133550488599, 1.0, 0.967948717948718, 0.983974358974359, 0.9966996699669967, 0.9967845659163987, 1.0, 0.9935897435897436, 0.9967948717948718, 0.966996699669967, 0.9679487179487178, 0.967948717948718, 0.967948717948718, 0.9669675562532706, 0.976897689768977, 0.9780564263322884, 0.9570552147239264, 1.0, 0.9761904761904762, 0.9603960396039604, 0.9615384615384616, 0.9615384615384616, 0.9615384615384616, 0.9603610675039246
gini, 0.95, 0.05, 0.95, 30, target_accuracy, 320, 271, 14, 0.846875, 1.0, 1.0, 1.0, 1.0, 1.0, 0.996309963099631, 0.9966777408637874, 1.0, 0.9933774834437086, 0.9966887417218543, 0.981549815498155, 0.9837133550488599, 0.967948717948718, 1.0, 0.9791666666666667, 0.988929889298893, 0.9901639344262295, 0.9805194805194806, 1.0, 0.9874999999999999, 0.974169741697417, 0.977198697068404, 0.9615384615384616, 0.9933774834437086, 0.9716887417218542
gini, 0.95, 0.05, 0.95, 50, target_accuracy, 320, 223, 10, 0.696875, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9955156950672646, 0.996078431372549, 1.0, 0.9921875, 0.99609375, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
gini, 0.95, 0.05, 0.95, 5, target_accuracy, 320, 306, 19, 0.95625, 0.9901960784313726, 0.9907120743034055, 0.9815950920245399, 1.0, 0.9897260273972603, 0.9967320261437909, 0.9968847352024921, 0.9937888198757764, 1.0, 0.9965753424657534, 0.9901960784313726, 0.9907120743034055, 0.9815950920245399, 1.0, 0.9897260273972603, 0.9575163398692811, 0.960960960960961, 0.9248554913294798, 1.0, 0.9554794520547945, 0.9836601307189542, 0.9846153846153847, 0.9696969696969697, 1.0, 0.982876712328767
gini, 0.95, 0.05, 0.95, 10, target_accuracy, 320, 200, 19, 0.625, 0.995, 0.9944134078212291, 0.9888888888888889, 1.0, 0.9954954954954954, 0.985, 0.9832402234636872, 0.9777777777777777, 0.9887640449438202, 0.9853730134629011, 0.995, 0.9943502824858756, 1.0, 0.9887640449438202, 0.9943820224719101, 0.95, 0.9468085106382979, 0.898989898989899, 1.0, 0.954954954954955, 0.99, 0.9886363636363636, 1.0, 0.9775280898876404, 0.9887640449438202
gini, 0.95, 0.05, 0.95, 20, target_accuracy, 320, 0, 0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0
gini, 0.95, 0.05, 0.95, 25, target_accuracy, 320, 295, 16, 0.921875, 0.9932203389830508, 0.9936708860759493, 0.9874213836477987, 1.0, 0.9927536231884059, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9898305084745763, 0.9905362776025236, 0.98125, 1.0, 0.9891304347826088, 0.9830508474576272, 0.9843260188087775, 0.9691358024691358, 1.0, 0.9818840579710144, 0.9864406779661017, 0.9874213836477987, 0.9751552795031055, 1.0, 0.9855072463768115
gini, 0.95, 0.05, 0.95, 30, target_accuracy, 320, 299, 15, 0.934375, 0.9732441471571907, 0.9751552795031055, 0.9874213836477987, 0.9631901840490797, 0.9742421508480693, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9698996655518395, 0.9721362229102166, 0.98125, 0.9631901840490797, 0.970565680259834, 0.9632107023411371, 0.966153846153846, 0.9691358024691358, 0.9631901840490797, 0.9632127390833635, 0.9632107023411371, 0.966153846153846, 0.9691358024691358, 0.9631901840490797, 0.9632127390833635
