ensemble_criterion, chi_square_percent_point_function, scale_feature_coefficient, min_accuracy_coefficient, min_number_class_per_node, sorting_method, dataset_test_size, dataset_test_categorizable, number_of_rules, cobertura, ensemble_accuracy, ensemble_f1_score, ensemble_precision_score, ensemble_recall, ensemble_roc_auc_score, tree_accuracy, tree_f1_score, tree_precision_score, tree_recall_score, tree_roc_auc_score, RuleFit_accuracy, RuleFit_f1_score, RuleFit_precision_score, RuleFit_recall_score, RuleFit_roc_auc_score, RuleCOSI_accuracy, RuleCOSI_f1_score, RuleCOSI_precision_score, RuleCOSI_recall_score, RuleCOSI_roc_auc_score, rules_accuracy, rules_f1_score, rules_precision_score, rules_recall_score, rules_roc_auc_score
gini, 0.95, 0.05, 0.95, 5, target_accuracy, 320, 298, 25, 0.93125, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9966442953020134, 0.9968847352024921, 0.9937888198757764, 1.0, 0.9963768115942029, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9865771812080537, 0.9876543209876543, 0.975609756097561, 1.0, 0.9855072463768115
gini, 0.95, 0.05, 0.95, 10, target_accuracy, 320, 297, 22, 0.928125, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9966329966329966, 0.9968847352024921, 0.9937888198757764, 1.0, 0.9963503649635037, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9865319865319865, 0.9876543209876543, 0.975609756097561, 1.0, 0.9854014598540146
gini, 0.95, 0.05, 0.95, 20, target_accuracy, 320, 277, 16, 0.865625, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9963898916967509, 0.9968847352024921, 0.9937888198757764, 1.0, 0.9957264957264957, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9855595667870036, 0.9876543209876543, 0.975609756097561, 1.0, 0.982905982905983
gini, 0.95, 0.05, 0.95, 25, target_accuracy, 320, 270, 14, 0.84375, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9962962962962963, 0.9968847352024921, 0.9937888198757764, 1.0, 0.9954545454545455, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9851851851851852, 0.9876543209876543, 0.975609756097561, 1.0, 0.9818181818181818
gini, 0.95, 0.05, 0.95, 30, target_accuracy, 320, 266, 13, 0.83125, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9962406015037594, 0.9968847352024921, 0.9937888198757764, 1.0, 0.9952830188679246, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9849624060150376, 0.9876543209876543, 0.975609756097561, 1.0, 0.9811320754716981
gini, 0.95, 0.05, 0.95, 50, target_accuracy, 320, 255, 11, 0.796875, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.996078431372549, 0.9968847352024921, 0.9937888198757764, 1.0, 0.9947368421052631, 1.0, 1.0, 1.0, 1.0, 1.0, 0.984313725490196, 0.9876543209876543, 0.975609756097561, 1.0, 0.9789473684210526
gini, 0.95, 0.05, 0.95, 5, target_accuracy, 320, 278, 29, 0.86875, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9676258992805755, 0.9716088328075709, 0.9685534591194969, 0.9746835443037974, 0.9665084388185653, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9856115107913669, 0.9875, 0.9753086419753086, 1.0, 0.9833333333333334
gini, 0.95, 0.05, 0.95, 10, target_accuracy, 320, 271, 22, 0.846875, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.981549815498155, 0.9840255591054313, 0.9685534591194969, 1.0, 0.9786324786324787, 1.0, 1.0, 1.0, 1.0, 1.0, 0.981549815498155, 0.9840255591054313, 0.9685534591194969, 1.0, 0.9786324786324787
gini, 0.95, 0.05, 0.95, 20, target_accuracy, 320, 254, 16, 0.79375, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9803149606299213, 0.9840255591054313, 0.9685534591194969, 1.0, 0.975, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9803149606299213, 0.9840255591054313, 0.9685534591194969, 1.0, 0.975
gini, 0.95, 0.05, 0.95, 25, target_accuracy, 320, 244, 13, 0.7625, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9795081967213115, 0.9834983498349835, 0.9675324675324676, 1.0, 0.9736842105263158, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9795081967213115, 0.9834983498349835, 0.9675324675324676, 1.0, 0.9736842105263158
