ensemble_criterion, chi_square_percent_point_function, scale_feature_coefficient, min_accuracy_coefficient, min_number_class_per_node, sorting_method, dataset_test_size, dataset_test_categorizable, number_of_rules, cobertura, ensemble_accuracy, ensemble_f1_score, ensemble_precision_score, ensemble_recall, ensemble_roc_auc_score, tree_accuracy, tree_f1_score, tree_precision_score, tree_recall_score, tree_roc_auc_score, RuleFit_accuracy, RuleFit_f1_score, RuleFit_precision_score, RuleFit_recall_score, RuleFit_roc_auc_score, RuleCOSI_accuracy, RuleCOSI_f1_score, RuleCOSI_precision_score, RuleCOSI_recall_score, RuleCOSI_roc_auc_score, rules_accuracy, rules_f1_score, rules_precision_score, rules_recall_score, rules_roc_auc_score
gini, 0.95, 0.05, 0.95, 5, target_accuracy, 320, 318, 32, 0.99375, 0.9937106918238994, 0.9940119760479043, 0.9880952380952381, 1.0, 0.9934210526315789, 0.9968553459119497, 0.9969788519637462, 1.0, 0.9939759036144579, 0.9969879518072289, 0.9591194968553459, 0.9607250755287009, 0.9636363636363636, 0.9578313253012049, 0.9591788205453392, 0.9937106918238994, 0.9940119760479043, 0.9880952380952381, 1.0, 0.9934210526315789, 0.9748427672955975, 0.9754601226993865, 0.99375, 0.9578313253012049, 0.9756261889663919
gini, 0.95, 0.05, 0.95, 10, target_accuracy, 320, 304, 31, 0.95, 0.9967105263157895, 0.9968847352024921, 0.9937888198757764, 1.0, 0.9965277777777778, 0.9967105263157895, 0.9968652037617556, 1.0, 0.99375, 0.996875, 0.9769736842105263, 0.9784615384615384, 0.9636363636363636, 0.99375, 0.9760416666666667, 0.9967105263157895, 0.9968847352024921, 0.9937888198757764, 1.0, 0.9965277777777778, 0.9736842105263158, 0.975609756097561, 0.9523809523809523, 1.0, 0.9722222222222222
gini, 0.95, 0.05, 0.95, 20, target_accuracy, 320, 284, 19, 0.8875, 0.9964788732394366, 0.9967426710097721, 0.9935064935064936, 1.0, 0.9961832061068702, 0.9964788732394366, 0.9967213114754099, 1.0, 0.9934640522875817, 0.9967320261437909, 0.9788732394366197, 0.9807692307692307, 0.9622641509433962, 1.0, 0.9770992366412214, 0.9964788732394366, 0.9967426710097721, 0.9935064935064936, 1.0, 0.9961832061068702, 0.9788732394366197, 0.9807692307692307, 0.9622641509433962, 1.0, 0.9770992366412214
gini, 0.95, 0.05, 0.95, 25, target_accuracy, 320, 258, 21, 0.80625, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
gini, 0.95, 0.05, 0.95, 30, target_accuracy, 320, 246, 13, 0.76875, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.983739837398374, 0.9858156028368793, 0.972027972027972, 1.0, 0.9813084112149533
gini, 0.95, 0.05, 0.95, 50, target_accuracy, 320, 234, 10, 0.73125, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
gini, 0.95, 0.05, 0.95, 5, target_accuracy, 320, 301, 37, 0.940625, 0.9966777408637874, 0.9969040247678018, 0.9938271604938271, 1.0, 0.9964285714285714, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9767441860465116, 0.9781931464174455, 0.98125, 0.9751552795031055, 0.9768633540372671, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
gini, 0.95, 0.05, 0.95, 10, target_accuracy, 320, 268, 39, 0.8375, 0.996268656716418, 0.9961977186311787, 0.9924242424242424, 1.0, 0.9963503649635037, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9776119402985075, 0.9765625, 1.0, 0.9541984732824428, 0.9770992366412214, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9776119402985075, 0.9769230769230769, 0.9844961240310077, 0.9694656488549618, 0.9774335543544883
gini, 0.95, 0.05, 0.95, 20, target_accuracy, 320, 241, 16, 0.753125, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
gini, 0.95, 0.05, 0.95, 25, target_accuracy, 320, 304, 19, 0.95, 0.9868421052631579, 0.9878787878787879, 0.9760479041916168, 1.0, 0.9858156028368794, 0.9967105263157895, 0.9969418960244648, 0.9939024390243902, 1.0, 0.9964539007092198, 0.9769736842105263, 0.9784615384615385, 0.9814814814814815, 0.9754601226993865, 0.9770917634773529, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9835526315789473, 0.984894259818731, 0.9702380952380952, 1.0, 0.9822695035460992
