filename, Recursive, Method, Dataset, Coverage, DT F1, DT vs SR ttest F1, Ensemble F1, Ensemble vs SR p-value F1, RFIT F1, RFIT vs SR p-value F1, RFIT \# rl. num., RC vs SR p-value \# rl. num., RC F1, RC vs SR ttest F1, RC \# rl. num., RC vs SR p-value \# rl. num., SR F1, SR \# rl. num., SR F1 x coverage 
../../Results/battery_kr-vs-kp_<class 'catboost.core.CatBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns5_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'catboost.core.CatBoostClassifier'>, kr-vs-kp, 45.15±2.16, 99.82±0.43, 1.0, 57.62±3.99, <0.0001, 99.82±0.43, 1.0, 21.73±3.08, <0.0001, 91.1±3.81, <0.0001, 3.6±0.5, <0.0001, 99.82±0.43, 2.97±0.32, 45.07±0.01
../../Results/battery_kr-vs-kp_<class 'catboost.core.CatBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns7_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'catboost.core.CatBoostClassifier'>, kr-vs-kp, 49.3±9.34, 99.41±1.28, 1.0, 59.51±6.79, <0.0001, 99.44±1.28, 0.9424, 21.97±2.61, <0.0001, 91.94±3.74, <0.0001, 3.77±0.43, 0.0002, 99.41±1.28, 3.17±0.7, 49.01±0.12
../../Results/battery_kr-vs-kp_<class 'catboost.core.CatBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns10_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'catboost.core.CatBoostClassifier'>, kr-vs-kp, 47.53±7.84, 99.74±0.42, 1.0, 60.04±6.68, <0.0001, 99.74±0.42, 1.0, 21.63±3.36, <0.0001, 92.3±3.82, <0.0001, 3.77±0.43, <0.0001, 99.74±0.42, 3±0.37, 47.4±0.03
../../Results/battery_kr-vs-kp_<class 'catboost.core.CatBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns15_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'catboost.core.CatBoostClassifier'>, kr-vs-kp, 48.96±9.99, 99.48±1.44, 0.3728, 60.93±7.32, <0.0001, 99.76±0.5, 0.806, 21.67±3.19, <0.0001, 92.43±4.11, <0.0001, 3.77±0.43, <0.0001, 99.73±0.55, 3.03±0.49, 48.83±0.05
../../Results/battery_kr-vs-kp_<class 'catboost.core.CatBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns20_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'catboost.core.CatBoostClassifier'>, kr-vs-kp, 45.98±6.38, 99.77±0.47, 1.0, 59.24±5.82, <0.0001, 99.77±0.47, 1.0, 22.33±2.84, <0.0001, 92.83±4.51, <0.0001, 3.73±0.45, <0.0001, 99.77±0.47, 2.9±0.61, 45.88±0.03
../../Results/battery_kr-vs-kp_<class 'catboost.core.CatBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns25_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'catboost.core.CatBoostClassifier'>, kr-vs-kp, 48.96±9.65, 99.41±1.24, 1.0, 59.96±6.75, <0.0001, 99.41±1.24, 0.9983, 20.93±2.74, <0.0001, 92.03±3.98, <0.0001, 3.63±0.49, 0.0011, 99.41±1.24, 3.13±0.63, 48.68±0.12
../../Results/battery_kr-vs-kp_<class 'catboost.core.CatBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns35_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'catboost.core.CatBoostClassifier'>, kr-vs-kp, 49.27±11.0, 99.49±1.2, 1.0, 60.86±7.39, <0.0001, 99.5±1.19, 0.9695, 21.8±2.98, <0.0001, 93.11±4.12, <0.0001, 3.63±0.49, 0.0364, 99.49±1.2, 3.23±0.9, 49.02±0.13
../../Results/battery_kr-vs-kp_<class 'catboost.core.CatBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns50_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'catboost.core.CatBoostClassifier'>, kr-vs-kp, 46.88±7.49, 99.7±0.49, 1.0, 59.74±6.03, <0.0001, 99.71±0.47, 0.9306, 21.83±2.91, <0.0001, 92.49±4.02, <0.0001, 3.53±0.51, <0.0001, 99.7±0.49, 2.97±0.41, 46.74±0.04
../../Results/battery_kr-vs-kp_<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns5_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._gb.GradientBoostingClassifier'>, kr-vs-kp, 75.93±5.26, 97.89±1.52, 0.0009, 99.83±0.23, <0.0001, 98.73±0.97, 0.2959, 21.5±2.67, <0.0001, 99.43±0.61, 0.0104, 23.83±3.01, <0.0001, 98.97±0.73, 11.63±1.77, 75.14±0.04
../../Results/battery_kr-vs-kp_<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns7_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._gb.GradientBoostingClassifier'>, kr-vs-kp, 76.39±6.74, 97.55±1.58, <0.0001, 99.79±0.24, <0.0001, 98.76±0.92, 0.4208, 22.17±2.23, <0.0001, 99.52±0.54, 0.0037, 24.1±4.08, <0.0001, 98.94±0.89, 11.53±2.05, 75.58±0.06
