ensemble_criterion, chi_square_percent_point_function, scale_feature_coefficient, min_accuracy_coefficient, min_number_class_per_node, sorting_method, dataset_test_size, dataset_test_categorizable, number_of_rules, cobertura, ensemble_accuracy, ensemble_f1_score, ensemble_precision_score, ensemble_recall, ensemble_roc_auc_score, tree_accuracy, tree_f1_score, tree_precision_score, tree_recall_score, tree_roc_auc_score, RuleFit_accuracy, RuleFit_f1_score, RuleFit_precision_score, RuleFit_recall_score, RuleFit_roc_auc_score, RuleCOSI_accuracy, RuleCOSI_f1_score, RuleCOSI_precision_score, RuleCOSI_recall_score, RuleCOSI_roc_auc_score, rules_accuracy, rules_f1_score, rules_precision_score, rules_recall_score, rules_roc_auc_score
gini, 0.95, 0.05, 0.95, 5, target_accuracy, 175, 100, 17, 0.5714285714285714, 0.08, 0.14814814814814814, 0.08, 1.0, 0.5, 0.91, 0.5263157894736842, 0.45454545454545453, 0.625, 0.779891304347826, 0.96, 0.7142857142857143, 0.8333333333333334, 0.625, 0.8070652173913043, 0.93, 0.5333333333333333, 0.5714285714285714, 0.5, 0.733695652173913, 0.95, 0.6666666666666666, 0.7142857142857143, 0.625, 0.8016304347826086
gini, 0.95, 0.05, 0.95, 10, target_accuracy, 175, 93, 11, 0.5314285714285715, 0.043010752688172046, 0.08247422680412372, 0.043010752688172046, 1.0, 0.5, 0.9139784946236559, 0.3333333333333333, 0.25, 0.5, 0.7162921348314607, 0.978494623655914, 0.6666666666666666, 1.0, 0.5, 0.75, 0.946236559139785, 0.28571428571428575, 0.3333333333333333, 0.25, 0.6137640449438201, 0.956989247311828, 0.0, 0.0, 0.0, 0.5
gini, 0.95, 0.05, 0.95, 20, target_accuracy, 175, 89, 8, 0.5085714285714286, 0.011235955056179775, 0.02222222222222222, 0.011235955056179775, 1.0, 0.5, 0.9213483146067416, 0.0, 0.0, 0.0, 0.46590909090909094, 0.9887640449438202, 0.0, 0.0, 0.0, 0.5, 0.9662921348314607, 0.0, 0.0, 0.0, 0.48863636363636365, 0.9887640449438202, 0.0, 0.0, 0.0, 0.5
gini, 0.95, 0.05, 0.95, 25, target_accuracy, 175, 98, 7, 0.56, 0.04081632653061224, 0.07843137254901959, 0.04081632653061224, 1.0, 0.5, 0.9285714285714286, 0.36363636363636365, 0.2857142857142857, 0.5, 0.723404255319149, 0.9795918367346939, 0.6666666666666666, 1.0, 0.5, 0.75, 0.9591836734693877, 0.3333333333333333, 0.5, 0.25, 0.6196808510638298, 0.9591836734693877, 0.0, 0.0, 0.0, 0.5
gini, 0.95, 0.05, 0.95, 30, target_accuracy, 175, 77, 4, 0.44, 0.012987012987012988, 0.025641025641025647, 0.012987012987012988, 1.0, 0.5, 0.948051948051948, 0.0, 0.0, 0.0, 0.48026315789473684, 0.987012987012987, 0.0, 0.0, 0.0, 0.5, 0.987012987012987, 0.0, 0.0, 0.0, 0.5, 0.987012987012987, 0.0, 0.0, 0.0, 0.5
gini, 0.95, 0.05, 0.95, 50, target_accuracy, 175, 84, 4, 0.48, 0.011904761904761904, 0.023529411764705882, 0.011904761904761904, 1.0, 0.5, 0.9404761904761905, 0.0, 0.0, 0.0, 0.4759036144578313, 0.9880952380952381, 0.0, 0.0, 0.0, 0.5, 0.9761904761904762, 0.0, 0.0, 0.0, 0.4939759036144578, 0.9880952380952381, 0.0, 0.0, 0.0, 0.5
gini, 0.95, 0.05, 0.95, 5, target_accuracy, 175, 101, 16, 0.5771428571428572, 0.07920792079207921, 0.14678899082568805, 0.07920792079207921, 1.0, 0.5, 0.9405940594059405, 0.7000000000000001, 0.5833333333333334, 0.875, 0.9106182795698926, 0.9900990099009901, 0.9333333333333333, 1.0, 0.875, 0.9375, 0.9207920792079208, 0.6363636363636364, 0.5, 0.875, 0.8998655913978495, 0.9900990099009901, 0.9333333333333333, 1.0, 0.875, 0.9375
gini, 0.95, 0.05, 0.95, 10, target_accuracy, 175, 96, 13, 0.5485714285714286, 0.07291666666666667, 0.13592233009708737, 0.07291666666666667, 1.0, 0.5, 0.9479166666666666, 0.6666666666666666, 0.625, 0.7142857142857143, 0.8402889245585875, 0.9791666666666666, 0.8333333333333333, 1.0, 0.7142857142857143, 0.8571428571428572, 0.9479166666666666, 0.7058823529411764, 0.6, 0.8571428571428571, 0.906099518459069, 0.9791666666666666, 0.8333333333333333, 1.0, 0.7142857142857143, 0.8571428571428572
gini, 0.95, 0.05, 0.95, 20, target_accuracy, 175, 106, 8, 0.6057142857142858, 0.02830188679245283, 0.055045871559633024, 0.02830188679245283, 1.0, 0.5, 0.9339622641509434, 0.2222222222222222, 0.16666666666666666, 0.3333333333333333, 0.6423948220064725, 0.9716981132075472, 0.0, 0.0, 0.0, 0.5, 0.9056603773584906, 0.16666666666666666, 0.1111111111111111, 0.3333333333333333, 0.627831715210356, 0.9716981132075472, 0.0, 0.0, 0.0, 0.5
gini, 0.95, 0.05, 0.95, 25, target_accuracy, 175, 89, 6, 0.5085714285714286, 0.02247191011235955, 0.04395604395604395, 0.02247191011235955, 1.0, 0.5, 0.9550561797752809, 0.3333333333333333, 0.25, 0.5, 0.7327586206896551, 0.9775280898876404, 0.0, 0.0, 0.0, 0.5, 0.9213483146067416, 0.0, 0.0, 0.0, 0.47126436781609193, 0.9775280898876404, 0.0, 0.0, 0.0, 0.5
gini, 0.95, 0.05, 0.95, 30, target_accuracy, 175, 81, 3, 0.46285714285714286, 0.012345679012345678, 0.024390243902439022, 0.012345679012345678, 1.0, 0.5, 0.9753086419753086, 0.0, 0.0, 0.0, 0.49375, 0.9876543209876543, 0.0, 0.0, 0.0, 0.5, 0.9382716049382716, 0.0, 0.0, 0.0, 0.475, 0.9876543209876543, 0.0, 0.0, 0.0, 0.5
gini, 0.95, 0.05, 0.95, 50, target_accuracy, 175, 109, 4, 0.6228571428571429, 0.03669724770642202, 0.07079646017699115, 0.03669724770642202, 1.0, 0.5, 0.926605504587156, 0.3333333333333333, 0.25, 0.5, 0.7214285714285713, 0.9724770642201835, 0.4, 1.0, 0.25, 0.625, 0.926605504587156, 0.2, 0.16666666666666666, 0.25, 0.6011904761904762, 0.963302752293578, 0.0, 0.0, 0.0, 0.5
gini, 0.95, 0.05, 0.95, 5, target_accuracy, 175, 83, 14, 0.4742857142857143, 0.060240963855421686, 0.11363636363636363, 0.060240963855421686, 1.0, 0.5, 0.963855421686747, 0.7692307692307693, 0.625, 1.0, 0.9807692307692308, 0.9759036144578314, 0.7499999999999999, 1.0, 0.6, 0.8, 0.963855421686747, 0.7272727272727272, 0.6666666666666666, 0.8, 0.8871794871794871, 0.9879518072289156, 0.888888888888889, 1.0, 0.8, 0.9
gini, 0.95, 0.05, 0.95, 10, target_accuracy, 175, 97, 14, 0.5542857142857143, 0.041237113402061855, 0.0792079207920792, 0.041237113402061855, 1.0, 0.5, 0.9484536082474226, 0.5454545454545454, 0.42857142857142855, 0.75, 0.853494623655914, 0.9690721649484536, 0.4, 1.0, 0.25, 0.625, 0.9484536082474226, 0.5454545454545454, 0.42857142857142855, 0.75, 0.853494623655914, 0.9587628865979382, 0.0, 0.0, 0.0, 0.5
gini, 0.95, 0.05, 0.95, 20, target_accuracy, 175, 77, 7, 0.44, 0.03896103896103896, 0.07500000000000001, 0.03896103896103896, 1.0, 0.5, 0.974025974025974, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.8265765765765765, 0.987012987012987, 0.8, 1.0, 0.6666666666666666, 0.8333333333333333, 0.961038961038961, 0.5714285714285715, 0.5, 0.6666666666666666, 0.8198198198198198, 0.987012987012987, 0.8, 1.0, 0.6666666666666666, 0.8333333333333333
