chi_square_percent_point_function, scale_feature_coefficient, min_accuracy_coefficient, min_number_class_per_node, sorting_method, dataset_test_size, dataset_test_categorizable, number_of_rules, cobertura, recursive, ensemble_accuracy, ensemble_f1_score, ensemble_precision_score, ensemble_recall, ensemble_roc_auc_score, tree_accuracy, tree_f1_score, tree_precision_score, tree_recall_score, tree_roc_auc_score, RuleFit_accuracy, RuleFit_f1_score, RuleFit_precision_score, RuleFit_recall_score, RuleFit_roc_auc_score, RuleCOSI_accuracy, RuleCOSI_f1_score, RuleCOSI_precision_score, RuleCOSI_recall_score, RuleCOSI_roc_auc_score, rules_accuracy, rules_f1_score, rules_precision_score, rules_recall_score, rules_roc_auc_score, RuleFit_numrules, RuleCOSI_numrules, rules_numrules
0.95, 0.05, 0.95, 7, target_accuracy, 175, 82, 6, 0.4685714285714286, False, 0.10975609756097561, 0.1978021978021978, 0.10975609756097561, 1.0, 0.5, 0.9512195121951219, 0.7142857142857143, 1.0, 0.5555555555555556, 0.7777777777777778, 0.926829268292683, 0.5, 1.0, 0.3333333333333333, 0.6666666666666666, 0.9024390243902439, 0.19999999999999998, 1.0, 0.1111111111111111, 0.5555555555555556, 0.926829268292683, 0.5, 1.0, 0.3333333333333333, 0.6666666666666666, 19, 3, 6
0.95, 0.05, 0.95, 7, target_accuracy, 175, 91, 6, 0.52, False, 0.04395604395604396, 0.08421052631578947, 0.04395604395604396, 1.0, 0.5, 0.989010989010989, 0.8571428571428571, 1.0, 0.75, 0.875, 0.989010989010989, 0.8571428571428571, 1.0, 0.75, 0.875, 0.9560439560439561, 0.0, 0.0, 0.0, 0.5, 0.989010989010989, 0.8571428571428571, 1.0, 0.75, 0.875, 18, 1, 6
0.95, 0.05, 0.95, 7, target_accuracy, 175, 93, 9, 0.5314285714285715, False, 0.07526881720430108, 0.14, 0.07526881720430108, 1.0, 0.5, 0.9139784946236559, 0.42857142857142855, 0.42857142857142855, 0.42857142857142855, 0.6910299003322259, 0.967741935483871, 0.7692307692307692, 0.8333333333333334, 0.7142857142857143, 0.8513289036544851, 0.9354838709677419, 0.25, 1.0, 0.14285714285714285, 0.5714285714285714, 0.946236559139785, 0.5454545454545454, 0.75, 0.42857142857142855, 0.7084717607973422, 17, 3, 9
0.95, 0.05, 0.95, 7, target_accuracy, 175, 78, 6, 0.44571428571428573, False, 0.08974358974358974, 0.1647058823529412, 0.08974358974358974, 1.0, 0.5, 0.9871794871794872, 0.9333333333333333, 0.875, 1.0, 0.9929577464788732, 0.9871794871794872, 0.923076923076923, 1.0, 0.8571428571428571, 0.9285714285714286, 0.9743589743589743, 0.8333333333333333, 1.0, 0.7142857142857143, 0.8571428571428572, 0.9871794871794872, 0.923076923076923, 1.0, 0.8571428571428571, 0.9285714285714286, 19, 4, 6
0.95, 0.05, 0.95, 7, target_accuracy, 174, 60, 5, 0.3448275862068966, False, 0.03333333333333333, 0.06451612903225806, 0.03333333333333333, 1.0, 0.5, 0.9666666666666667, 0.5, 0.5, 0.5, 0.7413793103448275, 0.9833333333333333, 0.6666666666666666, 1.0, 0.5, 0.75, 0.9666666666666667, 0.0, 0.0, 0.0, 0.5, 0.9833333333333333, 0.6666666666666666, 1.0, 0.5, 0.75, 19, 3, 5
0.95, 0.05, 0.95, 7, target_accuracy, 174, 84, 7, 0.4827586206896552, False, 0.08333333333333333, 0.15384615384615385, 0.08333333333333333, 1.0, 0.5, 0.9880952380952381, 0.923076923076923, 1.0, 0.8571428571428571, 0.9285714285714286, 0.9761904761904762, 0.8333333333333333, 1.0, 0.7142857142857143, 0.8571428571428572, 0.9166666666666666, 0.0, 0.0, 0.0, 0.5, 0.9880952380952381, 0.923076923076923, 1.0, 0.8571428571428571, 0.9285714285714286, 17, 1, 7
0.95, 0.05, 0.95, 7, target_accuracy, 174, 92, 8, 0.5287356321839081, False, 0.043478260869565216, 0.08333333333333333, 0.043478260869565216, 1.0, 0.5, 0.9782608695652174, 0.75, 0.75, 0.75, 0.8693181818181819, 0.9891304347826086, 0.8571428571428571, 1.0, 0.75, 0.875, 0.9565217391304348, 0.0, 0.0, 0.0, 0.5, 0.9891304347826086, 0.8571428571428571, 1.0, 0.75, 0.875, 19, 2, 8
0.95, 0.05, 0.95, 7, target_accuracy, 174, 57, 4, 0.3275862068965517, False, 0.08771929824561403, 0.16129032258064516, 0.08771929824561403, 1.0, 0.5, 0.9824561403508771, 0.888888888888889, 1.0, 0.8, 0.9, 0.9824561403508771, 0.888888888888889, 1.0, 0.8, 0.9, 0.9298245614035088, 0.33333333333333337, 1.0, 0.2, 0.6, 0.9824561403508771, 0.888888888888889, 1.0, 0.8, 0.9, 20, 3, 4
0.95, 0.05, 0.95, 7, target_accuracy, 174, 95, 8, 0.5459770114942529, False, 0.07368421052631578, 0.1372549019607843, 0.07368421052631578, 1.0, 0.5, 0.9578947368421052, 0.6, 1.0, 0.42857142857142855, 0.7142857142857143, 0.968421052631579, 0.7272727272727273, 1.0, 0.5714285714285714, 0.7857142857142857, 0.9473684210526315, 0.4444444444444445, 1.0, 0.2857142857142857, 0.6428571428571428, 0.968421052631579, 0.7272727272727273, 1.0, 0.5714285714285714, 0.7857142857142857, 19, 4, 8
0.95, 0.05, 0.95, 7, target_accuracy, 174, 92, 8, 0.5287356321839081, False, 0.043478260869565216, 0.08333333333333333, 0.043478260869565216, 1.0, 0.5, 0.9565217391304348, 0.5, 0.5, 0.5, 0.7386363636363636, 0.9891304347826086, 0.8571428571428571, 1.0, 0.75, 0.875, 0.9565217391304348, 0.0, 0.0, 0.0, 0.5, 0.9891304347826086, 0.8571428571428571, 1.0, 0.75, 0.875, 15, 1, 8
0.95, 0.05, 0.95, 7, target_accuracy, 175, 64, 6, 0.3657142857142857, False, 0.046875, 0.08955223880597014, 0.046875, 1.0, 0.5, 0.984375, 0.8, 1.0, 0.6666666666666666, 0.8333333333333333, 1.0, 1.0, 1.0, 1.0, 1.0, 0.953125, 0.0, 0.0, 0.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 18, 1, 6
0.95, 0.05, 0.95, 7, target_accuracy, 175, 54, 5, 0.30857142857142855, False, 0.037037037037037035, 0.07142857142857142, 0.037037037037037035, 1.0, 0.5, 0.9814814814814815, 0.8, 0.6666666666666666, 1.0, 0.9903846153846153, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9629629629629629, 0.0, 0.0, 0.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 19, 2, 5
