chi_square_percent_point_function, scale_feature_coefficient, min_accuracy_coefficient, min_number_class_per_node, sorting_method, dataset_test_size, dataset_test_categorizable, number_of_rules, cobertura, recursive, ensemble_accuracy, ensemble_f1_score, ensemble_precision_score, ensemble_recall, ensemble_roc_auc_score, tree_accuracy, tree_f1_score, tree_precision_score, tree_recall_score, tree_roc_auc_score, RuleFit_accuracy, RuleFit_f1_score, RuleFit_precision_score, RuleFit_recall_score, RuleFit_roc_auc_score, RuleCOSI_accuracy, RuleCOSI_f1_score, RuleCOSI_precision_score, RuleCOSI_recall_score, RuleCOSI_roc_auc_score, rules_accuracy, rules_f1_score, rules_precision_score, rules_recall_score, rules_roc_auc_score, RuleFit_numrules, RuleCOSI_numrules, rules_numrules
0.95, 0.05, 0.95, 50, target_accuracy, 175, 92, 6, 0.5257142857142857, True, 0.06521739130434782, 0.12244897959183672, 0.06521739130434782, 1.0, 0.5, 0.9130434782608695, 0.0, 0.0, 0.0, 0.4883720930232558, 0.9347826086956522, 0.0, 0.0, 0.0, 0.5, 0.9347826086956522, 0.0, 0.0, 0.0, 0.5, 0.9347826086956522, 0.0, 0.0, 0.0, 0.5, 20, 5, 6
0.95, 0.05, 0.95, 50, target_accuracy, 175, 68, 4, 0.38857142857142857, True, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 16, 3, 4
0.95, 0.05, 0.95, 50, target_accuracy, 175, 91, 4, 0.52, True, 0.02197802197802198, 0.043010752688172046, 0.02197802197802198, 1.0, 0.5, 0.978021978021978, 0.0, 0.0, 0.0, 0.5, 0.978021978021978, 0.0, 0.0, 0.0, 0.5, 0.978021978021978, 0.0, 0.0, 0.0, 0.5, 0.978021978021978, 0.0, 0.0, 0.0, 0.5, 20, 1, 4
0.95, 0.05, 0.95, 50, target_accuracy, 175, 92, 6, 0.5257142857142857, True, 0.021739130434782608, 0.042553191489361694, 0.021739130434782608, 1.0, 0.5, 0.9891304347826086, 0.6666666666666666, 1.0, 0.5, 0.75, 0.9782608695652174, 0.0, 0.0, 0.0, 0.5, 0.9782608695652174, 0.0, 0.0, 0.0, 0.5, 0.9782608695652174, 0.0, 0.0, 0.0, 0.5, 19, 1, 6
0.95, 0.05, 0.95, 50, target_accuracy, 174, 83, 5, 0.47701149425287354, True, 0.012048192771084338, 0.02380952380952381, 0.012048192771084338, 1.0, 0.5, 0.9879518072289156, 0.0, 0.0, 0.0, 0.5, 0.9879518072289156, 0.0, 0.0, 0.0, 0.5, 0.9879518072289156, 0.0, 0.0, 0.0, 0.5, 0.9879518072289156, 0.0, 0.0, 0.0, 0.5, 22, 3, 5
0.95, 0.05, 0.95, 50, target_accuracy, 174, 90, 4, 0.5172413793103449, True, 0.044444444444444446, 0.0851063829787234, 0.044444444444444446, 1.0, 0.5, 0.9555555555555556, 0.0, 0.0, 0.0, 0.5, 0.9555555555555556, 0.0, 0.0, 0.0, 0.5, 0.9555555555555556, 0.0, 0.0, 0.0, 0.5, 0.9555555555555556, 0.0, 0.0, 0.0, 0.5, 21, 2, 4
0.95, 0.05, 0.95, 50, target_accuracy, 174, 87, 4, 0.5, True, 0.034482758620689655, 0.06666666666666667, 0.034482758620689655, 1.0, 0.5, 0.9655172413793104, 0.0, 0.0, 0.0, 0.5, 0.9655172413793104, 0.0, 0.0, 0.0, 0.5, 0.9655172413793104, 0.0, 0.0, 0.0, 0.5, 0.9655172413793104, 0.0, 0.0, 0.0, 0.5, 18, 3, 4
0.95, 0.05, 0.95, 50, target_accuracy, 174, 73, 3, 0.41954022988505746, True, 0.0684931506849315, 0.1282051282051282, 0.0684931506849315, 1.0, 0.5, 0.9315068493150684, 0.28571428571428575, 0.5, 0.2, 0.5926470588235294, 0.9452054794520548, 0.33333333333333337, 1.0, 0.2, 0.6, 0.9178082191780822, 0.0, 0.0, 0.0, 0.49264705882352944, 0.9315068493150684, 0.0, 0.0, 0.0, 0.5, 18, 6, 3
0.95, 0.05, 0.95, 50, target_accuracy, 174, 95, 4, 0.5459770114942529, True, 0.021052631578947368, 0.041237113402061855, 0.021052631578947368, 1.0, 0.5, 0.9789473684210527, 0.0, 0.0, 0.0, 0.5, 0.9789473684210527, 0.0, 0.0, 0.0, 0.5, 0.9789473684210527, 0.0, 0.0, 0.0, 0.5, 0.9789473684210527, 0.0, 0.0, 0.0, 0.5, 19, 2, 4
0.95, 0.05, 0.95, 50, target_accuracy, 174, 92, 5, 0.5287356321839081, True, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 19, 1, 5
0.95, 0.05, 0.95, 50, target_accuracy, 175, 90, 3, 0.5142857142857142, True, 0.022222222222222223, 0.04347826086956522, 0.022222222222222223, 1.0, 0.5, 0.9777777777777777, 0.0, 0.0, 0.0, 0.5, 0.9777777777777777, 0.0, 0.0, 0.0, 0.5, 0.9777777777777777, 0.0, 0.0, 0.0, 0.5, 0.9777777777777777, 0.0, 0.0, 0.0, 0.5, 17, 3, 3
0.95, 0.05, 0.95, 50, target_accuracy, 175, 83, 4, 0.4742857142857143, True, 0.03614457831325301, 0.06976744186046512, 0.03614457831325301, 1.0, 0.5, 0.963855421686747, 0.0, 0.0, 0.0, 0.5, 0.963855421686747, 0.0, 0.0, 0.0, 0.5, 0.963855421686747, 0.0, 0.0, 0.0, 0.5, 0.963855421686747, 0.0, 0.0, 0.0, 0.5, 22, 2, 4
0.95, 0.05, 0.95, 50, target_accuracy, 175, 92, 2, 0.5257142857142857, True, 0.05434782608695652, 0.10309278350515463, 0.05434782608695652, 1.0, 0.5, 0.9565217391304348, 0.33333333333333337, 1.0, 0.2, 0.6, 0.9456521739130435, 0.0, 0.0, 0.0, 0.5, 0.9456521739130435, 0.0, 0.0, 0.0, 0.5, 0.9456521739130435, 0.0, 0.0, 0.0, 0.5, 21, 3, 2
0.95, 0.05, 0.95, 50, target_accuracy, 175, 88, 4, 0.5028571428571429, True, 0.022727272727272728, 0.044444444444444446, 0.022727272727272728, 1.0, 0.5, 0.9659090909090909, 0.0, 0.0, 0.0, 0.4941860465116279, 0.9772727272727273, 0.0, 0.0, 0.0, 0.5, 0.9772727272727273, 0.0, 0.0, 0.0, 0.5, 0.9772727272727273, 0.0, 0.0, 0.0, 0.5, 19, 3, 4
0.95, 0.05, 0.95, 50, target_accuracy, 174, 90, 8, 0.5172413793103449, True, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9888888888888889, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 18, 2, 8
0.95, 0.05, 0.95, 50, target_accuracy, 174, 84, 4, 0.4827586206896552, True, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9880952380952381, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 18, 1, 4
0.95, 0.05, 0.95, 50, target_accuracy, 174, 93, 3, 0.5344827586206896, True, 0.03225806451612903, 0.0625, 0.03225806451612903, 1.0, 0.5, 0.967741935483871, 0.0, 0.0, 0.0, 0.5, 0.967741935483871, 0.0, 0.0, 0.0, 0.5, 0.967741935483871, 0.0, 0.0, 0.0, 0.5, 0.967741935483871, 0.0, 0.0, 0.0, 0.5, 19, 2, 3
0.95, 0.05, 0.95, 50, target_accuracy, 174, 81, 5, 0.46551724137931033, True, 0.037037037037037035, 0.07142857142857142, 0.037037037037037035, 1.0, 0.5, 0.9629629629629629, 0.4, 0.5, 0.3333333333333333, 0.6602564102564102, 0.9629629629629629, 0.0, 0.0, 0.0, 0.5, 0.9629629629629629, 0.0, 0.0, 0.0, 0.5, 0.9629629629629629, 0.0, 0.0, 0.0, 0.5, 18, 1, 5
0.95, 0.05, 0.95, 50, target_accuracy, 174, 73, 4, 0.41954022988505746, True, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 17, 3, 4
0.95, 0.05, 0.95, 50, target_accuracy, 174, 114, 6, 0.6551724137931034, True, 0.07894736842105263, 0.14634146341463414, 0.07894736842105263, 1.0, 0.5, 0.9122807017543859, 0.0, 0.0, 0.0, 0.49523809523809526, 0.9298245614035088, 0.19999999999999998, 1.0, 0.1111111111111111, 0.5555555555555556, 0.9210526315789473, 0.0, 0.0, 0.0, 0.5, 0.9210526315789473, 0.0, 0.0, 0.0, 0.5, 15, 2, 6
0.95, 0.05, 0.95, 50, target_accuracy, 175, 87, 4, 0.49714285714285716, True, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 13, 2, 4
0.95, 0.05, 0.95, 50, target_accuracy, 175, 95, 5, 0.5428571428571428, True, 0.07368421052631578, 0.1372549019607843, 0.07368421052631578, 1.0, 0.5, 0.9263157894736842, 0.0, 0.0, 0.0, 0.5, 0.9263157894736842, 0.0, 0.0, 0.0, 0.5, 0.9263157894736842, 0.0, 0.0, 0.0, 0.5, 0.9263157894736842, 0.0, 0.0, 0.0, 0.5, 17, 3, 5
0.95, 0.05, 0.95, 50, target_accuracy, 175, 95, 5, 0.5428571428571428, True, 0.021052631578947368, 0.041237113402061855, 0.021052631578947368, 1.0, 0.5, 0.9578947368421052, 0.0, 0.0, 0.0, 0.489247311827957, 0.9789473684210527, 0.0, 0.0, 0.0, 0.5, 0.9789473684210527, 0.0, 0.0, 0.0, 0.5, 0.9789473684210527, 0.0, 0.0, 0.0, 0.5, 17, 2, 5
0.95, 0.05, 0.95, 50, target_accuracy, 175, 77, 3, 0.44, True, 0.025974025974025976, 0.05063291139240507, 0.025974025974025976, 1.0, 0.5, 0.974025974025974, 0.0, 0.0, 0.0, 0.5, 0.974025974025974, 0.0, 0.0, 0.0, 0.5, 0.974025974025974, 0.0, 0.0, 0.0, 0.5, 0.974025974025974, 0.0, 0.0, 0.0, 0.5, 18, 2, 3
0.95, 0.05, 0.95, 50, target_accuracy, 174, 83, 4, 0.47701149425287354, True, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9759036144578314, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 19, 1, 4
0.95, 0.05, 0.95, 50, target_accuracy, 174, 87, 5, 0.5, True, 0.04597701149425287, 0.08791208791208792, 0.04597701149425287, 1.0, 0.5, 0.9540229885057471, 0.0, 0.0, 0.0, 0.5, 0.9540229885057471, 0.0, 0.0, 0.0, 0.5, 0.9540229885057471, 0.0, 0.0, 0.0, 0.5, 0.9540229885057471, 0.0, 0.0, 0.0, 0.5, 19, 3, 5
0.95, 0.05, 0.95, 50, target_accuracy, 174, 92, 3, 0.5287356321839081, True, 0.010869565217391304, 0.02150537634408602, 0.010869565217391304, 1.0, 0.5, 0.9891304347826086, 0.0, 0.0, 0.0, 0.5, 0.9891304347826086, 0.0, 0.0, 0.0, 0.5, 0.9891304347826086, 0.0, 0.0, 0.0, 0.5, 0.9891304347826086, 0.0, 0.0, 0.0, 0.5, 16, 1, 3
0.95, 0.05, 0.95, 50, target_accuracy, 174, 89, 4, 0.5114942528735632, True, 0.033707865168539325, 0.06521739130434782, 0.033707865168539325, 1.0, 0.5, 0.9662921348314607, 0.0, 0.0, 0.0, 0.5, 0.9662921348314607, 0.0, 0.0, 0.0, 0.5, 0.9662921348314607, 0.0, 0.0, 0.0, 0.5, 0.9662921348314607, 0.0, 0.0, 0.0, 0.5, 19, 1, 4
0.95, 0.05, 0.95, 50, target_accuracy, 174, 94, 3, 0.5402298850574713, True, 0.031914893617021274, 0.06185567010309278, 0.031914893617021274, 1.0, 0.5, 0.9680851063829787, 0.4, 0.5, 0.3333333333333333, 0.6611721611721612, 0.9787234042553191, 0.5, 1.0, 0.3333333333333333, 0.6666666666666666, 0.9680851063829787, 0.0, 0.0, 0.0, 0.5, 0.9680851063829787, 0.0, 0.0, 0.0, 0.5, 21, 2, 3
0.95, 0.05, 0.95, 50, target_accuracy, 174, 89, 3, 0.5114942528735632, True, 0.02247191011235955, 0.04395604395604395, 0.02247191011235955, 1.0, 0.5, 0.9775280898876404, 0.5, 0.5, 0.5, 0.7442528735632185, 0.9775280898876404, 0.0, 0.0, 0.0, 0.5, 0.9662921348314607, 0.0, 0.0, 0.0, 0.4942528735632184, 0.9775280898876404, 0.0, 0.0, 0.0, 0.5, 17, 6, 3
