chi_square_percent_point_function, scale_feature_coefficient, min_accuracy_coefficient, min_number_class_per_node, sorting_method, dataset_test_size, dataset_test_categorizable, number_of_rules, cobertura, recursive, ensemble_accuracy, ensemble_f1_score, ensemble_precision_score, ensemble_recall, ensemble_roc_auc_score, tree_accuracy, tree_f1_score, tree_precision_score, tree_recall_score, tree_roc_auc_score, RuleFit_accuracy, RuleFit_f1_score, RuleFit_precision_score, RuleFit_recall_score, RuleFit_roc_auc_score, RuleCOSI_accuracy, RuleCOSI_f1_score, RuleCOSI_precision_score, RuleCOSI_recall_score, RuleCOSI_roc_auc_score, rules_accuracy, rules_f1_score, rules_precision_score, rules_recall_score, rules_roc_auc_score, RuleFit_numrules, RuleCOSI_numrules, rules_numrules
0.95, 0.05, 0.95, 50, target_accuracy, 175, 99, 7, 0.5657142857142857, False, 0.9595959595959596, 0.0, 0.0, 0.0, 0.5, 0.9595959595959596, 0.0, 0.0, 0.0, 0.5, 0.9595959595959596, 0.0, 0.0, 0.0, 0.5, 0.9595959595959596, 0.0, 0.0, 0.0, 0.5, 0.9595959595959596, 0.0, 0.0, 0.0, 0.5, 17, 53, 7
0.95, 0.05, 0.95, 50, target_accuracy, 175, 88, 4, 0.5028571428571429, False, 0.9772727272727273, 0.0, 0.0, 0.0, 0.5, 0.9659090909090909, 0.0, 0.0, 0.0, 0.4941860465116279, 0.9772727272727273, 0.0, 0.0, 0.0, 0.5, 0.9772727272727273, 0.0, 0.0, 0.0, 0.5, 0.9772727272727273, 0.0, 0.0, 0.0, 0.5, 19, 31, 4
0.95, 0.05, 0.95, 50, target_accuracy, 175, 106, 4, 0.6057142857142858, False, 0.9528301886792453, 0.0, 0.0, 0.0, 0.5, 0.9433962264150944, 0.0, 0.0, 0.0, 0.49504950495049505, 0.9528301886792453, 0.0, 0.0, 0.0, 0.5, 0.9433962264150944, 0.0, 0.0, 0.0, 0.49504950495049505, 0.9528301886792453, 0.0, 0.0, 0.0, 0.5, 18, 18, 4
0.95, 0.05, 0.95, 50, target_accuracy, 175, 92, 4, 0.5257142857142857, False, 0.9782608695652174, 0.0, 0.0, 0.0, 0.5, 0.967391304347826, 0.0, 0.0, 0.0, 0.49444444444444446, 0.9782608695652174, 0.0, 0.0, 0.0, 0.5, 0.9782608695652174, 0.0, 0.0, 0.0, 0.5, 0.9782608695652174, 0.0, 0.0, 0.0, 0.5, 18, 13, 4
0.95, 0.05, 0.95, 50, target_accuracy, 174, 70, 4, 0.40229885057471265, False, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 20, 26, 4
0.95, 0.05, 0.95, 50, target_accuracy, 174, 56, 3, 0.3218390804597701, False, 1.0, 0.0, 0.0, 0.0, 0.0, 0.9821428571428571, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 17, 35, 3
0.95, 0.05, 0.95, 50, target_accuracy, 174, 80, 4, 0.45977011494252873, False, 0.9875, 0.0, 0.0, 0.0, 0.5, 0.9875, 0.0, 0.0, 0.0, 0.5, 0.9875, 0.0, 0.0, 0.0, 0.5, 0.9875, 0.0, 0.0, 0.0, 0.5, 0.9875, 0.0, 0.0, 0.0, 0.5, 19, 29, 4
0.95, 0.05, 0.95, 50, target_accuracy, 174, 88, 6, 0.5057471264367817, False, 0.9545454545454546, 0.0, 0.0, 0.0, 0.5, 0.9659090909090909, 0.4, 1.0, 0.25, 0.625, 0.9545454545454546, 0.0, 0.0, 0.0, 0.5, 0.9545454545454546, 0.0, 0.0, 0.0, 0.5, 0.9545454545454546, 0.0, 0.0, 0.0, 0.5, 17, 18, 6
0.95, 0.05, 0.95, 50, target_accuracy, 174, 77, 3, 0.4425287356321839, False, 0.974025974025974, 0.0, 0.0, 0.0, 0.5, 0.974025974025974, 0.0, 0.0, 0.0, 0.5, 0.974025974025974, 0.0, 0.0, 0.0, 0.5, 0.974025974025974, 0.0, 0.0, 0.0, 0.5, 0.974025974025974, 0.0, 0.0, 0.0, 0.5, 18, 16, 3
0.95, 0.05, 0.95, 50, target_accuracy, 174, 81, 4, 0.46551724137931033, False, 0.9753086419753086, 0.0, 0.0, 0.0, 0.49375, 0.9629629629629629, 0.0, 0.0, 0.0, 0.4875, 0.9753086419753086, 0.0, 0.0, 0.0, 0.49375, 0.9876543209876543, 0.0, 0.0, 0.0, 0.5, 0.9876543209876543, 0.0, 0.0, 0.0, 0.5, 21, 21, 4
0.95, 0.05, 0.95, 50, target_accuracy, 175, 77, 4, 0.44, False, 0.987012987012987, 0.0, 0.0, 0.0, 0.5, 0.987012987012987, 0.0, 0.0, 0.0, 0.5, 0.987012987012987, 0.0, 0.0, 0.0, 0.5, 0.987012987012987, 0.0, 0.0, 0.0, 0.5, 0.987012987012987, 0.0, 0.0, 0.0, 0.5, 19, 23, 4
0.95, 0.05, 0.95, 50, target_accuracy, 175, 65, 3, 0.37142857142857144, False, 0.9846153846153847, 0.0, 0.0, 0.0, 0.5, 0.9846153846153847, 0.0, 0.0, 0.0, 0.5, 0.9846153846153847, 0.0, 0.0, 0.0, 0.5, 0.9846153846153847, 0.0, 0.0, 0.0, 0.5, 0.9846153846153847, 0.0, 0.0, 0.0, 0.5, 22, 25, 3
0.95, 0.05, 0.95, 50, target_accuracy, 175, 75, 3, 0.42857142857142855, False, 0.96, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.9866666666666667, 0.0, 0.0, 0.0, 0.0, 0.9866666666666667, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 16, 29, 3
0.95, 0.05, 0.95, 50, target_accuracy, 175, 79, 3, 0.4514285714285714, False, 0.9873417721518988, 0.0, 0.0, 0.0, 0.5, 0.9746835443037974, 0.0, 0.0, 0.0, 0.4935897435897436, 0.9873417721518988, 0.0, 0.0, 0.0, 0.5, 0.9873417721518988, 0.0, 0.0, 0.0, 0.5, 0.9873417721518988, 0.0, 0.0, 0.0, 0.5, 20, 30, 3
0.95, 0.05, 0.95, 50, target_accuracy, 174, 63, 2, 0.3620689655172414, False, 0.9841269841269841, 0.0, 0.0, 0.0, 0.5, 0.9841269841269841, 0.0, 0.0, 0.0, 0.5, 0.9841269841269841, 0.0, 0.0, 0.0, 0.5, 0.9841269841269841, 0.0, 0.0, 0.0, 0.5, 0.9841269841269841, 0.0, 0.0, 0.0, 0.5, 18, 13, 2
0.95, 0.05, 0.95, 50, target_accuracy, 174, 89, 5, 0.5114942528735632, False, 0.9662921348314607, 0.0, 0.0, 0.0, 0.5, 0.9662921348314607, 0.0, 0.0, 0.0, 0.5, 0.9662921348314607, 0.0, 0.0, 0.0, 0.5, 0.9662921348314607, 0.0, 0.0, 0.0, 0.5, 0.9662921348314607, 0.0, 0.0, 0.0, 0.5, 18, 29, 5
0.95, 0.05, 0.95, 50, target_accuracy, 174, 91, 3, 0.5229885057471264, False, 0.978021978021978, 0.0, 0.0, 0.0, 0.5, 0.978021978021978, 0.0, 0.0, 0.0, 0.5, 0.978021978021978, 0.0, 0.0, 0.0, 0.5, 0.978021978021978, 0.0, 0.0, 0.0, 0.5, 0.978021978021978, 0.0, 0.0, 0.0, 0.5, 17, 21, 3
0.95, 0.05, 0.95, 50, target_accuracy, 174, 73, 4, 0.41954022988505746, False, 0.9863013698630136, 0.0, 0.0, 0.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9863013698630136, 0.0, 0.0, 0.0, 0.5, 0.9863013698630136, 0.0, 0.0, 0.0, 0.5, 17, 32, 4
0.95, 0.05, 0.95, 50, target_accuracy, 174, 65, 5, 0.3735632183908046, False, 0.9846153846153847, 0.0, 0.0, 0.0, 0.5, 0.9846153846153847, 0.0, 0.0, 0.0, 0.5, 0.9846153846153847, 0.0, 0.0, 0.0, 0.5, 0.9846153846153847, 0.0, 0.0, 0.0, 0.5, 0.9846153846153847, 0.0, 0.0, 0.0, 0.5, 17, 14, 5
0.95, 0.05, 0.95, 50, target_accuracy, 174, 73, 3, 0.41954022988505746, False, 0.9863013698630136, 0.0, 0.0, 0.0, 0.5, 0.9863013698630136, 0.0, 0.0, 0.0, 0.5, 0.9863013698630136, 0.0, 0.0, 0.0, 0.5, 0.9863013698630136, 0.0, 0.0, 0.0, 0.5, 0.9863013698630136, 0.0, 0.0, 0.0, 0.5, 18, 38, 3
0.95, 0.05, 0.95, 50, target_accuracy, 175, 81, 4, 0.46285714285714286, False, 0.9876543209876543, 0.0, 0.0, 0.0, 0.5, 0.9753086419753086, 0.0, 0.0, 0.0, 0.49375, 0.9876543209876543, 0.0, 0.0, 0.0, 0.5, 0.9876543209876543, 0.0, 0.0, 0.0, 0.5, 0.9876543209876543, 0.0, 0.0, 0.0, 0.5, 16, 24, 4
0.95, 0.05, 0.95, 50, target_accuracy, 175, 109, 4, 0.6228571428571429, False, 0.963302752293578, 0.0, 0.0, 0.0, 0.5, 0.9541284403669725, 0.0, 0.0, 0.0, 0.49523809523809526, 0.963302752293578, 0.0, 0.0, 0.0, 0.5, 0.963302752293578, 0.0, 0.0, 0.0, 0.5, 0.963302752293578, 0.0, 0.0, 0.0, 0.5, 18, 30, 4
0.95, 0.05, 0.95, 50, target_accuracy, 175, 82, 4, 0.4685714285714286, False, 0.975609756097561, 0.0, 0.0, 0.0, 0.5, 0.975609756097561, 0.0, 0.0, 0.0, 0.5, 0.975609756097561, 0.0, 0.0, 0.0, 0.5, 0.975609756097561, 0.0, 0.0, 0.0, 0.5, 0.975609756097561, 0.0, 0.0, 0.0, 0.5, 15, 17, 4
0.95, 0.05, 0.95, 50, target_accuracy, 175, 88, 5, 0.5028571428571429, False, 0.9886363636363636, 0.0, 0.0, 0.0, 0.5, 0.9886363636363636, 0.0, 0.0, 0.0, 0.5, 0.9886363636363636, 0.0, 0.0, 0.0, 0.5, 0.9886363636363636, 0.0, 0.0, 0.0, 0.5, 0.9886363636363636, 0.0, 0.0, 0.0, 0.5, 18, 15, 5
0.95, 0.05, 0.95, 50, target_accuracy, 174, 62, 5, 0.3563218390804598, False, 0.9838709677419355, 0.0, 0.0, 0.0, 0.5, 0.9838709677419355, 0.0, 0.0, 0.0, 0.5, 0.9838709677419355, 0.0, 0.0, 0.0, 0.5, 0.9838709677419355, 0.0, 0.0, 0.0, 0.5, 0.9838709677419355, 0.0, 0.0, 0.0, 0.5, 18, 43, 5
0.95, 0.05, 0.95, 50, target_accuracy, 174, 106, 5, 0.6091954022988506, False, 0.9716981132075472, 0.0, 0.0, 0.0, 0.5, 0.9716981132075472, 0.0, 0.0, 0.0, 0.5, 0.9716981132075472, 0.0, 0.0, 0.0, 0.5, 0.9716981132075472, 0.0, 0.0, 0.0, 0.5, 0.9716981132075472, 0.0, 0.0, 0.0, 0.5, 20, 27, 5
0.95, 0.05, 0.95, 50, target_accuracy, 174, 78, 3, 0.4482758620689655, False, 0.9871794871794872, 0.0, 0.0, 0.0, 0.5, 0.9743589743589743, 0.5, 0.3333333333333333, 1.0, 0.987012987012987, 0.9871794871794872, 0.0, 0.0, 0.0, 0.5, 0.9871794871794872, 0.0, 0.0, 0.0, 0.5, 0.9871794871794872, 0.0, 0.0, 0.0, 0.5, 18, 37, 3
0.95, 0.05, 0.95, 50, target_accuracy, 174, 63, 3, 0.3620689655172414, False, 0.9523809523809523, 0.0, 0.0, 0.0, 0.5, 0.9523809523809523, 0.0, 0.0, 0.0, 0.5, 0.9523809523809523, 0.0, 0.0, 0.0, 0.5, 0.9523809523809523, 0.0, 0.0, 0.0, 0.5, 0.9523809523809523, 0.0, 0.0, 0.0, 0.5, 17, 34, 3
0.95, 0.05, 0.95, 50, target_accuracy, 174, 61, 3, 0.3505747126436782, False, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 17, 32, 3
0.95, 0.05, 0.95, 50, target_accuracy, 174, 74, 4, 0.42528735632183906, False, 0.972972972972973, 0.0, 0.0, 0.0, 0.5, 0.972972972972973, 0.0, 0.0, 0.0, 0.5, 0.972972972972973, 0.0, 0.0, 0.0, 0.5, 0.972972972972973, 0.0, 0.0, 0.0, 0.5, 0.972972972972973, 0.0, 0.0, 0.0, 0.5, 20, 32, 4
