chi_square_percent_point_function, scale_feature_coefficient, min_accuracy_coefficient, min_number_class_per_node, sorting_method, dataset_test_size, dataset_test_categorizable, number_of_rules, cobertura, recursive, ensemble_accuracy, ensemble_f1_score, ensemble_precision_score, ensemble_recall, ensemble_roc_auc_score, tree_accuracy, tree_f1_score, tree_precision_score, tree_recall_score, tree_roc_auc_score, RuleFit_accuracy, RuleFit_f1_score, RuleFit_precision_score, RuleFit_recall_score, RuleFit_roc_auc_score, RuleCOSI_accuracy, RuleCOSI_f1_score, RuleCOSI_precision_score, RuleCOSI_recall_score, RuleCOSI_roc_auc_score, rules_accuracy, rules_f1_score, rules_precision_score, rules_recall_score, rules_roc_auc_score, RuleFit_numrules, RuleCOSI_numrules, rules_numrules
0.95, 0.05, 0.95, 35, target_accuracy, 175, 89, 5, 0.5085714285714286, True, 0.9887640449438202, 0.0, 0.0, 0.0, 0.5, 0.9887640449438202, 0.0, 0.0, 0.0, 0.5, 0.9887640449438202, 0.0, 0.0, 0.0, 0.5, 0.9887640449438202, 0.0, 0.0, 0.0, 0.5, 0.9887640449438202, 0.0, 0.0, 0.0, 0.5, 13, 30, 5
0.95, 0.05, 0.95, 35, target_accuracy, 175, 75, 4, 0.42857142857142855, True, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 20, 14, 4
0.95, 0.05, 0.95, 35, target_accuracy, 175, 86, 8, 0.49142857142857144, True, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 18, 24, 8
0.95, 0.05, 0.95, 35, target_accuracy, 175, 75, 4, 0.42857142857142855, True, 0.9866666666666667, 0.0, 0.0, 0.0, 0.5, 0.9733333333333334, 0.0, 0.0, 0.0, 0.49324324324324326, 0.9866666666666667, 0.0, 0.0, 0.0, 0.5, 0.9866666666666667, 0.0, 0.0, 0.0, 0.5, 0.9866666666666667, 0.0, 0.0, 0.0, 0.5, 23, 37, 4
0.95, 0.05, 0.95, 35, target_accuracy, 174, 65, 4, 0.3735632183908046, True, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 22, 19, 4
0.95, 0.05, 0.95, 35, target_accuracy, 174, 89, 8, 0.5114942528735632, True, 0.9775280898876404, 0.0, 0.0, 0.0, 0.4943181818181818, 0.9887640449438202, 0.0, 0.0, 0.0, 0.5, 0.9887640449438202, 0.0, 0.0, 0.0, 0.5, 0.9775280898876404, 0.0, 0.0, 0.0, 0.4943181818181818, 0.9887640449438202, 0.0, 0.0, 0.0, 0.5, 21, 18, 8
0.95, 0.05, 0.95, 35, target_accuracy, 174, 103, 5, 0.5919540229885057, True, 0.970873786407767, 0.0, 0.0, 0.0, 0.5, 0.970873786407767, 0.0, 0.0, 0.0, 0.5, 0.970873786407767, 0.0, 0.0, 0.0, 0.5, 0.970873786407767, 0.0, 0.0, 0.0, 0.5, 0.970873786407767, 0.0, 0.0, 0.0, 0.5, 18, 17, 5
0.95, 0.05, 0.95, 35, target_accuracy, 174, 87, 6, 0.5, True, 0.9540229885057471, 0.0, 0.0, 0.0, 0.5, 0.9655172413793104, 0.4, 1.0, 0.25, 0.625, 0.9540229885057471, 0.0, 0.0, 0.0, 0.5, 0.9655172413793104, 0.4, 1.0, 0.25, 0.625, 0.9540229885057471, 0.0, 0.0, 0.0, 0.5, 15, 23, 6
0.95, 0.05, 0.95, 35, target_accuracy, 174, 93, 7, 0.5344827586206896, True, 0.967741935483871, 0.0, 0.0, 0.0, 0.4945054945054945, 0.978494623655914, 0.0, 0.0, 0.0, 0.5, 0.978494623655914, 0.0, 0.0, 0.0, 0.5, 0.978494623655914, 0.0, 0.0, 0.0, 0.5, 0.978494623655914, 0.0, 0.0, 0.0, 0.5, 18, 18, 7
0.95, 0.05, 0.95, 35, target_accuracy, 174, 80, 5, 0.45977011494252873, True, 0.975, 0.0, 0.0, 0.0, 0.5, 0.975, 0.0, 0.0, 0.0, 0.5, 0.975, 0.0, 0.0, 0.0, 0.5, 0.975, 0.0, 0.0, 0.0, 0.5, 0.975, 0.0, 0.0, 0.0, 0.5, 21, 21, 5
