chi_square_percent_point_function, scale_feature_coefficient, min_accuracy_coefficient, min_number_class_per_node, sorting_method, dataset_test_size, dataset_test_categorizable, number_of_rules, cobertura, recursive, ensemble_accuracy, ensemble_f1_score, ensemble_precision_score, ensemble_recall, ensemble_roc_auc_score, tree_accuracy, tree_f1_score, tree_precision_score, tree_recall_score, tree_roc_auc_score, RuleFit_accuracy, RuleFit_f1_score, RuleFit_precision_score, RuleFit_recall_score, RuleFit_roc_auc_score, RuleCOSI_accuracy, RuleCOSI_f1_score, RuleCOSI_precision_score, RuleCOSI_recall_score, RuleCOSI_roc_auc_score, rules_accuracy, rules_f1_score, rules_precision_score, rules_recall_score, rules_roc_auc_score, RuleFit_numrules, RuleCOSI_numrules, rules_numrules
0.95, 0.05, 0.95, 50, target_accuracy, 175, 81, 5, 0.46285714285714286, False, 0.9876543209876543, 0.0, 0.0, 0.0, 0.5, 0.9876543209876543, 0.0, 0.0, 0.0, 0.5, 0.9876543209876543, 0.0, 0.0, 0.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9876543209876543, 0.0, 0.0, 0.0, 0.5, 16, 24, 5
0.95, 0.05, 0.95, 50, target_accuracy, 175, 77, 5, 0.44, False, 0.961038961038961, 0.4, 1.0, 0.25, 0.625, 0.948051948051948, 0.0, 0.0, 0.0, 0.5, 0.948051948051948, 0.0, 0.0, 0.0, 0.5, 0.948051948051948, 0.0, 0.0, 0.0, 0.5, 0.948051948051948, 0.0, 0.0, 0.0, 0.5, 22, 51, 5
0.95, 0.05, 0.95, 50, target_accuracy, 175, 82, 5, 0.4685714285714286, False, 0.9390243902439024, 0.0, 0.0, 0.0, 0.4935897435897436, 0.9512195121951219, 0.0, 0.0, 0.0, 0.5, 0.9512195121951219, 0.0, 0.0, 0.0, 0.5, 0.9512195121951219, 0.0, 0.0, 0.0, 0.5, 0.9512195121951219, 0.0, 0.0, 0.0, 0.5, 19, 43, 5
0.95, 0.05, 0.95, 50, target_accuracy, 175, 89, 4, 0.5085714285714286, False, 0.9550561797752809, 0.3333333333333333, 0.5, 0.25, 0.6191176470588236, 0.9662921348314607, 0.4, 1.0, 0.25, 0.625, 0.9550561797752809, 0.0, 0.0, 0.0, 0.5, 0.9550561797752809, 0.0, 0.0, 0.0, 0.5, 0.9550561797752809, 0.0, 0.0, 0.0, 0.5, 17, 22, 4
0.95, 0.05, 0.95, 50, target_accuracy, 174, 69, 3, 0.39655172413793105, False, 0.9855072463768116, 0.0, 0.0, 0.0, 0.5, 0.9855072463768116, 0.0, 0.0, 0.0, 0.5, 0.9855072463768116, 0.0, 0.0, 0.0, 0.5, 0.9855072463768116, 0.0, 0.0, 0.0, 0.5, 0.9855072463768116, 0.0, 0.0, 0.0, 0.5, 18, 16, 3
0.95, 0.05, 0.95, 50, target_accuracy, 174, 83, 5, 0.47701149425287354, False, 0.9879518072289156, 0.0, 0.0, 0.0, 0.5, 0.9879518072289156, 0.0, 0.0, 0.0, 0.5, 0.9879518072289156, 0.0, 0.0, 0.0, 0.5, 0.9879518072289156, 0.0, 0.0, 0.0, 0.5, 0.9879518072289156, 0.0, 0.0, 0.0, 0.5, 18, 9, 5
0.95, 0.05, 0.95, 50, target_accuracy, 174, 88, 5, 0.5057471264367817, False, 0.9772727272727273, 0.0, 0.0, 0.0, 0.4942528735632184, 0.9772727272727273, 0.0, 0.0, 0.0, 0.4942528735632184, 0.9886363636363636, 0.0, 0.0, 0.0, 0.5, 0.9886363636363636, 0.0, 0.0, 0.0, 0.5, 0.9886363636363636, 0.0, 0.0, 0.0, 0.5, 18, 15, 5
0.95, 0.05, 0.95, 50, target_accuracy, 174, 88, 5, 0.5057471264367817, False, 0.9772727272727273, 0.5, 0.5, 0.5, 0.7441860465116279, 0.9659090909090909, 0.0, 0.0, 0.0, 0.4941860465116279, 0.9772727272727273, 0.0, 0.0, 0.0, 0.5, 0.9659090909090909, 0.0, 0.0, 0.0, 0.4941860465116279, 0.9772727272727273, 0.0, 0.0, 0.0, 0.5, 18, 19, 5
0.95, 0.05, 0.95, 50, target_accuracy, 174, 91, 5, 0.5229885057471264, False, 0.978021978021978, 0.0, 0.0, 0.0, 0.5, 0.978021978021978, 0.0, 0.0, 0.0, 0.5, 0.978021978021978, 0.0, 0.0, 0.0, 0.5, 0.978021978021978, 0.0, 0.0, 0.0, 0.5, 0.978021978021978, 0.0, 0.0, 0.0, 0.5, 19, 13, 5
0.95, 0.05, 0.95, 50, target_accuracy, 174, 95, 5, 0.5459770114942529, False, 0.9789473684210527, 0.0, 0.0, 0.0, 0.5, 0.968421052631579, 0.0, 0.0, 0.0, 0.4946236559139785, 0.9789473684210527, 0.0, 0.0, 0.0, 0.5, 0.9894736842105263, 0.6666666666666666, 1.0, 0.5, 0.75, 0.9789473684210527, 0.0, 0.0, 0.0, 0.5, 21, 17, 5
0.95, 0.05, 0.95, 50, target_accuracy, 175, 94, 5, 0.5371428571428571, False, 0.9787234042553191, 0.5, 0.5, 0.5, 0.7445652173913043, 0.9680851063829787, 0.4, 0.3333333333333333, 0.5, 0.7391304347826088, 0.9787234042553191, 0.0, 0.0, 0.0, 0.5, 0.9680851063829787, 0.0, 0.0, 0.0, 0.4945652173913043, 0.9787234042553191, 0.0, 0.0, 0.0, 0.5, 20, 16, 5
0.95, 0.05, 0.95, 50, target_accuracy, 175, 83, 4, 0.4742857142857143, False, 0.9879518072289156, 0.0, 0.0, 0.0, 0.5, 0.9759036144578314, 0.0, 0.0, 0.0, 0.49390243902439024, 0.9879518072289156, 0.0, 0.0, 0.0, 0.5, 0.9879518072289156, 0.0, 0.0, 0.0, 0.5, 0.9879518072289156, 0.0, 0.0, 0.0, 0.5, 19, 15, 4
0.95, 0.05, 0.95, 50, target_accuracy, 175, 92, 4, 0.5257142857142857, False, 0.9565217391304348, 0.0, 0.0, 0.0, 0.5, 0.9456521739130435, 0.0, 0.0, 0.0, 0.4943181818181818, 0.9565217391304348, 0.0, 0.0, 0.0, 0.5, 0.967391304347826, 0.4, 1.0, 0.25, 0.625, 0.9565217391304348, 0.0, 0.0, 0.0, 0.5, 19, 35, 4
0.95, 0.05, 0.95, 50, target_accuracy, 175, 87, 3, 0.49714285714285716, False, 0.9770114942528736, 0.0, 0.0, 0.0, 0.5, 0.9655172413793104, 0.0, 0.0, 0.0, 0.49411764705882355, 0.9770114942528736, 0.0, 0.0, 0.0, 0.5, 0.9655172413793104, 0.0, 0.0, 0.0, 0.49411764705882355, 0.9770114942528736, 0.0, 0.0, 0.0, 0.5, 21, 30, 3
0.95, 0.05, 0.95, 50, target_accuracy, 174, 82, 5, 0.47126436781609193, False, 0.975609756097561, 0.0, 0.0, 0.0, 0.5, 0.975609756097561, 0.0, 0.0, 0.0, 0.5, 0.975609756097561, 0.0, 0.0, 0.0, 0.5, 0.975609756097561, 0.0, 0.0, 0.0, 0.5, 0.975609756097561, 0.0, 0.0, 0.0, 0.5, 19, 57, 5
0.95, 0.05, 0.95, 50, target_accuracy, 174, 83, 4, 0.47701149425287354, False, 0.9759036144578314, 0.0, 0.0, 0.0, 0.5, 0.9759036144578314, 0.0, 0.0, 0.0, 0.5, 0.9759036144578314, 0.0, 0.0, 0.0, 0.5, 0.9759036144578314, 0.0, 0.0, 0.0, 0.5, 0.9759036144578314, 0.0, 0.0, 0.0, 0.5, 18, 18, 4
0.95, 0.05, 0.95, 50, target_accuracy, 174, 82, 4, 0.47126436781609193, False, 0.9878048780487805, 0.0, 0.0, 0.0, 0.5, 0.9878048780487805, 0.0, 0.0, 0.0, 0.5, 0.9878048780487805, 0.0, 0.0, 0.0, 0.5, 0.9878048780487805, 0.0, 0.0, 0.0, 0.5, 0.9878048780487805, 0.0, 0.0, 0.0, 0.5, 17, 14, 4
0.95, 0.05, 0.95, 50, target_accuracy, 174, 94, 6, 0.5402298850574713, False, 0.9680851063829787, 0.0, 0.0, 0.0, 0.5, 0.9574468085106383, 0.0, 0.0, 0.0, 0.4945054945054945, 0.9680851063829787, 0.0, 0.0, 0.0, 0.5, 0.9787234042553191, 0.5, 1.0, 0.3333333333333333, 0.6666666666666666, 0.9680851063829787, 0.0, 0.0, 0.0, 0.5, 18, 60, 6
0.95, 0.05, 0.95, 50, target_accuracy, 174, 93, 5, 0.5344827586206896, False, 0.989247311827957, 0.0, 0.0, 0.0, 0.5, 0.978494623655914, 0.0, 0.0, 0.0, 0.4945652173913043, 0.989247311827957, 0.0, 0.0, 0.0, 0.5, 0.978494623655914, 0.0, 0.0, 0.0, 0.4945652173913043, 0.989247311827957, 0.0, 0.0, 0.0, 0.5, 21, 24, 5
0.95, 0.05, 0.95, 50, target_accuracy, 174, 86, 5, 0.4942528735632184, False, 0.9883720930232558, 0.0, 0.0, 0.0, 0.5, 0.9883720930232558, 0.0, 0.0, 0.0, 0.5, 0.9883720930232558, 0.0, 0.0, 0.0, 0.5, 0.9767441860465116, 0.0, 0.0, 0.0, 0.49411764705882355, 0.9883720930232558, 0.0, 0.0, 0.0, 0.5, 14, 17, 5
0.95, 0.05, 0.95, 50, target_accuracy, 175, 89, 6, 0.5085714285714286, False, 0.9775280898876404, 0.0, 0.0, 0.0, 0.5, 0.9775280898876404, 0.0, 0.0, 0.0, 0.5, 0.9775280898876404, 0.0, 0.0, 0.0, 0.5, 0.9775280898876404, 0.0, 0.0, 0.0, 0.5, 0.9775280898876404, 0.0, 0.0, 0.0, 0.5, 17, 36, 6
