chi_square_percent_point_function, scale_feature_coefficient, min_accuracy_coefficient, min_number_class_per_node, sorting_method, dataset_test_size, dataset_test_categorizable, number_of_rules, cobertura, recursive, ensemble_accuracy, ensemble_f1_score, ensemble_precision_score, ensemble_recall, ensemble_roc_auc_score, tree_accuracy, tree_f1_score, tree_precision_score, tree_recall_score, tree_roc_auc_score, RuleFit_accuracy, RuleFit_f1_score, RuleFit_precision_score, RuleFit_recall_score, RuleFit_roc_auc_score, RuleCOSI_accuracy, RuleCOSI_f1_score, RuleCOSI_precision_score, RuleCOSI_recall_score, RuleCOSI_roc_auc_score, rules_accuracy, rules_f1_score, rules_precision_score, rules_recall_score, rules_roc_auc_score, RuleFit_numrules, RuleCOSI_numrules, rules_numrules
0.95, 0.05, 0.95, 35, target_accuracy, 175, 88, 5, 0.5028571428571429, True, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 16, 20, 5
0.95, 0.05, 0.95, 35, target_accuracy, 175, 96, 5, 0.5485714285714286, True, 0.96875, 0.0, 0.0, 0.0, 0.5, 0.9583333333333334, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.6559139784946236, 0.96875, 0.0, 0.0, 0.0, 0.5, 0.9583333333333334, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.6559139784946236, 0.96875, 0.0, 0.0, 0.0, 0.5, 20, 10, 5
0.95, 0.05, 0.95, 35, target_accuracy, 175, 86, 5, 0.49142857142857144, True, 0.9651162790697675, 0.0, 0.0, 0.0, 0.49404761904761907, 0.9651162790697675, 0.0, 0.0, 0.0, 0.49404761904761907, 0.9767441860465116, 0.0, 0.0, 0.0, 0.5, 0.9651162790697675, 0.0, 0.0, 0.0, 0.49404761904761907, 0.9767441860465116, 0.0, 0.0, 0.0, 0.5, 17, 24, 5
0.95, 0.05, 0.95, 35, target_accuracy, 175, 83, 5, 0.4742857142857143, True, 0.9759036144578314, 0.0, 0.0, 0.0, 0.5, 0.9759036144578314, 0.0, 0.0, 0.0, 0.5, 0.9759036144578314, 0.0, 0.0, 0.0, 0.5, 0.9759036144578314, 0.0, 0.0, 0.0, 0.5, 0.9759036144578314, 0.0, 0.0, 0.0, 0.5, 22, 13, 5
0.95, 0.05, 0.95, 35, target_accuracy, 174, 104, 6, 0.5977011494252874, True, 0.9711538461538461, 0.0, 0.0, 0.0, 0.5, 0.9711538461538461, 0.0, 0.0, 0.0, 0.5, 0.9711538461538461, 0.0, 0.0, 0.0, 0.5, 0.9711538461538461, 0.0, 0.0, 0.0, 0.5, 0.9711538461538461, 0.0, 0.0, 0.0, 0.5, 20, 30, 6
0.95, 0.05, 0.95, 35, target_accuracy, 174, 65, 4, 0.3735632183908046, True, 0.9846153846153847, 0.0, 0.0, 0.0, 0.5, 0.9846153846153847, 0.0, 0.0, 0.0, 0.5, 0.9846153846153847, 0.0, 0.0, 0.0, 0.5, 0.9846153846153847, 0.0, 0.0, 0.0, 0.5, 0.9846153846153847, 0.0, 0.0, 0.0, 0.5, 22, 53, 4
0.95, 0.05, 0.95, 35, target_accuracy, 174, 95, 7, 0.5459770114942529, True, 0.968421052631579, 0.0, 0.0, 0.0, 0.5, 0.968421052631579, 0.0, 0.0, 0.0, 0.5, 0.968421052631579, 0.0, 0.0, 0.0, 0.5, 0.9578947368421052, 0.0, 0.0, 0.0, 0.4945652173913043, 0.968421052631579, 0.0, 0.0, 0.0, 0.5, 20, 19, 7
0.95, 0.05, 0.95, 35, target_accuracy, 174, 75, 5, 0.43103448275862066, True, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9866666666666667, 0.0, 0.0, 0.0, 0.5, 0.9866666666666667, 0.0, 0.0, 0.0, 0.5, 0.9866666666666667, 0.0, 0.0, 0.0, 0.5, 0.9866666666666667, 0.0, 0.0, 0.0, 0.5, 22, 50, 5
0.95, 0.05, 0.95, 35, target_accuracy, 174, 77, 3, 0.4425287356321839, True, 0.987012987012987, 0.6666666666666666, 1.0, 0.5, 0.75, 0.987012987012987, 0.6666666666666666, 1.0, 0.5, 0.75, 0.974025974025974, 0.0, 0.0, 0.0, 0.5, 0.974025974025974, 0.0, 0.0, 0.0, 0.5, 0.974025974025974, 0.0, 0.0, 0.0, 0.5, 16, 8, 3
0.95, 0.05, 0.95, 35, target_accuracy, 174, 85, 3, 0.4885057471264368, True, 0.9882352941176471, 0.0, 0.0, 0.0, 0.5, 0.9764705882352941, 0.0, 0.0, 0.0, 0.49404761904761907, 0.9882352941176471, 0.0, 0.0, 0.0, 0.5, 0.9882352941176471, 0.0, 0.0, 0.0, 0.5, 0.9882352941176471, 0.0, 0.0, 0.0, 0.5, 22, 16, 3
