chi_square_percent_point_function, scale_feature_coefficient, min_accuracy_coefficient, min_number_class_per_node, sorting_method, dataset_test_size, dataset_test_categorizable, number_of_rules, cobertura, recursive, ensemble_accuracy, ensemble_f1_score, ensemble_precision_score, ensemble_recall, ensemble_roc_auc_score, tree_accuracy, tree_f1_score, tree_precision_score, tree_recall_score, tree_roc_auc_score, RuleFit_accuracy, RuleFit_f1_score, RuleFit_precision_score, RuleFit_recall_score, RuleFit_roc_auc_score, RuleCOSI_accuracy, RuleCOSI_f1_score, RuleCOSI_precision_score, RuleCOSI_recall_score, RuleCOSI_roc_auc_score, rules_accuracy, rules_f1_score, rules_precision_score, rules_recall_score, rules_roc_auc_score, RuleFit_numrules, RuleCOSI_numrules, rules_numrules
0.95, 0.05, 0.95, 10, target_accuracy, 175, 66, 8, 0.37714285714285717, False, 1.0, 0.0, 0.0, 0.0, 0.0, 0.9848484848484849, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 21, 3, 8
0.95, 0.05, 0.95, 10, target_accuracy, 175, 82, 9, 0.4685714285714286, False, 0.975609756097561, 0.0, 0.0, 0.0, 0.5, 0.975609756097561, 0.0, 0.0, 0.0, 0.5, 0.975609756097561, 0.0, 0.0, 0.0, 0.5, 0.975609756097561, 0.0, 0.0, 0.0, 0.5, 0.975609756097561, 0.0, 0.0, 0.0, 0.5, 18, 1, 9
0.95, 0.05, 0.95, 10, target_accuracy, 175, 78, 8, 0.44571428571428573, False, 0.9871794871794872, 0.6666666666666666, 1.0, 0.5, 0.75, 0.9871794871794872, 0.6666666666666666, 1.0, 0.5, 0.75, 0.9743589743589743, 0.0, 0.0, 0.0, 0.5, 0.9743589743589743, 0.0, 0.0, 0.0, 0.5, 0.9743589743589743, 0.0, 0.0, 0.0, 0.5, 20, 3, 8
0.95, 0.05, 0.95, 10, target_accuracy, 175, 62, 5, 0.35428571428571426, False, 0.9516129032258065, 0.4, 0.5, 0.3333333333333333, 0.6581920903954802, 0.9193548387096774, 0.0, 0.0, 0.0, 0.4830508474576271, 0.9354838709677419, 0.0, 0.0, 0.0, 0.4915254237288136, 0.9516129032258065, 0.0, 0.0, 0.0, 0.5, 0.9516129032258065, 0.0, 0.0, 0.0, 0.5, 21, 1, 5
0.95, 0.05, 0.95, 10, target_accuracy, 174, 43, 6, 0.2471264367816092, False, 0.9534883720930233, 0.6666666666666666, 1.0, 0.5, 0.75, 0.9069767441860465, 0.0, 0.0, 0.0, 0.5, 0.9302325581395349, 0.4, 1.0, 0.25, 0.625, 0.9069767441860465, 0.0, 0.0, 0.0, 0.5, 0.9069767441860465, 0.0, 0.0, 0.0, 0.5, 19, 1, 6
0.95, 0.05, 0.95, 10, target_accuracy, 174, 74, 7, 0.42528735632183906, False, 0.9864864864864865, 0.6666666666666666, 1.0, 0.5, 0.75, 0.972972972972973, 0.5, 0.5, 0.5, 0.7430555555555556, 0.9864864864864865, 0.6666666666666666, 1.0, 0.5, 0.75, 0.9864864864864865, 0.6666666666666666, 1.0, 0.5, 0.75, 0.972972972972973, 0.0, 0.0, 0.0, 0.5, 14, 4, 7
0.95, 0.05, 0.95, 10, target_accuracy, 174, 33, 7, 0.1896551724137931, False, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 18, 3, 7
0.95, 0.05, 0.95, 10, target_accuracy, 174, 61, 7, 0.3505747126436782, False, 0.9508196721311475, 0.5714285714285715, 0.6666666666666666, 0.5, 0.7412280701754386, 0.9508196721311475, 0.5714285714285715, 0.6666666666666666, 0.5, 0.7412280701754386, 0.9672131147540983, 0.6666666666666666, 1.0, 0.5, 0.75, 0.9344262295081968, 0.0, 0.0, 0.0, 0.5, 0.9344262295081968, 0.0, 0.0, 0.0, 0.5, 22, 6, 7
0.95, 0.05, 0.95, 10, target_accuracy, 174, 97, 10, 0.5574712643678161, False, 0.9381443298969072, 0.4, 1.0, 0.25, 0.625, 0.9175257731958762, 0.2, 0.5, 0.125, 0.5568820224719101, 0.9278350515463918, 0.2222222222222222, 1.0, 0.125, 0.5625, 0.9278350515463918, 0.2222222222222222, 1.0, 0.125, 0.5625, 0.9175257731958762, 0.0, 0.0, 0.0, 0.5, 16, 3, 10
0.95, 0.05, 0.95, 10, target_accuracy, 174, 67, 9, 0.3850574712643678, False, 0.9701492537313433, 0.0, 0.0, 0.0, 0.49242424242424243, 0.9701492537313433, 0.0, 0.0, 0.0, 0.49242424242424243, 0.9850746268656716, 0.0, 0.0, 0.0, 0.5, 0.9850746268656716, 0.0, 0.0, 0.0, 0.5, 0.9850746268656716, 0.0, 0.0, 0.0, 0.5, 18, 1, 9
0.95, 0.05, 0.95, 10, target_accuracy, 175, 74, 10, 0.4228571428571429, False, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 14, 4, 10
0.95, 0.05, 0.95, 10, target_accuracy, 175, 66, 9, 0.37714285714285717, False, 0.9242424242424242, 0.28571428571428575, 0.3333333333333333, 0.25, 0.6088709677419355, 0.9242424242424242, 0.0, 0.0, 0.0, 0.49193548387096775, 0.9090909090909091, 0.0, 0.0, 0.0, 0.4838709677419355, 0.9393939393939394, 0.0, 0.0, 0.0, 0.5, 0.9393939393939394, 0.0, 0.0, 0.0, 0.5, 21, 1, 9
0.95, 0.05, 0.95, 10, target_accuracy, 175, 62, 7, 0.35428571428571426, False, 0.9354838709677419, 0.3333333333333333, 0.5, 0.25, 0.6163793103448276, 0.9193548387096774, 0.0, 0.0, 0.0, 0.49137931034482757, 0.9516129032258065, 0.4, 1.0, 0.25, 0.625, 0.9516129032258065, 0.4, 1.0, 0.25, 0.625, 0.9354838709677419, 0.0, 0.0, 0.0, 0.5, 16, 4, 7
0.95, 0.05, 0.95, 10, target_accuracy, 175, 42, 5, 0.24, False, 0.9761904761904762, 0.0, 0.0, 0.0, 0.5, 0.9761904761904762, 0.0, 0.0, 0.0, 0.5, 0.9761904761904762, 0.0, 0.0, 0.0, 0.5, 0.9761904761904762, 0.0, 0.0, 0.0, 0.5, 0.9761904761904762, 0.0, 0.0, 0.0, 0.5, 17, 1, 5
