chi_square_percent_point_function, scale_feature_coefficient, min_accuracy_coefficient, min_number_class_per_node, sorting_method, dataset_test_size, dataset_test_categorizable, number_of_rules, cobertura, recursive, ensemble_accuracy, ensemble_f1_score, ensemble_precision_score, ensemble_recall, ensemble_roc_auc_score, tree_accuracy, tree_f1_score, tree_precision_score, tree_recall_score, tree_roc_auc_score, RuleFit_accuracy, RuleFit_f1_score, RuleFit_precision_score, RuleFit_recall_score, RuleFit_roc_auc_score, RuleCOSI_accuracy, RuleCOSI_f1_score, RuleCOSI_precision_score, RuleCOSI_recall_score, RuleCOSI_roc_auc_score, rules_accuracy, rules_f1_score, rules_precision_score, rules_recall_score, rules_roc_auc_score, RuleFit_numrules, RuleCOSI_numrules, rules_numrules
0.95, 0.05, 0.95, 5, target_accuracy, 175, 98, 39, 0.56, True, 0.9489795918367347, 0.6666666666666666, 0.7142857142857143, 0.625, 0.8013888888888888, 0.9285714285714286, 0.36363636363636365, 0.6666666666666666, 0.25, 0.6194444444444445, 0.9285714285714286, 0.36363636363636365, 0.6666666666666666, 0.25, 0.6194444444444445, 0.9183673469387755, 0.0, 0.0, 0.0, 0.5, 0.9285714285714286, 0.4615384615384615, 0.6, 0.375, 0.6763888888888888, 13, 3, 39
0.95, 0.05, 0.95, 5, target_accuracy, 175, 94, 20, 0.5371428571428571, True, 0.9361702127659575, 0.25, 0.5, 0.16666666666666666, 0.5776515151515152, 0.9574468085106383, 0.6, 0.75, 0.5, 0.7443181818181818, 0.9468085106382979, 0.2857142857142857, 1.0, 0.16666666666666666, 0.5833333333333334, 0.9468085106382979, 0.2857142857142857, 1.0, 0.16666666666666666, 0.5833333333333334, 0.9468085106382979, 0.2857142857142857, 1.0, 0.16666666666666666, 0.5833333333333334, 18, 3, 20
0.95, 0.05, 0.95, 5, target_accuracy, 175, 112, 25, 0.64, True, 0.9732142857142857, 0.8235294117647058, 1.0, 0.7, 0.85, 0.9464285714285714, 0.7, 0.7, 0.7, 0.8352941176470587, 0.9553571428571429, 0.6666666666666666, 1.0, 0.5, 0.75, 0.9107142857142857, 0.0, 0.0, 0.0, 0.5, 0.9464285714285714, 0.7, 0.7, 0.7, 0.8352941176470587, 17, 1, 25
0.95, 0.05, 0.95, 5, target_accuracy, 175, 106, 29, 0.6057142857142858, True, 0.9528301886792453, 0.6153846153846153, 1.0, 0.4444444444444444, 0.7222222222222222, 0.9528301886792453, 0.6153846153846153, 1.0, 0.4444444444444444, 0.7222222222222222, 0.9528301886792453, 0.6153846153846153, 1.0, 0.4444444444444444, 0.7222222222222222, 0.9245283018867925, 0.19999999999999998, 1.0, 0.1111111111111111, 0.5555555555555556, 0.9433962264150944, 0.5, 1.0, 0.3333333333333333, 0.6666666666666666, 21, 4, 29
0.95, 0.05, 0.95, 5, target_accuracy, 174, 84, 14, 0.4827586206896552, True, 0.9761904761904762, 0.6666666666666666, 1.0, 0.5, 0.75, 0.9642857142857143, 0.4, 1.0, 0.25, 0.625, 0.9523809523809523, 0.0, 0.0, 0.0, 0.5, 0.9523809523809523, 0.0, 0.0, 0.0, 0.5, 0.9642857142857143, 0.4, 1.0, 0.25, 0.625, 18, 3, 14
0.95, 0.05, 0.95, 5, target_accuracy, 174, 109, 22, 0.6264367816091954, True, 0.981651376146789, 0.875, 0.875, 0.875, 0.9325495049504949, 0.9724770642201835, 0.7999999999999999, 0.8571428571428571, 0.75, 0.870049504950495, 0.981651376146789, 0.8571428571428571, 1.0, 0.75, 0.875, 0.926605504587156, 0.0, 0.0, 0.0, 0.5, 0.9908256880733946, 0.9333333333333333, 1.0, 0.875, 0.9375, 16, 1, 22
0.95, 0.05, 0.95, 5, target_accuracy, 174, 96, 22, 0.5517241379310345, True, 0.9375, 0.6666666666666665, 0.75, 0.6, 0.7883720930232558, 0.9270833333333334, 0.588235294117647, 0.7142857142857143, 0.5, 0.7383720930232558, 0.9479166666666666, 0.6666666666666666, 1.0, 0.5, 0.75, 0.8958333333333334, 0.0, 0.0, 0.0, 0.5, 0.9479166666666666, 0.6666666666666666, 1.0, 0.5, 0.75, 17, 1, 22
0.95, 0.05, 0.95, 5, target_accuracy, 174, 96, 19, 0.5517241379310345, True, 0.9583333333333334, 0.7142857142857143, 1.0, 0.5555555555555556, 0.7777777777777778, 0.9479166666666666, 0.7058823529411765, 0.75, 0.6666666666666666, 0.82183908045977, 0.96875, 0.8, 1.0, 0.6666666666666666, 0.8333333333333333, 0.90625, 0.1818181818181818, 0.5, 0.1111111111111111, 0.5498084291187739, 0.9375, 0.5, 1.0, 0.3333333333333333, 0.6666666666666666, 21, 5, 19
0.95, 0.05, 0.95, 5, target_accuracy, 174, 95, 19, 0.5459770114942529, True, 0.9157894736842105, 0.2, 0.5, 0.125, 0.5567528735632183, 0.9263157894736842, 0.2222222222222222, 1.0, 0.125, 0.5625, 0.9263157894736842, 0.2222222222222222, 1.0, 0.125, 0.5625, 0.9157894736842105, 0.0, 0.0, 0.0, 0.5, 0.9263157894736842, 0.2222222222222222, 1.0, 0.125, 0.5625, 18, 3, 19
0.95, 0.05, 0.95, 5, target_accuracy, 174, 94, 18, 0.5402298850574713, True, 0.9893617021276596, 0.9090909090909091, 0.8333333333333334, 1.0, 0.9943820224719101, 0.9787234042553191, 0.8000000000000002, 0.8, 0.8, 0.8943820224719101, 0.9787234042553191, 0.8000000000000002, 0.8, 0.8, 0.8943820224719101, 0.9468085106382979, 0.0, 0.0, 0.0, 0.5, 0.9787234042553191, 0.7499999999999999, 1.0, 0.6, 0.8, 17, 1, 18
