ensemble_criterion, chi_square_percent_point_function, scale_feature_coefficient, min_accuracy_coefficient, min_number_class_per_node, sorting_method, dataset_test_size, dataset_test_categorizable, number_of_rules, cobertura, ensemble_accuracy, ensemble_f1_score, ensemble_precision_score, ensemble_recall, ensemble_roc_auc_score, tree_accuracy, tree_f1_score, tree_precision_score, tree_recall_score, tree_roc_auc_score, RuleFit_accuracy, RuleFit_f1_score, RuleFit_precision_score, RuleFit_recall_score, RuleFit_roc_auc_score, RuleCOSI_accuracy, RuleCOSI_f1_score, RuleCOSI_precision_score, RuleCOSI_recall_score, RuleCOSI_roc_auc_score, rules_accuracy, rules_f1_score, rules_precision_score, rules_recall_score, rules_roc_auc_score
gini, 0.95, 0.05, 0.95, 5, target_accuracy, 175, 84, 10, 0.48, 0.9880952380952381, 0.6666666666666666, 1.0, 0.5, 0.75, 0.9642857142857143, 0.4, 0.3333333333333333, 0.5, 0.7378048780487805, 0.9880952380952381, 0.6666666666666666, 1.0, 0.5, 0.75, 0.9880952380952381, 0.6666666666666666, 1.0, 0.5, 0.75, 0.9880952380952381, 0.6666666666666666, 1.0, 0.5, 0.75
gini, 0.95, 0.05, 0.95, 10, target_accuracy, 175, 83, 8, 0.4742857142857143, 0.9879518072289156, 0.0, 0.0, 0.0, 0.5, 0.963855421686747, 0.0, 0.0, 0.0, 0.4878048780487805, 0.9879518072289156, 0.0, 0.0, 0.0, 0.5, 0.9879518072289156, 0.0, 0.0, 0.0, 0.5, 0.9879518072289156, 0.0, 0.0, 0.0, 0.5
gini, 0.95, 0.05, 0.95, 20, target_accuracy, 175, 80, 5, 0.45714285714285713, 0.9875, 0.0, 0.0, 0.0, 0.5, 0.975, 0.0, 0.0, 0.0, 0.4936708860759494, 0.9875, 0.0, 0.0, 0.0, 0.5, 0.9875, 0.0, 0.0, 0.0, 0.5, 0.9875, 0.0, 0.0, 0.0, 0.5
gini, 0.95, 0.05, 0.95, 25, target_accuracy, 175, 80, 5, 0.45714285714285713, 0.9875, 0.0, 0.0, 0.0, 0.5, 0.975, 0.0, 0.0, 0.0, 0.4936708860759494, 0.9875, 0.0, 0.0, 0.0, 0.5, 0.9875, 0.0, 0.0, 0.0, 0.5, 0.9875, 0.0, 0.0, 0.0, 0.5
gini, 0.95, 0.05, 0.95, 30, target_accuracy, 175, 80, 5, 0.45714285714285713, 0.9875, 0.0, 0.0, 0.0, 0.5, 0.975, 0.0, 0.0, 0.0, 0.4936708860759494, 0.9875, 0.0, 0.0, 0.0, 0.5, 0.9875, 0.0, 0.0, 0.0, 0.5, 0.9875, 0.0, 0.0, 0.0, 0.5
gini, 0.95, 0.05, 0.95, 50, target_accuracy, 175, 80, 5, 0.45714285714285713, 0.9875, 0.0, 0.0, 0.0, 0.5, 0.975, 0.0, 0.0, 0.0, 0.4936708860759494, 0.9875, 0.0, 0.0, 0.0, 0.5, 0.9875, 0.0, 0.0, 0.0, 0.5, 0.9875, 0.0, 0.0, 0.0, 0.5
gini, 0.95, 0.05, 0.95, 5, target_accuracy, 175, 91, 10, 0.52, 0.967032967032967, 0.7272727272727273, 1.0, 0.5714285714285714, 0.7857142857142857, 0.967032967032967, 0.7692307692307692, 0.8333333333333334, 0.7142857142857143, 0.8511904761904763, 0.967032967032967, 0.7272727272727273, 1.0, 0.5714285714285714, 0.7857142857142857, 0.9560439560439561, 0.6666666666666666, 0.8, 0.5714285714285714, 0.7797619047619048, 0.978021978021978, 0.8333333333333333, 1.0, 0.7142857142857143, 0.8571428571428572
gini, 0.95, 0.05, 0.95, 10, target_accuracy, 175, 90, 8, 0.5142857142857142, 0.9777777777777777, 0.8, 1.0, 0.6666666666666666, 0.8333333333333333, 0.9666666666666667, 0.7272727272727272, 0.8, 0.6666666666666666, 0.8273809523809523, 0.9777777777777777, 0.8, 1.0, 0.6666666666666666, 0.8333333333333333, 0.9666666666666667, 0.7272727272727272, 0.8, 0.6666666666666666, 0.8273809523809523, 0.9777777777777777, 0.8, 1.0, 0.6666666666666666, 0.8333333333333333
gini, 0.95, 0.05, 0.95, 20, target_accuracy, 175, 83, 6, 0.4742857142857143, 0.9879518072289156, 0.8, 1.0, 0.6666666666666666, 0.8333333333333333, 0.9759036144578314, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.8270833333333333, 0.9879518072289156, 0.8, 1.0, 0.6666666666666666, 0.8333333333333333, 0.9879518072289156, 0.8, 1.0, 0.6666666666666666, 0.8333333333333333, 0.9879518072289156, 0.8, 1.0, 0.6666666666666666, 0.8333333333333333
gini, 0.95, 0.05, 0.95, 25, target_accuracy, 175, 81, 5, 0.46285714285714286, 0.9876543209876543, 0.0, 0.0, 0.0, 0.5, 0.9753086419753086, 0.0, 0.0, 0.0, 0.49375, 0.9876543209876543, 0.0, 0.0, 0.0, 0.5, 0.9876543209876543, 0.0, 0.0, 0.0, 0.5, 0.9876543209876543, 0.0, 0.0, 0.0, 0.5
