ensemble_criterion, chi_square_percent_point_function, scale_feature_coefficient, min_accuracy_coefficient, min_number_class_per_node, sorting_method, dataset_test_size, dataset_test_categorizable, number_of_rules, cobertura, ensemble_accuracy, ensemble_f1_score, ensemble_precision_score, ensemble_recall, ensemble_roc_auc_score, tree_accuracy, tree_f1_score, tree_precision_score, tree_recall_score, tree_roc_auc_score, RuleFit_accuracy, RuleFit_f1_score, RuleFit_precision_score, RuleFit_recall_score, RuleFit_roc_auc_score, RuleCOSI_accuracy, RuleCOSI_f1_score, RuleCOSI_precision_score, RuleCOSI_recall_score, RuleCOSI_roc_auc_score, rules_accuracy, rules_f1_score, rules_precision_score, rules_recall_score, rules_roc_auc_score
gini, 0.95, 0.05, 0.95, 5, target_accuracy, 175, 111, 20, 0.6342857142857142, 0.972972972972973, 0.6666666666666666, 1.0, 0.5, 0.75, 0.918918918918919, 0.4, 0.3333333333333333, 0.5, 0.7214285714285713, 0.972972972972973, 0.6666666666666666, 1.0, 0.5, 0.75, 0.954954954954955, 0.5454545454545454, 0.6, 0.5, 0.7404761904761904, 0.9459459459459459, 0.5, 0.5, 0.5, 0.7357142857142857
gini, 0.95, 0.05, 0.95, 10, target_accuracy, 175, 98, 7, 0.56, 0.9897959183673469, 0.8, 1.0, 0.6666666666666666, 0.8333333333333333, 0.9489795918367347, 0.4444444444444444, 0.3333333333333333, 0.6666666666666666, 0.8122807017543859, 0.9897959183673469, 0.8, 1.0, 0.6666666666666666, 0.8333333333333333, 0.9795918367346939, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.8280701754385964, 0.9897959183673469, 0.8, 1.0, 0.6666666666666666, 0.8333333333333333
gini, 0.95, 0.05, 0.95, 20, target_accuracy, 175, 100, 6, 0.5714285714285714, 0.98, 0.0, 0.0, 0.0, 0.5, 0.94, 0.0, 0.0, 0.0, 0.47959183673469385, 0.98, 0.0, 0.0, 0.0, 0.5, 0.97, 0.0, 0.0, 0.0, 0.49489795918367346, 0.98, 0.0, 0.0, 0.0, 0.5
gini, 0.95, 0.05, 0.95, 25, target_accuracy, 175, 105, 9, 0.6, 0.9809523809523809, 0.0, 0.0, 0.0, 0.5, 0.9428571428571428, 0.0, 0.0, 0.0, 0.48058252427184467, 0.9809523809523809, 0.0, 0.0, 0.0, 0.5, 0.9714285714285714, 0.0, 0.0, 0.0, 0.49514563106796117, 0.9809523809523809, 0.0, 0.0, 0.0, 0.5
gini, 0.95, 0.05, 0.95, 30, target_accuracy, 175, 99, 5, 0.5657142857142857, 0.98989898989899, 0.0, 0.0, 0.0, 0.5, 0.9494949494949495, 0.0, 0.0, 0.0, 0.47959183673469385, 0.98989898989899, 0.0, 0.0, 0.0, 0.5, 0.9797979797979798, 0.0, 0.0, 0.0, 0.49489795918367346, 0.98989898989899, 0.0, 0.0, 0.0, 0.5
gini, 0.95, 0.05, 0.95, 50, target_accuracy, 175, 91, 4, 0.52, 1.0, 0.0, 0.0, 0.0, 0.0, 0.967032967032967, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
gini, 0.95, 0.05, 0.95, 5, target_accuracy, 175, 118, 16, 0.6742857142857143, 0.9661016949152542, 0.7777777777777778, 1.0, 0.6363636363636364, 0.8181818181818181, 0.923728813559322, 0.5263157894736842, 0.625, 0.45454545454545453, 0.7132540356839423, 0.9661016949152542, 0.7777777777777778, 1.0, 0.6363636363636364, 0.8181818181818181, 0.9661016949152542, 0.7777777777777778, 1.0, 0.6363636363636364, 0.8181818181818181, 0.9661016949152542, 0.7777777777777778, 1.0, 0.6363636363636364, 0.8181818181818181
gini, 0.95, 0.05, 0.95, 10, target_accuracy, 175, 105, 15, 0.6, 0.9809523809523809, 0.7499999999999999, 1.0, 0.6, 0.8, 0.9523809523809523, 0.5454545454545454, 0.5, 0.6, 0.785, 0.9809523809523809, 0.7499999999999999, 1.0, 0.6, 0.8, 0.9809523809523809, 0.7499999999999999, 1.0, 0.6, 0.8, 0.9714285714285714, 0.5714285714285715, 1.0, 0.4, 0.7
gini, 0.95, 0.05, 0.95, 20, target_accuracy, 175, 94, 7, 0.5371428571428571, 0.9680851063829787, 0.4, 1.0, 0.25, 0.625, 0.9361702127659575, 0.25, 0.25, 0.25, 0.6083333333333333, 0.9680851063829787, 0.4, 1.0, 0.25, 0.625, 0.9574468085106383, 0.3333333333333333, 0.5, 0.25, 0.6194444444444445, 0.9680851063829787, 0.4, 1.0, 0.25, 0.625
gini, 0.95, 0.05, 0.95, 25, target_accuracy, 175, 107, 2, 0.6114285714285714, 0.9719626168224299, 0.0, 0.0, 0.0, 0.5, 0.9345794392523364, 0.0, 0.0, 0.0, 0.4807692307692308, 0.9719626168224299, 0.0, 0.0, 0.0, 0.5, 0.9719626168224299, 0.0, 0.0, 0.0, 0.5, 0.9719626168224299, 0.0, 0.0, 0.0, 0.5
