filename, Recursive, Method, Dataset, Coverage, DT F1, DT vs SR ttest F1, Ensemble F1, Ensemble vs SR p-value F1, RFIT F1, RFIT vs SR p-value F1, RFIT \# rl. num., RC vs SR p-value \# rl. num., RC F1, RC vs SR ttest F1, RC \# rl. num., RC vs SR p-value \# rl. num., SR F1, SR \# rl. num., SR F1 x coverage 
../../Results/battery_salud-covid_<class 'catboost.core.CatBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns5_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'catboost.core.CatBoostClassifier'>, salud-covid, 46.04±10.41, 74.13±22.06, 0.3899, 14.3±4.34, <0.0001, 76.43±21.48, 0.6702, 18.67±1.94, <0.0001, 13.21±25.49, <0.0001, 2.07±1.2, <0.0001, 78.61±17.71, 7.03±1.75, 36.19±1.84
../../Results/battery_salud-covid_<class 'catboost.core.CatBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns7_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'catboost.core.CatBoostClassifier'>, salud-covid, 46.57±8.81, 73.58±16.66, 0.2667, 12.75±4.13, <0.0001, 78.54±16.35, 0.9752, 18.43±2.28, <0.0001, 18.65±25.96, <0.0001, 2.27±1.55, <0.0001, 78.41±16.71, 6.5±1.46, 36.51±1.47
../../Results/battery_salud-covid_<class 'catboost.core.CatBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns10_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'catboost.core.CatBoostClassifier'>, salud-covid, 45.97±9.11, 73.35±19.84, 0.5066, 12.2±4.91, <0.0001, 77.32±18.71, 0.9185, 18.3±2.29, <0.0001, 10.56±18.48, <0.0001, 2.27±1.36, <0.0001, 76.8±20.13, 5.53±1.25, 35.31±1.83
../../Results/battery_salud-covid_<class 'catboost.core.CatBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns15_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'catboost.core.CatBoostClassifier'>, salud-covid, 45.51±8.92, 57.41±32.36, 0.4551, 9.4±4.47, <0.0001, 65.76±28.25, 0.7715, 18.13±2.65, <0.0001, 0.0±0.0, <0.0001, 1.97±1.27, <0.0001, 63.54±30.69, 4.67±1.54, 28.91±2.74
../../Results/battery_salud-covid_<class 'catboost.core.CatBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns20_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'catboost.core.CatBoostClassifier'>, salud-covid, 45.76±9.31, 51.36±28.27, 0.7028, 8.85±4.02, <0.0001, 50.81±32.0, 0.7684, 18.3±1.84, <0.0001, 4.51±14.68, <0.0001, 2.7±2.29, 0.0001, 48.34±32.62, 4.63±1.25, 22.12±3.04
../../Results/battery_salud-covid_<class 'catboost.core.CatBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns25_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'catboost.core.CatBoostClassifier'>, salud-covid, 42.82±9.74, 13.89±27.36, 0.0073, 4.48±2.89, <0.0001, 4.67±19.43, 0.1935, 18.4±2.3, <0.0001, 0.0±0.0, nan, 2.1±1.09, 0.0001, 0.0±0.0, 3.4±1.35, 0.0±0.0
../../Results/battery_salud-covid_<class 'catboost.core.CatBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns35_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'catboost.core.CatBoostClassifier'>, salud-covid, 40.42±8.68, 10.44±24.22, 0.0216, 3.35±3.29, <0.0001, 10.56±28.53, 0.0473, 18.07±1.86, <0.0001, 0.0±0.0, nan, 2±1.46, 0.0011, 0.0±0.0, 3.1±0.96, 0.0±0.0
../../Results/battery_salud-covid_<class 'catboost.core.CatBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns50_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'catboost.core.CatBoostClassifier'>, salud-covid, 43.55±8.75, 10.46±22.04, 0.0118, 3.88±3.41, <0.0001, 3.33±13.42, 0.1789, 18.07±2.41, <0.0001, 1.33±7.3, 0.3215, 2.3±1.51, 0.0169, 0.0±0.0, 3.13±1.07, 0.0±0.0
../../Results/battery_salud-covid_<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns5_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._gb.GradientBoostingClassifier'>, salud-covid, 55.16±7.27, 66.54±17.66, 0.0242, 74.48±12.72, 0.7308, 73.44±10.42, 0.4645, 17.93±2.36, <0.0001, 70.89±14.33, 0.1752, 32.77±17.88, <0.0001, 75.59±12.09, 11.33±1.9, 41.69±0.88
../../Results/battery_salud-covid_<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns7_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._gb.GradientBoostingClassifier'>, salud-covid, 53.06±7.35, 66.98±17.85, 0.1917, 72.19±19.56, 0.8328, 70.76±19.3, 0.6173, 18.4±1.67, <0.0001, 69.67±18.97, 0.4672, 28.27±17.75, <0.0001, 73.24±18.83, 9.93±1.6, 38.86±1.39
