chi_square_percent_point_function, scale_feature_coefficient, min_accuracy_coefficient, min_number_class_per_node, sorting_method, dataset_test_size, dataset_test_categorizable, number_of_rules, cobertura, recursive, ensemble_accuracy, ensemble_f1_score, ensemble_precision_score, ensemble_recall, ensemble_roc_auc_score, tree_accuracy, tree_f1_score, tree_precision_score, tree_recall_score, tree_roc_auc_score, RuleFit_accuracy, RuleFit_f1_score, RuleFit_precision_score, RuleFit_recall_score, RuleFit_roc_auc_score, RuleCOSI_accuracy, RuleCOSI_f1_score, RuleCOSI_precision_score, RuleCOSI_recall_score, RuleCOSI_roc_auc_score, rules_accuracy, rules_f1_score, rules_precision_score, rules_recall_score, rules_roc_auc_score, RuleFit_numrules, RuleCOSI_numrules, rules_numrules
0.95, 0.05, 0.95, 35, target_accuracy, 96, 38, 5, 0.3958333333333333, False, 0.8947368421052632, 0.9444444444444444, 0.8947368421052632, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8947368421052632, 0.9444444444444444, 0.8947368421052632, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 22, 1, 5
0.95, 0.05, 0.95, 35, target_accuracy, 96, 20, 3, 0.20833333333333334, False, 0.75, 0.8571428571428571, 0.75, 1.0, 0.5, 0.95, 0.967741935483871, 0.9375, 1.0, 0.9, 1.0, 1.0, 1.0, 1.0, 1.0, 0.75, 0.8571428571428571, 0.75, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 23, 1, 3
0.95, 0.05, 0.95, 35, target_accuracy, 96, 16, 2, 0.16666666666666666, False, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 23, 1, 2
0.95, 0.05, 0.95, 35, target_accuracy, 96, 44, 5, 0.4583333333333333, False, 0.8863636363636364, 0.9397590361445783, 0.8863636363636364, 1.0, 0.5, 0.9772727272727273, 0.9873417721518987, 0.975, 1.0, 0.9, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8863636363636364, 0.9397590361445783, 0.8863636363636364, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 22, 1, 5
0.95, 0.05, 0.95, 35, target_accuracy, 96, 16, 3, 0.16666666666666666, False, 0.6875, 0.8148148148148148, 0.6875, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.6875, 0.8148148148148148, 0.6875, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 24, 1, 3
0.95, 0.05, 0.95, 35, target_accuracy, 96, 17, 3, 0.17708333333333334, False, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 24, 1, 3
0.95, 0.05, 0.95, 35, target_accuracy, 96, 44, 5, 0.4583333333333333, False, 0.8636363636363636, 0.9268292682926829, 0.8636363636363636, 1.0, 0.5, 0.9772727272727273, 0.9870129870129869, 0.9743589743589743, 1.0, 0.9166666666666667, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8636363636363636, 0.9268292682926829, 0.8636363636363636, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 20, 1, 5
0.95, 0.05, 0.95, 35, target_accuracy, 96, 16, 3, 0.16666666666666666, False, 0.6875, 0.8148148148148148, 0.6875, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.6875, 0.8148148148148148, 0.6875, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 17, 1, 3
0.95, 0.05, 0.95, 35, target_accuracy, 95, 26, 2, 0.2736842105263158, False, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 22, 1, 2
0.95, 0.05, 0.95, 35, target_accuracy, 95, 28, 5, 0.29473684210526313, False, 0.8928571428571429, 0.9433962264150945, 0.8928571428571429, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8928571428571429, 0.9433962264150945, 0.8928571428571429, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 22, 1, 5
0.95, 0.05, 0.95, 35, target_accuracy, 96, 13, 2, 0.13541666666666666, False, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 23, 1, 2
0.95, 0.05, 0.95, 35, target_accuracy, 96, 19, 3, 0.19791666666666666, False, 0.7894736842105263, 0.8823529411764706, 0.7894736842105263, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7894736842105263, 0.8823529411764706, 0.7894736842105263, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 20, 1, 3
0.95, 0.05, 0.95, 35, target_accuracy, 96, 20, 4, 0.20833333333333334, False, 0.8, 0.888888888888889, 0.8, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9, 0.9411764705882353, 0.8888888888888888, 1.0, 0.75, 0.8, 0.888888888888889, 0.8, 1.0, 0.5, 0.9, 0.9411764705882353, 0.8888888888888888, 1.0, 0.75, 26, 1, 4
0.95, 0.05, 0.95, 35, target_accuracy, 96, 35, 4, 0.3645833333333333, False, 0.8857142857142857, 0.9393939393939393, 0.8857142857142857, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8857142857142857, 0.9393939393939393, 0.8857142857142857, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 20, 1, 4
0.95, 0.05, 0.95, 35, target_accuracy, 96, 45, 4, 0.46875, False, 0.8222222222222222, 0.9024390243902439, 0.8222222222222222, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8222222222222222, 0.9024390243902439, 0.8222222222222222, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 18, 1, 4
0.95, 0.05, 0.95, 35, target_accuracy, 96, 28, 3, 0.2916666666666667, False, 0.8928571428571429, 0.9433962264150945, 0.8928571428571429, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8928571428571429, 0.9433962264150945, 0.8928571428571429, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 19, 1, 3
0.95, 0.05, 0.95, 35, target_accuracy, 96, 42, 4, 0.4375, False, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 25, 1, 4
0.95, 0.05, 0.95, 35, target_accuracy, 96, 20, 2, 0.20833333333333334, False, 0.75, 0.8571428571428571, 0.75, 1.0, 0.5, 0.95, 0.967741935483871, 0.9375, 1.0, 0.9, 1.0, 1.0, 1.0, 1.0, 1.0, 0.75, 0.8571428571428571, 0.75, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 18, 1, 2
0.95, 0.05, 0.95, 35, target_accuracy, 95, 36, 5, 0.37894736842105264, False, 0.8888888888888888, 0.9411764705882353, 0.8888888888888888, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8888888888888888, 0.9411764705882353, 0.8888888888888888, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 27, 1, 5
0.95, 0.05, 0.95, 35, target_accuracy, 95, 45, 5, 0.47368421052631576, False, 0.8222222222222222, 0.9024390243902439, 0.8222222222222222, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8222222222222222, 0.9024390243902439, 0.8222222222222222, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 23, 1, 5
0.95, 0.05, 0.95, 35, target_accuracy, 96, 20, 3, 0.20833333333333334, False, 0.85, 0.9189189189189189, 0.85, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.85, 0.9189189189189189, 0.85, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 24, 1, 3
0.95, 0.05, 0.95, 35, target_accuracy, 96, 36, 4, 0.375, False, 0.9166666666666666, 0.9565217391304348, 0.9166666666666666, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9166666666666666, 0.9565217391304348, 0.9166666666666666, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 26, 1, 4
0.95, 0.05, 0.95, 35, target_accuracy, 96, 39, 4, 0.40625, False, 0.7948717948717948, 0.8857142857142858, 0.7948717948717948, 1.0, 0.5, 0.9743589743589743, 0.9841269841269841, 0.96875, 1.0, 0.9375, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7948717948717948, 0.8857142857142858, 0.7948717948717948, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 21, 1, 4
0.95, 0.05, 0.95, 35, target_accuracy, 96, 27, 3, 0.28125, False, 0.5555555555555556, 0.7142857142857143, 0.5555555555555556, 1.0, 0.5, 0.9259259259259259, 0.9375, 0.8823529411764706, 1.0, 0.9166666666666667, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5555555555555556, 0.7142857142857143, 0.5555555555555556, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 19, 1, 3
0.95, 0.05, 0.95, 35, target_accuracy, 96, 42, 4, 0.4375, False, 0.8571428571428571, 0.923076923076923, 0.8571428571428571, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8571428571428571, 0.923076923076923, 0.8571428571428571, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 22, 1, 4
0.95, 0.05, 0.95, 35, target_accuracy, 96, 26, 2, 0.2708333333333333, False, 0.6538461538461539, 0.7906976744186047, 0.6538461538461539, 1.0, 0.5, 0.9615384615384616, 0.9714285714285714, 0.9444444444444444, 1.0, 0.9444444444444444, 1.0, 1.0, 1.0, 1.0, 1.0, 0.6538461538461539, 0.7906976744186047, 0.6538461538461539, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 25, 1, 2
0.95, 0.05, 0.95, 35, target_accuracy, 96, 21, 3, 0.21875, False, 0.7619047619047619, 0.8648648648648648, 0.7619047619047619, 1.0, 0.5, 0.9047619047619048, 0.9411764705882353, 0.8888888888888888, 1.0, 0.8, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7619047619047619, 0.8648648648648648, 0.7619047619047619, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 23, 1, 3
0.95, 0.05, 0.95, 35, target_accuracy, 96, 19, 3, 0.19791666666666666, False, 0.7894736842105263, 0.8823529411764706, 0.7894736842105263, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7894736842105263, 0.8823529411764706, 0.7894736842105263, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 20, 1, 3
