chi_square_percent_point_function, scale_feature_coefficient, min_accuracy_coefficient, min_number_class_per_node, sorting_method, dataset_test_size, dataset_test_categorizable, number_of_rules, cobertura, recursive, ensemble_accuracy, ensemble_f1_score, ensemble_precision_score, ensemble_recall, ensemble_roc_auc_score, tree_accuracy, tree_f1_score, tree_precision_score, tree_recall_score, tree_roc_auc_score, RuleFit_accuracy, RuleFit_f1_score, RuleFit_precision_score, RuleFit_recall_score, RuleFit_roc_auc_score, RuleCOSI_accuracy, RuleCOSI_f1_score, RuleCOSI_precision_score, RuleCOSI_recall_score, RuleCOSI_roc_auc_score, rules_accuracy, rules_f1_score, rules_precision_score, rules_recall_score, rules_roc_auc_score, RuleFit_numrules, RuleCOSI_numrules, rules_numrules
0.95, 0.05, 0.95, 25, target_accuracy, 96, 50, 5, 0.5208333333333334, True, 0.78, 0.8764044943820225, 0.78, 1.0, 0.5, 0.96, 0.975, 0.9512195121951219, 1.0, 0.9090909090909091, 1.0, 1.0, 1.0, 1.0, 1.0, 0.78, 0.8764044943820225, 0.78, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 26, 1, 5
0.95, 0.05, 0.95, 25, target_accuracy, 96, 50, 6, 0.5208333333333334, True, 0.78, 0.8764044943820225, 0.78, 1.0, 0.5, 0.98, 0.9873417721518987, 0.975, 1.0, 0.9545454545454545, 1.0, 1.0, 1.0, 1.0, 1.0, 0.78, 0.8764044943820225, 0.78, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 21, 1, 6
0.95, 0.05, 0.95, 25, target_accuracy, 96, 39, 10, 0.40625, True, 0.8205128205128205, 0.9014084507042254, 0.8205128205128205, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9743589743589743, 0.9841269841269841, 1.0, 0.96875, 0.984375, 0.8205128205128205, 0.9014084507042254, 0.8205128205128205, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 23, 1, 10
0.95, 0.05, 0.95, 25, target_accuracy, 96, 41, 6, 0.4270833333333333, True, 0.7073170731707317, 0.8285714285714285, 0.7073170731707317, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7073170731707317, 0.8285714285714285, 0.7073170731707317, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 20, 1, 6
0.95, 0.05, 0.95, 25, target_accuracy, 96, 40, 7, 0.4166666666666667, True, 0.675, 0.8059701492537313, 0.675, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 0.975, 0.9811320754716981, 1.0, 0.9629629629629629, 0.9814814814814814, 0.675, 0.8059701492537313, 0.675, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 22, 1, 7
0.95, 0.05, 0.95, 25, target_accuracy, 96, 45, 8, 0.46875, True, 0.8888888888888888, 0.9411764705882353, 0.8888888888888888, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8888888888888888, 0.9411764705882353, 0.8888888888888888, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 21, 1, 8
0.95, 0.05, 0.95, 25, target_accuracy, 96, 49, 9, 0.5104166666666666, True, 0.7959183673469388, 0.8863636363636364, 0.7959183673469388, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9387755102040817, 0.9600000000000001, 1.0, 0.9230769230769231, 0.9615384615384616, 0.7959183673469388, 0.8863636363636364, 0.7959183673469388, 1.0, 0.5, 0.9795918367346939, 0.9870129870129869, 1.0, 0.9743589743589743, 0.9871794871794872, 20, 1, 9
0.95, 0.05, 0.95, 25, target_accuracy, 96, 46, 9, 0.4791666666666667, True, 0.8695652173913043, 0.9302325581395349, 0.8695652173913043, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9782608695652174, 0.9873417721518987, 1.0, 0.975, 0.9875, 0.8695652173913043, 0.9302325581395349, 0.8695652173913043, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 22, 1, 9
0.95, 0.05, 0.95, 25, target_accuracy, 95, 49, 8, 0.5157894736842106, True, 0.8571428571428571, 0.923076923076923, 0.8571428571428571, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8571428571428571, 0.923076923076923, 0.8571428571428571, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 23, 1, 8
0.95, 0.05, 0.95, 25, target_accuracy, 95, 50, 7, 0.5263157894736842, True, 0.74, 0.8505747126436781, 0.74, 1.0, 0.5, 0.92, 0.9459459459459459, 0.9459459459459459, 0.9459459459459459, 0.8960498960498962, 0.96, 0.9722222222222222, 1.0, 0.9459459459459459, 0.972972972972973, 0.74, 0.8505747126436781, 0.74, 1.0, 0.5, 0.98, 0.9866666666666666, 0.9736842105263158, 1.0, 0.9615384615384616, 21, 1, 7
