chi_square_percent_point_function, scale_feature_coefficient, min_accuracy_coefficient, min_number_class_per_node, sorting_method, dataset_test_size, dataset_test_categorizable, number_of_rules, cobertura, recursive, ensemble_accuracy, ensemble_f1_score, ensemble_precision_score, ensemble_recall, ensemble_roc_auc_score, tree_accuracy, tree_f1_score, tree_precision_score, tree_recall_score, tree_roc_auc_score, RuleFit_accuracy, RuleFit_f1_score, RuleFit_precision_score, RuleFit_recall_score, RuleFit_roc_auc_score, RuleCOSI_accuracy, RuleCOSI_f1_score, RuleCOSI_precision_score, RuleCOSI_recall_score, RuleCOSI_roc_auc_score, rules_accuracy, rules_f1_score, rules_precision_score, rules_recall_score, rules_roc_auc_score, RuleFit_numrules, RuleCOSI_numrules, rules_numrules
0.95, 0.05, 0.95, 20, target_accuracy, 96, 33, 7, 0.34375, False, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 22, 21, 7
0.95, 0.05, 0.95, 20, target_accuracy, 96, 25, 4, 0.2604166666666667, False, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 19, 21, 4
0.95, 0.05, 0.95, 20, target_accuracy, 96, 27, 5, 0.28125, False, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 20, 25, 5
0.95, 0.05, 0.95, 20, target_accuracy, 96, 35, 7, 0.3645833333333333, False, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 20, 26, 7
0.95, 0.05, 0.95, 20, target_accuracy, 96, 37, 6, 0.3854166666666667, False, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 22, 22, 6
0.95, 0.05, 0.95, 20, target_accuracy, 96, 29, 6, 0.3020833333333333, False, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 20, 23, 6
0.95, 0.05, 0.95, 20, target_accuracy, 96, 40, 6, 0.4166666666666667, False, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 21, 26, 6
0.95, 0.05, 0.95, 20, target_accuracy, 96, 32, 7, 0.3333333333333333, False, 1.0, 1.0, 1.0, 1.0, 1.0, 0.96875, 0.9795918367346939, 0.96, 1.0, 0.9375, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 22, 22, 7
0.95, 0.05, 0.95, 20, target_accuracy, 95, 25, 6, 0.2631578947368421, False, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 17, 24, 6
0.95, 0.05, 0.95, 20, target_accuracy, 95, 44, 7, 0.4631578947368421, False, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 25, 20, 7
