chi_square_percent_point_function, scale_feature_coefficient, min_accuracy_coefficient, min_number_class_per_node, sorting_method, dataset_test_size, dataset_test_categorizable, number_of_rules, cobertura, recursive, ensemble_accuracy, ensemble_f1_score, ensemble_precision_score, ensemble_recall, ensemble_roc_auc_score, tree_accuracy, tree_f1_score, tree_precision_score, tree_recall_score, tree_roc_auc_score, RuleFit_accuracy, RuleFit_f1_score, RuleFit_precision_score, RuleFit_recall_score, RuleFit_roc_auc_score, RuleCOSI_accuracy, RuleCOSI_f1_score, RuleCOSI_precision_score, RuleCOSI_recall_score, RuleCOSI_roc_auc_score, rules_accuracy, rules_f1_score, rules_precision_score, rules_recall_score, rules_roc_auc_score, RuleFit_numrules, RuleCOSI_numrules, rules_numrules
0.95, 0.05, 0.95, 5, target_accuracy, 96, 63, 30, 0.65625, True, 0.9682539682539683, 0.9782608695652174, 0.9574468085106383, 1.0, 0.9444444444444444, 0.9365079365079365, 0.9555555555555556, 0.9555555555555556, 0.9555555555555556, 0.9222222222222223, 0.9523809523809523, 0.9662921348314608, 0.9772727272727273, 0.9555555555555556, 0.9500000000000001, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9523809523809523, 0.967032967032967, 0.9565217391304348, 0.9777777777777777, 0.9333333333333333, 20, 18, 30
0.95, 0.05, 0.95, 5, target_accuracy, 96, 59, 35, 0.6145833333333334, True, 0.9491525423728814, 0.9647058823529412, 0.9318181818181818, 1.0, 0.9166666666666667, 0.9661016949152542, 0.9761904761904763, 0.9534883720930233, 1.0, 0.9444444444444444, 0.9661016949152542, 0.975609756097561, 0.975609756097561, 0.975609756097561, 0.9600271002710027, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9830508474576272, 0.9879518072289156, 0.9761904761904762, 1.0, 0.9722222222222222, 21, 25, 35
0.95, 0.05, 0.95, 5, target_accuracy, 96, 65, 29, 0.6770833333333334, True, 0.9230769230769231, 0.9438202247191011, 0.8936170212765957, 1.0, 0.891304347826087, 0.9538461538461539, 0.9647058823529412, 0.9534883720930233, 0.9761904761904762, 0.944616977225673, 0.9692307692307692, 0.9767441860465117, 0.9545454545454546, 1.0, 0.9565217391304348, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9846153846153847, 0.988235294117647, 0.9767441860465116, 1.0, 0.9782608695652174, 22, 33, 29
0.95, 0.05, 0.95, 5, target_accuracy, 96, 62, 29, 0.6458333333333334, True, 0.967741935483871, 0.9772727272727273, 0.9555555555555556, 1.0, 0.9473684210526316, 0.967741935483871, 0.9767441860465116, 0.9767441860465116, 0.9767441860465116, 0.9620563035495717, 0.9354838709677419, 0.9534883720930233, 0.9534883720930233, 0.9534883720930233, 0.9241126070991432, 0.9838709677419355, 0.9885057471264368, 0.9772727272727273, 1.0, 0.9736842105263158, 0.9838709677419355, 0.9885057471264368, 0.9772727272727273, 1.0, 0.9736842105263158, 18, 29, 29
0.95, 0.05, 0.95, 5, target_accuracy, 96, 75, 30, 0.78125, True, 0.88, 0.9174311926605504, 0.847457627118644, 1.0, 0.8200000000000001, 0.9733333333333334, 0.9803921568627451, 0.9615384615384616, 1.0, 0.9600000000000001, 0.9466666666666667, 0.9607843137254902, 0.9423076923076923, 0.98, 0.9299999999999999, 0.9733333333333334, 0.9803921568627451, 0.9615384615384616, 1.0, 0.9600000000000001, 0.9866666666666667, 0.99009900990099, 0.9803921568627451, 1.0, 0.98, 21, 26, 30
0.95, 0.05, 0.95, 5, target_accuracy, 96, 68, 26, 0.7083333333333334, True, 0.9558823529411765, 0.972972972972973, 0.9473684210526315, 1.0, 0.8928571428571428, 0.9705882352941176, 0.9818181818181818, 0.9642857142857143, 1.0, 0.9285714285714286, 0.9558823529411765, 0.9719626168224299, 0.9811320754716981, 0.9629629629629629, 0.9457671957671957, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9705882352941176, 0.9814814814814815, 0.9814814814814815, 0.9814814814814815, 0.955026455026455, 25, 27, 26
0.95, 0.05, 0.95, 5, target_accuracy, 96, 49, 33, 0.5104166666666666, True, 0.9795918367346939, 0.9859154929577464, 0.9722222222222222, 1.0, 0.9642857142857143, 0.9387755102040817, 0.9565217391304348, 0.9705882352941176, 0.9428571428571428, 0.9357142857142857, 0.9387755102040817, 0.9577464788732395, 0.9444444444444444, 0.9714285714285714, 0.9142857142857144, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 23, 21, 33
0.95, 0.05, 0.95, 5, target_accuracy, 96, 63, 32, 0.65625, True, 0.9365079365079365, 0.9555555555555556, 0.9148936170212766, 1.0, 0.9, 0.9523809523809523, 0.9662921348314606, 0.9347826086956522, 1.0, 0.9249999999999999, 0.9523809523809523, 0.9647058823529412, 0.9761904761904762, 0.9534883720930233, 0.9517441860465116, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9523809523809523, 0.9662921348314606, 0.9347826086956522, 1.0, 0.9249999999999999, 20, 25, 32
0.95, 0.05, 0.95, 5, target_accuracy, 95, 56, 25, 0.5894736842105263, True, 0.9642857142857143, 0.9705882352941176, 0.9428571428571428, 1.0, 0.9565217391304348, 0.9642857142857143, 0.9705882352941176, 0.9428571428571428, 1.0, 0.9565217391304348, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 21, 24, 25
0.95, 0.05, 0.95, 5, target_accuracy, 95, 66, 26, 0.6947368421052632, True, 0.9393939393939394, 0.9600000000000001, 0.9230769230769231, 1.0, 0.8888888888888888, 0.9545454545454546, 0.9690721649484536, 0.9591836734693877, 0.9791666666666666, 0.9340277777777777, 0.9848484848484849, 0.9896907216494846, 0.9795918367346939, 1.0, 0.9722222222222222, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9696969696969697, 0.9791666666666666, 0.9791666666666666, 0.9791666666666666, 0.9618055555555555, 23, 26, 26
0.95, 0.05, 0.95, 5, target_accuracy, 96, 60, 34, 0.625, True, 0.95, 0.968421052631579, 0.9387755102040817, 1.0, 0.8928571428571428, 0.95, 0.967032967032967, 0.9777777777777777, 0.9565217391304348, 0.9425465838509317, 0.95, 0.967741935483871, 0.9574468085106383, 0.9782608695652174, 0.9177018633540373, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9833333333333333, 0.989010989010989, 1.0, 0.9782608695652174, 0.9891304347826086, 17, 34, 34
0.95, 0.05, 0.95, 5, target_accuracy, 96, 71, 26, 0.7395833333333334, True, 0.9577464788732394, 0.9696969696969697, 0.9411764705882353, 1.0, 0.9347826086956521, 0.9859154929577465, 0.9896907216494846, 0.9795918367346939, 1.0, 0.9782608695652174, 0.9859154929577465, 0.9896907216494846, 0.9795918367346939, 1.0, 0.9782608695652174, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9859154929577465, 0.9894736842105264, 1.0, 0.9791666666666666, 0.9895833333333333, 18, 21, 26
