chi_square_percent_point_function, scale_feature_coefficient, min_accuracy_coefficient, min_number_class_per_node, sorting_method, dataset_test_size, dataset_test_categorizable, number_of_rules, cobertura, recursive, ensemble_accuracy, ensemble_f1_score, ensemble_precision_score, ensemble_recall, ensemble_roc_auc_score, tree_accuracy, tree_f1_score, tree_precision_score, tree_recall_score, tree_roc_auc_score, RuleFit_accuracy, RuleFit_f1_score, RuleFit_precision_score, RuleFit_recall_score, RuleFit_roc_auc_score, RuleCOSI_accuracy, RuleCOSI_f1_score, RuleCOSI_precision_score, RuleCOSI_recall_score, RuleCOSI_roc_auc_score, rules_accuracy, rules_f1_score, rules_precision_score, rules_recall_score, rules_roc_auc_score, RuleFit_numrules, RuleCOSI_numrules, rules_numrules
0.95, 0.05, 0.95, 10, target_accuracy, 96, 19, 10, 0.19791666666666666, False, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8947368421052632, 0.9285714285714286, 0.9285714285714286, 0.9285714285714286, 0.8642857142857143, 0.9473684210526315, 0.962962962962963, 1.0, 0.9285714285714286, 0.9642857142857143, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 22, 26, 10
0.95, 0.05, 0.95, 10, target_accuracy, 96, 23, 8, 0.23958333333333334, False, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7391304347826086, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.6166666666666667, 0.9565217391304348, 0.9714285714285714, 1.0, 0.9444444444444444, 0.9722222222222222, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 22, 18, 8
0.95, 0.05, 0.95, 10, target_accuracy, 96, 23, 11, 0.23958333333333334, False, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9565217391304348, 0.967741935483871, 1.0, 0.9375, 0.96875, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 23, 19, 11
0.95, 0.05, 0.95, 10, target_accuracy, 96, 40, 8, 0.4166666666666667, False, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 18, 30, 8
0.95, 0.05, 0.95, 10, target_accuracy, 96, 30, 9, 0.3125, False, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 21, 18, 9
0.95, 0.05, 0.95, 10, target_accuracy, 96, 43, 13, 0.4479166666666667, False, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9302325581395349, 0.9491525423728813, 0.9032258064516129, 1.0, 0.9, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9302325581395349, 0.9491525423728813, 0.9032258064516129, 1.0, 0.9, 19, 26, 13
0.95, 0.05, 0.95, 10, target_accuracy, 96, 31, 11, 0.3229166666666667, False, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.967741935483871, 0.9767441860465117, 1.0, 0.9545454545454546, 0.9772727272727273, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 23, 16, 11
0.95, 0.05, 0.95, 10, target_accuracy, 96, 25, 12, 0.2604166666666667, False, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 22, 18, 12
0.95, 0.05, 0.95, 10, target_accuracy, 95, 38, 13, 0.4, False, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9473684210526315, 0.9666666666666666, 0.9354838709677419, 1.0, 0.8888888888888888, 14, 33, 13
0.95, 0.05, 0.95, 10, target_accuracy, 95, 46, 13, 0.4842105263157895, False, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9782608695652174, 0.9863013698630138, 0.972972972972973, 1.0, 0.9500000000000001, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 23, 11, 13
