chi_square_percent_point_function, scale_feature_coefficient, min_accuracy_coefficient, min_number_class_per_node, sorting_method, dataset_test_size, dataset_test_categorizable, number_of_rules, cobertura, recursive, ensemble_accuracy, ensemble_f1_score, ensemble_precision_score, ensemble_recall, ensemble_roc_auc_score, tree_accuracy, tree_f1_score, tree_precision_score, tree_recall_score, tree_roc_auc_score, RuleFit_accuracy, RuleFit_f1_score, RuleFit_precision_score, RuleFit_recall_score, RuleFit_roc_auc_score, RuleCOSI_accuracy, RuleCOSI_f1_score, RuleCOSI_precision_score, RuleCOSI_recall_score, RuleCOSI_roc_auc_score, rules_accuracy, rules_f1_score, rules_precision_score, rules_recall_score, rules_roc_auc_score, RuleFit_numrules, RuleCOSI_numrules, rules_numrules
0.95, 0.05, 0.95, 5, target_accuracy, 96, 67, 28, 0.6979166666666666, True, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9850746268656716, 0.98989898989899, 1.0, 0.98, 0.99, 0.9850746268656716, 0.98989898989899, 1.0, 0.98, 0.99, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9850746268656716, 0.98989898989899, 1.0, 0.98, 0.99, 24, 26, 28
0.95, 0.05, 0.95, 5, target_accuracy, 96, 59, 32, 0.6145833333333334, True, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8813559322033898, 0.8955223880597014, 1.0, 0.8108108108108109, 0.9054054054054055, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9830508474576272, 0.9863013698630138, 1.0, 0.972972972972973, 0.9864864864864865, 19, 22, 32
0.95, 0.05, 0.95, 5, target_accuracy, 96, 61, 26, 0.6354166666666666, True, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9508196721311475, 0.967032967032967, 0.9565217391304348, 0.9777777777777777, 0.9263888888888889, 0.8852459016393442, 0.9156626506024096, 1.0, 0.8444444444444444, 0.9222222222222223, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9180327868852459, 0.945054945054945, 0.9347826086956522, 0.9555555555555556, 0.8840277777777779, 19, 33, 26
0.95, 0.05, 0.95, 5, target_accuracy, 96, 70, 30, 0.7291666666666666, True, 0.9857142857142858, 0.989247311827957, 0.9787234042553191, 1.0, 0.9791666666666667, 0.9285714285714286, 0.9484536082474228, 0.9019607843137255, 1.0, 0.8958333333333333, 0.9285714285714286, 0.9438202247191011, 0.9767441860465116, 0.9130434782608695, 0.9356884057971016, 0.9857142857142858, 0.989247311827957, 0.9787234042553191, 1.0, 0.9791666666666667, 0.9857142857142858, 0.989247311827957, 0.9787234042553191, 1.0, 0.9791666666666667, 22, 29, 30
0.95, 0.05, 0.95, 5, target_accuracy, 96, 65, 33, 0.6770833333333334, True, 0.9846153846153847, 0.9894736842105264, 0.9791666666666666, 1.0, 0.9722222222222222, 0.9692307692307692, 0.9791666666666666, 0.9591836734693877, 1.0, 0.9444444444444444, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9846153846153847, 0.9894736842105264, 0.9791666666666666, 1.0, 0.9722222222222222, 0.9692307692307692, 0.9787234042553191, 0.9787234042553191, 0.9787234042553191, 0.9615839243498817, 22, 19, 33
0.95, 0.05, 0.95, 5, target_accuracy, 96, 58, 35, 0.6041666666666666, True, 1.0, 1.0, 1.0, 1.0, 1.0, 0.896551724137931, 0.918918918918919, 0.9444444444444444, 0.8947368421052632, 0.8973684210526317, 0.9655172413793104, 0.972972972972973, 1.0, 0.9473684210526315, 0.9736842105263157, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9482758620689655, 0.9620253164556963, 0.926829268292683, 1.0, 0.9249999999999999, 20, 25, 35
0.95, 0.05, 0.95, 5, target_accuracy, 96, 73, 32, 0.7604166666666666, True, 1.0, 1.0, 1.0, 1.0, 1.0, 0.958904109589041, 0.968421052631579, 0.9583333333333334, 0.9787234042553191, 0.9509001636661212, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9863013698630136, 0.989247311827957, 1.0, 0.9787234042553191, 0.9893617021276595, 22, 14, 32
0.95, 0.05, 0.95, 5, target_accuracy, 96, 69, 38, 0.71875, True, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9855072463768116, 0.9887640449438202, 0.9777777777777777, 1.0, 0.98, 0.9710144927536232, 0.9772727272727273, 0.9772727272727273, 0.9772727272727273, 0.9686363636363636, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 20, 16, 38
0.95, 0.05, 0.95, 5, target_accuracy, 95, 73, 31, 0.7684210526315789, True, 0.9863013698630136, 0.9908256880733944, 0.9818181818181818, 1.0, 0.9736842105263158, 0.9315068493150684, 0.9523809523809523, 0.9803921568627451, 0.9259259259259259, 0.9366471734892788, 0.958904109589041, 0.9719626168224299, 0.9811320754716981, 0.9629629629629629, 0.9551656920077973, 0.9863013698630136, 0.9908256880733944, 0.9818181818181818, 1.0, 0.9736842105263158, 0.9178082191780822, 0.9433962264150944, 0.9615384615384616, 0.9259259259259259, 0.9103313840155947, 21, 34, 31
0.95, 0.05, 0.95, 5, target_accuracy, 95, 66, 43, 0.6947368421052632, True, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9393939393939394, 0.9523809523809524, 0.9302325581395349, 0.975609756097561, 0.9278048780487804, 0.9242424242424242, 0.9350649350649352, 1.0, 0.8780487804878049, 0.9390243902439024, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9545454545454546, 0.9647058823529412, 0.9318181818181818, 1.0, 0.94, 24, 21, 43
