chi_square_percent_point_function, scale_feature_coefficient, min_accuracy_coefficient, min_number_class_per_node, sorting_method, dataset_test_size, dataset_test_categorizable, number_of_rules, cobertura, recursive, ensemble_accuracy, ensemble_f1_score, ensemble_precision_score, ensemble_recall, ensemble_roc_auc_score, tree_accuracy, tree_f1_score, tree_precision_score, tree_recall_score, tree_roc_auc_score, RuleFit_accuracy, RuleFit_f1_score, RuleFit_precision_score, RuleFit_recall_score, RuleFit_roc_auc_score, RuleCOSI_accuracy, RuleCOSI_f1_score, RuleCOSI_precision_score, RuleCOSI_recall_score, RuleCOSI_roc_auc_score, rules_accuracy, rules_f1_score, rules_precision_score, rules_recall_score, rules_roc_auc_score, RuleFit_numrules, RuleCOSI_numrules, rules_numrules
0.95, 0.05, 0.95, 20, target_accuracy, 96, 25, 7, 0.2604166666666667, False, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.64, 0.7804878048780487, 0.64, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 22, 1, 7
0.95, 0.05, 0.95, 20, target_accuracy, 96, 40, 7, 0.4166666666666667, False, 0.975, 0.983050847457627, 0.9666666666666667, 1.0, 0.9545454545454545, 0.925, 0.9491525423728815, 0.9333333333333333, 0.9655172413793104, 0.8918495297805643, 0.925, 0.9454545454545454, 1.0, 0.896551724137931, 0.9482758620689655, 0.725, 0.8405797101449275, 0.725, 1.0, 0.5, 0.925, 0.9508196721311475, 0.90625, 1.0, 0.8636363636363636, 21, 1, 7
0.95, 0.05, 0.95, 20, target_accuracy, 96, 22, 5, 0.22916666666666666, False, 0.9545454545454546, 0.9714285714285714, 0.9444444444444444, 1.0, 0.9, 0.8181818181818182, 0.8947368421052632, 0.8095238095238095, 1.0, 0.6, 0.9545454545454546, 0.9714285714285714, 0.9444444444444444, 1.0, 0.9, 0.7727272727272727, 0.8717948717948718, 0.7727272727272727, 1.0, 0.5, 0.9545454545454546, 0.9714285714285714, 0.9444444444444444, 1.0, 0.9, 22, 1, 5
0.95, 0.05, 0.95, 20, target_accuracy, 96, 26, 6, 0.2708333333333333, False, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9615384615384616, 0.975609756097561, 0.9523809523809523, 1.0, 0.9166666666666667, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7692307692307693, 0.8695652173913044, 0.7692307692307693, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 25, 1, 6
0.95, 0.05, 0.95, 20, target_accuracy, 96, 32, 8, 0.3333333333333333, False, 0.96875, 0.9795918367346939, 0.96, 1.0, 0.9375, 0.9375, 0.9600000000000001, 0.9230769230769231, 1.0, 0.875, 1.0, 1.0, 1.0, 1.0, 1.0, 0.75, 0.8571428571428571, 0.75, 1.0, 0.5, 0.9375, 0.9600000000000001, 0.9230769230769231, 1.0, 0.875, 23, 1, 8
0.95, 0.05, 0.95, 20, target_accuracy, 96, 44, 5, 0.4583333333333333, False, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9772727272727273, 0.9836065573770492, 1.0, 0.967741935483871, 0.9838709677419355, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7045454545454546, 0.8266666666666667, 0.7045454545454546, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 22, 1, 5
0.95, 0.05, 0.95, 20, target_accuracy, 96, 36, 5, 0.375, False, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.75, 0.8571428571428571, 0.75, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 23, 1, 5
0.95, 0.05, 0.95, 20, target_accuracy, 96, 19, 6, 0.19791666666666666, False, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7368421052631579, 0.8484848484848484, 0.7368421052631579, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 22, 1, 6
0.95, 0.05, 0.95, 20, target_accuracy, 95, 18, 7, 0.18947368421052632, False, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7777777777777778, 0.8750000000000001, 0.7777777777777778, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 22, 1, 7
0.95, 0.05, 0.95, 20, target_accuracy, 95, 37, 7, 0.3894736842105263, False, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8918918918918919, 0.9333333333333333, 1.0, 0.875, 0.9375, 0.8648648648648649, 0.927536231884058, 0.8648648648648649, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 22, 1, 7
