chi_square_percent_point_function, scale_feature_coefficient, min_accuracy_coefficient, min_number_class_per_node, sorting_method, dataset_test_size, dataset_test_categorizable, number_of_rules, cobertura, recursive, ensemble_accuracy, ensemble_f1_score, ensemble_precision_score, ensemble_recall, ensemble_roc_auc_score, tree_accuracy, tree_f1_score, tree_precision_score, tree_recall_score, tree_roc_auc_score, RuleFit_accuracy, RuleFit_f1_score, RuleFit_precision_score, RuleFit_recall_score, RuleFit_roc_auc_score, RuleCOSI_accuracy, RuleCOSI_f1_score, RuleCOSI_precision_score, RuleCOSI_recall_score, RuleCOSI_roc_auc_score, rules_accuracy, rules_f1_score, rules_precision_score, rules_recall_score, rules_roc_auc_score, RuleFit_numrules, RuleCOSI_numrules, rules_numrules
0.95, 0.05, 0.95, 10, target_accuracy, 96, 49, 16, 0.5104166666666666, True, 0.9795918367346939, 0.9841269841269841, 1.0, 0.96875, 0.984375, 0.9591836734693877, 0.96875, 0.96875, 0.96875, 0.9549632352941176, 0.9183673469387755, 0.9375, 0.9375, 0.9375, 0.9099264705882353, 0.6530612244897959, 0.7901234567901235, 0.6530612244897959, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 18, 1, 16
0.95, 0.05, 0.95, 10, target_accuracy, 96, 69, 21, 0.71875, True, 1.0, 1.0, 1.0, 1.0, 1.0, 0.927536231884058, 0.942528735632184, 0.9534883720930233, 0.9318181818181818, 0.9259090909090908, 0.8260869565217391, 0.8421052631578948, 1.0, 0.7272727272727273, 0.8636363636363636, 0.6376811594202898, 0.7787610619469026, 0.6376811594202898, 1.0, 0.5, 0.9565217391304348, 0.9655172413793104, 0.9767441860465116, 0.9545454545454546, 0.9572727272727272, 21, 1, 21
0.95, 0.05, 0.95, 10, target_accuracy, 96, 60, 18, 0.625, True, 0.9833333333333333, 0.989247311827957, 0.9787234042553191, 1.0, 0.9642857142857143, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9833333333333333, 0.989247311827957, 0.9787234042553191, 1.0, 0.9642857142857143, 0.7666666666666667, 0.8679245283018869, 0.7666666666666667, 1.0, 0.5, 0.9333333333333333, 0.9583333333333334, 0.92, 1.0, 0.8571428571428572, 24, 1, 18
0.95, 0.05, 0.95, 10, target_accuracy, 96, 57, 19, 0.59375, True, 0.9824561403508771, 0.9885057471264368, 0.9772727272727273, 1.0, 0.9642857142857143, 0.9649122807017544, 0.9767441860465116, 0.9767441860465116, 0.9767441860465116, 0.9526578073089701, 0.9649122807017544, 0.9767441860465116, 0.9767441860465116, 0.9767441860465116, 0.9526578073089701, 0.7543859649122807, 0.86, 0.7543859649122807, 1.0, 0.5, 0.9824561403508771, 0.9885057471264368, 0.9772727272727273, 1.0, 0.9642857142857143, 21, 1, 19
0.95, 0.05, 0.95, 10, target_accuracy, 96, 65, 21, 0.6770833333333334, True, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9846153846153847, 0.989010989010989, 0.9782608695652174, 1.0, 0.975, 0.9384615384615385, 0.9555555555555556, 0.9555555555555556, 0.9555555555555556, 0.9277777777777779, 0.6923076923076923, 0.8181818181818181, 0.6923076923076923, 1.0, 0.5, 0.9846153846153847, 0.989010989010989, 0.9782608695652174, 1.0, 0.975, 21, 1, 21
0.95, 0.05, 0.95, 10, target_accuracy, 96, 55, 21, 0.5729166666666666, True, 0.9636363636363636, 0.975, 0.9512195121951219, 1.0, 0.9375, 0.8181818181818182, 0.875, 0.8536585365853658, 0.8974358974358975, 0.7612179487179487, 0.8727272727272727, 0.9135802469135802, 0.8809523809523809, 0.9487179487179487, 0.8181089743589743, 0.7090909090909091, 0.8297872340425533, 0.7090909090909091, 1.0, 0.5, 0.9636363636363636, 0.975, 0.9512195121951219, 1.0, 0.9375, 23, 1, 21
0.95, 0.05, 0.95, 10, target_accuracy, 96, 62, 20, 0.6458333333333334, True, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9516129032258065, 0.9647058823529412, 0.9534883720930233, 0.9761904761904762, 0.9380952380952382, 0.9838709677419355, 0.988235294117647, 0.9767441860465116, 1.0, 0.975, 0.6774193548387096, 0.8076923076923077, 0.6774193548387096, 1.0, 0.5, 0.967741935483871, 0.9761904761904762, 0.9761904761904762, 0.9761904761904762, 0.9630952380952381, 23, 1, 20
0.95, 0.05, 0.95, 10, target_accuracy, 96, 61, 17, 0.6354166666666666, True, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9672131147540983, 0.972972972972973, 0.972972972972973, 0.972972972972973, 0.9656531531531533, 0.9836065573770492, 0.9863013698630138, 1.0, 0.972972972972973, 0.9864864864864865, 0.6065573770491803, 0.7551020408163265, 0.6065573770491803, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 22, 1, 17
0.95, 0.05, 0.95, 10, target_accuracy, 95, 68, 14, 0.7157894736842105, True, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9705882352941176, 0.9803921568627451, 0.9803921568627451, 0.9803921568627451, 0.9607843137254902, 0.9852941176470589, 0.9902912621359222, 0.9807692307692307, 1.0, 0.9705882352941176, 0.75, 0.8571428571428571, 0.75, 1.0, 0.5, 0.9705882352941176, 0.9807692307692307, 0.9622641509433962, 1.0, 0.9411764705882353, 23, 1, 14
0.95, 0.05, 0.95, 10, target_accuracy, 95, 64, 18, 0.6736842105263158, True, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.734375, 0.8468468468468469, 0.734375, 1.0, 0.5, 0.984375, 0.989247311827957, 1.0, 0.9787234042553191, 0.9893617021276595, 21, 1, 18
