ensemble_criterion, chi_square_percent_point_function, scale_feature_coefficient, min_accuracy_coefficient, min_number_class_per_node, sorting_method, dataset_test_size, dataset_test_categorizable, number_of_rules, cobertura, ensemble_accuracy, ensemble_f1_score, ensemble_precision_score, ensemble_recall, ensemble_roc_auc_score, tree_accuracy, tree_f1_score, tree_precision_score, tree_recall_score, tree_roc_auc_score, RuleFit_accuracy, RuleFit_f1_score, RuleFit_precision_score, RuleFit_recall_score, RuleFit_roc_auc_score, RuleCOSI_accuracy, RuleCOSI_f1_score, RuleCOSI_precision_score, RuleCOSI_recall_score, RuleCOSI_roc_auc_score, rules_accuracy, rules_f1_score, rules_precision_score, rules_recall_score, rules_roc_auc_score
gini, 0.95, 0.05, 0.95, 5, target_accuracy, 96, 89, 43, 0.9270833333333334, 0.8426966292134831, 0.8939393939393939, 0.8428571428571429, 0.9516129032258065, 0.7721027479091995, 0.9325842696629213, 0.95, 0.9827586206896551, 0.9193548387096774, 0.9411589008363203, 0.9101123595505618, 0.9322033898305085, 0.9821428571428571, 0.8870967741935484, 0.9250298685782558, 0.6966292134831461, 0.8211920529801325, 0.6966292134831461, 1.0, 0.5, 0.9438202247191011, 0.9612403100775194, 0.9253731343283582, 1.0, 0.9074074074074074
gini, 0.95, 0.05, 0.95, 10, target_accuracy, 96, 40, 12, 0.4166666666666667, 0.925, 0.9538461538461539, 0.9117647058823529, 1.0, 0.8333333333333334, 0.975, 0.9841269841269841, 0.96875, 1.0, 0.9444444444444444, 0.975, 0.9841269841269841, 0.96875, 1.0, 0.9444444444444444, 0.775, 0.8732394366197184, 0.775, 1.0, 0.5, 0.975, 0.9841269841269841, 0.96875, 1.0, 0.9444444444444444
gini, 0.95, 0.05, 0.95, 20, target_accuracy, 96, 44, 12, 0.4583333333333333, 0.9090909090909091, 0.945945945945946, 0.8974358974358975, 1.0, 0.7777777777777778, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9318181818181818, 0.955223880597015, 1.0, 0.9142857142857143, 0.9571428571428571, 0.7954545454545454, 0.8860759493670886, 0.7954545454545454, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0
gini, 0.95, 0.05, 0.95, 25, target_accuracy, 96, 59, 9, 0.6145833333333334, 0.8983050847457628, 0.9387755102040817, 0.9019607843137255, 0.9787234042553191, 0.7810283687943261, 0.9322033898305084, 0.9565217391304347, 0.9777777777777777, 0.9361702127659575, 0.926418439716312, 0.864406779661017, 0.9090909090909092, 0.975609756097561, 0.851063829787234, 0.8838652482269502, 0.7966101694915254, 0.8867924528301886, 0.7966101694915254, 1.0, 0.5, 0.9322033898305084, 0.9591836734693878, 0.9215686274509803, 1.0, 0.8333333333333334
gini, 0.95, 0.05, 0.95, 30, target_accuracy, 96, 0, 0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0
gini, 0.95, 0.05, 0.95, 50, target_accuracy, 96, 0, 0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0
gini, 0.95, 0.05, 0.95, 5, target_accuracy, 96, 53, 36, 0.5520833333333334, 0.7547169811320755, 0.8266666666666667, 0.7045454545454546, 1.0, 0.7045454545454546, 0.9622641509433962, 0.967741935483871, 0.967741935483871, 0.967741935483871, 0.9611436950146628, 0.9056603773584906, 0.9152542372881356, 0.9642857142857143, 0.8709677419354839, 0.9127565982404693, 0.5849056603773585, 0.738095238095238, 0.5849056603773585, 1.0, 0.5, 0.9433962264150944, 0.9523809523809523, 0.9375, 0.967741935483871, 0.93841642228739
gini, 0.95, 0.05, 0.95, 10, target_accuracy, 96, 73, 22, 0.7604166666666666, 0.7671232876712328, 0.8349514563106796, 0.7543859649122807, 0.9347826086956522, 0.7081320450885669, 0.9452054794520548, 0.9555555555555557, 0.9772727272727273, 0.9347826086956522, 0.9488727858293077, 0.9726027397260274, 0.9782608695652174, 0.9782608695652174, 0.9782608695652174, 0.9706119162640902, 0.6301369863013698, 0.773109243697479, 0.6301369863013698, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0
gini, 0.95, 0.05, 0.95, 20, target_accuracy, 96, 76, 11, 0.7916666666666666, 0.8552631578947368, 0.905982905982906, 0.8833333333333333, 0.9298245614035088, 0.7807017543859649, 0.9342105263157895, 0.954954954954955, 0.9814814814814815, 0.9298245614035088, 0.9385964912280702, 0.9736842105263158, 0.9824561403508771, 0.9824561403508771, 0.9824561403508771, 0.9649122807017544, 0.75, 0.8571428571428571, 0.75, 1.0, 0.5, 0.8157894736842105, 0.890625, 0.8028169014084507, 1.0, 0.631578947368421
gini, 0.95, 0.05, 0.95, 25, target_accuracy, 96, 0, 1, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0
gini, 0.95, 0.05, 0.95, 30, target_accuracy, 96, 0, 0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0
gini, 0.95, 0.05, 0.95, 50, target_accuracy, 96, 0, 0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0
gini, 0.95, 0.05, 0.95, 5, target_accuracy, 96, 79, 37, 0.8229166666666666, 0.8354430379746836, 0.8888888888888888, 0.8253968253968254, 0.9629629629629629, 0.7614814814814815, 0.9113924050632911, 0.9320388349514563, 0.9795918367346939, 0.8888888888888888, 0.9244444444444444, 0.8987341772151899, 0.923076923076923, 0.96, 0.8888888888888888, 0.9044444444444445, 0.6835443037974683, 0.8120300751879699, 0.6835443037974683, 1.0, 0.5, 0.8227848101265823, 0.8852459016393442, 0.7941176470588235, 1.0, 0.72
gini, 0.95, 0.05, 0.95, 10, target_accuracy, 96, 63, 21, 0.65625, 0.8412698412698413, 0.9019607843137256, 0.8518518518518519, 0.9583333333333334, 0.7125, 0.9206349206349206, 0.945054945054945, 1.0, 0.8958333333333334, 0.9479166666666667, 0.8888888888888888, 0.923076923076923, 0.9767441860465116, 0.875, 0.9041666666666667, 0.7619047619047619, 0.8648648648648648, 0.7619047619047619, 1.0, 0.5, 0.9523809523809523, 0.9696969696969697, 0.9411764705882353, 1.0, 0.9
gini, 0.95, 0.05, 0.95, 20, target_accuracy, 96, 46, 7, 0.4791666666666667, 0.9347826086956522, 0.9620253164556963, 0.926829268292683, 1.0, 0.8125, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9347826086956522, 0.9620253164556963, 0.926829268292683, 1.0, 0.8125, 0.8260869565217391, 0.9047619047619047, 0.8260869565217391, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0
gini, 0.95, 0.05, 0.95, 25, target_accuracy, 96, 34, 10, 0.3541666666666667, 0.8529411764705882, 0.9152542372881356, 0.84375, 1.0, 0.6428571428571428, 0.9411764705882353, 0.9615384615384615, 1.0, 0.9259259259259259, 0.962962962962963, 0.9411764705882353, 0.9629629629629629, 0.9629629629629629, 0.9629629629629629, 0.91005291005291, 0.7941176470588235, 0.8852459016393442, 0.7941176470588235, 1.0, 0.5, 0.9705882352941176, 0.9818181818181818, 0.9642857142857143, 1.0, 0.9285714285714286
gini, 0.95, 0.05, 0.95, 30, target_accuracy, 96, 31, 4, 0.3229166666666667, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9354838709677419, 0.9666666666666666, 0.9354838709677419, 1.0, 0.5, 0.967741935483871, 0.983050847457627, 0.9666666666666667, 1.0, 0.75
gini, 0.95, 0.05, 0.95, 50, target_accuracy, 96, 0, 0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0
gini, 0.95, 0.05, 0.95, 5, target_accuracy, 96, 58, 33, 0.6041666666666666, 0.896551724137931, 0.918918918918919, 0.8947368421052632, 0.9444444444444444, 0.8813131313131313, 0.9482758620689655, 0.9565217391304348, 1.0, 0.9166666666666666, 0.9583333333333333, 0.9827586206896551, 0.9859154929577464, 1.0, 0.9722222222222222, 0.9861111111111112, 0.6206896551724138, 0.7659574468085107, 0.6206896551724138, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0
gini, 0.95, 0.05, 0.95, 10, target_accuracy, 96, 58, 18, 0.6041666666666666, 0.7758620689655172, 0.8395061728395062, 0.7555555555555555, 0.9444444444444444, 0.7222222222222222, 0.9655172413793104, 0.9722222222222222, 0.9722222222222222, 0.9722222222222222, 0.9633838383838385, 0.9482758620689655, 0.9577464788732395, 0.9714285714285714, 0.9444444444444444, 0.9494949494949496, 0.6206896551724138, 0.7659574468085107, 0.6206896551724138, 1.0, 0.5, 0.9482758620689655, 0.9600000000000001, 0.9230769230769231, 1.0, 0.9318181818181819
gini, 0.95, 0.05, 0.95, 20, target_accuracy, 96, 47, 12, 0.4895833333333333, 0.8936170212765957, 0.9382716049382716, 0.9047619047619048, 0.9743589743589743, 0.7371794871794872, 0.9574468085106383, 0.9736842105263158, 1.0, 0.9487179487179487, 0.9743589743589743, 0.9361702127659575, 0.9600000000000001, 1.0, 0.9230769230769231, 0.9615384615384616, 0.8297872340425532, 0.9069767441860465, 0.8297872340425532, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0
gini, 0.95, 0.05, 0.95, 25, target_accuracy, 96, 35, 6, 0.3645833333333333, 0.8857142857142857, 0.9310344827586207, 0.8709677419354839, 1.0, 0.75, 0.9714285714285714, 0.9818181818181818, 0.9642857142857143, 1.0, 0.9375, 0.9714285714285714, 0.9818181818181818, 0.9642857142857143, 1.0, 0.9375, 0.7714285714285715, 0.870967741935484, 0.7714285714285715, 1.0, 0.5, 0.8857142857142857, 0.9310344827586207, 0.8709677419354839, 1.0, 0.75
gini, 0.95, 0.05, 0.95, 30, target_accuracy, 96, 18, 3, 0.1875, 0.9444444444444444, 0.9714285714285714, 0.9444444444444444, 1.0, 0.5, 0.9444444444444444, 0.9714285714285714, 0.9444444444444444, 1.0, 0.5, 0.9444444444444444, 0.9714285714285714, 0.9444444444444444, 1.0, 0.5, 0.9444444444444444, 0.9714285714285714, 0.9444444444444444, 1.0, 0.5, 0.9444444444444444, 0.9714285714285714, 0.9444444444444444, 1.0, 0.5
