ensemble_criterion, chi_square_percent_point_function, scale_feature_coefficient, min_accuracy_coefficient, min_number_class_per_node, sorting_method, dataset_test_size, dataset_test_categorizable, number_of_rules, cobertura, ensemble_accuracy, ensemble_f1_score, ensemble_precision_score, ensemble_recall, ensemble_roc_auc_score, tree_accuracy, tree_f1_score, tree_precision_score, tree_recall_score, tree_roc_auc_score, RuleFit_accuracy, RuleFit_f1_score, RuleFit_precision_score, RuleFit_recall_score, RuleFit_roc_auc_score, RuleCOSI_accuracy, RuleCOSI_f1_score, RuleCOSI_precision_score, RuleCOSI_recall_score, RuleCOSI_roc_auc_score, rules_accuracy, rules_f1_score, rules_precision_score, rules_recall_score, rules_roc_auc_score
gini, 0.95, 0.05, 0.95, 5, target_accuracy, 96, 67, 30, 0.6979166666666666, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9850746268656716, 0.989247311827957, 0.9787234042553191, 1.0, 0.9761904761904762, 0.9552238805970149, 0.968421052631579, 0.9387755102040817, 1.0, 0.9285714285714286, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
gini, 0.95, 0.05, 0.95, 10, target_accuracy, 96, 68, 14, 0.7083333333333334, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9705882352941176, 0.9791666666666666, 0.9791666666666666, 0.9791666666666666, 0.9645833333333332, 0.9558823529411765, 0.9690721649484536, 0.9591836734693877, 0.9791666666666666, 0.9395833333333333, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9852941176470589, 0.9896907216494846, 0.9795918367346939, 1.0, 0.975
gini, 0.95, 0.05, 0.95, 20, target_accuracy, 96, 70, 12, 0.7291666666666666, 0.9857142857142858, 0.9894736842105264, 0.9791666666666666, 1.0, 0.9782608695652174, 0.9714285714285714, 0.9787234042553191, 0.9787234042553191, 0.9787234042553191, 0.9676225716928769, 0.9714285714285714, 0.9787234042553191, 0.9787234042553191, 0.9787234042553191, 0.9676225716928769, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9, 0.9306930693069307, 0.8703703703703703, 1.0, 0.8478260869565217
gini, 0.95, 0.05, 0.95, 25, target_accuracy, 96, 96, 13, 1.0, 0.9791666666666666, 0.9841269841269841, 0.9841269841269841, 0.9841269841269841, 0.976911976911977, 0.9479166666666666, 0.96, 0.967741935483871, 0.9523809523809523, 0.9458874458874459, 0.9375, 0.953125, 0.9384615384615385, 0.9682539682539683, 0.9235209235209235, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7395833333333334, 0.8344370860927153, 0.7159090909090909, 1.0, 0.6212121212121212
gini, 0.95, 0.05, 0.95, 30, target_accuracy, 96, 70, 9, 0.7291666666666666, 0.9857142857142858, 0.989247311827957, 0.9787234042553191, 1.0, 0.9791666666666667, 0.9571428571428572, 0.967032967032967, 0.9777777777777777, 0.9565217391304348, 0.957427536231884, 0.9428571428571428, 0.9574468085106383, 0.9375, 0.9782608695652174, 0.9266304347826086, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7571428571428571, 0.8440366972477064, 0.7301587301587301, 1.0, 0.6458333333333333
gini, 0.95, 0.05, 0.95, 50, target_accuracy, 96, 0, 0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0
gini, 0.95, 0.05, 0.95, 5, target_accuracy, 96, 47, 29, 0.4895833333333333, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9787234042553191, 0.9863013698630138, 0.972972972972973, 1.0, 0.9545454545454545, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9787234042553191, 0.9863013698630138, 0.972972972972973, 1.0, 0.9545454545454545
gini, 0.95, 0.05, 0.95, 10, target_accuracy, 96, 43, 16, 0.4479166666666667, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
gini, 0.95, 0.05, 0.95, 20, target_accuracy, 96, 43, 8, 0.4479166666666667, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
gini, 0.95, 0.05, 0.95, 25, target_accuracy, 96, 49, 8, 0.5104166666666666, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9795918367346939, 0.9887640449438202, 1.0, 0.9777777777777777, 0.9888888888888889, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9183673469387755, 0.9574468085106383, 0.9183673469387755, 1.0, 0.5
