filename, Recursive, Method, Dataset, Coverage, DT F1, DT vs SR ttest F1, Ensemble F1, Ensemble vs SR p-value F1, RFIT F1, RFIT vs SR p-value F1, RFIT \# rl. num., RC vs SR p-value \# rl. num., RC F1, RC vs SR ttest F1, RC \# rl. num., RC vs SR p-value \# rl. num., SR F1, SR \# rl. num., SR F1 x coverage 
../../Results/battery_tic-tac-toe_<class 'catboost.core.CatBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns5_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'catboost.core.CatBoostClassifier'>, tic-tac-toe, 48.71±6.08, 99.46±0.98, 0.0083, 88.94±2.77, <0.0001, 99.92±0.31, 0.5797, 21±1.74, <0.0001, 88.94±2.77, <0.0001, 1±0.0, <0.0001, 99.96±0.23, 12.27±3.67, 48.69±0.01
../../Results/battery_tic-tac-toe_<class 'catboost.core.CatBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns7_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'catboost.core.CatBoostClassifier'>, tic-tac-toe, 47.88±5.33, 99.17±1.1, 0.0006, 89.25±2.75, <0.0001, 100.0±0.0, 0.1585, 21.4±1.89, <0.0001, 89.25±2.75, <0.0001, 1±0.0, <0.0001, 99.92±0.3, 9.13±1.41, 47.84±0.02
../../Results/battery_tic-tac-toe_<class 'catboost.core.CatBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns10_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'catboost.core.CatBoostClassifier'>, tic-tac-toe, 47.25±4.77, 99.53±1.06, 0.0347, 88.86±2.98, <0.0001, 100.0±0.0, 0.3215, 22.1±1.79, <0.0001, 88.86±2.98, <0.0001, 1±0.0, <0.0001, 99.95±0.25, 8.1±1.49, 47.23±0.01
../../Results/battery_tic-tac-toe_<class 'catboost.core.CatBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns15_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'catboost.core.CatBoostClassifier'>, tic-tac-toe, 42.28±4.17, 99.26±1.26, 0.0022, 88.03±3.12, <0.0001, 100.0±0.0, nan, 21.77±2.13, <0.0001, 88.03±3.12, <0.0001, 1±0.0, <0.0001, 100.0±0.0, 6±0.87, 42.28±0.0
../../Results/battery_tic-tac-toe_<class 'catboost.core.CatBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns20_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'catboost.core.CatBoostClassifier'>, tic-tac-toe, 40.12±5.68, 99.42±1.09, 0.0053, 87.77±3.39, <0.0001, 100.0±0.0, nan, 20.4±1.69, <0.0001, 87.77±3.39, <0.0001, 1±0.0, <0.0001, 100.0±0.0, 6.13±0.73, 40.12±0.0
../../Results/battery_tic-tac-toe_<class 'catboost.core.CatBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns25_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'catboost.core.CatBoostClassifier'>, tic-tac-toe, 40.92±5.6, 99.32±1.25, 0.0044, 88.18±4.38, <0.0001, 100.0±0.0, nan, 20.97±1.73, <0.0001, 88.18±4.38, <0.0001, 1±0.0, <0.0001, 100.0±0.0, 5.63±1.13, 40.92±0.0
../../Results/battery_tic-tac-toe_<class 'catboost.core.CatBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns35_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'catboost.core.CatBoostClassifier'>, tic-tac-toe, 29.86±10.92, 99.09±1.73, 0.059, 90.69±6.74, <0.0001, 99.8±1.07, 1.0, 22.03±2.53, <0.0001, 90.69±6.74, <0.0001, 1±0.0, <0.0001, 99.8±1.07, 3.5±1.01, 29.8±0.12
../../Results/battery_tic-tac-toe_<class 'catboost.core.CatBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns50_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'catboost.core.CatBoostClassifier'>, tic-tac-toe, 17.99±6.29, 100.0±0.0, nan, 100.0±0.0, nan, 100.0±0.0, nan, 21.3±1.86, <0.0001, 100.0±0.0, nan, 1±0.0, 0.0003, 100.0±0.0, 1.33±0.48, 17.99±0.0
../../Results/battery_tic-tac-toe_<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns5_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._gb.GradientBoostingClassifier'>, tic-tac-toe, 45.97±9.39, 96.45±3.63, 0.0015, 99.93±0.37, 0.0003, 98.1±2.64, 0.1929, 21.8±2.28, 0.7745, 99.72±0.66, 0.0051, 22.9±6.59, 0.5704, 98.84±1.52, 22.07±4.53, 45.43±0.14
../../Results/battery_tic-tac-toe_<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns7_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._gb.GradientBoostingClassifier'>, tic-tac-toe, 36.44±9.43, 97.52±2.6, 0.0071, 99.63±0.98, 0.1219, 98.43±2.5, 0.235, 21.67±1.63, <0.0001, 99.43±1.3, 0.3726, 23.17±6.06, <0.0001, 99.09±1.63, 14.87±4.46, 36.11±0.15
../../Results/battery_tic-tac-toe_<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns10_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._gb.GradientBoostingClassifier'>, tic-tac-toe, 33.1±8.9, 97.07±3.36, 0.0004, 100.0±0.0, 0.0345, 98.63±2.0, 0.0406, 21.07±2.43, <0.0001, 99.93±0.41, 0.0889, 22.73±6.74, <0.0001, 99.53±1.2, 10.37±2.17, 32.94±0.11
../../Results/battery_tic-tac-toe_<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns15_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._gb.GradientBoostingClassifier'>, tic-tac-toe, 25.91±10.76, 98.53±3.43, 0.1391, 100.0±0.0, 0.0122, 98.78±2.98, 0.21, 21.23±1.7, <0.0001, 100.0±0.0, 0.0122, 24.53±4.83, <0.0001, 99.51±1.04, 6.07±2.05, 25.79±0.11
../../Results/battery_tic-tac-toe_<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns20_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._gb.GradientBoostingClassifier'>, tic-tac-toe, 25.81±8.66, 97.89±2.68, 0.2059, 99.58±1.07, 0.0587, 98.36±2.47, 0.5708, 21.5±1.68, <0.0001, 99.47±1.16, 0.0999, 23.8±7.39, <0.0001, 98.71±2.24, 5.1±1.56, 25.48±0.19
../../Results/battery_tic-tac-toe_<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns25_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._gb.GradientBoostingClassifier'>, tic-tac-toe, 21.22±8.14, 99.26±1.45, 0.4855, 99.66±0.93, 0.0817, 98.77±3.75, 0.8187, 21.9±1.84, <0.0001, 99.46±1.31, 0.2441, 23.5±7.34, <0.0001, 98.95±1.99, 3.8±1.03, 21.0±0.16
../../Results/battery_tic-tac-toe_<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns35_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._gb.GradientBoostingClassifier'>, tic-tac-toe, 13.98±10.56, 82.97±37.76, 0.8555, 83.04±37.79, 0.8503, 82.97±37.76, 0.8555, 21.17±2.0, <0.0001, 83.01±37.78, 0.8521, 23.93±6.31, <0.0001, 81.19±37.49, 1.9±1.21, 11.35±3.96
../../Results/battery_tic-tac-toe_<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns50_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._gb.GradientBoostingClassifier'>, tic-tac-toe, 8.15±7.38, 72.96±44.8, 1.0, 72.96±44.8, 1.0, 73.07±44.84, 0.9929, 21.3±1.84, <0.0001, 72.96±44.8, 1.0, 24.37±6.2, <0.0001, 72.96±44.8, 1.03±0.81, 5.95±3.31
../../Results/battery_tic-tac-toe_<class 'sklearn.ensemble._forest.RandomForestClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns5_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._forest.RandomForestClassifier'>, tic-tac-toe, 45.79±6.04, 99.01±1.84, 0.0625, 99.78±0.7, 0.6905, 99.91±0.34, 0.2039, 21.53±2.01, <0.0001, 99.91±0.51, 0.248, 25.4±4.54, <0.0001, 99.71±0.8, 15.37±3.73, 45.66±0.05
../../Results/battery_tic-tac-toe_<class 'sklearn.ensemble._forest.RandomForestClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns7_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._forest.RandomForestClassifier'>, tic-tac-toe, 42.83±9.69, 98.99±2.48, 0.2759, 99.83±0.91, 0.6179, 100.0±0.0, 0.3215, 22.17±2.46, <0.0001, 100.0±0.0, 0.3215, 25.37±5.57, <0.0001, 99.63±2.03, 12.93±2.97, 42.67±0.2
../../Results/battery_tic-tac-toe_<class 'sklearn.ensemble._forest.RandomForestClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns10_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._forest.RandomForestClassifier'>, tic-tac-toe, 43.04±7.84, 99.41±1.04, 0.0581, 99.84±0.61, 1.0, 99.93±0.39, 0.5078, 20.4±2.36, <0.0001, 100.0±0.0, 0.1579, 23.87±3.64, <0.0001, 99.84±0.61, 10.5±2.11, 42.97±0.05
