ensemble_criterion, chi_square_percent_point_function, scale_feature_coefficient, min_accuracy_coefficient, min_number_class_per_node, sorting_method, dataset_test_size, dataset_test_categorizable, number_of_rules, cobertura, ensemble_accuracy, ensemble_f1_score, ensemble_precision_score, ensemble_recall, ensemble_roc_auc_score, tree_accuracy, tree_f1_score, tree_precision_score, tree_recall_score, tree_roc_auc_score, RuleFit_accuracy, RuleFit_f1_score, RuleFit_precision_score, RuleFit_recall_score, RuleFit_roc_auc_score, RuleCOSI_accuracy, RuleCOSI_f1_score, RuleCOSI_precision_score, RuleCOSI_recall_score, RuleCOSI_roc_auc_score, rules_accuracy, rules_f1_score, rules_precision_score, rules_recall_score, rules_roc_auc_score
gini, 0.95, 0.05, 0.95, 5, target_accuracy, 69, 55, 7, 0.7971014492753623, 0.7454545454545455, 0.8541666666666666, 0.7454545454545455, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
gini, 0.95, 0.05, 0.95, 10, target_accuracy, 69, 55, 6, 0.7971014492753623, 0.7454545454545455, 0.8541666666666666, 0.7454545454545455, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9818181818181818, 0.9879518072289156, 0.9761904761904762, 1.0, 0.9642857142857143
gini, 0.95, 0.05, 0.95, 20, target_accuracy, 69, 54, 3, 0.782608695652174, 0.7592592592592593, 0.8631578947368421, 0.7592592592592593, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9814814814814815, 0.9879518072289156, 0.9761904761904762, 1.0, 0.9615384615384616
gini, 0.95, 0.05, 0.95, 25, target_accuracy, 69, 54, 3, 0.782608695652174, 0.7592592592592593, 0.8631578947368421, 0.7592592592592593, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9814814814814815, 0.9879518072289156, 0.9761904761904762, 1.0, 0.9615384615384616
gini, 0.95, 0.05, 0.95, 30, target_accuracy, 69, 54, 3, 0.782608695652174, 0.7592592592592593, 0.8631578947368421, 0.7592592592592593, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9814814814814815, 0.9879518072289156, 0.9761904761904762, 1.0, 0.9615384615384616
gini, 0.95, 0.05, 0.95, 50, target_accuracy, 69, 54, 3, 0.782608695652174, 0.7592592592592593, 0.8631578947368421, 0.7592592592592593, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9814814814814815, 0.9879518072289156, 0.9761904761904762, 1.0, 0.9615384615384616
gini, 0.95, 0.05, 0.95, 5, target_accuracy, 69, 58, 7, 0.8405797101449275, 0.7068965517241379, 0.8282828282828283, 0.7068965517241379, 1.0, 0.5, 0.9655172413793104, 0.9761904761904763, 0.9534883720930233, 1.0, 0.9411764705882353, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9655172413793104, 0.9761904761904763, 0.9534883720930233, 1.0, 0.9411764705882353, 1.0, 1.0, 1.0, 1.0, 1.0
gini, 0.95, 0.05, 0.95, 10, target_accuracy, 69, 58, 6, 0.8405797101449275, 0.7068965517241379, 0.8282828282828283, 0.7068965517241379, 1.0, 0.5, 0.9655172413793104, 0.9761904761904763, 0.9534883720930233, 1.0, 0.9411764705882353, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9655172413793104, 0.9761904761904763, 0.9534883720930233, 1.0, 0.9411764705882353, 0.9827586206896551, 0.9879518072289156, 0.9761904761904762, 1.0, 0.9705882352941176
gini, 0.95, 0.05, 0.95, 20, target_accuracy, 69, 57, 3, 0.8260869565217391, 0.7192982456140351, 0.8367346938775511, 0.7192982456140351, 1.0, 0.5, 0.9649122807017544, 0.9761904761904763, 0.9534883720930233, 1.0, 0.9375, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9649122807017544, 0.9761904761904763, 0.9534883720930233, 1.0, 0.9375, 0.9824561403508771, 0.9879518072289156, 0.9761904761904762, 1.0, 0.96875
gini, 0.95, 0.05, 0.95, 25, target_accuracy, 69, 57, 3, 0.8260869565217391, 0.7192982456140351, 0.8367346938775511, 0.7192982456140351, 1.0, 0.5, 0.9649122807017544, 0.9761904761904763, 0.9534883720930233, 1.0, 0.9375, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9649122807017544, 0.9761904761904763, 0.9534883720930233, 1.0, 0.9375, 0.9824561403508771, 0.9879518072289156, 0.9761904761904762, 1.0, 0.96875
