ensemble_criterion, chi_square_percent_point_function, scale_feature_coefficient, min_accuracy_coefficient, min_number_class_per_node, sorting_method, dataset_test_size, dataset_test_categorizable, number_of_rules, cobertura, ensemble_accuracy, ensemble_f1_score, ensemble_precision_score, ensemble_recall, ensemble_roc_auc_score, tree_accuracy, tree_f1_score, tree_precision_score, tree_recall_score, tree_roc_auc_score, RuleFit_accuracy, RuleFit_f1_score, RuleFit_precision_score, RuleFit_recall_score, RuleFit_roc_auc_score, RuleCOSI_accuracy, RuleCOSI_f1_score, RuleCOSI_precision_score, RuleCOSI_recall_score, RuleCOSI_roc_auc_score, rules_accuracy, rules_f1_score, rules_precision_score, rules_recall_score, rules_roc_auc_score
gini, 0.95, 0.05, 0.95, 5, target_accuracy, 69, 56, 8, 0.8115942028985508, 0.6785714285714286, 0.8085106382978724, 0.6785714285714286, 1.0, 0.5, 0.9285714285714286, 0.9500000000000001, 0.9047619047619048, 1.0, 0.8888888888888888, 0.9642857142857143, 0.9743589743589743, 0.95, 1.0, 0.9444444444444444, 0.9464285714285714, 0.9620253164556963, 0.926829268292683, 1.0, 0.9166666666666667, 0.9642857142857143, 0.9743589743589743, 0.95, 1.0, 0.9444444444444444
gini, 0.95, 0.05, 0.95, 10, target_accuracy, 69, 60, 7, 0.8695652173913043, 0.6666666666666666, 0.8, 0.6666666666666666, 1.0, 0.5, 0.9333333333333333, 0.9523809523809523, 0.9090909090909091, 1.0, 0.9, 0.9666666666666667, 0.975609756097561, 0.9523809523809523, 1.0, 0.9500000000000001, 0.95, 0.963855421686747, 0.9302325581395349, 1.0, 0.9249999999999999, 0.9666666666666667, 0.975609756097561, 0.9523809523809523, 1.0, 0.9500000000000001
gini, 0.95, 0.05, 0.95, 20, target_accuracy, 69, 57, 6, 0.8260869565217391, 0.7192982456140351, 0.8367346938775511, 0.7192982456140351, 1.0, 0.5, 0.9473684210526315, 0.9647058823529412, 0.9318181818181818, 1.0, 0.90625, 0.9649122807017544, 0.9761904761904763, 0.9534883720930233, 1.0, 0.9375, 0.9473684210526315, 0.9647058823529412, 0.9318181818181818, 1.0, 0.90625, 0.9824561403508771, 0.9879518072289156, 0.9761904761904762, 1.0, 0.96875
gini, 0.95, 0.05, 0.95, 25, target_accuracy, 69, 62, 6, 0.8985507246376812, 0.6451612903225806, 0.7843137254901961, 0.6451612903225806, 1.0, 0.5, 0.9354838709677419, 0.9523809523809523, 0.9090909090909091, 1.0, 0.9090909090909091, 0.967741935483871, 0.975609756097561, 0.9523809523809523, 1.0, 0.9545454545454545, 0.9516129032258065, 0.963855421686747, 0.9302325581395349, 1.0, 0.9318181818181819, 0.9838709677419355, 0.9876543209876543, 0.975609756097561, 1.0, 0.9772727272727273
gini, 0.95, 0.05, 0.95, 30, target_accuracy, 69, 57, 3, 0.8260869565217391, 0.6842105263157895, 0.8125000000000001, 0.6842105263157895, 1.0, 0.5, 0.9824561403508771, 0.9870129870129869, 1.0, 0.9743589743589743, 0.9871794871794872, 0.9824561403508771, 0.9870129870129869, 1.0, 0.9743589743589743, 0.9871794871794872, 0.9824561403508771, 0.9870129870129869, 1.0, 0.9743589743589743, 0.9871794871794872, 0.9649122807017544, 0.9743589743589743, 0.9743589743589743, 0.9743589743589743, 0.9594017094017093
gini, 0.95, 0.05, 0.95, 50, target_accuracy, 69, 52, 2, 0.7536231884057971, 0.7115384615384616, 0.8314606741573033, 0.7115384615384616, 1.0, 0.5, 0.9423076923076923, 0.961038961038961, 0.925, 1.0, 0.9, 0.9615384615384616, 0.9736842105263158, 0.9487179487179487, 1.0, 0.9333333333333333, 0.9423076923076923, 0.961038961038961, 0.925, 1.0, 0.9, 0.9615384615384616, 0.9736842105263158, 0.9487179487179487, 1.0, 0.9333333333333333
gini, 0.95, 0.05, 0.95, 5, target_accuracy, 69, 65, 10, 0.9420289855072463, 0.676923076923077, 0.8073394495412844, 0.676923076923077, 1.0, 0.5, 0.9538461538461539, 0.9662921348314608, 0.9555555555555556, 0.9772727272727273, 0.9410173160173161, 0.9846153846153847, 0.9887640449438202, 0.9777777777777777, 1.0, 0.9761904761904762, 0.9692307692307692, 0.9772727272727273, 0.9772727272727273, 0.9772727272727273, 0.9648268398268397, 0.9692307692307692, 0.9777777777777777, 0.9565217391304348, 1.0, 0.9523809523809523
gini, 0.95, 0.05, 0.95, 10, target_accuracy, 69, 57, 7, 0.8260869565217391, 0.7017543859649122, 0.8247422680412371, 0.7017543859649122, 1.0, 0.5, 0.9473684210526315, 0.9629629629629629, 0.9512195121951219, 0.975, 0.9286764705882353, 0.9824561403508771, 0.9876543209876543, 0.975609756097561, 1.0, 0.9705882352941176, 0.9824561403508771, 0.9873417721518987, 1.0, 0.975, 0.9875, 0.9649122807017544, 0.975609756097561, 0.9523809523809523, 1.0, 0.9411764705882353
gini, 0.95, 0.05, 0.95, 20, target_accuracy, 69, 54, 6, 0.782608695652174, 0.7222222222222222, 0.8387096774193548, 0.7222222222222222, 1.0, 0.5, 0.9629629629629629, 0.9743589743589743, 0.9743589743589743, 0.9743589743589743, 0.9538461538461539, 0.9814814814814815, 0.9873417721518987, 0.975, 1.0, 0.9666666666666667, 0.9814814814814815, 0.9870129870129869, 1.0, 0.9743589743589743, 0.9871794871794872, 1.0, 1.0, 1.0, 1.0, 1.0
gini, 0.95, 0.05, 0.95, 25, target_accuracy, 69, 54, 5, 0.782608695652174, 0.7037037037037037, 0.8260869565217391, 0.7037037037037037, 1.0, 0.5, 0.9629629629629629, 0.9743589743589743, 0.95, 1.0, 0.9375, 0.9814814814814815, 0.9870129870129869, 0.9743589743589743, 1.0, 0.96875, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9814814814814815, 0.9870129870129869, 0.9743589743589743, 1.0, 0.96875
