chi_square_percent_point_function, scale_feature_coefficient, min_accuracy_coefficient, min_number_class_per_node, sorting_method, dataset_test_size, dataset_test_categorizable, number_of_rules, cobertura, recursive, ensemble_accuracy, ensemble_f1_score, ensemble_precision_score, ensemble_recall, ensemble_roc_auc_score, tree_accuracy, tree_f1_score, tree_precision_score, tree_recall_score, tree_roc_auc_score, RuleFit_accuracy, RuleFit_f1_score, RuleFit_precision_score, RuleFit_recall_score, RuleFit_roc_auc_score, RuleCOSI_accuracy, RuleCOSI_f1_score, RuleCOSI_precision_score, RuleCOSI_recall_score, RuleCOSI_roc_auc_score, rules_accuracy, rules_f1_score, rules_precision_score, rules_recall_score, rules_roc_auc_score, RuleFit_numrules, RuleCOSI_numrules, rules_numrules
0.95, 0.05, 0.95, 7, target_accuracy, 69, 57, 6, 0.8260869565217391, False, 0.7543859649122807, 0.86, 0.7543859649122807, 1.0, 0.5, 0.9649122807017544, 0.9767441860465116, 0.9767441860465116, 0.9767441860465116, 0.9526578073089701, 0.9649122807017544, 0.9767441860465116, 0.9767441860465116, 0.9767441860465116, 0.9526578073089701, 0.9649122807017544, 0.9767441860465116, 0.9767441860465116, 0.9767441860465116, 0.9526578073089701, 0.9649122807017544, 0.9767441860465116, 0.9767441860465116, 0.9767441860465116, 0.9526578073089701, 18, 5, 6
0.95, 0.05, 0.95, 7, target_accuracy, 69, 61, 8, 0.8840579710144928, False, 0.6885245901639344, 0.8155339805825244, 0.6885245901639344, 1.0, 0.5, 0.9836065573770492, 0.9879518072289156, 1.0, 0.9761904761904762, 0.9880952380952381, 0.9836065573770492, 0.9879518072289156, 1.0, 0.9761904761904762, 0.9880952380952381, 0.9508196721311475, 0.962962962962963, 1.0, 0.9285714285714286, 0.9642857142857143, 0.9836065573770492, 0.9879518072289156, 1.0, 0.9761904761904762, 0.9880952380952381, 22, 8, 8
0.95, 0.05, 0.95, 7, target_accuracy, 69, 58, 6, 0.8405797101449275, False, 0.6896551724137931, 0.8163265306122449, 0.6896551724137931, 1.0, 0.5, 0.9827586206896551, 0.9873417721518987, 1.0, 0.975, 0.9875, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9310344827586207, 0.9473684210526316, 1.0, 0.9, 0.95, 0.9827586206896551, 0.9876543209876543, 0.975609756097561, 1.0, 0.9722222222222222, 14, 9, 6
0.95, 0.05, 0.95, 7, target_accuracy, 68, 56, 8, 0.8235294117647058, False, 0.7321428571428571, 0.8453608247422679, 0.7321428571428571, 1.0, 0.5, 0.9821428571428571, 0.9879518072289156, 0.9761904761904762, 1.0, 0.9666666666666667, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9107142857142857, 0.9350649350649352, 1.0, 0.8780487804878049, 0.9390243902439024, 1.0, 1.0, 1.0, 1.0, 1.0, 18, 7, 8
0.95, 0.05, 0.95, 7, target_accuracy, 68, 57, 7, 0.8382352941176471, False, 0.6842105263157895, 0.8125000000000001, 0.6842105263157895, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9824561403508771, 0.9870129870129869, 1.0, 0.9743589743589743, 0.9871794871794872, 1.0, 1.0, 1.0, 1.0, 1.0, 19, 9, 7
0.95, 0.05, 0.95, 7, target_accuracy, 68, 59, 8, 0.8676470588235294, False, 0.6949152542372882, 0.8200000000000001, 0.6949152542372882, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9830508474576272, 0.9876543209876543, 1.0, 0.975609756097561, 0.9878048780487805, 0.9322033898305084, 0.9487179487179488, 1.0, 0.9024390243902439, 0.9512195121951219, 1.0, 1.0, 1.0, 1.0, 1.0, 20, 7, 8
0.95, 0.05, 0.95, 7, target_accuracy, 68, 54, 5, 0.7941176470588235, False, 0.7222222222222222, 0.8387096774193548, 0.7222222222222222, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 24, 3, 5
0.95, 0.05, 0.95, 7, target_accuracy, 68, 60, 7, 0.8823529411764706, False, 0.6833333333333333, 0.8118811881188119, 0.6833333333333333, 1.0, 0.5, 0.9833333333333333, 0.9876543209876543, 1.0, 0.975609756097561, 0.9878048780487805, 0.9833333333333333, 0.9876543209876543, 1.0, 0.975609756097561, 0.9878048780487805, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 17, 6, 7
0.95, 0.05, 0.95, 7, target_accuracy, 68, 56, 6, 0.8235294117647058, False, 0.7142857142857143, 0.8333333333333333, 0.7142857142857143, 1.0, 0.5, 0.9821428571428571, 0.9873417721518987, 1.0, 0.975, 0.9875, 0.9821428571428571, 0.9873417721518987, 1.0, 0.975, 0.9875, 0.9464285714285714, 0.961038961038961, 1.0, 0.925, 0.9625, 1.0, 1.0, 1.0, 1.0, 1.0, 19, 5, 6
0.95, 0.05, 0.95, 7, target_accuracy, 68, 59, 7, 0.8676470588235294, False, 0.711864406779661, 0.8316831683168318, 0.711864406779661, 1.0, 0.5, 0.9661016949152542, 0.9767441860465117, 0.9545454545454546, 1.0, 0.9411764705882353, 0.9830508474576272, 0.988235294117647, 0.9767441860465116, 1.0, 0.9705882352941176, 0.9830508474576272, 0.988235294117647, 0.9767441860465116, 1.0, 0.9705882352941176, 0.9830508474576272, 0.988235294117647, 0.9767441860465116, 1.0, 0.9705882352941176, 16, 7, 7
