chi_square_percent_point_function, scale_feature_coefficient, min_accuracy_coefficient, min_number_class_per_node, sorting_method, dataset_test_size, dataset_test_categorizable, number_of_rules, cobertura, recursive, ensemble_accuracy, ensemble_f1_score, ensemble_precision_score, ensemble_recall, ensemble_roc_auc_score, tree_accuracy, tree_f1_score, tree_precision_score, tree_recall_score, tree_roc_auc_score, RuleFit_accuracy, RuleFit_f1_score, RuleFit_precision_score, RuleFit_recall_score, RuleFit_roc_auc_score, RuleCOSI_accuracy, RuleCOSI_f1_score, RuleCOSI_precision_score, RuleCOSI_recall_score, RuleCOSI_roc_auc_score, rules_accuracy, rules_f1_score, rules_precision_score, rules_recall_score, rules_roc_auc_score, RuleFit_numrules, RuleCOSI_numrules, rules_numrules
0.95, 0.05, 0.95, 7, target_accuracy, 69, 58, 7, 0.8405797101449275, True, 0.7241379310344828, 0.8400000000000001, 0.7241379310344828, 1.0, 0.5, 0.9827586206896551, 0.9879518072289156, 1.0, 0.9761904761904762, 0.9880952380952381, 0.9827586206896551, 0.9879518072289156, 1.0, 0.9761904761904762, 0.9880952380952381, 0.9827586206896551, 0.9879518072289156, 1.0, 0.9761904761904762, 0.9880952380952381, 0.9827586206896551, 0.9879518072289156, 1.0, 0.9761904761904762, 0.9880952380952381, 19, 6, 7
0.95, 0.05, 0.95, 7, target_accuracy, 69, 63, 10, 0.9130434782608695, True, 0.6507936507936508, 0.7884615384615385, 0.6507936507936508, 1.0, 0.5, 0.9682539682539683, 0.975609756097561, 0.975609756097561, 0.975609756097561, 0.9650776053215079, 0.9682539682539683, 0.975609756097561, 0.975609756097561, 0.975609756097561, 0.9650776053215079, 0.9682539682539683, 0.975609756097561, 0.975609756097561, 0.975609756097561, 0.9650776053215079, 0.9682539682539683, 0.975609756097561, 0.975609756097561, 0.975609756097561, 0.9650776053215079, 19, 9, 10
0.95, 0.05, 0.95, 7, target_accuracy, 69, 57, 7, 0.8260869565217391, True, 0.7192982456140351, 0.8367346938775511, 0.7192982456140351, 1.0, 0.5, 0.9649122807017544, 0.975609756097561, 0.975609756097561, 0.975609756097561, 0.9565548780487805, 0.9824561403508771, 0.9876543209876543, 1.0, 0.975609756097561, 0.9878048780487805, 0.8771929824561403, 0.9090909090909091, 0.9722222222222222, 0.8536585365853658, 0.895579268292683, 0.9649122807017544, 0.975609756097561, 0.975609756097561, 0.975609756097561, 0.9565548780487805, 21, 6, 7
0.95, 0.05, 0.95, 7, target_accuracy, 68, 50, 8, 0.7352941176470589, True, 0.72, 0.8372093023255813, 0.72, 1.0, 0.5, 0.98, 0.9859154929577464, 1.0, 0.9722222222222222, 0.9861111111111112, 0.98, 0.9859154929577464, 1.0, 0.9722222222222222, 0.9861111111111112, 1.0, 1.0, 1.0, 1.0, 1.0, 0.98, 0.9863013698630138, 0.972972972972973, 1.0, 0.9642857142857143, 18, 10, 8
0.95, 0.05, 0.95, 7, target_accuracy, 68, 56, 6, 0.8235294117647058, True, 0.6964285714285714, 0.8210526315789474, 0.6964285714285714, 1.0, 0.5, 0.9642857142857143, 0.975, 0.9512195121951219, 1.0, 0.9411764705882353, 0.9821428571428571, 0.9873417721518987, 0.975, 1.0, 0.9705882352941176, 0.9285714285714286, 0.9473684210526315, 0.972972972972973, 0.9230769230769231, 0.9321266968325792, 0.9642857142857143, 0.975, 0.9512195121951219, 1.0, 0.9411764705882353, 19, 2, 6
0.95, 0.05, 0.95, 7, target_accuracy, 68, 59, 8, 0.8676470588235294, True, 0.6949152542372882, 0.8200000000000001, 0.6949152542372882, 1.0, 0.5, 0.9830508474576272, 0.9879518072289156, 0.9761904761904762, 1.0, 0.9722222222222222, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 20, 9, 8
0.95, 0.05, 0.95, 7, target_accuracy, 68, 67, 10, 0.9852941176470589, True, 0.6417910447761194, 0.7818181818181819, 0.6417910447761194, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9701492537313433, 0.9761904761904763, 1.0, 0.9534883720930233, 0.9767441860465116, 1.0, 1.0, 1.0, 1.0, 1.0, 17, 8, 10
0.95, 0.05, 0.95, 7, target_accuracy, 68, 59, 6, 0.8676470588235294, True, 0.6779661016949152, 0.8080808080808081, 0.6779661016949152, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 20, 6, 6
0.95, 0.05, 0.95, 7, target_accuracy, 68, 57, 9, 0.8382352941176471, True, 0.7017543859649122, 0.8247422680412371, 0.7017543859649122, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 22, 9, 9
0.95, 0.05, 0.95, 7, target_accuracy, 68, 63, 8, 0.9264705882352942, True, 0.6984126984126984, 0.822429906542056, 0.6984126984126984, 1.0, 0.5, 0.9365079365079365, 0.9534883720930233, 0.9761904761904762, 0.9318181818181818, 0.9395933014354068, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9682539682539683, 0.9767441860465117, 1.0, 0.9545454545454546, 0.9772727272727273, 1.0, 1.0, 1.0, 1.0, 1.0, 22, 6, 8
