chi_square_percent_point_function, scale_feature_coefficient, min_accuracy_coefficient, min_number_class_per_node, sorting_method, dataset_test_size, dataset_test_categorizable, number_of_rules, cobertura, recursive, ensemble_accuracy, ensemble_f1_score, ensemble_precision_score, ensemble_recall, ensemble_roc_auc_score, tree_accuracy, tree_f1_score, tree_precision_score, tree_recall_score, tree_roc_auc_score, RuleFit_accuracy, RuleFit_f1_score, RuleFit_precision_score, RuleFit_recall_score, RuleFit_roc_auc_score, RuleCOSI_accuracy, RuleCOSI_f1_score, RuleCOSI_precision_score, RuleCOSI_recall_score, RuleCOSI_roc_auc_score, rules_accuracy, rules_f1_score, rules_precision_score, rules_recall_score, rules_roc_auc_score, RuleFit_numrules, RuleCOSI_numrules, rules_numrules
0.95, 0.05, 0.95, 35, target_accuracy, 69, 38, 1, 0.5507246376811594, False, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 16, 17, 1
0.95, 0.05, 0.95, 35, target_accuracy, 69, 49, 4, 0.7101449275362319, False, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9795918367346939, 0.9873417721518987, 0.975, 1.0, 0.9500000000000001, 0.9795918367346939, 0.9873417721518987, 0.975, 1.0, 0.9500000000000001, 15, 23, 4
0.95, 0.05, 0.95, 35, target_accuracy, 69, 48, 3, 0.6956521739130435, False, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 22, 22, 3
0.95, 0.05, 0.95, 35, target_accuracy, 68, 47, 3, 0.6911764705882353, False, 0.9787234042553191, 0.9873417721518987, 1.0, 0.975, 0.9875, 0.9361702127659575, 0.9629629629629629, 0.9512195121951219, 0.975, 0.8446428571428571, 0.9787234042553191, 0.9873417721518987, 1.0, 0.975, 0.9875, 0.9361702127659575, 0.9629629629629629, 0.9512195121951219, 0.975, 0.8446428571428571, 0.9361702127659575, 0.9629629629629629, 0.9512195121951219, 0.975, 0.8446428571428571, 20, 17, 3
0.95, 0.05, 0.95, 35, target_accuracy, 68, 39, 3, 0.5735294117647058, False, 0.9487179487179487, 0.972972972972973, 0.972972972972973, 0.972972972972973, 0.7364864864864865, 0.9487179487179487, 0.9736842105263158, 0.9487179487179487, 1.0, 0.5, 0.9487179487179487, 0.9736842105263158, 0.9487179487179487, 1.0, 0.5, 0.9487179487179487, 0.972972972972973, 0.972972972972973, 0.972972972972973, 0.7364864864864865, 0.9487179487179487, 0.9736842105263158, 0.9487179487179487, 1.0, 0.5, 17, 15, 3
0.95, 0.05, 0.95, 35, target_accuracy, 68, 50, 3, 0.7352941176470589, False, 0.98, 0.9859154929577464, 1.0, 0.9722222222222222, 0.9861111111111112, 0.98, 0.9859154929577464, 1.0, 0.9722222222222222, 0.9861111111111112, 0.98, 0.9859154929577464, 1.0, 0.9722222222222222, 0.9861111111111112, 0.98, 0.9859154929577464, 1.0, 0.9722222222222222, 0.9861111111111112, 0.98, 0.9859154929577464, 1.0, 0.9722222222222222, 0.9861111111111112, 22, 21, 3
0.95, 0.05, 0.95, 35, target_accuracy, 68, 49, 3, 0.7205882352941176, False, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9795918367346939, 0.9863013698630138, 0.972972972972973, 1.0, 0.9615384615384616, 0.9795918367346939, 0.9863013698630138, 0.972972972972973, 1.0, 0.9615384615384616, 21, 16, 3
0.95, 0.05, 0.95, 35, target_accuracy, 68, 46, 3, 0.6764705882352942, False, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 16, 19, 3
0.95, 0.05, 0.95, 35, target_accuracy, 68, 38, 2, 0.5588235294117647, False, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9736842105263158, 0.9863013698630138, 0.972972972972973, 1.0, 0.75, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9736842105263158, 0.9863013698630138, 0.972972972972973, 1.0, 0.75, 0.9473684210526315, 0.972972972972973, 0.9473684210526315, 1.0, 0.5, 19, 19, 2
0.95, 0.05, 0.95, 35, target_accuracy, 68, 37, 2, 0.5441176470588235, False, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 15, 20, 2
