chi_square_percent_point_function, scale_feature_coefficient, min_accuracy_coefficient, min_number_class_per_node, sorting_method, dataset_test_size, dataset_test_categorizable, number_of_rules, cobertura, recursive, ensemble_accuracy, ensemble_f1_score, ensemble_precision_score, ensemble_recall, ensemble_roc_auc_score, tree_accuracy, tree_f1_score, tree_precision_score, tree_recall_score, tree_roc_auc_score, RuleFit_accuracy, RuleFit_f1_score, RuleFit_precision_score, RuleFit_recall_score, RuleFit_roc_auc_score, RuleCOSI_accuracy, RuleCOSI_f1_score, RuleCOSI_precision_score, RuleCOSI_recall_score, RuleCOSI_roc_auc_score, rules_accuracy, rules_f1_score, rules_precision_score, rules_recall_score, rules_roc_auc_score, RuleFit_numrules, RuleCOSI_numrules, rules_numrules
0.95, 0.05, 0.95, 15, target_accuracy, 69, 53, 5, 0.7681159420289855, True, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9811320754716981, 0.9873417721518987, 1.0, 0.975, 0.9875, 1.0, 1.0, 1.0, 1.0, 1.0, 22, 15, 5
0.95, 0.05, 0.95, 15, target_accuracy, 69, 64, 7, 0.927536231884058, True, 0.96875, 0.9767441860465116, 0.9767441860465116, 0.9767441860465116, 0.964562569213732, 0.953125, 0.9647058823529412, 0.9761904761904762, 0.9534883720930233, 0.9529346622369876, 0.953125, 0.9647058823529412, 0.9761904761904762, 0.9534883720930233, 0.9529346622369876, 0.96875, 0.9767441860465116, 0.9767441860465116, 0.9767441860465116, 0.964562569213732, 0.921875, 0.942528735632184, 0.9318181818181818, 0.9534883720930233, 0.9053156146179402, 19, 11, 7
0.95, 0.05, 0.95, 15, target_accuracy, 69, 50, 4, 0.7246376811594203, True, 0.98, 0.9873417721518987, 0.975, 1.0, 0.9545454545454545, 0.98, 0.9873417721518987, 0.975, 1.0, 0.9545454545454545, 0.98, 0.9873417721518987, 0.975, 1.0, 0.9545454545454545, 0.98, 0.9873417721518987, 0.975, 1.0, 0.9545454545454545, 0.98, 0.9873417721518987, 0.975, 1.0, 0.9545454545454545, 21, 14, 4
0.95, 0.05, 0.95, 15, target_accuracy, 68, 49, 5, 0.7205882352941176, True, 0.9795918367346939, 0.9870129870129869, 1.0, 0.9743589743589743, 0.9871794871794872, 0.9795918367346939, 0.9870129870129869, 1.0, 0.9743589743589743, 0.9871794871794872, 0.9795918367346939, 0.9870129870129869, 1.0, 0.9743589743589743, 0.9871794871794872, 0.9795918367346939, 0.9870129870129869, 1.0, 0.9743589743589743, 0.9871794871794872, 0.9795918367346939, 0.9870129870129869, 1.0, 0.9743589743589743, 0.9871794871794872, 22, 17, 5
0.95, 0.05, 0.95, 15, target_accuracy, 68, 42, 4, 0.6176470588235294, True, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9761904761904762, 0.9879518072289156, 0.9761904761904762, 1.0, 0.5, 0.9761904761904762, 0.9879518072289156, 0.9761904761904762, 1.0, 0.5, 20, 15, 4
0.95, 0.05, 0.95, 15, target_accuracy, 68, 53, 5, 0.7794117647058824, True, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9811320754716981, 0.9866666666666666, 0.9736842105263158, 1.0, 0.96875, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9811320754716981, 0.9866666666666666, 0.9736842105263158, 1.0, 0.96875, 19, 15, 5
0.95, 0.05, 0.95, 15, target_accuracy, 68, 54, 5, 0.7941176470588235, True, 0.9814814814814815, 0.9870129870129869, 1.0, 0.9743589743589743, 0.9871794871794872, 0.9814814814814815, 0.9870129870129869, 1.0, 0.9743589743589743, 0.9871794871794872, 0.9814814814814815, 0.9870129870129869, 1.0, 0.9743589743589743, 0.9871794871794872, 0.9814814814814815, 0.9870129870129869, 1.0, 0.9743589743589743, 0.9871794871794872, 0.9814814814814815, 0.9870129870129869, 1.0, 0.9743589743589743, 0.9871794871794872, 25, 19, 5
0.95, 0.05, 0.95, 15, target_accuracy, 68, 50, 6, 0.7352941176470589, True, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 23, 18, 6
0.95, 0.05, 0.95, 15, target_accuracy, 68, 49, 4, 0.7205882352941176, True, 0.9795918367346939, 0.9866666666666666, 1.0, 0.9736842105263158, 0.986842105263158, 0.9591836734693877, 0.972972972972973, 1.0, 0.9473684210526315, 0.9736842105263157, 0.9795918367346939, 0.9866666666666666, 1.0, 0.9736842105263158, 0.986842105263158, 0.9591836734693877, 0.972972972972973, 1.0, 0.9473684210526315, 0.9736842105263157, 0.9795918367346939, 0.9866666666666666, 1.0, 0.9736842105263158, 0.986842105263158, 18, 15, 4
0.95, 0.05, 0.95, 15, target_accuracy, 68, 53, 5, 0.7794117647058824, True, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9811320754716981, 0.9873417721518987, 1.0, 0.975, 0.9875, 1.0, 1.0, 1.0, 1.0, 1.0, 15, 17, 5
