chi_square_percent_point_function, scale_feature_coefficient, min_accuracy_coefficient, min_number_class_per_node, sorting_method, dataset_test_size, dataset_test_categorizable, number_of_rules, cobertura, recursive, ensemble_accuracy, ensemble_f1_score, ensemble_precision_score, ensemble_recall, ensemble_roc_auc_score, tree_accuracy, tree_f1_score, tree_precision_score, tree_recall_score, tree_roc_auc_score, RuleFit_accuracy, RuleFit_f1_score, RuleFit_precision_score, RuleFit_recall_score, RuleFit_roc_auc_score, RuleCOSI_accuracy, RuleCOSI_f1_score, RuleCOSI_precision_score, RuleCOSI_recall_score, RuleCOSI_roc_auc_score, rules_accuracy, rules_f1_score, rules_precision_score, rules_recall_score, rules_roc_auc_score, RuleFit_numrules, RuleCOSI_numrules, rules_numrules
0.95, 0.05, 0.95, 7, target_accuracy, 69, 52, 6, 0.7536231884057971, False, 0.9807692307692307, 0.9885057471264368, 0.9772727272727273, 1.0, 0.9444444444444444, 0.9615384615384616, 0.9767441860465116, 0.9767441860465116, 0.9767441860465116, 0.9328165374677002, 0.9807692307692307, 0.9885057471264368, 0.9772727272727273, 1.0, 0.9444444444444444, 0.9807692307692307, 0.9885057471264368, 0.9772727272727273, 1.0, 0.9444444444444444, 0.9807692307692307, 0.9885057471264368, 0.9772727272727273, 1.0, 0.9444444444444444, 15, 12, 6
0.95, 0.05, 0.95, 7, target_accuracy, 69, 48, 5, 0.6956521739130435, False, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9791666666666666, 0.9876543209876543, 1.0, 0.975609756097561, 0.9878048780487805, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9791666666666666, 0.9879518072289156, 0.9761904761904762, 1.0, 0.9285714285714286, 19, 15, 5
0.95, 0.05, 0.95, 7, target_accuracy, 69, 54, 5, 0.782608695652174, False, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9814814814814815, 0.9879518072289156, 0.9761904761904762, 1.0, 0.9615384615384616, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9814814814814815, 0.9879518072289156, 0.9761904761904762, 1.0, 0.9615384615384616, 0.9814814814814815, 0.9879518072289156, 0.9761904761904762, 1.0, 0.9615384615384616, 18, 14, 5
0.95, 0.05, 0.95, 7, target_accuracy, 68, 42, 5, 0.6176470588235294, False, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9523809523809523, 0.975, 0.9512195121951219, 1.0, 0.6666666666666667, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9523809523809523, 0.975, 0.9512195121951219, 1.0, 0.6666666666666667, 18, 10, 5
0.95, 0.05, 0.95, 7, target_accuracy, 68, 39, 4, 0.5735294117647058, False, 0.9743589743589743, 0.9836065573770492, 0.967741935483871, 1.0, 0.9444444444444444, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9743589743589743, 0.9836065573770492, 0.967741935483871, 1.0, 0.9444444444444444, 0.9743589743589743, 0.9836065573770492, 0.967741935483871, 1.0, 0.9444444444444444, 22, 12, 4
0.95, 0.05, 0.95, 7, target_accuracy, 68, 64, 5, 0.9411764705882353, False, 0.921875, 0.9397590361445782, 0.9512195121951219, 0.9285714285714286, 0.9188311688311689, 0.921875, 0.9397590361445782, 0.9512195121951219, 0.9285714285714286, 0.9188311688311689, 0.9375, 0.951219512195122, 0.975, 0.9285714285714286, 0.9415584415584416, 0.90625, 0.9285714285714286, 0.9285714285714286, 0.9285714285714286, 0.8961038961038962, 0.921875, 0.9397590361445782, 0.9512195121951219, 0.9285714285714286, 0.9188311688311689, 19, 15, 5
0.95, 0.05, 0.95, 7, target_accuracy, 68, 61, 7, 0.8970588235294118, False, 0.9836065573770492, 0.9885057471264368, 0.9772727272727273, 1.0, 0.9722222222222222, 0.9672131147540983, 0.9772727272727273, 0.9555555555555556, 1.0, 0.9444444444444444, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9836065573770492, 0.9885057471264368, 0.9772727272727273, 1.0, 0.9722222222222222, 0.9672131147540983, 0.9772727272727273, 0.9555555555555556, 1.0, 0.9444444444444444, 17, 18, 7
0.95, 0.05, 0.95, 7, target_accuracy, 68, 43, 5, 0.6323529411764706, False, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 17, 14, 5
0.95, 0.05, 0.95, 7, target_accuracy, 68, 54, 6, 0.7941176470588235, False, 0.9814814814814815, 0.9870129870129869, 0.9743589743589743, 1.0, 0.96875, 0.9814814814814815, 0.9870129870129869, 0.9743589743589743, 1.0, 0.96875, 0.9814814814814815, 0.9870129870129869, 0.9743589743589743, 1.0, 0.96875, 0.9629629629629629, 0.9743589743589743, 0.95, 1.0, 0.9375, 0.9629629629629629, 0.9743589743589743, 0.95, 1.0, 0.9375, 19, 12, 6
0.95, 0.05, 0.95, 7, target_accuracy, 68, 37, 2, 0.5441176470588235, False, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 21, 14, 2
