chi_square_percent_point_function, scale_feature_coefficient, min_accuracy_coefficient, min_number_class_per_node, sorting_method, dataset_test_size, dataset_test_categorizable, number_of_rules, cobertura, recursive, ensemble_accuracy, ensemble_f1_score, ensemble_precision_score, ensemble_recall, ensemble_roc_auc_score, tree_accuracy, tree_f1_score, tree_precision_score, tree_recall_score, tree_roc_auc_score, RuleFit_accuracy, RuleFit_f1_score, RuleFit_precision_score, RuleFit_recall_score, RuleFit_roc_auc_score, RuleCOSI_accuracy, RuleCOSI_f1_score, RuleCOSI_precision_score, RuleCOSI_recall_score, RuleCOSI_roc_auc_score, rules_accuracy, rules_f1_score, rules_precision_score, rules_recall_score, rules_roc_auc_score, RuleFit_numrules, RuleCOSI_numrules, rules_numrules
0.95, 0.05, 0.95, 20, target_accuracy, 69, 44, 4, 0.6376811594202898, True, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 20, 16, 4
0.95, 0.05, 0.95, 20, target_accuracy, 69, 52, 4, 0.7536231884057971, True, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9615384615384616, 0.9743589743589743, 0.95, 1.0, 0.9285714285714286, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9615384615384616, 0.9743589743589743, 0.95, 1.0, 0.9285714285714286, 0.9615384615384616, 0.9743589743589743, 0.95, 1.0, 0.9285714285714286, 15, 14, 4
0.95, 0.05, 0.95, 20, target_accuracy, 69, 49, 4, 0.7101449275362319, True, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 17, 9, 4
0.95, 0.05, 0.95, 20, target_accuracy, 68, 56, 3, 0.8235294117647058, True, 0.9642857142857143, 0.975, 0.975, 0.975, 0.95625, 0.9464285714285714, 0.9629629629629629, 0.9512195121951219, 0.975, 0.925, 0.9642857142857143, 0.975, 0.975, 0.975, 0.95625, 0.9642857142857143, 0.975, 0.975, 0.975, 0.95625, 0.9464285714285714, 0.9629629629629629, 0.9512195121951219, 0.975, 0.925, 23, 16, 3
0.95, 0.05, 0.95, 20, target_accuracy, 68, 36, 3, 0.5294117647058824, True, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 18, 20, 3
0.95, 0.05, 0.95, 20, target_accuracy, 68, 64, 5, 0.9411764705882353, True, 0.9375, 0.9500000000000001, 0.9743589743589743, 0.926829268292683, 0.9416755037115588, 0.9375, 0.9500000000000001, 0.9743589743589743, 0.926829268292683, 0.9416755037115588, 0.9375, 0.9500000000000001, 0.9743589743589743, 0.926829268292683, 0.9416755037115588, 0.90625, 0.926829268292683, 0.926829268292683, 0.926829268292683, 0.8981972428419936, 0.9375, 0.9500000000000001, 0.9743589743589743, 0.926829268292683, 0.9416755037115588, 20, 13, 5
0.95, 0.05, 0.95, 20, target_accuracy, 68, 46, 3, 0.6764705882352942, True, 0.9782608695652174, 0.9863013698630138, 0.972972972972973, 1.0, 0.9500000000000001, 0.9782608695652174, 0.9863013698630138, 0.972972972972973, 1.0, 0.9500000000000001, 0.9782608695652174, 0.9863013698630138, 0.972972972972973, 1.0, 0.9500000000000001, 0.9782608695652174, 0.9863013698630138, 0.972972972972973, 1.0, 0.9500000000000001, 0.9565217391304348, 0.972972972972973, 0.9473684210526315, 1.0, 0.9, 18, 22, 3
0.95, 0.05, 0.95, 20, target_accuracy, 68, 57, 5, 0.8382352941176471, True, 0.9824561403508771, 0.9870129870129869, 1.0, 0.9743589743589743, 0.9871794871794872, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9824561403508771, 0.9870129870129869, 1.0, 0.9743589743589743, 0.9871794871794872, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 23, 18, 5
0.95, 0.05, 0.95, 20, target_accuracy, 68, 44, 3, 0.6470588235294118, True, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9772727272727273, 0.9863013698630138, 0.972972972972973, 1.0, 0.9375, 0.9772727272727273, 0.9863013698630138, 0.972972972972973, 1.0, 0.9375, 0.9772727272727273, 0.9863013698630138, 0.972972972972973, 1.0, 0.9375, 0.9545454545454546, 0.972972972972973, 0.9473684210526315, 1.0, 0.875, 20, 18, 3
0.95, 0.05, 0.95, 20, target_accuracy, 68, 55, 4, 0.8088235294117647, True, 0.9818181818181818, 0.9885057471264368, 0.9772727272727273, 1.0, 0.9583333333333333, 0.9636363636363636, 0.9772727272727273, 0.9555555555555556, 1.0, 0.9166666666666667, 0.9818181818181818, 0.9885057471264368, 0.9772727272727273, 1.0, 0.9583333333333333, 0.9636363636363636, 0.9772727272727273, 0.9555555555555556, 1.0, 0.9166666666666667, 0.9454545454545454, 0.9662921348314606, 0.9347826086956522, 1.0, 0.875, 21, 12, 4
0.95, 0.05, 0.95, 20, target_accuracy, 69, 65, 5, 0.9420289855072463, True, 0.9538461538461539, 0.963855421686747, 1.0, 0.9302325581395349, 0.9651162790697674, 0.9230769230769231, 0.9382716049382717, 1.0, 0.8837209302325582, 0.9418604651162791, 0.9538461538461539, 0.963855421686747, 1.0, 0.9302325581395349, 0.9651162790697674, 0.9538461538461539, 0.9647058823529412, 0.9761904761904762, 0.9534883720930233, 0.9540169133192389, 0.9230769230769231, 0.9411764705882352, 0.9523809523809523, 0.9302325581395349, 0.919661733615222, 17, 11, 5
0.95, 0.05, 0.95, 20, target_accuracy, 69, 53, 4, 0.7681159420289855, True, 0.9811320754716981, 0.9870129870129869, 0.9743589743589743, 1.0, 0.9666666666666667, 0.9622641509433962, 0.9743589743589743, 0.95, 1.0, 0.9333333333333333, 0.9622641509433962, 0.9743589743589743, 0.95, 1.0, 0.9333333333333333, 0.9622641509433962, 0.9743589743589743, 0.95, 1.0, 0.9333333333333333, 0.9433962264150944, 0.9620253164556963, 0.926829268292683, 1.0, 0.9, 18, 16, 4
0.95, 0.05, 0.95, 20, target_accuracy, 69, 62, 5, 0.8985507246376812, True, 0.9516129032258065, 0.9655172413793104, 0.9545454545454546, 0.9767441860465116, 0.9357405140758873, 0.9516129032258065, 0.9662921348314606, 0.9347826086956522, 1.0, 0.9210526315789473, 0.9516129032258065, 0.9655172413793104, 0.9545454545454546, 0.9767441860465116, 0.9357405140758873, 0.9516129032258065, 0.9662921348314606, 0.9347826086956522, 1.0, 0.9210526315789473, 0.9354838709677419, 0.9555555555555556, 0.9148936170212766, 1.0, 0.8947368421052632, 20, 17, 5
0.95, 0.05, 0.95, 20, target_accuracy, 68, 57, 4, 0.8382352941176471, True, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 22, 11, 4
0.95, 0.05, 0.95, 20, target_accuracy, 68, 51, 4, 0.75, True, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 22, 12, 4
0.95, 0.05, 0.95, 20, target_accuracy, 68, 55, 4, 0.8088235294117647, True, 0.9636363636363636, 0.9722222222222222, 0.9722222222222222, 0.9722222222222222, 0.959795321637427, 0.9454545454545454, 0.9589041095890412, 0.9459459459459459, 0.9722222222222222, 0.9334795321637428, 0.9636363636363636, 0.9722222222222222, 0.9722222222222222, 0.9722222222222222, 0.959795321637427, 0.9454545454545454, 0.9589041095890412, 0.9459459459459459, 0.9722222222222222, 0.9334795321637428, 0.9454545454545454, 0.9589041095890412, 0.9459459459459459, 0.9722222222222222, 0.9334795321637428, 16, 16, 4
0.95, 0.05, 0.95, 20, target_accuracy, 68, 55, 4, 0.8088235294117647, True, 0.9818181818181818, 0.9873417721518987, 0.975, 1.0, 0.96875, 0.9818181818181818, 0.9873417721518987, 0.975, 1.0, 0.96875, 0.9818181818181818, 0.9873417721518987, 0.975, 1.0, 0.96875, 0.9818181818181818, 0.9873417721518987, 0.975, 1.0, 0.96875, 0.9636363636363636, 0.975, 0.9512195121951219, 1.0, 0.9375, 25, 16, 4
0.95, 0.05, 0.95, 20, target_accuracy, 68, 58, 4, 0.8529411764705882, True, 0.9827586206896551, 0.9879518072289156, 0.9761904761904762, 1.0, 0.9705882352941176, 0.9655172413793104, 0.975609756097561, 0.975609756097561, 0.975609756097561, 0.9583931133428981, 0.9827586206896551, 0.9876543209876543, 1.0, 0.975609756097561, 0.9878048780487805, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9482758620689655, 0.963855421686747, 0.9523809523809523, 0.975609756097561, 0.9289813486370158, 17, 14, 4
0.95, 0.05, 0.95, 20, target_accuracy, 68, 45, 3, 0.6617647058823529, True, 0.9777777777777777, 0.9863013698630138, 0.972972972972973, 1.0, 0.9444444444444444, 0.9777777777777777, 0.9863013698630138, 0.972972972972973, 1.0, 0.9444444444444444, 0.9777777777777777, 0.9863013698630138, 0.972972972972973, 1.0, 0.9444444444444444, 0.9777777777777777, 0.9863013698630138, 0.972972972972973, 1.0, 0.9444444444444444, 0.9777777777777777, 0.9863013698630138, 0.972972972972973, 1.0, 0.9444444444444444, 16, 17, 3
0.95, 0.05, 0.95, 20, target_accuracy, 68, 51, 4, 0.75, True, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9803921568627451, 0.9866666666666666, 1.0, 0.9736842105263158, 0.986842105263158, 1.0, 1.0, 1.0, 1.0, 1.0, 16, 17, 4
