chi_square_percent_point_function, scale_feature_coefficient, min_accuracy_coefficient, min_number_class_per_node, sorting_method, dataset_test_size, dataset_test_categorizable, number_of_rules, cobertura, recursive, ensemble_accuracy, ensemble_f1_score, ensemble_precision_score, ensemble_recall, ensemble_roc_auc_score, tree_accuracy, tree_f1_score, tree_precision_score, tree_recall_score, tree_roc_auc_score, RuleFit_accuracy, RuleFit_f1_score, RuleFit_precision_score, RuleFit_recall_score, RuleFit_roc_auc_score, RuleCOSI_accuracy, RuleCOSI_f1_score, RuleCOSI_precision_score, RuleCOSI_recall_score, RuleCOSI_roc_auc_score, rules_accuracy, rules_f1_score, rules_precision_score, rules_recall_score, rules_roc_auc_score, RuleFit_numrules, RuleCOSI_numrules, rules_numrules
0.95, 0.05, 0.95, 10, target_accuracy, 69, 54, 6, 0.782608695652174, False, 0.9629629629629629, 0.9736842105263158, 0.9736842105263158, 0.9736842105263158, 0.955592105263158, 0.9629629629629629, 0.9736842105263158, 0.9736842105263158, 0.9736842105263158, 0.955592105263158, 0.9629629629629629, 0.9736842105263158, 0.9736842105263158, 0.9736842105263158, 0.955592105263158, 0.9444444444444444, 0.9599999999999999, 0.972972972972973, 0.9473684210526315, 0.9424342105263157, 0.9629629629629629, 0.9736842105263158, 0.9736842105263158, 0.9736842105263158, 0.955592105263158, 17, 7, 6
0.95, 0.05, 0.95, 10, target_accuracy, 69, 52, 6, 0.7536231884057971, False, 0.9807692307692307, 0.9876543209876543, 0.975609756097561, 1.0, 0.9583333333333333, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9230769230769231, 0.9473684210526316, 1.0, 0.9, 0.95, 1.0, 1.0, 1.0, 1.0, 1.0, 22, 4, 6
0.95, 0.05, 0.95, 10, target_accuracy, 69, 58, 5, 0.8405797101449275, False, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9827586206896551, 0.9879518072289156, 1.0, 0.9761904761904762, 0.9880952380952381, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9655172413793104, 0.9761904761904762, 0.9761904761904762, 0.9761904761904762, 0.9568452380952381, 0.9827586206896551, 0.9879518072289156, 1.0, 0.9761904761904762, 0.9880952380952381, 21, 6, 5
0.95, 0.05, 0.95, 10, target_accuracy, 68, 46, 4, 0.6764705882352942, False, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9565217391304348, 0.9743589743589743, 0.95, 1.0, 0.875, 0.9782608695652174, 0.9870129870129869, 0.9743589743589743, 1.0, 0.9375, 0.9782608695652174, 0.9870129870129869, 0.9743589743589743, 1.0, 0.9375, 0.9347826086956522, 0.9620253164556963, 0.926829268292683, 1.0, 0.8125, 19, 4, 4
0.95, 0.05, 0.95, 10, target_accuracy, 68, 47, 3, 0.6911764705882353, False, 0.9787234042553191, 0.9859154929577464, 1.0, 0.9722222222222222, 0.9861111111111112, 0.9787234042553191, 0.9863013698630138, 0.972972972972973, 1.0, 0.9545454545454545, 0.9787234042553191, 0.9863013698630138, 0.972972972972973, 1.0, 0.9545454545454545, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 19, 8, 3
0.95, 0.05, 0.95, 10, target_accuracy, 68, 54, 2, 0.7941176470588235, False, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9629629629629629, 0.9767441860465117, 0.9545454545454546, 1.0, 0.9166666666666667, 17, 8, 2
0.95, 0.05, 0.95, 10, target_accuracy, 68, 48, 4, 0.7058823529411765, False, 0.9583333333333334, 0.967741935483871, 0.967741935483871, 0.967741935483871, 0.9544592030360531, 0.9583333333333334, 0.967741935483871, 0.967741935483871, 0.967741935483871, 0.9544592030360531, 0.9583333333333334, 0.967741935483871, 0.967741935483871, 0.967741935483871, 0.9544592030360531, 0.9583333333333334, 0.96875, 0.9393939393939394, 1.0, 0.9411764705882353, 0.9375, 0.9523809523809523, 0.9375, 0.967741935483871, 0.9250474383301708, 24, 7, 4
0.95, 0.05, 0.95, 10, target_accuracy, 68, 55, 8, 0.8088235294117647, False, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9818181818181818, 0.9876543209876543, 0.975609756097561, 1.0, 0.9666666666666667, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9636363636363636, 0.9743589743589743, 1.0, 0.95, 0.975, 0.9818181818181818, 0.9876543209876543, 0.975609756097561, 1.0, 0.9666666666666667, 20, 5, 8
0.95, 0.05, 0.95, 10, target_accuracy, 68, 53, 4, 0.7794117647058824, False, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9811320754716981, 0.9873417721518987, 0.975, 1.0, 0.9642857142857143, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9622641509433962, 0.9743589743589743, 0.9743589743589743, 0.9743589743589743, 0.9514652014652015, 0.9811320754716981, 0.9873417721518987, 0.975, 1.0, 0.9642857142857143, 19, 5, 4
0.95, 0.05, 0.95, 10, target_accuracy, 68, 47, 6, 0.6911764705882353, False, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9787234042553191, 0.9866666666666666, 0.9736842105263158, 1.0, 0.9500000000000001, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9787234042553191, 0.9866666666666666, 0.9736842105263158, 1.0, 0.9500000000000001, 21, 7, 6
0.95, 0.05, 0.95, 10, target_accuracy, 69, 60, 5, 0.8695652173913043, False, 0.9333333333333333, 0.9545454545454545, 0.9333333333333333, 0.9767441860465116, 0.9001367989056086, 0.95, 0.9655172413793104, 0.9545454545454546, 0.9767441860465116, 0.9295485636114911, 0.95, 0.9655172413793104, 0.9545454545454546, 0.9767441860465116, 0.9295485636114911, 0.95, 0.9655172413793104, 0.9545454545454546, 0.9767441860465116, 0.9295485636114911, 0.95, 0.9655172413793104, 0.9545454545454546, 0.9767441860465116, 0.9295485636114911, 22, 5, 5
0.95, 0.05, 0.95, 10, target_accuracy, 69, 55, 7, 0.7971014492753623, False, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8909090909090909, 0.9189189189189189, 1.0, 0.85, 0.925, 1.0, 1.0, 1.0, 1.0, 1.0, 21, 4, 7
0.95, 0.05, 0.95, 10, target_accuracy, 69, 50, 4, 0.7246376811594203, False, 0.98, 0.9866666666666666, 1.0, 0.9736842105263158, 0.986842105263158, 0.98, 0.9870129870129869, 0.9743589743589743, 1.0, 0.9583333333333333, 0.98, 0.9866666666666666, 1.0, 0.9736842105263158, 0.986842105263158, 0.98, 0.9870129870129869, 0.9743589743589743, 1.0, 0.9583333333333333, 0.98, 0.9870129870129869, 0.9743589743589743, 1.0, 0.9583333333333333, 15, 5, 4
0.95, 0.05, 0.95, 10, target_accuracy, 68, 43, 5, 0.6323529411764706, False, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9767441860465116, 0.9873417721518987, 0.975, 1.0, 0.875, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9767441860465116, 0.9873417721518987, 0.975, 1.0, 0.875, 21, 6, 5
0.95, 0.05, 0.95, 10, target_accuracy, 68, 56, 6, 0.8235294117647058, False, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9642857142857143, 0.9767441860465116, 0.9767441860465116, 0.9767441860465116, 0.9499105545617174, 21, 6, 6
