chi_square_percent_point_function, scale_feature_coefficient, min_accuracy_coefficient, min_number_class_per_node, sorting_method, dataset_test_size, dataset_test_categorizable, number_of_rules, cobertura, recursive, ensemble_accuracy, ensemble_f1_score, ensemble_precision_score, ensemble_recall, ensemble_roc_auc_score, tree_accuracy, tree_f1_score, tree_precision_score, tree_recall_score, tree_roc_auc_score, RuleFit_accuracy, RuleFit_f1_score, RuleFit_precision_score, RuleFit_recall_score, RuleFit_roc_auc_score, RuleCOSI_accuracy, RuleCOSI_f1_score, RuleCOSI_precision_score, RuleCOSI_recall_score, RuleCOSI_roc_auc_score, rules_accuracy, rules_f1_score, rules_precision_score, rules_recall_score, rules_roc_auc_score, RuleFit_numrules, RuleCOSI_numrules, rules_numrules
0.95, 0.05, 0.95, 25, target_accuracy, 69, 55, 4, 0.7971014492753623, True, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9818181818181818, 0.9887640449438202, 0.9777777777777777, 1.0, 0.9545454545454545, 0.9818181818181818, 0.9887640449438202, 0.9777777777777777, 1.0, 0.9545454545454545, 0.9818181818181818, 0.9887640449438202, 0.9777777777777777, 1.0, 0.9545454545454545, 0.9636363636363636, 0.9777777777777777, 0.9565217391304348, 1.0, 0.9090909090909091, 21, 3, 4
0.95, 0.05, 0.95, 25, target_accuracy, 69, 53, 3, 0.7681159420289855, True, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9811320754716981, 0.9873417721518987, 0.975, 1.0, 0.9642857142857143, 0.9811320754716981, 0.9873417721518987, 0.975, 1.0, 0.9642857142857143, 19, 7, 3
0.95, 0.05, 0.95, 25, target_accuracy, 69, 52, 2, 0.7536231884057971, True, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9615384615384616, 0.9761904761904763, 0.9534883720930233, 1.0, 0.9090909090909091, 0.9615384615384616, 0.9761904761904763, 0.9534883720930233, 1.0, 0.9090909090909091, 0.9807692307692307, 0.9879518072289156, 0.9761904761904762, 1.0, 0.9545454545454545, 0.9615384615384616, 0.9761904761904763, 0.9534883720930233, 1.0, 0.9090909090909091, 22, 7, 2
0.95, 0.05, 0.95, 25, target_accuracy, 68, 45, 3, 0.6617647058823529, True, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 18, 5, 3
0.95, 0.05, 0.95, 25, target_accuracy, 68, 37, 2, 0.5441176470588235, True, 1.0, 1.0, 1.0, 1.0, 1.0, 0.972972972972973, 0.9863013698630138, 0.972972972972973, 1.0, 0.5, 0.972972972972973, 0.9863013698630138, 0.972972972972973, 1.0, 0.5, 0.8378378378378378, 0.9090909090909091, 1.0, 0.8333333333333334, 0.9166666666666667, 0.972972972972973, 0.9863013698630138, 0.972972972972973, 1.0, 0.5, 17, 3, 2
0.95, 0.05, 0.95, 25, target_accuracy, 68, 51, 3, 0.75, True, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9607843137254902, 0.9743589743589743, 0.9743589743589743, 0.9743589743589743, 0.9455128205128205, 0.9803921568627451, 0.9870129870129869, 1.0, 0.9743589743589743, 0.9871794871794872, 0.9803921568627451, 0.9870129870129869, 1.0, 0.9743589743589743, 0.9871794871794872, 0.9215686274509803, 0.9500000000000001, 0.926829268292683, 0.9743589743589743, 0.8621794871794872, 18, 4, 3
0.95, 0.05, 0.95, 25, target_accuracy, 68, 51, 4, 0.75, True, 0.9607843137254902, 0.9736842105263158, 0.9487179487179487, 1.0, 0.9285714285714286, 0.9411764705882353, 0.961038961038961, 0.925, 1.0, 0.8928571428571428, 0.9411764705882353, 0.961038961038961, 0.925, 1.0, 0.8928571428571428, 0.9607843137254902, 0.9736842105263158, 0.9487179487179487, 1.0, 0.9285714285714286, 0.9411764705882353, 0.961038961038961, 0.925, 1.0, 0.8928571428571428, 23, 7, 4
0.95, 0.05, 0.95, 25, target_accuracy, 68, 55, 2, 0.8088235294117647, True, 0.9454545454545454, 0.9610389610389611, 0.9736842105263158, 0.9487179487179487, 0.9431089743589743, 0.9636363636363636, 0.9743589743589743, 0.9743589743589743, 0.9743589743589743, 0.9559294871794872, 0.9818181818181818, 0.9870129870129869, 1.0, 0.9743589743589743, 0.9871794871794872, 0.8727272727272727, 0.9041095890410958, 0.9705882352941176, 0.8461538461538461, 0.8918269230769231, 0.9818181818181818, 0.9870129870129869, 1.0, 0.9743589743589743, 0.9871794871794872, 19, 4, 2
0.95, 0.05, 0.95, 25, target_accuracy, 68, 44, 2, 0.6470588235294118, True, 0.9545454545454546, 0.9722222222222222, 1.0, 0.9459459459459459, 0.972972972972973, 0.9545454545454546, 0.9736842105263158, 0.9487179487179487, 1.0, 0.8571428571428572, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8181818181818182, 0.8787878787878788, 1.0, 0.7837837837837838, 0.8918918918918919, 0.9545454545454546, 0.9736842105263158, 0.9487179487179487, 1.0, 0.8571428571428572, 19, 4, 2
0.95, 0.05, 0.95, 25, target_accuracy, 68, 46, 3, 0.6764705882352942, True, 0.9782608695652174, 0.9859154929577464, 0.9722222222222222, 1.0, 0.9545454545454545, 0.9782608695652174, 0.9859154929577464, 0.9722222222222222, 1.0, 0.9545454545454545, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9782608695652174, 0.9859154929577464, 0.9722222222222222, 1.0, 0.9545454545454545, 0.9782608695652174, 0.9859154929577464, 0.9722222222222222, 1.0, 0.9545454545454545, 23, 7, 3
