ensemble_criterion, chi_square_percent_point_function, scale_feature_coefficient, min_accuracy_coefficient, min_number_class_per_node, sorting_method, dataset_test_size, dataset_test_categorizable, number_of_rules, cobertura, ensemble_accuracy, ensemble_f1_score, ensemble_precision_score, ensemble_recall, ensemble_roc_auc_score, tree_accuracy, tree_f1_score, tree_precision_score, tree_recall_score, tree_roc_auc_score, RuleFit_accuracy, RuleFit_f1_score, RuleFit_precision_score, RuleFit_recall_score, RuleFit_roc_auc_score, RuleCOSI_accuracy, RuleCOSI_f1_score, RuleCOSI_precision_score, RuleCOSI_recall_score, RuleCOSI_roc_auc_score, rules_accuracy, rules_f1_score, rules_precision_score, rules_recall_score, rules_roc_auc_score
gini, 0.95, 0.05, 0.95, 5, target_accuracy, 69, 56, 10, 0.8115942028985508, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9642857142857143, 0.972972972972973, 0.972972972972973, 0.972972972972973, 0.9601706970128023, 0.9821428571428571, 0.9863013698630138, 1.0, 0.972972972972973, 0.9864864864864865, 0.9464285714285714, 0.9599999999999999, 0.9473684210526315, 0.972972972972973, 0.933854907539118, 0.9285714285714286, 0.9459459459459459, 0.9459459459459459, 0.9459459459459459, 0.9203413940256047
gini, 0.95, 0.05, 0.95, 10, target_accuracy, 69, 53, 6, 0.7681159420289855, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9811320754716981, 0.9859154929577464, 0.9722222222222222, 1.0, 0.9722222222222222, 0.9811320754716981, 0.9855072463768115, 1.0, 0.9714285714285714, 0.9857142857142858, 0.9622641509433962, 0.9722222222222222, 0.9459459459459459, 1.0, 0.9444444444444444, 0.9433962264150944, 0.9577464788732395, 0.9444444444444444, 0.9714285714285714, 0.9301587301587302
gini, 0.95, 0.05, 0.95, 20, target_accuracy, 69, 53, 6, 0.7681159420289855, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9811320754716981, 0.9859154929577464, 0.9722222222222222, 1.0, 0.9722222222222222, 0.9811320754716981, 0.9855072463768115, 1.0, 0.9714285714285714, 0.9857142857142858, 0.9622641509433962, 0.9722222222222222, 0.9459459459459459, 1.0, 0.9444444444444444, 0.9433962264150944, 0.9577464788732395, 0.9444444444444444, 0.9714285714285714, 0.9301587301587302
gini, 0.95, 0.05, 0.95, 25, target_accuracy, 69, 53, 5, 0.7681159420289855, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9811320754716981, 0.9859154929577464, 0.9722222222222222, 1.0, 0.9722222222222222, 0.9811320754716981, 0.9855072463768115, 1.0, 0.9714285714285714, 0.9857142857142858, 0.9622641509433962, 0.9722222222222222, 0.9459459459459459, 1.0, 0.9444444444444444, 0.9433962264150944, 0.9577464788732395, 0.9444444444444444, 0.9714285714285714, 0.9301587301587302
gini, 0.95, 0.05, 0.95, 30, target_accuracy, 69, 53, 5, 0.7681159420289855, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9811320754716981, 0.9859154929577464, 0.9722222222222222, 1.0, 0.9722222222222222, 0.9811320754716981, 0.9855072463768115, 1.0, 0.9714285714285714, 0.9857142857142858, 0.9622641509433962, 0.9722222222222222, 0.9459459459459459, 1.0, 0.9444444444444444, 0.9433962264150944, 0.9577464788732395, 0.9444444444444444, 0.9714285714285714, 0.9301587301587302
gini, 0.95, 0.05, 0.95, 50, target_accuracy, 69, 36, 2, 0.5217391304347826, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9444444444444444, 0.9714285714285714, 0.9444444444444444, 1.0, 0.5
gini, 0.95, 0.05, 0.95, 5, target_accuracy, 69, 48, 6, 0.6956521739130435, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9791666666666666, 0.9870129870129869, 1.0, 0.9743589743589743, 0.9871794871794872, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
gini, 0.95, 0.05, 0.95, 10, target_accuracy, 69, 48, 5, 0.6956521739130435, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9791666666666666, 0.9870129870129869, 1.0, 0.9743589743589743, 0.9871794871794872, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
gini, 0.95, 0.05, 0.95, 20, target_accuracy, 69, 45, 3, 0.6521739130434783, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9777777777777777, 0.9859154929577464, 1.0, 0.9722222222222222, 0.9861111111111112, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
gini, 0.95, 0.05, 0.95, 25, target_accuracy, 69, 45, 3, 0.6521739130434783, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9777777777777777, 0.9859154929577464, 1.0, 0.9722222222222222, 0.9861111111111112, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
