ensemble_criterion, chi_square_percent_point_function, scale_feature_coefficient, min_accuracy_coefficient, min_number_class_per_node, sorting_method, dataset_test_size, dataset_test_categorizable, number_of_rules, cobertura, ensemble_accuracy, ensemble_f1_score, ensemble_precision_score, ensemble_recall, ensemble_roc_auc_score, tree_accuracy, tree_f1_score, tree_precision_score, tree_recall_score, tree_roc_auc_score, RuleFit_accuracy, RuleFit_f1_score, RuleFit_precision_score, RuleFit_recall_score, RuleFit_roc_auc_score, RuleCOSI_accuracy, RuleCOSI_f1_score, RuleCOSI_precision_score, RuleCOSI_recall_score, RuleCOSI_roc_auc_score, rules_accuracy, rules_f1_score, rules_precision_score, rules_recall_score, rules_roc_auc_score
gini, 0.95, 0.05, 0.95, 5, target_accuracy, 69, 51, 8, 0.7391304347826086, 0.9803921568627451, 0.9873417721518987, 0.975, 1.0, 0.9583333333333333, 0.9607843137254902, 0.9743589743589743, 0.9743589743589743, 0.9743589743589743, 0.9455128205128205, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8235294117647058, 0.8732394366197183, 0.96875, 0.7948717948717948, 0.8557692307692306, 1.0, 1.0, 1.0, 1.0, 1.0
gini, 0.95, 0.05, 0.95, 10, target_accuracy, 69, 51, 10, 0.7391304347826086, 0.9803921568627451, 0.9876543209876543, 0.975609756097561, 1.0, 0.9545454545454545, 0.9803921568627451, 0.9876543209876543, 0.975609756097561, 1.0, 0.9545454545454545, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8627450980392157, 0.9066666666666667, 0.9714285714285714, 0.85, 0.8795454545454546, 1.0, 1.0, 1.0, 1.0, 1.0
gini, 0.95, 0.05, 0.95, 20, target_accuracy, 69, 31, 4, 0.4492753623188406, 0.967741935483871, 0.9811320754716981, 0.9629629629629629, 1.0, 0.9, 0.967741935483871, 0.9811320754716981, 0.9629629629629629, 1.0, 0.9, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9032258064516129, 0.9411764705882353, 0.96, 0.9230769230769231, 0.8615384615384616, 1.0, 1.0, 1.0, 1.0, 1.0
gini, 0.95, 0.05, 0.95, 25, target_accuracy, 69, 46, 4, 0.6666666666666666, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8695652173913043, 0.911764705882353, 1.0, 0.8378378378378378, 0.9189189189189189, 1.0, 1.0, 1.0, 1.0, 1.0
gini, 0.95, 0.05, 0.95, 30, target_accuracy, 69, 36, 3, 0.5217391304347826, 0.9722222222222222, 0.9795918367346939, 0.96, 1.0, 0.9583333333333333, 0.9722222222222222, 0.9795918367346939, 0.96, 1.0, 0.9583333333333333, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9166666666666666, 0.9361702127659574, 0.9565217391304348, 0.9166666666666666, 0.9166666666666665, 1.0, 1.0, 1.0, 1.0, 1.0
gini, 0.95, 0.05, 0.95, 50, target_accuracy, 69, 53, 4, 0.7681159420289855, 0.9811320754716981, 0.9887640449438202, 0.9777777777777777, 1.0, 0.9444444444444444, 0.9433962264150944, 0.9655172413793104, 0.9767441860465116, 0.9545454545454546, 0.9217171717171716, 0.9811320754716981, 0.9885057471264368, 1.0, 0.9772727272727273, 0.9886363636363636, 0.7924528301886793, 0.8607594936708862, 0.9714285714285714, 0.7727272727272727, 0.8308080808080808, 0.9056603773584906, 0.945054945054945, 0.9148936170212766, 0.9772727272727273, 0.7664141414141414
gini, 0.95, 0.05, 0.95, 5, target_accuracy, 69, 65, 6, 0.9420289855072463, 0.9846153846153847, 0.989010989010989, 0.9782608695652174, 1.0, 0.975, 0.9538461538461539, 0.967032967032967, 0.9565217391304348, 0.9777777777777777, 0.9388888888888889, 0.9692307692307692, 0.9777777777777777, 0.9777777777777777, 0.9777777777777777, 0.9638888888888889, 0.8769230769230769, 0.9047619047619048, 0.9743589743589743, 0.8444444444444444, 0.8972222222222223, 0.9538461538461539, 0.967032967032967, 0.9565217391304348, 0.9777777777777777, 0.9388888888888889
gini, 0.95, 0.05, 0.95, 10, target_accuracy, 69, 39, 4, 0.5652173913043478, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.8717948717948718, 0.9315068493150686, 1.0, 0.8717948717948718, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0
gini, 0.95, 0.05, 0.95, 20, target_accuracy, 69, 52, 4, 0.7536231884057971, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9615384615384616, 0.9767441860465117, 0.9545454545454546, 1.0, 0.9, 0.9807692307692307, 0.988235294117647, 0.9767441860465116, 1.0, 0.9500000000000001, 0.8653846153846154, 0.9113924050632912, 0.972972972972973, 0.8571428571428571, 0.8785714285714286, 1.0, 1.0, 1.0, 1.0, 1.0
gini, 0.95, 0.05, 0.95, 25, target_accuracy, 69, 48, 6, 0.6956521739130435, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9791666666666666, 0.9870129870129869, 0.9743589743589743, 1.0, 0.9500000000000001, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9375, 0.958904109589041, 1.0, 0.9210526315789473, 0.9605263157894737, 1.0, 1.0, 1.0, 1.0, 1.0
