ensemble_criterion, chi_square_percent_point_function, scale_feature_coefficient, min_accuracy_coefficient, min_number_class_per_node, sorting_method, dataset_test_size, dataset_test_categorizable, number_of_rules, cobertura, ensemble_accuracy, ensemble_f1_score, ensemble_precision_score, ensemble_recall, ensemble_roc_auc_score, tree_accuracy, tree_f1_score, tree_precision_score, tree_recall_score, tree_roc_auc_score, RuleFit_accuracy, RuleFit_f1_score, RuleFit_precision_score, RuleFit_recall_score, RuleFit_roc_auc_score, RuleCOSI_accuracy, RuleCOSI_f1_score, RuleCOSI_precision_score, RuleCOSI_recall_score, RuleCOSI_roc_auc_score, rules_accuracy, rules_f1_score, rules_precision_score, rules_recall_score, rules_roc_auc_score
gini, 0.95, 0.05, 0.95, 5, target_accuracy, 69, 58, 6, 0.8405797101449275, 0.9827586206896551, 0.9887640449438202, 0.9777777777777777, 1.0, 0.9642857142857143, 0.9827586206896551, 0.9887640449438202, 0.9777777777777777, 1.0, 0.9642857142857143, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9827586206896551, 0.9887640449438202, 0.9777777777777777, 1.0, 0.9642857142857143, 0.9827586206896551, 0.9887640449438202, 0.9777777777777777, 1.0, 0.9642857142857143
gini, 0.95, 0.05, 0.95, 10, target_accuracy, 69, 56, 4, 0.8115942028985508, 0.9821428571428571, 0.9887640449438202, 0.9777777777777777, 1.0, 0.9583333333333333, 0.9821428571428571, 0.9887640449438202, 0.9777777777777777, 1.0, 0.9583333333333333, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9821428571428571, 0.9887640449438202, 0.9777777777777777, 1.0, 0.9583333333333333, 0.9821428571428571, 0.9887640449438202, 0.9777777777777777, 1.0, 0.9583333333333333
gini, 0.95, 0.05, 0.95, 20, target_accuracy, 69, 56, 4, 0.8115942028985508, 0.9821428571428571, 0.9887640449438202, 0.9777777777777777, 1.0, 0.9583333333333333, 0.9821428571428571, 0.9887640449438202, 0.9777777777777777, 1.0, 0.9583333333333333, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9821428571428571, 0.9887640449438202, 0.9777777777777777, 1.0, 0.9583333333333333, 0.9821428571428571, 0.9887640449438202, 0.9777777777777777, 1.0, 0.9583333333333333
gini, 0.95, 0.05, 0.95, 25, target_accuracy, 69, 56, 4, 0.8115942028985508, 0.9821428571428571, 0.9887640449438202, 0.9777777777777777, 1.0, 0.9583333333333333, 0.9821428571428571, 0.9887640449438202, 0.9777777777777777, 1.0, 0.9583333333333333, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9821428571428571, 0.9887640449438202, 0.9777777777777777, 1.0, 0.9583333333333333, 0.9821428571428571, 0.9887640449438202, 0.9777777777777777, 1.0, 0.9583333333333333
gini, 0.95, 0.05, 0.95, 30, target_accuracy, 69, 56, 4, 0.8115942028985508, 0.9821428571428571, 0.9887640449438202, 0.9777777777777777, 1.0, 0.9583333333333333, 0.9821428571428571, 0.9887640449438202, 0.9777777777777777, 1.0, 0.9583333333333333, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9821428571428571, 0.9887640449438202, 0.9777777777777777, 1.0, 0.9583333333333333, 0.9821428571428571, 0.9887640449438202, 0.9777777777777777, 1.0, 0.9583333333333333
gini, 0.95, 0.05, 0.95, 50, target_accuracy, 69, 53, 2, 0.7681159420289855, 0.9811320754716981, 0.9879518072289156, 0.9761904761904762, 1.0, 0.9583333333333333, 0.9811320754716981, 0.9879518072289156, 0.9761904761904762, 1.0, 0.9583333333333333, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9811320754716981, 0.9879518072289156, 0.9761904761904762, 1.0, 0.9583333333333333, 0.9811320754716981, 0.9879518072289156, 0.9761904761904762, 1.0, 0.9583333333333333
gini, 0.95, 0.05, 0.95, 5, target_accuracy, 69, 63, 6, 0.9130434782608695, 0.9523809523809523, 0.9620253164556963, 1.0, 0.926829268292683, 0.9634146341463414, 0.9523809523809523, 0.9629629629629629, 0.975, 0.9512195121951219, 0.9528824833702882, 0.9523809523809523, 0.9620253164556963, 1.0, 0.926829268292683, 0.9634146341463414, 0.9682539682539683, 0.975, 1.0, 0.9512195121951219, 0.975609756097561, 0.9523809523809523, 0.9620253164556963, 1.0, 0.926829268292683, 0.9634146341463414
gini, 0.95, 0.05, 0.95, 10, target_accuracy, 69, 63, 5, 0.9130434782608695, 0.9523809523809523, 0.9620253164556963, 1.0, 0.926829268292683, 0.9634146341463414, 0.9523809523809523, 0.9629629629629629, 0.975, 0.9512195121951219, 0.9528824833702882, 0.9523809523809523, 0.9620253164556963, 1.0, 0.926829268292683, 0.9634146341463414, 0.9682539682539683, 0.975, 1.0, 0.9512195121951219, 0.975609756097561, 0.9523809523809523, 0.9620253164556963, 1.0, 0.926829268292683, 0.9634146341463414
gini, 0.95, 0.05, 0.95, 20, target_accuracy, 69, 61, 3, 0.8840579710144928, 0.9508196721311475, 0.9600000000000001, 1.0, 0.9230769230769231, 0.9615384615384616, 0.9508196721311475, 0.9610389610389611, 0.9736842105263158, 0.9487179487179487, 0.9516317016317016, 0.9508196721311475, 0.9600000000000001, 1.0, 0.9230769230769231, 0.9615384615384616, 0.9672131147540983, 0.9736842105263158, 1.0, 0.9487179487179487, 0.9743589743589743, 0.9508196721311475, 0.9600000000000001, 1.0, 0.9230769230769231, 0.9615384615384616
gini, 0.95, 0.05, 0.95, 25, target_accuracy, 69, 61, 3, 0.8840579710144928, 0.9508196721311475, 0.9600000000000001, 1.0, 0.9230769230769231, 0.9615384615384616, 0.9508196721311475, 0.9610389610389611, 0.9736842105263158, 0.9487179487179487, 0.9516317016317016, 0.9508196721311475, 0.9600000000000001, 1.0, 0.9230769230769231, 0.9615384615384616, 0.9672131147540983, 0.9736842105263158, 1.0, 0.9487179487179487, 0.9743589743589743, 0.9508196721311475, 0.9600000000000001, 1.0, 0.9230769230769231, 0.9615384615384616
