ensemble_criterion, chi_square_percent_point_function, scale_feature_coefficient, min_accuracy_coefficient, min_number_class_per_node, sorting_method, dataset_test_size, dataset_test_categorizable, number_of_rules, cobertura, ensemble_accuracy, ensemble_f1_score, ensemble_precision_score, ensemble_recall, ensemble_roc_auc_score, tree_accuracy, tree_f1_score, tree_precision_score, tree_recall_score, tree_roc_auc_score, RuleFit_accuracy, RuleFit_f1_score, RuleFit_precision_score, RuleFit_recall_score, RuleFit_roc_auc_score, RuleCOSI_accuracy, RuleCOSI_f1_score, RuleCOSI_precision_score, RuleCOSI_recall_score, RuleCOSI_roc_auc_score, rules_accuracy, rules_f1_score, rules_precision_score, rules_recall_score, rules_roc_auc_score
gini, 0.95, 0.05, 0.95, 5, target_accuracy, 69, 54, 9, 0.782608695652174, 0.9814814814814815, 0.9879518072289156, 1.0, 0.9761904761904762, 0.9880952380952381, 0.9814814814814815, 0.9879518072289156, 1.0, 0.9761904761904762, 0.9880952380952381, 0.9814814814814815, 0.9879518072289156, 1.0, 0.9761904761904762, 0.9880952380952381, 0.9814814814814815, 0.9879518072289156, 1.0, 0.9761904761904762, 0.9880952380952381, 0.9814814814814815, 0.9879518072289156, 1.0, 0.9761904761904762, 0.9880952380952381
gini, 0.95, 0.05, 0.95, 10, target_accuracy, 69, 64, 11, 0.927536231884058, 0.9375, 0.9545454545454545, 0.9333333333333333, 0.9767441860465116, 0.9169435215946844, 0.921875, 0.942528735632184, 0.9318181818181818, 0.9534883720930233, 0.9053156146179402, 0.984375, 0.988235294117647, 1.0, 0.9767441860465116, 0.9883720930232558, 0.921875, 0.942528735632184, 0.9318181818181818, 0.9534883720930233, 0.9053156146179402, 0.90625, 0.9333333333333332, 0.8936170212765957, 0.9767441860465116, 0.8693244739756367
gini, 0.95, 0.05, 0.95, 20, target_accuracy, 69, 63, 7, 0.9130434782608695, 0.9841269841269841, 0.988235294117647, 1.0, 0.9767441860465116, 0.9883720930232558, 0.9523809523809523, 0.9647058823529412, 0.9761904761904762, 0.9534883720930233, 0.9517441860465116, 0.9841269841269841, 0.988235294117647, 1.0, 0.9767441860465116, 0.9883720930232558, 0.9365079365079365, 0.9545454545454545, 0.9333333333333333, 0.9767441860465116, 0.9133720930232557, 0.9682539682539683, 0.9767441860465116, 0.9767441860465116, 0.9767441860465116, 0.9633720930232557
gini, 0.95, 0.05, 0.95, 25, target_accuracy, 69, 57, 5, 0.8260869565217391, 0.9649122807017544, 0.9767441860465116, 0.9767441860465116, 0.9767441860465116, 0.9526578073089701, 0.9473684210526315, 0.9647058823529412, 0.9761904761904762, 0.9534883720930233, 0.9410299003322259, 0.9824561403508771, 0.988235294117647, 1.0, 0.9767441860465116, 0.9883720930232558, 0.9649122807017544, 0.9767441860465116, 0.9767441860465116, 0.9767441860465116, 0.9526578073089701, 0.9473684210526315, 0.9655172413793104, 0.9545454545454546, 0.9767441860465116, 0.9169435215946844
gini, 0.95, 0.05, 0.95, 30, target_accuracy, 69, 58, 6, 0.8405797101449275, 0.9310344827586207, 0.9555555555555557, 0.9347826086956522, 0.9772727272727273, 0.8814935064935066, 0.9137931034482759, 0.942528735632184, 0.9534883720930233, 0.9318181818181818, 0.8944805194805195, 0.9827586206896551, 0.9885057471264368, 1.0, 0.9772727272727273, 0.9886363636363636, 0.9310344827586207, 0.9545454545454546, 0.9545454545454546, 0.9545454545454546, 0.9058441558441559, 0.896551724137931, 0.9347826086956522, 0.8958333333333334, 0.9772727272727273, 0.810064935064935
gini, 0.95, 0.05, 0.95, 50, target_accuracy, 69, 52, 4, 0.7536231884057971, 0.9807692307692307, 0.9873417721518987, 1.0, 0.975, 0.9875, 0.9807692307692307, 0.9873417721518987, 1.0, 0.975, 0.9875, 0.9807692307692307, 0.9873417721518987, 1.0, 0.975, 0.9875, 0.9807692307692307, 0.9873417721518987, 1.0, 0.975, 0.9875, 0.9807692307692307, 0.9873417721518987, 1.0, 0.975, 0.9875
gini, 0.95, 0.05, 0.95, 5, target_accuracy, 69, 54, 9, 0.782608695652174, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9814814814814815, 0.9866666666666666, 0.9736842105263158, 1.0, 0.9705882352941176
gini, 0.95, 0.05, 0.95, 10, target_accuracy, 69, 59, 7, 0.855072463768116, 0.9830508474576272, 0.9879518072289156, 0.9761904761904762, 1.0, 0.9722222222222222, 0.9830508474576272, 0.9876543209876543, 1.0, 0.975609756097561, 0.9878048780487805, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
gini, 0.95, 0.05, 0.95, 20, target_accuracy, 69, 51, 5, 0.7391304347826086, 0.9803921568627451, 0.9866666666666666, 0.9736842105263158, 1.0, 0.9642857142857143, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9803921568627451, 0.9866666666666666, 0.9736842105263158, 1.0, 0.9642857142857143
gini, 0.95, 0.05, 0.95, 25, target_accuracy, 69, 57, 5, 0.8260869565217391, 0.9824561403508771, 0.9873417721518987, 0.975, 1.0, 0.9722222222222222, 0.9824561403508771, 0.9870129870129869, 1.0, 0.9743589743589743, 0.9871794871794872, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
gini, 0.95, 0.05, 0.95, 30, target_accuracy, 69, 55, 4, 0.7971014492753623, 0.9818181818181818, 0.9866666666666666, 0.9736842105263158, 1.0, 0.9722222222222222, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9818181818181818, 0.9866666666666666, 0.9736842105263158, 1.0, 0.9722222222222222
gini, 0.95, 0.05, 0.95, 50, target_accuracy, 69, 45, 2, 0.6521739130434783, 0.9777777777777777, 0.9863013698630138, 0.972972972972973, 1.0, 0.9444444444444444, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
gini, 0.95, 0.05, 0.95, 5, target_accuracy, 69, 61, 9, 0.8840579710144928, 0.9836065573770492, 0.9887640449438202, 0.9777777777777777, 1.0, 0.9705882352941176, 0.9836065573770492, 0.9887640449438202, 0.9777777777777777, 1.0, 0.9705882352941176, 0.9836065573770492, 0.9887640449438202, 0.9777777777777777, 1.0, 0.9705882352941176, 0.9836065573770492, 0.9887640449438202, 0.9777777777777777, 1.0, 0.9705882352941176, 0.9836065573770492, 0.9887640449438202, 0.9777777777777777, 1.0, 0.9705882352941176
gini, 0.95, 0.05, 0.95, 10, target_accuracy, 69, 63, 6, 0.9130434782608695, 0.9841269841269841, 0.989010989010989, 0.9782608695652174, 1.0, 0.9722222222222222, 0.9682539682539683, 0.9777777777777777, 0.9777777777777777, 0.9777777777777777, 0.9611111111111111, 0.9682539682539683, 0.9777777777777777, 0.9777777777777777, 0.9777777777777777, 0.9611111111111111, 0.9841269841269841, 0.989010989010989, 0.9782608695652174, 1.0, 0.9722222222222222, 0.9523809523809523, 0.9662921348314608, 0.9772727272727273, 0.9555555555555556, 0.9500000000000001
gini, 0.95, 0.05, 0.95, 20, target_accuracy, 69, 61, 7, 0.8840579710144928, 0.9344262295081968, 0.9565217391304348, 0.9166666666666666, 1.0, 0.8823529411764706, 0.9508196721311475, 0.967032967032967, 0.9361702127659575, 1.0, 0.9117647058823529, 0.9344262295081968, 0.9565217391304348, 0.9166666666666666, 1.0, 0.8823529411764706, 0.9344262295081968, 0.9565217391304348, 0.9166666666666666, 1.0, 0.8823529411764706, 0.9344262295081968, 0.9565217391304348, 0.9166666666666666, 1.0, 0.8823529411764706
gini, 0.95, 0.05, 0.95, 25, target_accuracy, 69, 43, 7, 0.6231884057971014, 0.9767441860465116, 0.9850746268656716, 0.9705882352941176, 1.0, 0.9500000000000001, 0.9767441860465116, 0.9850746268656716, 0.9705882352941176, 1.0, 0.9500000000000001, 0.9767441860465116, 0.9850746268656716, 0.9705882352941176, 1.0, 0.9500000000000001, 0.9767441860465116, 0.9850746268656716, 0.9705882352941176, 1.0, 0.9500000000000001, 1.0, 1.0, 1.0, 1.0, 1.0
gini, 0.95, 0.05, 0.95, 30, target_accuracy, 69, 64, 5, 0.927536231884058, 0.9375, 0.9565217391304348, 0.9166666666666666, 1.0, 0.9, 0.953125, 0.967032967032967, 0.9361702127659575, 1.0, 0.9249999999999999, 0.9375, 0.9565217391304348, 0.9166666666666666, 1.0, 0.9, 0.9375, 0.9565217391304348, 0.9166666666666666, 1.0, 0.9, 0.921875, 0.9462365591397849, 0.8979591836734694, 1.0, 0.875
gini, 0.95, 0.05, 0.95, 50, target_accuracy, 69, 37, 2, 0.5362318840579711, 0.972972972972973, 0.9841269841269841, 0.96875, 1.0, 0.9166666666666667, 0.972972972972973, 0.9841269841269841, 0.96875, 1.0, 0.9166666666666667, 0.972972972972973, 0.9841269841269841, 0.96875, 1.0, 0.9166666666666667, 0.972972972972973, 0.9841269841269841, 0.96875, 1.0, 0.9166666666666667, 0.972972972972973, 0.9841269841269841, 0.96875, 1.0, 0.9166666666666667
gini, 0.95, 0.05, 0.95, 5, target_accuracy, 68, 65, 8, 0.9558823529411765, 0.9846153846153847, 0.988235294117647, 0.9767441860465116, 1.0, 0.9782608695652174, 0.9692307692307692, 0.9761904761904762, 0.9761904761904762, 0.9761904761904762, 0.9663561076604555, 0.9846153846153847, 0.9879518072289156, 1.0, 0.9761904761904762, 0.9880952380952381, 0.9692307692307692, 0.9761904761904762, 0.9761904761904762, 0.9761904761904762, 0.9663561076604555, 0.9846153846153847, 0.9879518072289156, 1.0, 0.9761904761904762, 0.9880952380952381
gini, 0.95, 0.05, 0.95, 10, target_accuracy, 68, 53, 6, 0.7794117647058824, 0.9811320754716981, 0.9873417721518987, 0.975, 1.0, 0.9642857142857143, 0.9622641509433962, 0.9743589743589743, 0.9743589743589743, 0.9743589743589743, 0.9514652014652015, 0.9811320754716981, 0.9870129870129869, 1.0, 0.9743589743589743, 0.9871794871794872, 0.9811320754716981, 0.9873417721518987, 0.975, 1.0, 0.9642857142857143, 0.9811320754716981, 0.9873417721518987, 0.975, 1.0, 0.9642857142857143
gini, 0.95, 0.05, 0.95, 20, target_accuracy, 68, 60, 6, 0.8823529411764706, 0.9833333333333333, 0.9873417721518987, 0.975, 1.0, 0.9761904761904762, 0.9666666666666667, 0.9743589743589743, 0.9743589743589743, 0.9743589743589743, 0.9633699633699634, 0.9833333333333333, 0.9870129870129869, 1.0, 0.9743589743589743, 0.9871794871794872, 0.9666666666666667, 0.9743589743589743, 0.9743589743589743, 0.9743589743589743, 0.9633699633699634, 0.9666666666666667, 0.9743589743589743, 0.9743589743589743, 0.9743589743589743, 0.9633699633699634
gini, 0.95, 0.05, 0.95, 25, target_accuracy, 68, 52, 4, 0.7647058823529411, 0.9807692307692307, 0.9876543209876543, 0.975609756097561, 1.0, 0.9583333333333333, 0.9423076923076923, 0.9620253164556962, 0.9743589743589743, 0.95, 0.9333333333333332, 0.9615384615384616, 0.9743589743589743, 1.0, 0.95, 0.975, 0.9807692307692307, 0.9876543209876543, 0.975609756097561, 1.0, 0.9583333333333333, 0.9615384615384616, 0.975, 0.975, 0.975, 0.9458333333333334
gini, 0.95, 0.05, 0.95, 30, target_accuracy, 68, 47, 5, 0.6911764705882353, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9787234042553191, 0.9850746268656716, 1.0, 0.9705882352941176, 0.9852941176470589, 1.0, 1.0, 1.0, 1.0, 1.0
gini, 0.95, 0.05, 0.95, 50, target_accuracy, 68, 53, 4, 0.7794117647058824, 0.9811320754716981, 0.9873417721518987, 0.975, 1.0, 0.9642857142857143, 0.9622641509433962, 0.9743589743589743, 0.9743589743589743, 0.9743589743589743, 0.9514652014652015, 0.9811320754716981, 0.9870129870129869, 1.0, 0.9743589743589743, 0.9871794871794872, 0.9811320754716981, 0.9873417721518987, 0.975, 1.0, 0.9642857142857143, 0.9811320754716981, 0.9873417721518987, 0.975, 1.0, 0.9642857142857143
gini, 0.95, 0.05, 0.95, 5, target_accuracy, 68, 55, 8, 0.8088235294117647, 0.9818181818181818, 0.9870129870129869, 0.9743589743589743, 1.0, 0.9705882352941176, 0.9818181818181818, 0.9870129870129869, 0.9743589743589743, 1.0, 0.9705882352941176, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9818181818181818, 0.9870129870129869, 0.9743589743589743, 1.0, 0.9705882352941176, 0.9818181818181818, 0.9870129870129869, 0.9743589743589743, 1.0, 0.9705882352941176
gini, 0.95, 0.05, 0.95, 10, target_accuracy, 68, 63, 9, 0.9264705882352942, 0.9841269841269841, 0.9879518072289156, 1.0, 0.9761904761904762, 0.9880952380952381, 0.9841269841269841, 0.9879518072289156, 1.0, 0.9761904761904762, 0.9880952380952381, 0.9841269841269841, 0.9879518072289156, 1.0, 0.9761904761904762, 0.9880952380952381, 0.9841269841269841, 0.9879518072289156, 1.0, 0.9761904761904762, 0.9880952380952381, 0.9841269841269841, 0.9879518072289156, 1.0, 0.9761904761904762, 0.9880952380952381
gini, 0.95, 0.05, 0.95, 20, target_accuracy, 68, 56, 7, 0.8235294117647058, 0.9642857142857143, 0.9761904761904762, 0.9761904761904762, 0.9761904761904762, 0.9523809523809524, 0.9642857142857143, 0.9761904761904762, 0.9761904761904762, 0.9761904761904762, 0.9523809523809524, 0.9821428571428571, 0.9879518072289156, 1.0, 0.9761904761904762, 0.9880952380952381, 0.9642857142857143, 0.9761904761904762, 0.9761904761904762, 0.9761904761904762, 0.9523809523809524, 0.9642857142857143, 0.9761904761904762, 0.9761904761904762, 0.9761904761904762, 0.9523809523809524
gini, 0.95, 0.05, 0.95, 25, target_accuracy, 68, 53, 5, 0.7794117647058824, 0.9811320754716981, 0.9873417721518987, 1.0, 0.975, 0.9875, 0.9811320754716981, 0.9873417721518987, 1.0, 0.975, 0.9875, 0.9811320754716981, 0.9873417721518987, 1.0, 0.975, 0.9875, 0.9811320754716981, 0.9873417721518987, 1.0, 0.975, 0.9875, 0.9811320754716981, 0.9873417721518987, 1.0, 0.975, 0.9875
gini, 0.95, 0.05, 0.95, 30, target_accuracy, 68, 56, 3, 0.8235294117647058, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
gini, 0.95, 0.05, 0.95, 50, target_accuracy, 68, 44, 2, 0.6470588235294118, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
gini, 0.95, 0.05, 0.95, 5, target_accuracy, 68, 62, 9, 0.9117647058823529, 0.9516129032258065, 0.9655172413793104, 0.9545454545454546, 0.9767441860465116, 0.9357405140758873, 0.9354838709677419, 0.9534883720930233, 0.9534883720930233, 0.9534883720930233, 0.9241126070991432, 0.967741935483871, 0.9767441860465116, 0.9767441860465116, 0.9767441860465116, 0.9620563035495717, 0.967741935483871, 0.9767441860465116, 0.9767441860465116, 0.9767441860465116, 0.9620563035495717, 0.9516129032258065, 0.9655172413793104, 0.9545454545454546, 0.9767441860465116, 0.9357405140758873
gini, 0.95, 0.05, 0.95, 10, target_accuracy, 68, 63, 9, 0.9264705882352942, 0.9841269841269841, 0.9885057471264368, 0.9772727272727273, 1.0, 0.975, 0.9365079365079365, 0.9545454545454545, 0.9333333333333333, 0.9767441860465116, 0.9133720930232557, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9523809523809523, 0.9662921348314606, 0.9347826086956522, 1.0, 0.9249999999999999, 0.9682539682539683, 0.9767441860465116, 0.9767441860465116, 0.9767441860465116, 0.9633720930232557
gini, 0.95, 0.05, 0.95, 20, target_accuracy, 68, 56, 5, 0.8235294117647058, 0.9821428571428571, 0.9879518072289156, 0.9761904761904762, 1.0, 0.9666666666666667, 0.9285714285714286, 0.9523809523809524, 0.9302325581395349, 0.975609756097561, 0.8878048780487805, 0.9821428571428571, 0.9879518072289156, 0.9761904761904762, 1.0, 0.9666666666666667, 0.9821428571428571, 0.9879518072289156, 0.9761904761904762, 1.0, 0.9666666666666667, 1.0, 1.0, 1.0, 1.0, 1.0
gini, 0.95, 0.05, 0.95, 25, target_accuracy, 68, 48, 3, 0.7058823529411765, 0.9791666666666666, 0.9866666666666666, 0.9736842105263158, 1.0, 0.9545454545454545, 0.9583333333333334, 0.9736842105263158, 0.9487179487179487, 1.0, 0.9090909090909091, 0.9791666666666666, 0.9866666666666666, 0.9736842105263158, 1.0, 0.9545454545454545, 0.9791666666666666, 0.9866666666666666, 0.9736842105263158, 1.0, 0.9545454545454545, 0.9791666666666666, 0.9866666666666666, 0.9736842105263158, 1.0, 0.9545454545454545
gini, 0.95, 0.05, 0.95, 30, target_accuracy, 68, 48, 2, 0.7058823529411765, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9583333333333334, 0.9736842105263158, 0.9736842105263158, 0.9736842105263158, 0.9368421052631579, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9791666666666666, 0.9870129870129869, 0.9743589743589743, 1.0, 0.9500000000000001, 1.0, 1.0, 1.0, 1.0, 1.0
gini, 0.95, 0.05, 0.95, 50, target_accuracy, 68, 47, 3, 0.6911764705882353, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9574468085106383, 0.972972972972973, 0.972972972972973, 0.972972972972973, 0.9364864864864866, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9361702127659575, 0.961038961038961, 0.925, 1.0, 0.85
gini, 0.95, 0.05, 0.95, 5, target_accuracy, 68, 62, 7, 0.9117647058823529, 0.9838709677419355, 0.9879518072289156, 1.0, 0.9761904761904762, 0.9880952380952381, 0.9516129032258065, 0.9647058823529412, 0.9534883720930233, 0.9761904761904762, 0.9380952380952382, 0.9838709677419355, 0.9879518072289156, 1.0, 0.9761904761904762, 0.9880952380952381, 0.9838709677419355, 0.9879518072289156, 1.0, 0.9761904761904762, 0.9880952380952381, 0.9838709677419355, 0.9879518072289156, 1.0, 0.9761904761904762, 0.9880952380952381
gini, 0.95, 0.05, 0.95, 10, target_accuracy, 68, 64, 9, 0.9411764705882353, 1.0, 1.0, 1.0, 1.0, 1.0, 0.96875, 0.9772727272727273, 0.9555555555555556, 1.0, 0.9523809523809523, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.984375, 0.988235294117647, 1.0, 0.9767441860465116, 0.9883720930232558
gini, 0.95, 0.05, 0.95, 20, target_accuracy, 68, 40, 3, 0.5882352941176471, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0
gini, 0.95, 0.05, 0.95, 25, target_accuracy, 68, 61, 6, 0.8970588235294118, 0.9836065573770492, 0.9876543209876543, 1.0, 0.975609756097561, 0.9878048780487805, 0.9508196721311475, 0.963855421686747, 0.9523809523809523, 0.975609756097561, 0.9378048780487805, 0.9836065573770492, 0.9876543209876543, 1.0, 0.975609756097561, 0.9878048780487805, 0.9836065573770492, 0.9876543209876543, 1.0, 0.975609756097561, 0.9878048780487805, 0.9836065573770492, 0.9876543209876543, 1.0, 0.975609756097561, 0.9878048780487805
gini, 0.95, 0.05, 0.95, 30, target_accuracy, 68, 60, 3, 0.8823529411764706, 1.0, 1.0, 1.0, 1.0, 1.0, 0.95, 0.9647058823529412, 0.9318181818181818, 1.0, 0.9210526315789473, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
gini, 0.95, 0.05, 0.95, 50, target_accuracy, 68, 40, 1, 0.5882352941176471, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0
gini, 0.95, 0.05, 0.95, 5, target_accuracy, 68, 56, 7, 0.8235294117647058, 0.9821428571428571, 0.9876543209876543, 0.975609756097561, 1.0, 0.96875, 0.9464285714285714, 0.963855421686747, 0.9302325581395349, 1.0, 0.90625, 0.9821428571428571, 0.9876543209876543, 0.975609756097561, 1.0, 0.96875, 0.9821428571428571, 0.9876543209876543, 0.975609756097561, 1.0, 0.96875, 0.9821428571428571, 0.9876543209876543, 0.975609756097561, 1.0, 0.96875
gini, 0.95, 0.05, 0.95, 10, target_accuracy, 68, 53, 10, 0.7794117647058824, 0.9622641509433962, 0.975, 0.9512195121951219, 1.0, 0.9285714285714286, 0.9622641509433962, 0.975, 0.9512195121951219, 1.0, 0.9285714285714286, 0.9811320754716981, 0.9873417721518987, 0.975, 1.0, 0.9642857142857143, 0.9811320754716981, 0.9873417721518987, 0.975, 1.0, 0.9642857142857143, 0.9811320754716981, 0.9873417721518987, 0.975, 1.0, 0.9642857142857143
gini, 0.95, 0.05, 0.95, 20, target_accuracy, 68, 55, 5, 0.8088235294117647, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9636363636363636, 0.975, 0.9512195121951219, 1.0, 0.9375, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9818181818181818, 0.9873417721518987, 0.975, 1.0, 0.96875
gini, 0.95, 0.05, 0.95, 25, target_accuracy, 68, 46, 4, 0.6764705882352942, 0.9565217391304348, 0.9714285714285714, 0.9444444444444444, 1.0, 0.9166666666666667, 0.9565217391304348, 0.9714285714285714, 0.9444444444444444, 1.0, 0.9166666666666667, 0.9782608695652174, 0.9855072463768115, 0.9714285714285714, 1.0, 0.9583333333333333, 0.9782608695652174, 0.9855072463768115, 0.9714285714285714, 1.0, 0.9583333333333333, 0.9782608695652174, 0.9855072463768115, 0.9714285714285714, 1.0, 0.9583333333333333
gini, 0.95, 0.05, 0.95, 30, target_accuracy, 68, 55, 4, 0.8088235294117647, 0.9818181818181818, 0.9885057471264368, 0.9772727272727273, 1.0, 0.9583333333333333, 0.9636363636363636, 0.9772727272727273, 0.9555555555555556, 1.0, 0.9166666666666667, 0.9818181818181818, 0.9885057471264368, 0.9772727272727273, 1.0, 0.9583333333333333, 0.9636363636363636, 0.9767441860465116, 0.9767441860465116, 0.9767441860465116, 0.946705426356589, 0.9818181818181818, 0.9885057471264368, 0.9772727272727273, 1.0, 0.9583333333333333
gini, 0.95, 0.05, 0.95, 50, target_accuracy, 68, 53, 4, 0.7794117647058824, 0.9622641509433962, 0.9714285714285714, 0.9714285714285714, 0.9714285714285714, 0.957936507936508, 0.9433962264150944, 0.958904109589041, 0.9210526315789473, 1.0, 0.9166666666666667, 0.9622641509433962, 0.9714285714285714, 0.9714285714285714, 0.9714285714285714, 0.957936507936508, 0.9622641509433962, 0.9714285714285714, 0.9714285714285714, 0.9714285714285714, 0.957936507936508, 0.9622641509433962, 0.9714285714285714, 0.9714285714285714, 0.9714285714285714, 0.957936507936508
gini, 0.95, 0.05, 0.95, 5, target_accuracy, 68, 64, 7, 0.9411764705882353, 0.984375, 0.9879518072289156, 0.9761904761904762, 1.0, 0.9782608695652174, 0.96875, 0.9761904761904763, 0.9534883720930233, 1.0, 0.9565217391304348, 0.984375, 0.9879518072289156, 0.9761904761904762, 1.0, 0.9782608695652174, 0.96875, 0.9761904761904763, 0.9534883720930233, 1.0, 0.9565217391304348, 0.921875, 0.9411764705882352, 0.9090909090909091, 0.975609756097561, 0.9008483563096501
gini, 0.95, 0.05, 0.95, 10, target_accuracy, 68, 60, 8, 0.8823529411764706, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
gini, 0.95, 0.05, 0.95, 20, target_accuracy, 68, 60, 8, 0.8823529411764706, 0.9833333333333333, 0.988235294117647, 0.9767441860465116, 1.0, 0.9722222222222222, 0.9833333333333333, 0.988235294117647, 0.9767441860465116, 1.0, 0.9722222222222222, 0.9833333333333333, 0.988235294117647, 0.9767441860465116, 1.0, 0.9722222222222222, 0.9833333333333333, 0.988235294117647, 0.9767441860465116, 1.0, 0.9722222222222222, 0.9833333333333333, 0.988235294117647, 0.9767441860465116, 1.0, 0.9722222222222222
