ensemble_criterion, chi_square_percent_point_function, scale_feature_coefficient, min_accuracy_coefficient, min_number_class_per_node, sorting_method, dataset_test_size, dataset_test_categorizable, number_of_rules, cobertura, ensemble_accuracy, ensemble_f1_score, ensemble_precision_score, ensemble_recall, ensemble_roc_auc_score, tree_accuracy, tree_f1_score, tree_precision_score, tree_recall_score, tree_roc_auc_score, RuleFit_accuracy, RuleFit_f1_score, RuleFit_precision_score, RuleFit_recall_score, RuleFit_roc_auc_score, RuleCOSI_accuracy, RuleCOSI_f1_score, RuleCOSI_precision_score, RuleCOSI_recall_score, RuleCOSI_roc_auc_score, rules_accuracy, rules_f1_score, rules_precision_score, rules_recall_score, rules_roc_auc_score
gini, 0.95, 0.05, 0.95, 5, target_accuracy, 69, 53, 7, 0.7681159420289855, 0.9433962264150944, 0.963855421686747, 0.9523809523809523, 0.975609756097561, 0.9044715447154472, 0.9433962264150944, 0.963855421686747, 0.9523809523809523, 0.975609756097561, 0.9044715447154472, 0.9622641509433962, 0.975609756097561, 0.975609756097561, 0.975609756097561, 0.9461382113821137, 0.9622641509433962, 0.975609756097561, 0.975609756097561, 0.975609756097561, 0.9461382113821137, 0.9245283018867925, 0.9523809523809524, 0.9302325581395349, 0.975609756097561, 0.8628048780487805
gini, 0.95, 0.05, 0.95, 10, target_accuracy, 69, 53, 5, 0.7681159420289855, 0.9433962264150944, 0.963855421686747, 0.9523809523809523, 0.975609756097561, 0.9044715447154472, 0.9433962264150944, 0.963855421686747, 0.9523809523809523, 0.975609756097561, 0.9044715447154472, 0.9622641509433962, 0.975609756097561, 0.975609756097561, 0.975609756097561, 0.9461382113821137, 0.9622641509433962, 0.975609756097561, 0.975609756097561, 0.975609756097561, 0.9461382113821137, 0.9245283018867925, 0.9523809523809524, 0.9302325581395349, 0.975609756097561, 0.8628048780487805
gini, 0.95, 0.05, 0.95, 20, target_accuracy, 69, 53, 5, 0.7681159420289855, 0.9433962264150944, 0.963855421686747, 0.9523809523809523, 0.975609756097561, 0.9044715447154472, 0.9433962264150944, 0.963855421686747, 0.9523809523809523, 0.975609756097561, 0.9044715447154472, 0.9622641509433962, 0.975609756097561, 0.975609756097561, 0.975609756097561, 0.9461382113821137, 0.9622641509433962, 0.975609756097561, 0.975609756097561, 0.975609756097561, 0.9461382113821137, 0.9245283018867925, 0.9523809523809524, 0.9302325581395349, 0.975609756097561, 0.8628048780487805
gini, 0.95, 0.05, 0.95, 25, target_accuracy, 69, 53, 5, 0.7681159420289855, 0.9433962264150944, 0.963855421686747, 0.9523809523809523, 0.975609756097561, 0.9044715447154472, 0.9433962264150944, 0.963855421686747, 0.9523809523809523, 0.975609756097561, 0.9044715447154472, 0.9622641509433962, 0.975609756097561, 0.975609756097561, 0.975609756097561, 0.9461382113821137, 0.9622641509433962, 0.975609756097561, 0.975609756097561, 0.975609756097561, 0.9461382113821137, 0.9245283018867925, 0.9523809523809524, 0.9302325581395349, 0.975609756097561, 0.8628048780487805
gini, 0.95, 0.05, 0.95, 30, target_accuracy, 69, 53, 5, 0.7681159420289855, 0.9433962264150944, 0.963855421686747, 0.9523809523809523, 0.975609756097561, 0.9044715447154472, 0.9433962264150944, 0.963855421686747, 0.9523809523809523, 0.975609756097561, 0.9044715447154472, 0.9622641509433962, 0.975609756097561, 0.975609756097561, 0.975609756097561, 0.9461382113821137, 0.9622641509433962, 0.975609756097561, 0.975609756097561, 0.975609756097561, 0.9461382113821137, 0.9245283018867925, 0.9523809523809524, 0.9302325581395349, 0.975609756097561, 0.8628048780487805
gini, 0.95, 0.05, 0.95, 50, target_accuracy, 69, 49, 3, 0.7101449275362319, 0.9591836734693877, 0.9736842105263158, 0.9736842105263158, 0.9736842105263158, 0.9413875598086126, 0.9591836734693877, 0.9736842105263158, 0.9736842105263158, 0.9736842105263158, 0.9413875598086126, 0.9591836734693877, 0.9736842105263158, 0.9736842105263158, 0.9736842105263158, 0.9413875598086126, 0.9591836734693877, 0.9736842105263158, 0.9736842105263158, 0.9736842105263158, 0.9413875598086126, 0.9387755102040817, 0.9610389610389611, 0.9487179487179487, 0.9736842105263158, 0.8959330143540669
gini, 0.95, 0.05, 0.95, 5, target_accuracy, 69, 45, 6, 0.6521739130434783, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
gini, 0.95, 0.05, 0.95, 10, target_accuracy, 69, 43, 4, 0.6231884057971014, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0
gini, 0.95, 0.05, 0.95, 20, target_accuracy, 69, 38, 2, 0.5507246376811594, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0
gini, 0.95, 0.05, 0.95, 25, target_accuracy, 69, 38, 2, 0.5507246376811594, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0
