ensemble_criterion, chi_square_percent_point_function, scale_feature_coefficient, min_accuracy_coefficient, min_number_class_per_node, sorting_method, dataset_test_size, dataset_test_categorizable, number_of_rules, cobertura, ensemble_accuracy, ensemble_f1_score, ensemble_precision_score, ensemble_recall, ensemble_roc_auc_score, tree_accuracy, tree_f1_score, tree_precision_score, tree_recall_score, tree_roc_auc_score, RuleFit_accuracy, RuleFit_f1_score, RuleFit_precision_score, RuleFit_recall_score, RuleFit_roc_auc_score, RuleCOSI_accuracy, RuleCOSI_f1_score, RuleCOSI_precision_score, RuleCOSI_recall_score, RuleCOSI_roc_auc_score, rules_accuracy, rules_f1_score, rules_precision_score, rules_recall_score, rules_roc_auc_score
gini, 0.95, 0.05, 0.95, 5, target_accuracy, 69, 58, 10, 0.8405797101449275, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9482758620689655, 0.9655172413793104, 0.9333333333333333, 1.0, 0.90625, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9827586206896551, 0.988235294117647, 0.9767441860465116, 1.0, 0.96875, 0.9827586206896551, 0.988235294117647, 0.9767441860465116, 1.0, 0.96875
gini, 0.95, 0.05, 0.95, 10, target_accuracy, 69, 61, 11, 0.8840579710144928, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9344262295081968, 0.9555555555555556, 0.9148936170212766, 1.0, 0.8888888888888888, 0.9836065573770492, 0.9885057471264368, 0.9772727272727273, 1.0, 0.9722222222222222, 0.9836065573770492, 0.9885057471264368, 0.9772727272727273, 1.0, 0.9722222222222222, 0.9508196721311475, 0.9662921348314606, 0.9347826086956522, 1.0, 0.9166666666666667
gini, 0.95, 0.05, 0.95, 20, target_accuracy, 69, 56, 4, 0.8115942028985508, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9821428571428571, 0.9879518072289156, 0.9761904761904762, 1.0, 0.9666666666666667, 0.9821428571428571, 0.9879518072289156, 0.9761904761904762, 1.0, 0.9666666666666667, 0.9821428571428571, 0.9879518072289156, 0.9761904761904762, 1.0, 0.9666666666666667, 0.9642857142857143, 0.9761904761904763, 0.9534883720930233, 1.0, 0.9333333333333333
gini, 0.95, 0.05, 0.95, 25, target_accuracy, 69, 49, 3, 0.7101449275362319, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9387755102040817, 0.963855421686747, 0.9302325581395349, 1.0, 0.8333333333333334, 0.9795918367346939, 0.9876543209876543, 0.975609756097561, 1.0, 0.9444444444444444, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9795918367346939, 0.9876543209876543, 0.975609756097561, 1.0, 0.9444444444444444
gini, 0.95, 0.05, 0.95, 30, target_accuracy, 69, 51, 3, 0.7391304347826086, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9411764705882353, 0.9629629629629629, 0.9512195121951219, 0.975, 0.8965909090909091, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9803921568627451, 0.9873417721518987, 1.0, 0.975, 0.9875, 1.0, 1.0, 1.0, 1.0, 1.0
gini, 0.95, 0.05, 0.95, 50, target_accuracy, 69, 50, 3, 0.7246376811594203, 1.0, 1.0, 1.0, 1.0, 1.0, 0.94, 0.9647058823529412, 0.9318181818181818, 1.0, 0.8333333333333334, 0.98, 0.9879518072289156, 0.9761904761904762, 1.0, 0.9444444444444444, 1.0, 1.0, 1.0, 1.0, 1.0, 0.98, 0.9879518072289156, 0.9761904761904762, 1.0, 0.9444444444444444
gini, 0.95, 0.05, 0.95, 5, target_accuracy, 69, 51, 5, 0.7391304347826086, 0.9607843137254902, 0.9743589743589743, 0.9743589743589743, 0.9743589743589743, 0.9455128205128205, 0.9019607843137255, 0.9382716049382716, 0.9047619047619048, 0.9743589743589743, 0.8205128205128206, 0.9607843137254902, 0.9743589743589743, 0.9743589743589743, 0.9743589743589743, 0.9455128205128205, 0.9607843137254902, 0.9743589743589743, 0.9743589743589743, 0.9743589743589743, 0.9455128205128205, 0.9411764705882353, 0.9620253164556962, 0.95, 0.9743589743589743, 0.903846153846154
gini, 0.95, 0.05, 0.95, 10, target_accuracy, 69, 57, 6, 0.8260869565217391, 0.9649122807017544, 0.975, 0.975, 0.975, 0.9580882352941177, 0.9122807017543859, 0.9382716049382716, 0.926829268292683, 0.95, 0.8867647058823529, 0.9473684210526315, 0.9620253164556962, 0.9743589743589743, 0.95, 0.9455882352941176, 0.9298245614035088, 0.9487179487179489, 0.9736842105263158, 0.925, 0.9330882352941177, 0.9824561403508771, 0.9873417721518987, 1.0, 0.975, 0.9875
gini, 0.95, 0.05, 0.95, 20, target_accuracy, 69, 50, 5, 0.7246376811594203, 0.94, 0.9620253164556962, 0.95, 0.9743589743589743, 0.8962703962703963, 0.88, 0.9268292682926831, 0.8837209302325582, 0.9743589743589743, 0.7599067599067599, 0.94, 0.9620253164556962, 0.95, 0.9743589743589743, 0.8962703962703963, 0.94, 0.9620253164556962, 0.95, 0.9743589743589743, 0.8962703962703963, 0.92, 0.9500000000000001, 0.926829268292683, 0.9743589743589743, 0.8508158508158508
gini, 0.95, 0.05, 0.95, 25, target_accuracy, 69, 48, 3, 0.6956521739130435, 0.9791666666666666, 0.9873417721518987, 1.0, 0.975, 0.9875, 0.9166666666666666, 0.9500000000000001, 0.95, 0.95, 0.85, 0.9583333333333334, 0.9743589743589743, 1.0, 0.95, 0.975, 0.9375, 0.961038961038961, 1.0, 0.925, 0.9625, 0.9791666666666666, 0.9873417721518987, 1.0, 0.975, 0.9875
