filename, Recursive, Method, Dataset, Coverage, DT F1, DT vs SR ttest F1, Ensemble F1, Ensemble vs SR p-value F1, RFIT F1, RFIT vs SR p-value F1, RFIT \# rl. num., RC vs SR p-value \# rl. num., RC F1, RC vs SR ttest F1, RC \# rl. num., RC vs SR p-value \# rl. num., SR F1, SR \# rl. num., SR F1 x coverage 
../../Results/battery_wisconsin_<class 'catboost.core.CatBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns5_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'catboost.core.CatBoostClassifier'>, wisconsin, 84.23±4.53, 98.74±1.27, 0.1186, 82.9±2.1, <0.0001, 99.25±1.04, 0.7844, 19.2±2.62, <0.0001, 97.05±3.03, 0.0005, 5.87±1.66, <0.0001, 99.19±0.87, 8.23±1.41, 83.54±0.04
../../Results/battery_wisconsin_<class 'catboost.core.CatBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns7_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'catboost.core.CatBoostClassifier'>, wisconsin, 83.11±5.14, 98.85±1.33, 0.3005, 83.0±2.14, <0.0001, 99.34±0.96, 0.5625, 19.17±2.76, <0.0001, 97.05±2.34, <0.0001, 6.33±1.67, 0.2948, 99.18±1.14, 6.73±1.23, 82.43±0.06
../../Results/battery_wisconsin_<class 'catboost.core.CatBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns10_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'catboost.core.CatBoostClassifier'>, wisconsin, 82.67±5.98, 98.69±1.6, 0.4032, 83.07±2.49, <0.0001, 99.01±1.38, 0.9943, 19.2±2.07, <0.0001, 97.43±2.47, 0.0033, 5.53±1.63, 0.1658, 99.01±1.38, 6.03±1.07, 81.85±0.08
../../Results/battery_wisconsin_<class 'catboost.core.CatBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns15_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'catboost.core.CatBoostClassifier'>, wisconsin, 80.24±5.19, 99.07±1.04, 0.5013, 83.39±2.54, <0.0001, 99.32±0.94, 0.7416, 19.67±1.83, <0.0001, 98.05±2.1, 0.0062, 5.77±1.85, 0.516, 99.24±0.92, 5.5±1.25, 79.63±0.05
../../Results/battery_wisconsin_<class 'catboost.core.CatBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns20_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'catboost.core.CatBoostClassifier'>, wisconsin, 77.73±7.81, 98.65±1.11, 0.1051, 83.58±2.69, <0.0001, 99.19±0.87, 0.755, 18.97±2.17, <0.0001, 98.32±1.87, 0.0483, 6.27±1.98, <0.0001, 99.11±1.04, 4.27±0.83, 77.04±0.08
../../Results/battery_wisconsin_<class 'catboost.core.CatBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns25_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'catboost.core.CatBoostClassifier'>, wisconsin, 74.23±5.28, 98.9±0.91, 0.0635, 84.42±3.25, <0.0001, 99.24±0.83, 0.6851, 18.8±2.14, <0.0001, 98.8±1.39, 0.0813, 6.07±1.74, <0.0001, 99.33±0.85, 3.6±0.72, 73.73±0.04
../../Results/battery_wisconsin_<class 'catboost.core.CatBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns35_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'catboost.core.CatBoostClassifier'>, wisconsin, 72.92±5.09, 98.86±1.08, 0.3515, 84.38±2.88, <0.0001, 99.26±1.0, 0.631, 19.77±2.27, <0.0001, 99.13±0.99, 0.9979, 6.37±1.4, <0.0001, 99.13±1.12, 2.47±0.51, 72.28±0.06
../../Results/battery_wisconsin_<class 'catboost.core.CatBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns50_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'catboost.core.CatBoostClassifier'>, wisconsin, 73.3±4.4, 98.81±1.19, 0.1921, 84.38±3.55, <0.0001, 99.27±1.22, 0.7659, 20.07±2.27, <0.0001, 98.94±1.13, 0.3865, 6.63±1.81, <0.0001, 99.18±0.99, 2.23±0.43, 72.7±0.04
../../Results/battery_wisconsin_<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns5_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._gb.GradientBoostingClassifier'>, wisconsin, 69.03±9.98, 98.47±1.07, 0.7541, 99.02±0.93, 0.0306, 99.11±0.9, 0.0131, 19.2±2.16, <0.0001, 98.9±0.84, 0.0638, 15.23±3.13, <0.0001, 98.37±1.29, 5.27±1.74, 67.91±0.13
../../Results/battery_wisconsin_<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns7_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._gb.GradientBoostingClassifier'>, wisconsin, 70.47±12.32, 98.35±1.73, 0.5055, 98.86±1.7, 0.0883, 99.05±1.53, 0.0311, 19.77±2.19, <0.0001, 98.66±1.81, 0.2064, 14.47±2.05, <0.0001, 98.02±2.02, 4.63±1.4, 69.08±0.25
../../Results/battery_wisconsin_<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns10_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._gb.GradientBoostingClassifier'>, wisconsin, 68.03±10.03, 98.42±1.36, 0.4265, 98.84±1.15, 0.0349, 99.11±1.08, 0.0035, 18.77±2.39, <0.0001, 98.67±1.24, 0.1177, 15.13±3.3, <0.0001, 98.14±1.38, 4.17±1.46, 66.76±0.14
../../Results/battery_wisconsin_<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns15_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._gb.GradientBoostingClassifier'>, wisconsin, 64.72±10.27, 98.44±1.36, 0.3871, 98.99±1.09, 0.0151, 98.94±1.17, 0.024, 19.37±2.59, <0.0001, 98.96±1.15, 0.02, 15.3±2.61, <0.0001, 98.1±1.59, 3.73±1.26, 63.49±0.16
../../Results/battery_wisconsin_<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns20_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._gb.GradientBoostingClassifier'>, wisconsin, 67.81±11.53, 98.29±1.65, 0.4025, 98.83±1.62, 0.0438, 98.97±1.37, 0.0136, 20.13±2.62, <0.0001, 98.66±1.73, 0.1084, 15.43±3.3, <0.0001, 97.92±1.79, 3.1±0.84, 66.4±0.21
../../Results/battery_wisconsin_<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns25_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._gb.GradientBoostingClassifier'>, wisconsin, 63.8±9.36, 98.53±1.4, 0.247, 99.23±1.03, 0.002, 99.35±0.83, 0.0004, 19.43±1.96, <0.0001, 99.07±1.18, 0.0095, 14.8±3.29, <0.0001, 98.06±1.69, 2.67±0.66, 62.56±0.16
../../Results/battery_wisconsin_<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns35_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._gb.GradientBoostingClassifier'>, wisconsin, 63.37±9.69, 98.59±1.14, 0.6122, 99.11±1.06, 0.0315, 99.24±0.96, 0.0083, 19±2.08, <0.0001, 99.06±1.2, 0.056, 15.67±2.95, <0.0001, 98.42±1.33, 2.4±0.77, 62.37±0.13
../../Results/battery_wisconsin_<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns50_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._gb.GradientBoostingClassifier'>, wisconsin, 66.48±10.17, 98.5±1.27, 0.4857, 98.97±1.08, 0.038, 99.21±0.81, 0.0029, 19.27±2.43, <0.0001, 98.59±1.29, 0.3502, 15.93±3.05, <0.0001, 98.25±1.49, 2.33±0.92, 65.31±0.15
../../Results/battery_wisconsin_<class 'sklearn.ensemble._forest.RandomForestClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns5_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._forest.RandomForestClassifier'>, wisconsin, 73.71±10.36, 97.85±1.93, 0.6767, 98.71±1.48, 0.0282, 98.53±1.47, 0.0648, 19±2.48, <0.0001, 98.34±1.61, 0.1525, 16.4±3.38, <0.0001, 97.62±2.2, 6.2±1.06, 71.96±0.23
../../Results/battery_wisconsin_<class 'sklearn.ensemble._forest.RandomForestClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns7_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._forest.RandomForestClassifier'>, wisconsin, 73.4±9.37, 98.14±1.2, 0.57, 98.94±1.06, 0.0044, 98.82±1.11, 0.0135, 19.6±2.61, <0.0001, 98.44±1.33, 0.1823, 17.17±2.73, <0.0001, 97.94±1.52, 5.3±1.15, 71.89±0.14
../../Results/battery_wisconsin_<class 'sklearn.ensemble._forest.RandomForestClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns10_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._forest.RandomForestClassifier'>, wisconsin, 70.32±8.95, 98.04±1.67, 0.9754, 98.84±1.41, 0.0471, 98.92±1.2, 0.0216, 20.2±2.09, <0.0001, 98.52±1.6, 0.265, 17.53±3.49, <0.0001, 98.05±1.62, 4.7±1.15, 68.95±0.14
../../Results/battery_wisconsin_<class 'sklearn.ensemble._forest.RandomForestClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns15_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._forest.RandomForestClassifier'>, wisconsin, 68.61±12.01, 98.17±1.31, 0.8859, 99.2±1.11, 0.0025, 98.99±1.15, 0.0153, 19.37±2.19, <0.0001, 98.7±1.34, 0.1224, 16.8±2.78, <0.0001, 98.12±1.51, 4.1±1.06, 67.33±0.18
../../Results/battery_wisconsin_<class 'sklearn.ensemble._forest.RandomForestClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns20_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._forest.RandomForestClassifier'>, wisconsin, 68.77±10.45, 98.16±1.45, 0.9748, 98.95±1.17, 0.038, 98.63±1.42, 0.2381, 18.97±2.62, <0.0001, 98.67±1.41, 0.2025, 17.3±2.29, <0.0001, 98.15±1.72, 3.27±0.91, 67.5±0.18
../../Results/battery_wisconsin_<class 'sklearn.ensemble._forest.RandomForestClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns25_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._forest.RandomForestClassifier'>, wisconsin, 64.12±9.57, 98.57±1.26, 0.8881, 99.14±1.18, 0.055, 99.19±1.12, 0.0322, 19.4±1.79, <0.0001, 98.75±1.31, 0.4916, 17.37±2.92, <0.0001, 98.53±1.24, 2.77±0.73, 63.17±0.12
../../Results/battery_wisconsin_<class 'sklearn.ensemble._forest.RandomForestClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns35_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._forest.RandomForestClassifier'>, wisconsin, 65.91±9.75, 98.65±1.27, 0.6439, 99.35±0.87, 0.0066, 99.19±0.91, 0.0277, 19.5±2.43, <0.0001, 98.84±0.9, 0.2689, 17.37±3.71, <0.0001, 98.49±1.43, 2.5±0.73, 64.91±0.14
../../Results/battery_wisconsin_<class 'sklearn.ensemble._forest.RandomForestClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns50_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._forest.RandomForestClassifier'>, wisconsin, 65.25±10.54, 98.54±1.21, 0.7307, 99.38±0.76, 0.0047, 99.34±0.97, 0.0095, 19.5±2.47, <0.0001, 99.12±1.17, 0.0571, 17.43±2.61, <0.0001, 98.41±1.63, 2.1±0.8, 64.21±0.17
../../Results/battery_wisconsin_<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns5_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>, wisconsin, 75.75±6.43, 97.86±1.17, 0.8215, 98.65±1.33, 0.0194, 99.07±1.0, 0.0002, 19.33±2.32, <0.0001, 96.39±3.06, 0.0294, 5.43±1.72, 0.0001, 97.78±1.48, 7.37±1.94, 74.07±0.09
../../Results/battery_wisconsin_<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns7_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>, wisconsin, 75.6±6.69, 98.05±1.45, 0.3273, 98.71±1.08, 0.0067, 98.93±1.28, 0.0021, 19.6±2.76, <0.0001, 95.47±3.67, 0.0054, 5.4±1.61, 0.4239, 97.63±1.8, 5.73±1.6, 73.81±0.12
../../Results/battery_wisconsin_<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns10_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>, wisconsin, 75.29±7.11, 98.06±1.58, 0.3796, 98.91±1.39, 0.0028, 98.91±1.38, 0.0027, 19.1±2.34, <0.0001, 97.04±3.02, 0.2982, 5.63±1.43, 0.1493, 97.7±1.62, 5.07±1.57, 73.56±0.11
../../Results/battery_wisconsin_<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns15_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>, wisconsin, 73.65±7.95, 98.05±1.49, 0.8349, 98.89±1.04, 0.0164, 98.95±1.09, 0.0111, 19.17±2.02, <0.0001, 96.47±3.67, 0.0241, 5.27±1.17, 0.0066, 98.12±1.35, 4.37±1.3, 72.27±0.11
../../Results/battery_wisconsin_<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns20_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>, wisconsin, 72.49±7.18, 98.08±1.33, 0.5579, 98.61±1.36, 0.0547, 99.04±0.92, 0.0008, 19.17±2.46, <0.0001, 95.46±4.81, 0.0123, 5.4±1.43, <0.0001, 97.85±1.6, 3.63±1.0, 70.93±0.12
../../Results/battery_wisconsin_<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns25_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>, wisconsin, 71.33±10.73, 98.36±1.24, 0.2652, 99.09±0.91, 0.0009, 99.08±0.86, 0.0009, 19.1±2.71, <0.0001, 96.23±4.16, 0.0378, 5.53±1.76, <0.0001, 97.96±1.53, 3.6±0.81, 69.87±0.16
../../Results/battery_wisconsin_<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns35_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>, wisconsin, 66.97±10.12, 98.45±1.24, 0.3881, 98.91±1.12, 0.0222, 99.26±1.03, 0.0007, 19.37±1.83, <0.0001, 96.0±4.36, 0.0116, 5±1.58, <0.0001, 98.17±1.32, 2.7±0.7, 65.75±0.13
../../Results/battery_wisconsin_<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns50_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>, wisconsin, 62.72±8.66, 98.67±1.29, 0.1342, 99.14±1.16, 0.005, 99.14±1.38, 0.0086, 18.17±2.2, <0.0001, 95.88±4.09, 0.0064, 5.43±1.79, <0.0001, 98.13±1.49, 1.8±0.81, 61.54±0.13
../../Results/battery_wisconsin_<class 'catboost.core.CatBoostClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns5_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'catboost.core.CatBoostClassifier'>, wisconsin, 87.95±5.42, 97.95±1.59, 0.0094, 81.72±1.93, <0.0001, 99.0±1.11, 0.8052, 18.83±2.49, <0.0001, 96.74±2.42, <0.0001, 6.03±1.97, <0.0001, 98.92±1.19, 9.33±1.69, 87.0±0.06
../../Results/battery_wisconsin_<class 'catboost.core.CatBoostClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns7_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'catboost.core.CatBoostClassifier'>, wisconsin, 86.53±5.37, 98.54±1.3, 0.1527, 81.8±2.44, <0.0001, 99.18±1.08, 0.6239, 18.77±1.81, <0.0001, 97.65±2.3, 0.0057, 6.17±2.36, 0.0014, 99.03±1.29, 7.8±1.24, 85.69±0.07
../../Results/battery_wisconsin_<class 'catboost.core.CatBoostClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns10_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'catboost.core.CatBoostClassifier'>, wisconsin, 86.43±4.25, 98.47±1.58, 0.0533, 81.72±2.06, <0.0001, 99.23±0.93, 0.6181, 19±2.29, <0.0001, 97.52±2.78, 0.004, 6.3±1.7, 0.0076, 99.11±0.83, 7.27±0.87, 85.66±0.04
