iter	Passed	Remaining
0	0	820
1	1	794
2	2	791
3	3	780
4	3	774
5	4	764
6	5	765
7	5	736
8	6	746
9	7	750
10	8	756
11	9	799
12	10	800
13	11	801
14	12	800
15	13	800
16	13	799
17	14	796
18	15	794
19	16	790
20	16	789
21	17	789
22	18	786
23	19	787
24	20	786
25	20	785
26	21	782
27	22	781
28	23	780
29	24	779
30	24	780
31	25	778
32	26	777
33	27	774
34	28	773
35	28	758
36	29	758
37	29	757
38	30	759
39	31	761
40	32	763
41	33	763
42	34	762
43	35	763
44	35	762
45	36	761
46	37	762
47	38	761
48	39	761
49	40	761
50	40	761
51	41	761
52	42	760
53	43	759
54	44	758
55	44	758
56	45	756
57	46	755
58	47	756
59	48	757
60	49	767
61	51	774
62	52	782
63	53	788
64	55	795
65	56	794
66	57	794
67	58	794
68	59	808
69	60	807
70	61	808
71	63	812
72	63	812
73	64	811
74	65	811
75	67	815
76	68	817
77	69	815
78	69	814
79	70	813
80	71	812
81	72	811
82	74	822
83	75	822
84	76	820
85	77	819
86	77	816
87	78	814
88	79	817
89	80	816
90	81	816
91	82	814
92	83	811
93	84	809
94	84	807
95	85	805
96	86	803
97	87	802
98	87	800
99	89	801
100	90	803
101	91	804
102	92	802
103	93	802
104	94	802
105	94	800
106	95	798
107	96	796
108	98	801
109	99	805
110	100	805
111	101	804
112	102	802
113	103	800
114	103	799
115	104	798
116	105	797
117	106	795
118	107	794
119	108	793
120	108	791
121	109	790
122	110	788
123	111	786
124	112	784
125	112	783
126	113	781
127	114	779
128	115	778
129	116	777
130	116	775
131	117	773
132	118	771
133	118	767
134	119	763
135	119	761
136	120	759
137	121	758
138	122	756
139	122	754
140	123	752
141	124	750
142	124	749
143	125	747
144	126	745
145	127	743
146	127	741
147	128	739
148	129	738
149	129	736
150	130	734
151	131	732
152	132	731
153	132	729
154	133	727
155	134	725
156	134	724
157	135	722
158	136	720
159	137	719
160	137	717
161	138	715
162	139	714
163	139	712
164	140	710
165	141	709
166	141	707
167	142	706
168	143	704
169	144	703
170	144	702
171	145	700
172	146	699
173	146	697
174	147	696
175	148	693
176	148	691
177	149	690
178	150	689
179	151	688
180	151	687
181	152	686
182	153	685
183	154	683
184	154	682
185	155	681
186	156	680
187	157	679
188	158	678
189	158	676
190	159	675
191	160	674
192	161	673
193	161	671
194	162	670
195	163	669
196	164	668
197	164	667
198	165	666
199	166	664
200	166	663
201	167	662
202	168	661
203	169	659
204	169	658
205	170	657
206	171	655
207	171	654
208	172	653
209	173	651
210	174	650
211	174	649
212	175	648
213	176	646
214	176	645
215	177	644
216	178	643
217	178	642
218	179	640
219	180	639
220	181	638
221	181	637
222	182	635
223	183	634
224	183	633
225	184	631
226	185	630
227	185	629
228	186	628
229	187	627
230	188	625
231	188	625
232	189	624
233	192	630
234	193	630
235	194	630
236	195	630
237	196	629
238	197	629
239	198	628
240	199	627
241	200	627
242	201	626
243	202	626
244	203	625
245	203	625
246	204	624
247	205	623
248	206	623
249	207	622
250	208	621
251	209	621
252	210	621
253	211	620
254	212	619
255	212	619
256	213	618
257	214	617
258	215	616
259	216	616
260	217	615
261	218	614
262	219	613
263	219	612
264	220	612
265	221	611
266	222	610
267	222	609
268	223	607
269	224	606
270	225	605
271	225	604
272	226	603
273	227	602
274	228	601
275	228	600
276	229	598
277	230	597
278	230	596
279	231	595
280	232	594
281	233	593
282	233	592
283	234	591
284	235	590
285	235	589
286	236	588
287	237	587
288	238	586
289	238	585
290	239	583
291	240	582
292	241	582
293	241	581
294	242	580
295	243	579
296	244	578
297	245	577
298	245	576
299	246	575
300	247	574
301	248	573
302	249	572
303	249	571
304	250	570
305	250	568
306	251	567
307	251	566
308	252	564
309	253	563
310	254	562
311	254	561
312	255	560
313	256	559
314	256	558
315	257	557
316	258	556
317	259	555
318	259	554
319	260	553
320	261	552
321	262	551
322	262	550
323	263	549
324	264	548
325	264	547
326	265	546
327	266	545
328	266	544
329	267	543
330	268	542
331	269	541
332	269	540
333	270	539
334	271	538
335	272	537
336	272	536
337	273	535
338	274	534
339	274	533
340	275	532
341	276	531
342	277	530
343	277	529
344	278	528
345	279	527
346	279	526
347	280	525
348	281	524
349	282	523
350	282	522
351	283	522
