iter	Logloss
0	0.6813659668
1	0.6719535589
2	0.6645925641
3	0.6580828428
4	0.6509133577
5	0.6434972882
6	0.6327328682
7	0.6259332895
8	0.6199023724
9	0.6129503846
10	0.6057339907
11	0.5957471132
12	0.5894563794
13	0.5845588446
14	0.5768312216
15	0.5705094934
16	0.5642948151
17	0.5590463877
18	0.5506534576
19	0.5447234511
20	0.5391411781
21	0.534819603
22	0.5291061401
23	0.5207037926
24	0.5154407024
25	0.5097194314
26	0.5046561956
27	0.4994014502
28	0.4932516813
29	0.488925606
30	0.4841578007
31	0.4793920517
32	0.4730469286
33	0.4684950411
34	0.4627575576
35	0.4583010972
36	0.451937139
37	0.4481163621
38	0.4405847788
39	0.4352216125
40	0.4305055141
41	0.4273727834
42	0.422655493
43	0.4182985425
44	0.4134663939
45	0.4094733894
46	0.4051415324
47	0.4003505111
48	0.3975315988
49	0.391074121
50	0.3881834745
51	0.3830239773
52	0.3793144822
53	0.3767185509
54	0.3717660606
55	0.3678560853
56	0.3653758168
57	0.361656189
58	0.3588526845
59	0.3547990322
60	0.3512690365
61	0.3481251001
62	0.3458430767
63	0.3417939246
64	0.3395752311
65	0.3352817893
66	0.3324648142
67	0.3296757936
68	0.3272728324
69	0.3246114552
70	0.3214825988
71	0.3191785216
72	0.3171798587
73	0.3138444722
74	0.3112988174
75	0.3086790442
76	0.3067807555
77	0.3045862913
78	0.3005777597
79	0.2984351516
80	0.2958060205
81	0.2933655381
82	0.2909637094
83	0.2872268558
84	0.284395963
85	0.2828172445
86	0.2792220712
87	0.2773348987
88	0.2752087712
89	0.2728075683
90	0.2707438469
91	0.2682567537
92	0.2664653659
93	0.263888061
94	0.2621250153
95	0.2604416609
96	0.2589903176
97	0.2575506568
98	0.2551628351
99	0.2523260415
