iter	Passed	Remaining
0	0	53
1	0	45
2	2	74
3	5	128
4	6	125
5	8	129
6	9	120
7	11	135
8	13	141
9	15	138
10	17	140
11	18	132
12	19	129
13	22	137
14	23	132
15	24	129
16	25	123
17	27	123
18	28	120
19	29	116
20	29	112
21	31	110
22	31	106
23	32	102
24	34	103
25	35	101
26	36	99
27	37	95
28	37	92
29	39	91
30	40	90
31	41	87
32	41	84
33	42	83
34	43	80
35	46	81
36	46	79
37	47	76
38	47	73
39	47	71
40	48	69
41	49	68
42	50	66
43	51	65
44	52	64
45	53	62
46	53	60
47	54	58
48	54	57
49	55	55
50	55	53
51	55	51
52	56	50
53	59	50
54	59	48
55	60	47
56	61	46
57	62	44
58	64	44
59	64	43
60	65	41
61	66	40
62	67	39
63	67	38
64	69	37
65	71	36
66	71	35
67	73	34
68	73	33
69	76	32
70	76	31
71	78	30
72	79	29
73	81	28
74	83	27
75	84	26
76	86	25
77	89	25
78	90	23
79	91	22
80	92	21
81	93	20
82	95	19
83	95	18
84	96	17
85	96	15
86	97	14
87	97	13
88	98	12
89	99	11
90	100	9
91	101	8
92	102	7
93	102	6
94	104	5
95	107	4
96	108	3
97	109	2
98	109	1
99	110	0
